date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity
1995-07-31,-5500000.0,,500000.0,34900000.0,10400000,6000000.0,48800000,,74600000.0,70000000,,70000000,,0,1600000,15100000.0,74400000.0,,8000000,-6400000,25600000,74000000,78400000,384200000,,124800000,21400000.0,,,,31400000,0,,,19700000,-2400000,0,-68200000,,,-84000000.0,-11700000,14900000,,103000000,-26600000,19200000,-209600000,-15100000.0,19600000,,98100000,,259400000,65800000,54300000.0,,300000.0,4400000.0,148100000.0,18200000,,,0.0,,47600000,,4900000.0,,-2400000,74200000,-2400000,,800000,,44200000,281200000
1995-10-31,-5500000.0,,,2100000.0,-7900000,7100000.0,68200000,,10500000.0,24200000,263750000.0,24200000,,0,27300000,19900000.0,38300000.0,,-29000000,-23900000,-29800000,10500000,78000000,394300000,-0.08,133800000,37300000.0,,,,-45800000,70000000,,,40900000,-21100000,0,-26500000,,,-38900000.0,-14900000,16000000,-100000.0,123800000,-30900000,-53700000,-230700000,,-24600000,,118900000,263750000.0,260500000,96800000,73700000.0,,-1100000.0,4900000.0,156800000.0,12200000,,,0.0,,84600000,,4900000.0,-0.08,-21100000,115500000,-21100000,,-1000000,,79600000,270500000
1996-01-31,-5500000.0,,2900000.0,1300000.0,29700000,7500000.0,86300000,,2600000.0,57300000,292000000.0,57300000,,-1600000,25700000,18300000.0,30400000.0,,51600000,-22700000,71400000,1000000,146400000,509900000,0.075,142400000,47800000.0,,,,26800000,0,,,54600000,21900000,0,-45500000,,,-70200000.0,67000000,16700000,200000.0,211300000,50300000,48700000,-209400000,,31800000,,201000000,292000000.0,367500000,221700000,91800000.0,,200000.0,7300000.0,175000000.0,35700000,,,100000.0,,186000000,,10300000.0,0.075,21900000,135700000,21900000,,-400000,,101000000,298600000
1996-04-30,-5500000.0,,2500000.0,2000000.0,-200000,5800000.0,95500000,,-3600000.0,33400000,320000000.0,33400000,,0,22400000,18700000.0,22600000.0,,-500000,-14300000,34500000,-3600000,112900000,471200000,-0.001102,140500000,29800000.0,,,,-23900000,0,,,44000000,-300000,0,-54800000,,,-70400000.0,13700000,16000000,0.0,166600000,-2500000,20200000,-209700000,,18800000,,156900000,320000000.0,330700000,136500000,101000000.0,,1600000.0,7200000.0,219000000.0,22000000,,,0.0,,114500000,,9700000.0,-0.001102,-300000,117000000,-300000,,100000,,82100000,304600000
1996-07-31,-5500000.0,,2500000.0,2200000.0,-5800000,4400000.0,95600000,,3400000.0,44600000,,44600000,,0,10400000,,31600000.0,,-21500000,-8400000,-14600000,1800000,76700000,418000000,,137600000,50100000.0,,,,11200000,0,,,34000000,-22000000,0,23900000,,,-17500000.0,-4000000,19700000,0.0,118800000,-23700000,-23000000,-231500000,,-20300000,,110700000,,280400000,76800000,101100000.0,,1400000.0,5600000.0,181900000.0,38300000,,,0.0,,38500000,,8100000.0,,-15700000,62200000,-22000000,,-300000,,100600000,299200000
1996-10-31,-5500000.0,,2800000.0,-2900000.0,-8700000,4900000.0,97200000,,1500000.0,45600000,283000000.0,45600000,,0,10500000,22500000.0,29000000.0,,-37000000,-8600000,-16000000,1200000,109000000,439300000,-0.1,136700000,85900000.0,,,,1100000,44600000,,,38500000,-28300000,0,15800000,,,-61500000.0,-16000000,18100000,-100000.0,155600000,-34100000,-24600000,-260000000,,-10600000,,147500000,283000000.0,302600000,102500000,102700000.0,,-500000.0,5300000.0,167700000.0,46700000,,,0.0,,55800000,,8100000.0,-0.1,-28300000,89900000,-28300000,,0,,49300000,283700000
1997-01-31,-5500000.0,,2700000.0,1800000.0,30700000,4400000.0,78900000,,2900000.0,104900000,286172840.0,104900000,,0,12400000,22900000.0,21900000.0,,75400000,-4800000,110300000,2700000,267500000,751900000,0.405,113200000,21900000.0,,,,59200000,0,,,63100000,115900000,0,-53700000,,,-67800000.0,89200000,15600000,,338400000,73600000,105500000,-133200000,,59600000,,330600000,286172840.0,638700000,266000000,84400000.0,,,5100000.0,383100000.0,89900000,,,0.0,,176100000,,7800000.0,0.405,44700000,102500000,115900000,,-3000000,,64000000,413500000
1997-04-30,-5500000.0,,5100000.0,-3300000.0,500000,2800000.0,78400000,,500000.0,116600000,287213115.0,116600000,,0,12600000,22400000.0,51300000.0,,1000000,-2500000,25400000,29900000,231800000,717900000,0.001788,142300000,59100000.0,,,,11800000,0,,,33400000,500000,0,-43600000,,,-67700000.0,15400000,11100000,,304700000,4300000,22900000,-132600000,,7800000,,265200000,287213115.0,575600000,136300000,83900000.0,,,34400000.0,388400000.0,49600000,,,0.0,,86700000,,39500000.0,0.001788,500000,82400000,500000,,-32500000,,48900000,413200000
1997-07-31,-70600000.0,,600000.0,-7200000.0,-9700000,3300000.0,83400000,,4500000.0,46800000,,46800000,,0,78700000,25200000.0,46800000.0,,-29500000,-11700000,-38600000,5200000,175900000,663700000,,208900000,77900000.0,,,,-69900000,0,,,35700000,-19800000,0,-36500000,,,-61900000.0,-8300000,13900000,0.0,248600000,-22200000,-50300000,-163200000,,-18200000,,211600000,,454800000,94100000,154000000.0,,-600000.0,36400000.0,362500000.0,40000000,,,0.0,,54100000,,37000000.0,,-19800000,76300000,-19800000,,-40800000,,37200000,415100000
1997-10-31,-70600000.0,,500000.0,6300000.0,-6500000,3900000.0,70900000,,5700000.0,64000000,284444444.0,64000000,,0,79500000,26100000.0,40000000.0,,-19300000,-8700000,-52900000,4800000,216500000,759300000,-0.045,190400000,66600000.0,,,,17200000,46800000,,,37500000,-12800000,0,65200000,,,-19800000.0,-13600000,11900000,200000.0,291000000,-25500000,-61600000,-176000000,-5500000.0,-45100000,,254000000,284444444.0,568900000,96000000,141500000.0,,-1400000.0,36500000.0,412300000.0,43000000,,,0.0,,53000000,,37000000.0,-0.045,-12800000,78500000,-12800000,,27100000,,40500000,468300000
