date,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDebt,quarterlyDilutedAverageShares,quarterlyInterestExpense,quarterlySellingGeneralAndAdministration,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue
2014-03-31,,,898000000,,,,1216000000.0,-0.314145,,325000000,-382000000,130000000,-382000000,,,-24000000,176000000,2198000000,,1229000000.0,,330000000,37000000,11000000,,,-382000000,976000000,,-6000000,,658000000,4000000,,-66000000,,367000000,1604000000,-0.314145,,,-43000000.0,,,,,68000000,448000000,318000000,1874000000,-6000000,-100000000,,,,,,,312000000,-1000000.0,425000000,198000000.0,-160000000,594000000,,129000000,694000000,663000000,,,,,,,,,
2014-06-30,,,932000000,,,,1216000000.0,0.231086,,464000000,281000000,125000000,281000000,,,0,-626000000,2096000000,,1229000000.0,,375000000,7000000,16000000,,,281000000,1051000000,,-4000000,,721000000,-3000000,,-544000000,,14000000,2198000000,0.228641,,,,,,,,75000000,455000000,330000000,1983000000,-37000000,-96000000,,,,,,,326000000,0.0,560000000,221000000.0,-87000000,-102000000,,144000000,45000000,32000000,,,,,,,,,
2014-09-30,,,974000000,,,,1216000000.0,0.192434,,431000000,234000000,129000000,234000000,,,-41000000,-439000000,2259000000,,1229000000.0,,368000000,-11000000,1000000,,,234000000,1001000000,,4000000,,729000000,1000000,,-233000000,,8000000,2096000000,0.190399,,,,,,,,75000000,401000000,272000000,1975000000,15000000,-173000000,,,,,,,276000000,0.0,604000000,232000000.0,6000000,163000000,,180000000,42000000,-18000000,,,,,,,,,
2014-12-31,10677000000.0,4352000000.0,1067000000,1434000000.0,3189000000.0,386000000.0,,,21917000000.0,508000000,286000000,132000000,286000000,386000000.0,,-11000000,-657000000,2201000000,1093000000.0,,,407000000,-63000000,14000000,,54000000.0,286000000,1126000000,13669000000.0,-1000000,31000000.0,778000000,-15000000,8248000000.0,-542000000,156000000.0,20000000,2259000000,,,2230000000.0,,2201000000.0,378000000.0,10727000000.0,110000000.0,81000000,480000000,348000000,2193000000,-23000000,-123000000,-1940000000.0,13283000000.0,2862000000.0,,17565000000.0,29000000.0,347000000,-1000000.0,631000000,239000000.0,-58000000,-58000000,29000000.0,193000000,61000000,3000000,,922000000.0,0.0,,,,,,
2015-03-31,10998000000.0,4372000000.0,1028000000,1565000000.0,3184000000.0,390000000.0,1220000000.0,0.209016,22579000000.0,350000000,255000000,141000000,255000000,390000000.0,,0,-254000000,2365000000,868000000.0,1220000000.0,,374000000,25000000,13000000,,30000000.0,255000000,1109000000,13939000000.0,-49000000,31000000.0,739000000,12000000,8640000000.0,-75000000,138000000.0,15000000,2201000000,0.209016,,2375000000.0,-119000000.0,2365000000.0,480000000.0,11070000000.0,142000000.0,79000000,511000000,370000000,2137000000,-94000000,-194000000,,13549000000.0,,,18207000000.0,46000000.0,321000000,0.0,544000000,224000000.0,-150000000,164000000,10000000.0,178000000,66000000,49000000,,989000000.0,0.0,,,,,,
2015-06-30,11467000000.0,7198000000.0,1127000000,877000000.0,3409000000.0,1587000000.0,1220000000.0,0.25,26911000000.0,391000000,305000000,150000000,305000000,1587000000.0,,-4465000000,-3498000000,2562000000,102000000.0,1220000000.0,,380000000,3820000000,25000000,,54000000.0,305000000,1170000000,14171000000.0,1000000,2258000000.0,771000000,-25000000,12740000000.0,1058000000,186000000.0,402000000,2365000000,0.25,,4408000000.0,,2562000000.0,583000000.0,11574000000.0,24000000.0,83000000,549000000,399000000,2297000000,3066000000,-231000000,,12584000000.0,,,19713000000.0,31000000.0,399000000,-273000000.0,622000000,241000000.0,-106000000,197000000,1846000000.0,185000000,94000000,43000000,,1291000000.0,0.0,,,,,,
2015-09-30,11975000000.0,7342000000.0,1169000000,1089000000.0,3415000000.0,1610000000.0,1221000000.0,0.25,27896000000.0,519000000,301000000,153000000,301000000,1610000000.0,,-2257000000,-1380000000,1880000000,0.0,1227000000.0,,376000000,30000000,-36000000,,63000000.0,301000000,1089000000,14682000000.0,20000000,2392000000.0,759000000,-85000000,13214000000.0,-554000000,174000000.0,1559000000,2562000000,0.25,0.0,4299000000.0,,1880000000.0,678000000.0,11916000000.0,3000000.0,94000000,483000000,330000000,2258000000,62000000,-133000000,,13072000000.0,,,20554000000.0,67000000.0,350000000,-10000000.0,652000000,230000000.0,-79000000,-682000000,2419000000.0,201000000,49000000,-5000000,36000000.0,1298000000.0,0.0,301000000.0,,,,,
2015-12-31,12398000000.0,8233000000.0,1315000000,1179000000.0,4069000000.0,,1223000000.0,0.3,28881000000.0,564000000,367000000,164000000,367000000,1505000000.0,0.0,-820000000,-1257000000,1393000000,0.0,1230000000.0,,415000000,-9000000,10000000,1505000000.0,114000000.0,367000000,1241000000,15122000000.0,8000000,2348000000.0,831000000,76000000,13759000000.0,-673000000,358000000.0,1342000000,1880000000,0.3,0.0,3411000000.0,15000000.0,1393000000.0,0.0,12406000000.0,-9000000.0,90000000,574000000,410000000,2556000000,45000000,-164000000,-2505000000.0,13617000000.0,3849000000.0,,20648000000.0,32000000.0,418000000,-942000000.0,728000000,252000000.0,-171000000,-487000000,2018000000.0,245000000,51000000,40000000,39000000.0,1344000000.0,0.0,668000000.0,,,,,
2016-03-31,12391000000.0,7502000000.0,1303000000,1145000000.0,4071000000.0,,1216000000.0,0.3,29470000000.0,605000000,365000000,174000000,365000000,1510000000.0,0.0,-4091000000,325000000,2583000000,,1225000000.0,,464000000,724000000,13000000,1510000000.0,105000000.0,365000000,1241000000,15872000000.0,15000000,1661000000.0,834000000,-22000000,13598000000.0,372000000,320000000.0,4196000000,1393000000,0.3,0.0,4767000000.0,,2583000000.0,526000000.0,13190000000.0,-27000000.0,95000000,582000000,407000000,2544000000,113000000,-133000000,,14362000000.0,,-596000000.0,21968000000.0,27000000.0,422000000,-19000000.0,738000000,195000000.0,-166000000,1190000000,2184000000.0,255000000,57000000,22000000,6000000.0,1345000000.0,0.0,1033000000.0,,,,,
2016-06-30,13201000000.0,7174000000.0,1383000000,1181000000.0,4069000000.0,,1210000000.0,0.27,30631000000.0,495000000,323000000,176000000,323000000,1591000000.0,0.0,-6118000000,-1806000000,2018000000,,1215000000.0,,511000000,793000000,9000000,1591000000.0,97000000.0,323000000,1267000000,16814000000.0,9000000,1315000000.0,896000000,-8000000,13817000000.0,-626000000,281000000.0,5139000000,2583000000,0.27,0.0,4957000000.0,,2018000000.0,504000000.0,14003000000.0,52000000.0,111000000,547000000,371000000,2650000000,544000000,-201000000,,15223000000.0,,-300000000.0,23457000000.0,39000000.0,380000000,0.0,696000000,209000000.0,-198000000,-565000000,2939000000.0,255000000,57000000,66000000,51000000.0,1412000000.0,0.0,1356000000.0,,,,,
