date,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,8575678000,178611000,398828000,,6150021000,6150021000,230968000.0,1531366000,0.0,-2664411000.0,8014467000,4553940000,7910698000.0,230613000,1294766000,5246287000,,199143000,6081659000,527303000,14096126000,0.0,350000000,630492000,0.0,430540000,5184432000,714897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,9132008000,178613000,426717000,,6562897000,6562897000,218883000.0,2332557000,0.0,,9026510000,5251312000,5275910000.0,232096000,1668141000,5275910000,,199143000,6155505000,567066000,15182015000,0.0,150000000,415711000,0.0,553032000,5667023000,934560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,9758064000,178679000,706080000,39865000.0,6697813000,6697813000,102399000.0,2061193000,0.0,-3386527000.0,9664307000,6238289000,9302016000.0,226049000,2050216000,5915489000,,451613000,7641534000,554933000,17305841000,0.0,570027000,850043000,0.0,690804000,7088332000,1176423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,10390213000,179452000,788351000,34700000.0,6570248000,6645248000,68572000.0,2962695000,0.0,,10262848000,7045482000,,220620000,2560737000,5738770000,75000000.0,482436000,8533745000,736761000,18796593000,0.0,503952000,852164000,822150000.0,531168000,7897646000,1670895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,11471058000,181087000,809894000,22830000.0,6523075000,6625875000,175289000.0,2543405000,0.0,-4194131000.0,10386503000,7225825000,11000670000.0,234940000,3074337000,6806539000,102800000.0,482436000,9815182000,574734000,20201685000,0.0,480531000,927040000,887103000.0,656638000,8152865000,1685247000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,11919461000,181110000,888533000,27634000.0,5884790000,6545550000,339655000.0,3233166000,0.0,,10860144000,7750224000,,225778000,3369018000,7124759000,660760000.0,482436000,10310068000,845218000,21170212000,0.0,512694000,922679000,930108000.0,777035000,8672903000,1647581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,12443292000,181151000,225977000,33051000.0,5778390000,6018390000,51602000.0,2381955000,0.0,-5109385000.0,9761196000,6980643000,14405554000.0,215740000,3745840000,9296169000,240000000.0,482436000,11229538000,801473000,20990734000,0.0,544858000,938242000,0.0,598692000,7918885000,1419898000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,13721884000,185350000,239696000,0.0,7389036000,7389036000,444823000.0,3499210000,0.0,,12561451000,11829565000,9729784000.0,205015000,4371291000,9729784000,850000000.0,747351000,14580470000,1140137000,27141921000,0.0,18941000,967812000,0.0,3990863000,12797377000,1385658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,15360918000,186476000,1612293000,64429000.0,7101580000,8846327000,22329000.0,4761298000,4354840000.0,-6646488000.0,16321140000,18063331000,18217285000.0,200326000,4940421000,11570797000,1744747000.0,5694938000,24018256000,762577000,40339396000,0.0,3235535000,4264927000,0.0,8554071000,22328258000,2577078000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,20273740000,196225000,1605918000,51929000.0,8676791000,12004002000,124624000.0,5120798000,19553000.0,,19692632000,16177831000,12056574000.0,242386000,5991234000,12056574000,3327211000.0,5694938000,26567958000,1262206000,46260590000,0.0,4815940000,6852299000,0.0,5296268000,23030130000,4459826000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
