date,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable
1983-12-31,,,,,,,,,,56042000.0,,,,,,,,,,,,,0.165,,,,2008000000,,,,,,2008000000,,,,,,,,,,,,2008000000,,56042000.0,,,,,,,27200000,,,,,,,,,,,,,0.165,,,,,,,,,,
1984-03-31,,,,,,,,,,56042000.0,,,,,,,,,,,,,-0.03,,,,1911100000,,,,,,1911100000,,,,,,,,,,,,1911100000,,56042000.0,,,,,,,5000000,,,,,,,,,,,,,-0.03,,,,,,,,,,
1984-06-30,,,,,,,,,,56042000.0,,,,,,,,,,,,,0.255,,,,2072900000,,,,,,2072900000,,,,,,,,,,,,2072900000,,56042000.0,,,,,,,36200000,,,,,,,,,,,,,0.255,,,,,,,,,,
1984-09-30,,132100000.0,132100000.0,,,,1746700000.0,,,,,,,,49600000.0,,-1351400000.0,48200000.0,3098100000.0,,,,,,,,-5817000000,1565900000.0,,,,,-5817000000,,,,1615500000.0,,1677000000.0,,,,619400000.0,1575500000.0,2260600000,,,3191000000.0,,4036900000.0,,2359900000.0,,-240900000,565000000.0,585600000.0,144300000.0,,393600000.0,,,,,,845900000.0,658100000.0,,331800000.0,,,,,,,,,
1984-12-31,,,,,,,,,,56042000.0,,,,,,,,,,,,,0.16,,,,2022200000,,,,,,2022200000,,,,,,,,,,,,2022200000,,56042000.0,,,,,,,25900000,,,,,,,,,,,,,0.16,,,,,,,,,,
1985-03-31,,,,,,,,,,56706000.0,,,,,,,,,,,,,0.055,,,,1800000000,,,,,,1800000000,,,,,,,,,,,,1800000000,,56706000.0,,,,,,,14100000,,,,,,,,,,,,,0.055,,,,,,,,,,
1985-06-30,,,,,,,,,,56358000.0,,,,,,,,,,,,,0.45,,,,2038800000,,,,,,2038800000,,,,,,,,,,,,2038800000,,56358000.0,,,,,,,60300000,,,,,,,,,,,,,0.45,,,,,,,,,,
1985-09-30,,173400000.0,173400000.0,,,,1816000000.0,,,,,,,,30500000.0,,-1503600000.0,50100000.0,3319600000.0,,,,,,,,-5476200000,1396600000.0,,,,,-5476200000,,,,1427100000.0,,1595700000.0,,,,690600000.0,1571100000.0,2117200000,,,2998200000.0,,3927600000.0,,2331900000.0,,40300000,465800000.0,574900000.0,121100000.0,,306600000.0,,,,,,929400000.0,616000000.0,,380200000.0,,,,,,,,,
1985-12-31,,,,,,,,,,56774000.0,,,,,,,,,,,,,0.355,,,,1973900000,,,,,,1973900000,,,,,,,,,,,,1973900000,,56774000.0,,,,,,,48100000,,,,,,,,,,,,,0.355,,,,,,,,,,
1986-03-31,,,,,,,,,,64024000.0,,,,,,,,,,,,,0.28,,,,1711600000,,,,,,1711600000,,,,,,,,,,,,1711600000,,64024000.0,,,,,,,39400000,,,,,,,,,,,,,0.28,,,,,,,,,,
