date,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyTaxProvision,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyIncomeTaxPayable
1997-03-31,,,26000000.0,38300000,2800000,2800000,1700000.0,-400000.0,,3642131.0,,-1300000.0,,2500000,100000.0,,,,3200000.0,,-800000.0,-100000,,,1900000.0,,,147300000.0,,,1100000.0,-0.04,,3642131.0,-3400000.0,,1100000.0,-3000000.0,300000.0,600000,,,4700000,,,1900000.0,161700000,-100000,,,123400000,,-100000,-100000,-0.04,2800000.0,,-1300000.0,,0.0,,,115300000,,,,,,,,,,,,,,
1997-06-30,,,,168100000,21900000,21900000,2800000.0,-75500000.0,,6098381.0,,-52500000.0,,2100000,-2700000.0,,,,-3900000.0,,75500000.0,-11000000,,,,,,198800000.0,,,19100000.0,-1.79,,6098381.0,-16600000.0,,,-900000.0,10100000.0,600000,,,5600000,,,-56400000.0,230000000,-10900000,,,61900000,,-10900000,-10900000,-1.79,21900000.0,,-52500000.0,,0.0,,,55200000,,,,,,,,,,,,,,
1997-09-30,,,,167300000,6800000,6800000,21900000.0,2100000.0,,11404631.0,,-14800000.0,,1200000,100000.0,,,,4400000.0,,-2100000.0,4100000,,,,,,214900000.0,,,-15100000.0,0.36,,11404631.0,-11100000.0,,,-1500000.0,300000.0,600000,,,8500000,,,-10400000.0,231500000,4100000,,,64200000,,4100000,4100000,0.36,6800000.0,,-17400000.0,,-2600000.0,,,54700000,,,,,,,,,,,,,,
1997-12-31,,,,166900000,2100000,2100000,6800000.0,-9400000.0,,,,-19000000.0,,1200000,-100000.0,,,,200000.0,,11500000.0,4100000,,,,,,230000000.0,,,-4700000.0,,,,-6900000.0,,,-4500000.0,-6500000.0,700000,,,9000000,,,-18800000.0,248500000,4200000,,,81600000,,4200000,4200000,,2100000.0,,-16400000.0,,2600000.0,,,70800000,,,,,,,,,,,,,,
1998-03-31,,,,167000000,1500000,1500000,2100000.0,-300000.0,,11404631.0,,-120500000.0,,2100000,100000.0,,,,8700000.0,,117300000.0,4600000,,,,,,349000000.0,,,-600000.0,0.4,,11652772.0,-2300000.0,,,-4600000.0,4100000.0,800000,,,9600000,,,-111800000.0,372100000,4600000,,,205100000,,4600000,4600000,0.41,1500000.0,,-126600000.0,,-6100000.0,,,192700000,,,,,,,,,,,,,,
1998-06-30,,,100000.0,199900000,2000000,2000000,1500000.0,-200000.0,,11821664.0,,-44000000.0,,3500000,169400000.0,,,,1900000.0,,42600000.0,4700000,,,,,,390500000.0,,,500000.0,0.39,,12053983.0,,,,-4500000.0,-2900000.0,900000,,,11700000,,,-42100000.0,420900000,4700000,,,221000000,,4700000,4700000,0.4,2000000.0,,-43900000.0,,100000.0,,,206600000,,,,,,,,,,,,,,
1998-09-30,,,100000.0,200400000,1200000,1200000,2000000.0,-400000.0,,12568407.0,,-26200000.0,,3600000,-136300000.0,,,,5400000.0,,47700000.0,5100000,,,,,,441700000.0,,,-700000.0,0.4,,12763525.0,,,,-5000000.0,300000.0,1000000,,,12200000,,,-20800000.0,476200000,5100000,,,275800000,,5100000,5100000,0.41,1200000.0,,-53900000.0,,-27700000.0,,,258900000,,,,,,,,,,,,,,
1998-12-31,,,100000.0,199800000,1600000,1600000,1200000.0,-400000.0,,,,-50100000.0,,4834000,0.0,,,,10100000.0,,12500000.0,4900000,,,,,,493700000.0,,,300000.0,,,,,,,-5100000.0,,1300000,,,13500000,,,-40000000.0,530300000,4900000,,,330500000,,4900000,4900000,,1600000.0,,-22400000.0,,27700000.0,,,309800000,,,,,,,,,,,,,,
1999-03-31,,,100000.0,226100000,1500000,1500000,1600000.0,-1300000.0,,13025303.0,,-12900000.0,172000000.0,5000000,200000.0,,,,14000000.0,,-1200000.0,5400000,,,,,,515400000.0,,,-100000.0,0.4,,13163695.0,,,,-5000000.0,8700000.0,1300000,,,14600000,,,1100000.0,549900000,5300000,,,323800000,,5300000,5300000,0.41,1500000.0,,-12900000.0,,0.0,,,127200000,,,,,,,,,,,,,,
1999-06-30,,,38724000.0,262960000,2900000,2900000,1500000.0,-500000.0,,13604031.0,,-14300000.0,148000000.0,4900000,-100000.0,,,,7200000.0,,8500000.0,5800000,,,,,,526000000.0,,,1400000.0,0.41,,13756007.0,,,,-5500000.0,1400000.0,1700000,,,16200000,,,-7100000.0,562300000,5600000,,,299340000,,5800000,5800000,0.41,2900000.0,,-14300000.0,,0.0,,,128000000,,,,,,,,,,,,,,
