date,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
2011-03-31,592000000.0,-449000000,,,,,,2000000,121000000,1517000000,,,757000000,,0,487000000,,0.815745,10000000,2000000,-50000000,,,597000000.0,,,2000000.0,,89000000,,,,247000000,-245000000,,,,,,,2888000000,0,,,,757000000,487000000,487000000,-2000000.0,,281000000,,12000000,507000000,,859000000,-315000000,4000000,0.822635,,768000000,,,4405000000,,,,760000000,-247000000,-50000000,297000000,,,,,,
2011-06-30,,-22000000,,,,,,2000000,-142000000,1546000000,,,716000000,,0,534000000,,,13000000,7000000,-54000000,,,,,,1000000.0,,89000000,,,,807000000,-800000000,,,,,,,3195000000,5000000,,,,716000000,534000000,534000000,-2000000.0,,308000000,,13000000,576000000,,932000000,158000000,25000000,,,842000000,,,4741000000,,,,830000000,-802000000,-54000000,861000000,,,,,,
2011-09-30,592000000.0,18000000,,,,,,7000000,126000000,1364000000,,,658000000,,0,417000000,,0.7,16000000,2000000,-163000000,,,592000000.0,,,3000000.0,,91000000,,,,724000000,-727000000,,,,,,,3110000000,-5000000,,,,658000000,417000000,417000000,-2000000.0,,302000000,,14000000,327000000,,813000000,441000000,14000000,0.7,,719000000,,,4474000000,,,,706000000,-729000000,-163000000,887000000,,,,,,
2011-12-31,,284000000,194000000.0,,,,,2000000,121000000,1467000000,-377000000.0,1447000000.0,840000000,16599000000.0,0,401000000,1603000000.0,,11000000,0,-134000000,1943000000.0,0.0,,,0.0,-2000000.0,8000000.0,95000000,29000000.0,4940000000.0,2630000000.0,485000000,-484000000,27000000.0,300000000.0,18267000000.0,21539000000.0,817000000.0,926000000.0,3568000000,-2000000,621000000.0,2368000000.0,11316000000.0,842000000,401000000,401000000,-3000000.0,-3891000000.0,239000000,4278000000.0,12000000,487000000,,733000000,-1000000,26000000,,,640000000,,,5035000000,8169000000.0,3272000000.0,2572000000.0,627000000,-487000000,-134000000,619000000,,,,,,
2012-03-31,592000000.0,-229000000,240000000.0,,,,,0,-145000000,1464000000,-307000000.0,1350000000.0,676000000,17275000000.0,0,478000000,1608000000.0,0.80067,-43000000,3000000,-91000000,2174000000.0,3000000.0,597000000.0,,3000000.0,2000000.0,8000000.0,79000000,28000000.0,4820000000.0,2630000000.0,-183000000,188000000,26000000.0,541000000.0,18279000000.0,22095000000.0,581000000.0,1198000000.0,2989000000,3000000,596000000.0,2340000000.0,11345000000.0,676000000,478000000,478000000,-2000000.0,-3997000000.0,265000000,4260000000.0,14000000,490000000,,824000000,-708000000,1000000,0.807432,,743000000,,,4453000000,8257000000.0,3816000000.0,2480000000.0,788000000,186000000,-91000000,-92000000,,,,,,
2012-06-30,591000000.0,117000000,161000000.0,,,,,3000000,21000000,1636000000,-515000000.0,1336000000.0,687000000,10958000000.0,2000000,603000000,1620000000.0,1.02,-22000000,3000000,-88000000,2048000000.0,3000000.0,591000000.0,,3000000.0,,7000000.0,90000000,63000000.0,10931000000.0,2632000000.0,1103000000,-7066000000,5988000000.0,700000000.0,18255000000.0,21889000000.0,554000000.0,1123000000.0,3150000000,0,623000000.0,8334000000.0,11322000000.0,687000000,603000000,603000000,2000000.0,-4083000000.0,303000000,4222000000.0,13000000,648000000,,1039000000,413000000,12000000,1.02,,906000000,,,4786000000,8305000000.0,3634000000.0,2597000000.0,949000000,-1105000000,-90000000,1193000000,,,,,,
2012-09-30,592000000.0,-32000000,206000000.0,,,,,3000000,178000000,1588000000,-460000000.0,1510000000.0,782000000,7458000000.0,0,470000000,2047000000.0,0.79,-31000000,244000000,-100000000,2090000000.0,244000000.0,592000000.0,,244000000.0,106000000.0,6000000.0,92000000,172000000.0,14826000000.0,2632000000.0,865000000,-627000000,9568000000.0,417000000.0,18379000000.0,22284000000.0,458000000.0,1180000000.0,3018000000,241000000,537000000.0,12257000000.0,11364000000.0,782000000,470000000,470000000,0.0,-4148000000.0,199000000,4211000000.0,12000000,531000000,,806000000,-255000000,570000000,0.79,,669000000,,,4606000000,8359000000.0,3905000000.0,2569000000.0,806000000,-629000000,-101000000,966000000,,,,,,
2012-12-31,,165000000,549000000.0,,,,0.0,244000000,-295000000,1134000000,-460000000.0,1556000000.0,871000000,3571000000.0,0,89000000,288000000.0,,-5000000,1255000000,-143000000,1928000000.0,1255000000.0,,,1255000000.0,109000000.0,5000000.0,167000000,326000000.0,19758000000.0,2631000000.0,810000000,178000000,9966000000.0,2045000000.0,18507000000.0,23329000000.0,740000000.0,1090000000.0,3360000000,1011000000,407000000.0,16152000000.0,11346000000.0,871000000,89000000,89000000,-8000000.0,-4198000000.0,43000000,4204000000.0,15000000,-1510000000,,4494000000,804000000,-113000000,,,132000000,-206000000.0,,4494000000,8402000000.0,4822000000.0,3606000000.0,4494000000,190000000,-158000000,968000000,,,,,,
2013-03-31,592000000.0,-26000000,144000000.0,,-165000000.0,,0.0,1255000000,-52000000,1503000000,-477000000.0,1463000000.0,632000000,3742000000.0,0,456000000,296000000.0,0.76,-62000000,1181000000,16000000,1948000000.0,1181000000.0,597000000.0,-296000000.0,1181000000.0,123000000.0,3000000.0,102000000,337000000.0,19525000000.0,2631000000.0,147000000,-55000000,9966000000.0,1178000000.0,18313000000.0,23267000000.0,626000000.0,1278000000.0,3043000000,-74000000,445000000.0,16158000000.0,11319000000.0,632000000,456000000,456000000,0.0,-4156000000.0,230000000,4026000000.0,15000000,25000000,,871000000,-432000000,33000000,0.77,,686000000,-48000000.0,,4546000000,8182000000.0,4954000000.0,3367000000.0,871000000,-318000000,-85000000,232000000,,,,,,
2013-06-30,594000000.0,42000000,116000000.0,,54000000.0,,0.0,1181000000,-10000000,1955000000,-509000000.0,1444000000.0,535000000,4300000000.0,0,829000000,521000000.0,1.38,-22000000,1164000000,-124000000,1898000000.0,1164000000.0,599000000.0,-298000000.0,1164000000.0,,3000000.0,102000000,311000000.0,18764000000.0,2631000000.0,252000000,0,9967000000.0,1073000000.0,18245000000.0,23064000000.0,621000000.0,1223000000.0,2780000000,-17000000,438000000.0,15482000000.0,11275000000.0,535000000,829000000,829000000,-2000000.0,-4105000000.0,439000000,4028000000.0,17000000,19000000,,1420000000,-252000000,268000000,1.39,,1268000000,481000000.0,,4735000000,8133000000.0,4819000000.0,3282000000.0,1420000000,-264000000,-127000000,379000000,,,,,,
