date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,,99876000.0,,,,,,,,,,,,,,,,583500000,,583500000,0.9,,,,,,,,583500000,,,,99876000.0,,,,,,,,,,,,,,,,,,,89000000,0.9,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,102775000.0,,,,,,,,,,,,,,,,482100000,,482100000,0.54,,,,,,,,482100000,,,,102775000.0,,,,,,,,,,,,,,,,,,,54400000,0.54,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,102775000.0,,,,,,,,,,,,,,,,500500000,,500500000,0.74,,,,,,,,500500000,,,,102775000.0,,,,,,,,,,,,,,,,,,,75900000,0.74,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,529200000,,529200000,,,,,,,,,529200000,,,,,,,,,,,,,,,,,,,,,,,69600000,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,104528000.0,,,,,,,,,,,,,,,,590900000,,590900000,0.92,,,,,,,,590900000,,,,104528000.0,,,,,,,,,,,,,,,,,,,96400000,0.92,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,105877000.0,,,,,,,,,,,,,,,,479000000,,479000000,0.63,,,,,,,,479000000,,,,105877000.0,,,,,,,,,,,,,,,,,,,67500000,0.63,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,106507000.0,,,,,,,,,,,,,,,,477100000,,477100000,0.63,,,,,,,,477100000,,,,106507000.0,,,,,,,,,,,,,,,,,,,66400000,0.63,,,,,,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,534000000,,534000000,,,,,,,,,534000000,,,,,,,,,,,,,,,,,,,,,,,102500000,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,107207000.0,,,,,,,,,,,,,,,,549900000,,549900000,0.75,,,,,,,,549900000,,,,107207000.0,,,,,,,,,,,,,,,,,,,80900000,0.75,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,108233000.0,,,,,,,,,,,,,,,,497200000,,497200000,0.91,,,,,,,,497200000,,,,108233000.0,,,,,,,,,,,,,,,,,,,98100000,0.91,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,108628000.0,,,,,,,,,,,,,,,,471800000,,471800000,0.59,,,,,,,,471800000,,,,108628000.0,,,,,,,,,,,,,,,,,,,65100000,0.59,,,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,513200000,,513200000,,,,,,,,,513200000,,,,,,,,,,,,,,,,,,,,,,,56800000,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,540300000,,540300000,0.78,,,,,,,,540300000,,,,108669000.0,,,,,,,,,,,,,,,,,,,85000000,0.78,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,491700000,,491700000,0.49,,,,,,,,491700000,,,,108669000.0,,,,,,,,,,,,,,,,,,,53000000,0.49,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,499100000,,499100000,0.51,,,,,,,,499100000,,,,108669000.0,,,,,,,,,,,,,,,,,,,55400000,0.51,,,,,,,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,346900000,,346900000,,,,,,,,,346900000,,,,,,,,,,,,,,,,,,,,,,,59700000,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,537500000,,537500000,0.6,,,,,,,,537500000,,,,108669000.0,,,,,,,,,,,,,,,,,,,55600000,0.6,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,469900000,,469900000,0.4,,,,,,,,469900000,,,,108669000.0,,,,,,,,,,,,,,,,,,,44000000,0.4,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,543900000,,543900000,0.57,,,,,,,,543900000,,,,108669000.0,,,,,,,,,,,,,,,,,,,65700000,0.57,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,527900000,,527900000,,,,,,,,,527900000,,,,,,,,,,,,,,,,,,,,,,,98100000,,,,,,,,,,,,,,,
1989-03-31,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,559600000,,559600000,0.65,,,,,,,,559600000,,,,108669000.0,,,,,,,,,,,,,,,,,,,60800000,0.65,,,,,,,,,,,,,,
1989-06-30,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,510200000,,510200000,0.34,,,,,,,,510200000,,,,108669000.0,,,,,,,,,,,,,,,,,,,40400000,0.34,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,,108669000.0,,,,,,,,,,,,,,,,562400000,,562400000,0.51,,,,,,,,562400000,,,,108669000.0,,,,,,,,,,,,,,,,,,,56000000,0.51,,,,,,,,,,,,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,574100000,,574100000,,,,,,,,,574100000,,,,,,,,,,,,,,,,,,,,,,,46000000,,,,,,,,,,,,,,,
1990-03-31,,,,,,,,,,,,89672131.0,,,,,,,,,,,,,,,,597700000,,597700000,0.61,,,,,,,,597700000,,,,89672131.0,,,,,,54700000.0,,,,,,,,,,,,66100000.0,66100000,0.61,,,,,,,,,,,,,,
1990-06-30,,,,,,,,,,,,78648649.0,,,,,,,,,,,,,,,,526400000,,526400000,0.37,,,,,,,,526400000,,,,78648649.0,,,,,,29100000.0,,,,,,,,,,,,40700000.0,40700000,0.37,,,,,,,,,,,,,,
1990-09-30,,,,,,,,,,,,89672131.0,,,,,,,,,,,,,,,,600900000,,600900000,0.61,,,,,,,,600900000,,,,89672131.0,,,,,,54700000.0,,,,,,,,,,,,65900000.0,65900000,0.61,,,,,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,891300000,,891300000,,,,,,,,,891300000,,,,,,,,,,72500000.0,,,,,,,,,,,,83300000.0,83300000,,,,,,,,,,,,,,,
1991-03-31,,,,,,,,,,,,109206349.0,,,,,,,,,,,,,,,,701300000,,701300000,0.63,,,,,,,,701300000,,,,109206349.0,,,,,,68800000.0,,,,,,,,,,,,79900000.0,79900000,0.63,,,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,110652174.0,,,,,,,,,,,,,,,,637000000,,637000000,0.46,,,,,,,,637000000,,,,110652174.0,,,,,,50900000.0,,,,,,,,,,,,61300000.0,61300000,0.46,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,111833333.0,,,,,,,,,,,,,,,,692700000,,692700000,0.6,,,,,,,,692700000,,,,111833333.0,,,,,,67100000.0,,,,,,,,,,,,78100000.0,78100000,0.6,,,,,,,,,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,722800000,,722800000,,,,,,,,,722800000,,,,,,,,,,7300000.0,,,,,,,,,,,,17400000.0,17400000,,,,,,,,,,,,,,,
1992-03-31,,,,,,,,,,,,105079365.0,,,,,,,,,,,,,,,,762700000,,762700000,0.63,,,,,,,,762700000,,,,105079365.0,,,,,,66200000.0,,,,,,,,,,,,76500000.0,76500000,0.63,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,110600000.0,,,,,,,,,,,,,,,,718700000,,718700000,0.5,,,,,,,,718700000,,,,110600000.0,,,,,,55300000.0,,,,,,,,,,,,66400000.0,66400000,0.5,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,,134680851.0,,,,,,,,,,,,,,,,867700000,,867700000,0.47,,,,,,,,867700000,,,,134680851.0,,,,,,63300000.0,,,,,,,,,,,,63300000.0,63300000,0.47,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,867700000,,867700000,,,,,,,,,867700000,,,,,,,,,,84500000.0,,,,,,,,,,,,96800000.0,96800000,,,,,,,,,,,,,,,
1993-03-31,,,,,,,,,,,,133448276.0,,,,,,,,,,,,,,,,958200000,,958200000,0.87,,,,,,,,958200000,,,,133448276.0,,,,,,116100000.0,,,,,,,,,,,,116100000.0,64400000,0.87,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,,130000000.0,,,,,,,,,,,,,,,,853800000,,853800000,0.14,,,,,,,,853800000,,,,130000000.0,,,,,,18200000.0,,,,,,,,,,,,18200000.0,18200000,0.14,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,,134324324.0,,,,,,,,,,,,,,,,915200000,,915200000,0.37,,,,,,,,915200000,,,,134324324.0,,,,,,49700000.0,,,,,,,,,,,,49700000.0,49700000,0.37,,,,,,,,,,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,901900000,,901900000,,,,,,,,,901900000,,,,,,,,,,65900000.0,,,,,,,,,,,,65900000.0,65900000,,,,,,,,,,,,,,,
1994-03-31,,,195800000.0,490000000.0,1289700000.0,32000000.0,2888200000.0,-10200000.0,162700000.0,,-3096800000.0,124545455.0,34300000.0,34300000.0,80500000.0,607600000.0,,,218900000.0,35900000.0,23100000.0,-225500000.0,,260600000.0,-197800000.0,-61400000.0,9747400000.0,250600000,,966200000,0.77,89300000.0,6650600000.0,607600000.0,3500000.0,105800000.0,,2300000.0,356500000,,920700000.0,,124545455.0,199200000.0,,793700000.0,,1157900000.0,95900000.0,9854400000.0,10648100000.0,,,,740600000.0,,2758800000.0,100000.0,7759900000.0,,106500000.0,106500000,0.77,34300000.0,-60500000.0,3970500000.0,2125800000.0,,21300000.0,195500000.0,401200000.0,-65300000.0,225600000.0,331400000.0,,,
1994-06-30,,,130500000.0,488400000.0,1289700000.0,34300000.0,2898900000.0,-7800000.0,200300000.0,,-3163000000.0,124693878.0,30500000.0,30500000.0,80200000.0,658900000.0,,,205400000.0,33800000.0,-23700000.0,-221100000.0,,139500000.0,-71000000.0,-62300000.0,9795600000.0,184000000,,854600000,0.49,58600000.0,6632600000.0,658900000.0,3700000.0,103000000.0,,-3900000.0,286900000,,927000000.0,,124693878.0,77200000.0,,779900000.0,,1154500000.0,61100000.0,9797800000.0,10577700000.0,6287900000.0,,,672400000.0,,2735900000.0,-100000.0,7678800000.0,,71900000.0,71900000,0.49,30500000.0,-72400000.0,3910700000.0,2136200000.0,,22900000.0,200200000.0,348900000.0,-65600000.0,182200000.0,290200000.0,,,
1994-09-30,,,145100000.0,491600000.0,,30500000.0,0.0,-11500000.0,184100000.0,,-3234200000.0,125192308.0,21700000.0,21700000.0,80500000.0,,,,,13800000.0,44100000.0,,,274000000.0,-203700000.0,-53000000.0,9825000000.0,211400000,,923700000,0.52,69100000.0,6590800000.0,,3800000.0,81300000.0,,-8700000.0,292800000,,,,125192308.0,221000000.0,,769500000.0,,0.0,65100000.0,9745000000.0,10514500000.0,,,,703000000.0,,2742100000.0,100000.0,10514500000.0,,76000000.0,76000000,0.52,21700000.0,-79000000.0,,,,10400000.0,201200000.0,362500000.0,-65800000.0,220700000.0,,,,
1994-12-31,,,138700000.0,498300000.0,1281100000.0,21700000.0,2919100000.0,-4100000.0,197600000.0,,-3293700000.0,,34600000.0,34600000.0,81000000.0,438000000.0,,,280900000.0,63100000.0,60600000.0,-213300000.0,,246800000.0,-124100000.0,-111500000.0,9897100000.0,196000000,,898200000,,63200000.0,6603400000.0,200000.0,3600000.0,100400000.0,,12900000.0,296100000,,946900000.0,,,135300000.0,,779600000.0,,1035600000.0,64800000.0,9805300000.0,10584900000.0,6442100000.0,,,694300000.0,,3114200000.0,-300000.0,7665800000.0,,75500000.0,75500000,,34600000.0,-109900000.0,3942000000.0,2156200000.0,,21300000.0,190100000.0,357300000.0,-65600000.0,203900000.0,316500000.0,,,
1995-03-31,,,165900000.0,470200000.0,1147000000.0,34600000.0,2823000000.0,-20100000.0,184200000.0,,-338300000.0,125072464.0,24700000.0,24700000.0,81800000.0,367200000.0,,,218800000.0,29300000.0,-33300000.0,-209200000.0,,261800000.0,-195600000.0,-56000000.0,6877800000.0,236900000,,944700000,0.69,65500000.0,6539500000.0,367200000.0,3900000.0,101900000.0,,-9900000.0,338800000,-133200000.0,978000000.0,,125072464.0,205800000.0,,765400000.0,,934100000.0,86300000.0,9778600000.0,10544000000.0,,,,707100000.0,,3152800000.0,100000000.0,7620900000.0,,100400000.0,100400000,0.69,24700000.0,-76100000.0,3914500000.0,2191400000.0,,8300000.0,195900000.0,360600000.0,-69100000.0,237600000.0,178300000.0,,,
1995-06-30,,,104300000.0,465900000.0,1149600000.0,24700000.0,2827300000.0,-23000000.0,193500000.0,,-3446400000.0,124411765.0,31300000.0,31300000.0,81500000.0,570100000.0,,,235100000.0,55900000.0,600000.0,-205500000.0,,161200000.0,-65400000.0,-66200000.0,9954300000.0,174100000,,840300000,0.34,53600000.0,6507900000.0,570100000.0,14600000.0,99800000.0,,6600000.0,290100000,0.0,965100000.0,,124411765.0,95000000.0,,752300000.0,,1108100000.0,42300000.0,9766200000.0,10518500000.0,6300100000.0,,,640000000.0,,2951800000.0,-100000.0,7591200000.0,,50700000.0,50700000,0.34,31300000.0,-89200000.0,3693400000.0,2216200000.0,,7900000.0,202100000.0,325400000.0,-63600000.0,200300000.0,302900000.0,,,
1995-09-30,,,173700000.0,504000000.0,1148100000.0,31300000.0,2872500000.0,-17500000.0,265000000.0,,-3541900000.0,126056338.0,51200000.0,51200000.0,80700000.0,448000000.0,,,227100000.0,18800000.0,28400000.0,-201700000.0,,293500000.0,-197800000.0,-58300000.0,9995700000.0,238200000,,985100000,0.71,75600000.0,6453800000.0,200000.0,14500000.0,102700000.0,,19900000.0,340900000,0.0,999100000.0,,126056338.0,235200000.0,,888900000.0,,1070200000.0,89500000.0,9618800000.0,10507700000.0,6284700000.0,,,742200000.0,,2877600000.0,0.0,7535200000.0,,98100000.0,98100000,0.71,51200000.0,-75800000.0,3695800000.0,2209000000.0,,12500000.0,207500000.0,365200000.0,-64100000.0,242900000.0,394900000.0,,,
1995-12-31,,,139300000.0,547700000.0,1150300000.0,51200000.0,2895800000.0,-30800000.0,250000000.0,,-3629600000.0,,30900000.0,30900000.0,78400000.0,401700000.0,,,319000000.0,60200000.0,-30500000.0,738100000.0,,166800000.0,-87100000.0,-69200000.0,10630400000.0,204500000,,980500000,,66700000.0,7000800000.0,200000.0,14200000.0,214500000.0,,-20300000.0,419300000,-7500000.0,1007300000.0,,,97600000.0,,917400000.0,,1046200000.0,64200000.0,9627500000.0,10544900000.0,6325100000.0,,,752200000.0,,2540200000.0,100000.0,7549200000.0,,72600000.0,72600000,,30900000.0,-100000000.0,3705200000.0,2314000000.0,,19700000.0,200600000.0,435900000.0,-64200000.0,228300000.0,325300000.0,,,
