date,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyEbitda,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness
1999-03-31,,58230039.0,,,,73805247.0,161592783.0,35221209.0,35221209.0,181061793.0,0.0,,88672491.0,573096858.0,,0.256637,38584038.0,15929190.0,628849023.0,-245486517.0,,,32389353.0,230088300.0,,,38584038.0,75929139.0,,,0.0,,,,149734386.0,,874335540.0,188849397.0,286725420.0,629910969.0,916636389.0,,12389370.0,0.256637,,2654865.0,,0.0,64137931.0,,,75929139.0,,16460163.0,16460163.0,,35221209.0,15044235.0,9026541.0,64137931.0,27610596.0,0.0,0.0,,,88672491.0,77699049.0,,18761046.0,,16460163.0,,,203893632.0,1061946.0,,
1999-06-30,,38012000.0,,,,77084800.0,157352000.0,47205600.0,43492800.0,175916000.0,0.0,,26166400.0,572124800.0,,0.24752,33592000.0,8663200.0,677144000.0,-245221600.0,,,23868000.0,238680000.0,,,33592000.0,35536800.0,,,0.0,,,,158589600.0,,922365600.0,155760800.0,184225600.0,701896000.0,886121600.0,,13436800.0,0.24752,,6541600.0,,0.0,61428571.0,,,81504800.0,,15204800.0,15204800.0,,43492800.0,19978400.0,-6718400.0,61428571.0,10608000.0,0.0,0.0,,,26166400.0,73018400.0,,353600.0,,15204800.0,,,175739200.0,24752000.0,,
1999-09-30,,30573000.0,,,,41989500.0,157509000.0,73530000.0,48375000.0,175891500.0,0.0,,967500.0,565213500.0,,-0.09675,-6385500.0,6579000.0,706275000.0,-268384500.0,,,-387000.0,231813000.0,,,-6385500.0,39861000.0,,,0.0,,,,165249000.0,,974659500.0,237231000.0,206077500.0,751747500.0,957825000.0,,14706000.0,-0.09675,,9288000.0,,0.0,72000000.0,,,123259500.0,,-6966000.0,-6966000.0,,48375000.0,23994000.0,9094500.0,72000000.0,46053000.0,0.0,0.0,,,967500.0,123840000.0,,10255500.0,,-6966000.0,,,261225000.0,45472500.0,,
1999-12-31,,54067738.4,,,,159926141.8,175047361.2,167995673.2,183131090.3,211225039.1,0.0,,2083126.2,653392860.2,,,-23204948.5,-35543597.2,998447064.8,-258174530.2,,,-38250432.3,267120459.9,,,-23204948.5,66168938.7,,,63157580.1,,,,238795930.0,,1256621595.0,449156547.6,292053213.9,1048924198.8,1340977412.7,,7206393.4,,,15639636.6,,-253085442.1,,,,78869788.2,,-2706835.1,-2706835.1,,62880022.0,76991121.1,-23645422.2,,44994086.8,2083126.2,-320389486.7,,54145091.1,2083126.2,214991935.7,,2708613.7,,-2706835.1,,,526147668.7,50477134.0,,
2000-03-31,,52440899.2,,,,83537297.6,143396904.0,58417080.0,55408032.8,175869465.6,0.0,,1985656.8,572801736.0,,0.200836,28129264.8,6711415.2,814274717.6,-250639835.2,,,18553753.6,253533620.0,,,28129264.8,78111232.8,,,0.0,,,,194042504.0,,1064914552.8,377622325.6,267342404.8,888472268.0,1155814672.8,,55222914.4,0.200836,,21630910.4,,0.0,66879806.0,,,110505206.4,,11842338.4,11842338.4,,55408032.8,76853824.8,4062126.4,66879806.0,24776176.8,0.0,0.0,,,1985656.8,241094012.8,,13728450.4,,11842338.4,,,454476150.4,74197550.4,,
2000-06-30,,52365342.79,,,,79766842.43,349759434.57,25542086.35,58760351.18,176152755.83,0.0,,14038660.69,779220659.21,,0.07228,21006491.25,1877483.39,784059831.99,-259338461.18,,,7423197.08,253310275.82,,,21006491.25,94739727.29,,,0.0,,,,184275265.78,,1043398293.17,372715689.61,238478337.74,1476988535.66,1715466873.4,,56194396.98,0.07228,,380402710.15,,0.0,66879806.0,,,104508423.35,,5545713.69,5545713.69,,58760351.18,436597107.13,-392121.17,66879806.0,19609672.52,0.0,0.0,,,14038660.69,252433875.97,,14629552.96,,5545713.69,,,809312796.74,692928703.67,,
2000-09-30,,55572006.05,,,,65130501.7,349098014.32,50207450.15,58018317.28,175821015.26,0.0,,18480987.25,773806770.99,,-0.046087,7112184.42,-7283628.99,793578201.24,-264573997.82,,,-11228697.59,248887741.41,,,7112184.42,94766446.94,,,0.0,,,,171875946.66,,1058152199.06,384588883.8,220695248.84,1502129113.21,1722824362.05,,52391985.8,-0.046087,,367514479.42,,0.0,66879806.0,,130233351.05,106745444.96,,-3945068.6,-3945068.6,,58018317.28,419906465.22,-4216061.63,66879806.0,16408904.49,0.0,0.0,,,18480987.25,239614986.71,,15531403.25,,-3945068.6,,,804495349.02,708550911.97,,
2000-12-31,,17318922.98,,,,229202068.85,317311449.37,103449464.06,263725445.98,175755285.04,0.0,,96999227.94,770007661.22,,,-34523377.13,-2781936.18,871928411.52,-335431777.14,,,5461901.55,276938976.92,,,-34523377.13,56652104.06,,,195720208.75,,,,177087090.07,,1207360188.66,199118867.02,294094109.14,1167317247.62,1461411356.76,,313733401.22,,,3763287.7,,-8569766.55,,,138284248.91,-52114978.78,,8243837.73,8243837.73,,59470568.7,349860963.14,-6504699.72,,12364252.49,96999227.94,-204289975.3,,32364274.22,96999227.94,39017298.9,,17876945.96,,8243837.73,,,548979830.16,222061272.76,,
2001-03-31,,79796464.26,,,,92141123.2,317754811.87,85533634.76,64232494.93,176001236.15,0.0,,110335531.08,785671942.94,,0.20026,27908628.27,2976833.75,824578618.81,-372431129.22,,,17568731.55,291918059.89,,,27908628.27,60060597.74,,,0.0,,,,188014654.68,,1197009748.03,174565861.04,319694624.99,1139239688.55,1458934313.54,,308845960.32,0.20026,,44942612.23,,0.0,66879806.0,,117663954.53,95873531.48,,14591897.8,14591897.8,,64232494.93,353788572.55,699285.31,66879806.0,11898675.12,0.0,0.0,,,110335531.08,28971628.54,,8752973.71,,14591897.8,,,528354433.59,314661069.74,,
2001-06-30,,81041508.3,,,,93258541.8,295758929.1,60495993.0,53743830.9,235727605.8,0.0,,69787163.7,771774129.0,,0.24045,39514710.9,2503435.8,781796765.4,-382465405.8,,,19422748.8,240287594.1,,,39514710.9,46635940.8,,,0.0,,,,173250652.5,,1164262171.2,135085484.7,308091574.2,1090728747.0,1398820321.2,,298300161.0,0.24045,,50262143.1,,0.0,67443720.0,,137853493.2,79992110.7,,16919313.0,16919313.0,,53743830.9,348562304.1,-8635297.2,67443720.0,19409409.0,0.0,0.0,,,69787163.7,27953550.9,,7928287.8,,16919313.0,,,483647788.8,308931981.6,,
