date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2011-01-31,161000,-2059000,-36503000.0,,0.0,13462000,0.0,19000.0,19737000.0,19737000.0,0.0,1442000.0,2000.0,19737000,-556000,0.0,,,16934000,1181000.0,-1780000,19500000.0,519000,75294000.0,-419000,,-45000,20462000,21778000,,3599000.0,14148000.0,2319000,2563000.0,,0.0,38791000.0,5774000,-1780000,,273000,-1780000,1415000.0,,44171000.0,-1043000,430000,22781000,,340000,-717000,-3559000.0,31123000.0,35192000.0,-1735000,5977000.0,,6491000,4844000,-1316000,6275000,0.0,,6974000,-1352000,277000.0,,2807000.0,2418000.0,-43026000.0,45000,,,,,,
2011-04-30,0,-1406000,,,,19736000,-119000.0,,,,,,,18125000,-1085000,,10000.0,,16060000,,-2246000,,895000,,-473000,,0,18635000,20398000,-0.12,,,2004000,,,,,-3984000,-2246000,19185000.0,348000,-2246000,,-0.12,,-1888000,510000,20639000,19185000.0,2373000,-1085000,,,,-2246000,,,-2899000,4338000,-1763000,-1611000,,,-1984000,-1773000,0.0,,,,,0,,,,,,
2011-07-31,0,-6672000,,,,18125000,-214000.0,,,,,,,17783000,-2825000,,,,20836000,,-3910000,,868000,,-603000,,0,22976000,26250000,-0.2,,,2973000,,,,,-2012000,-3910000,19784000.0,497000,-3910000,,-0.2,,-2777000,716000,25949000,19784000.0,1669000,-2825000,,,,-3910000,,,813000,5414000,-3274000,-343000,,,2907000,-3307000,,,,,,0,,,,,,
2011-10-31,0,471000,-42260000.0,,,17783000,-142000.0,22000.0,22997000.0,22997000.0,0.0,1174000.0,-24000.0,22997000,-2186000,968000.0,,,24549000,1040000.0,-3560000,31204000.0,-2052000,98711000.0,-439000,,1481000,27980000,31024000,-0.17,8249000.0,21527000.0,3193000,5201000.0,,1557000.0,56451000.0,4515000,-3560000,21220000.0,584000,-3560000,3067000.0,-0.17,49939000.0,-2460000,1041000,31173000,21220000.0,699000,-2186000,-4989000.0,48772000.0,48202000.0,-3510000,12198000.0,,6701000,6475000,-3044000,5214000,0.0,,7969000,-3121000,,,5366000.0,7209000.0,-52742000.0,50000,,,,,,
2012-01-31,128000,-12987000,1400000.0,,0.0,22997000,-409000.0,80000.0,31599000.0,31599000.0,0.0,1455000.0,-24000.0,31599000,-1956000,982000.0,,,33035000,2949000.0,-1276000,42923000.0,344000,80823000.0,-543000,,192000,39764000,40369000,,11868000.0,34495000.0,3435000,7711000.0,,1307000.0,82223000.0,7923000,-1276000,,691000,-1276000,561000.0,,11610000.0,86000,1493000,43199000,,551000,-2084000,-5660000.0,69213000.0,70355000.0,-1148000,14579000.0,,10007000,7334000,-605000,8602000,0.0,,8561000,-757000,364000.0,,9742000.0,8919000.0,-54018000.0,128000,,,,,,
2012-04-30,0,11015000,223946000.0,,,31599000,-2289000.0,95000.0,266077000.0,266077000.0,0.0,2558000.0,-17000.0,266077000,-1877000,0.0,17000.0,,31012000,844000.0,-20470000,46676000.0,1006000,80508000.0,-14087000,,0,32926000,39115000,-0.71,10544000.0,23480000.0,4265000,6699000.0,,0.0,304454000.0,9709000,-20470000,28679000.0,931000,-20470000,424000.0,-0.71,12890000.0,-19345000,2672000,37191000,28679000.0,224769000,-1877000,-6591000.0,67618000.0,293910000.0,-20293000,16291000.0,,11586000,8103000,-6189000,234478000,0.0,,14366000,-6383000,226512000.0,,12466000.0,9700000.0,-74488000.0,177000,,,,,,
2012-07-31,0,-10201000,224772000.0,,,266077000,0.0,97000.0,268278000.0,268278000.0,0.0,1844000.0,-36000.0,268278000,-1597000,0.0,,,34987000,1574000.0,-4575000,54145000.0,-706000,93884000.0,0,,-1287000,39838000,44378000,-0.05,11890000.0,33681000.0,4645000,5291000.0,,0.0,318656000.0,2209000,-4575000,95518000.0,1218000,-4575000,376000.0,-0.05,13899000.0,-4540000,3866000,44483000,95518000.0,-8000,-1597000,-7809000.0,79985000.0,306766000.0,-4439000,18125000.0,,3806000,9391000,-4540000,2201000,0.0,,3297000,-4575000,,,13523000.0,10316000.0,-79063000.0,136000,,,,,,
2012-10-31,514000,-6497000,224365000.0,,,268278000,0.0,97000.0,273324000.0,273324000.0,0.0,1195000.0,-15000.0,273324000,-1732000,0.0,,,40472000,281000.0,-5474000,61964000.0,-568000,105870000.0,0,,225225000,46166000,51546000,-0.06,11039000.0,40178000.0,5879000,4672000.0,,0.0,330235000.0,4234000,-5474000,96671000.0,1208000,-5474000,322000.0,-0.06,12324000.0,-4172000,4685000,52045000,96671000.0,298000,-2246000,-9017000.0,93546000.0,319196000.0,-5349000,19775000.0,,6480000,11074000,-5380000,5046000,0.0,,6061000,25045000,-224927000.0,,12002000.0,10758000.0,-84537000.0,125000,,,,,,
2013-01-31,0,-23770000,237544000.0,,,273324000,0.0,101000.0,305939000.0,305939000.0,0.0,1632000.0,-135000.0,305939000,-3357000,0.0,,,51229000,492000.0,-6162000,79568000.0,455000,152901000.0,0,,462000,58590000,64514000,,13697000.0,63948000.0,6635000,35759000.0,,0.0,390445000.0,21434000,-6162000,,1317000,-6162000,798000.0,,35942000.0,-4607000,8257000,65225000,,11176000,-3357000,-9715000.0,116959000.0,376748000.0,-5887000,22920000.0,,24791000,13285000,-5924000,32615000,0.0,,21841000,0,0.0,,35144000.0,13205000.0,-90699000.0,275000,,,,,,
2013-04-30,0,26032000,237977000.0,,,305939000,0.0,103000.0,331252000.0,331252000.0,0.0,2533000.0,-149000.0,331252000,-1263000,,,,51759000,460000.0,-16134000,84933000.0,918000,151537000.0,-94000,,111000,50526000,66223000,-0.16,13155000.0,37916000.0,6681000,30612000.0,,,389514000.0,18588000,-16134000,102015000.0,1425000,-16134000,1055000.0,-0.16,33459000.0,-14272000,9835000,57207000,102015000.0,6718000,-1263000,,118078000.0,376359000.0,-15730000,,,19851000,14464000,-15697000,25313000,0.0,,24836000,-111000,0.0,,32404000.0,12695000.0,-106833000.0,404000,,,,,,
2013-07-31,0,-2830000,247811000.0,,,331252000,0.0,105000.0,347114000.0,347114000.0,0.0,1805000.0,-243000.0,347114000,-1967000,,,,56546000,403000.0,-13693000,96908000.0,-1065000,164854000.0,-82000,,-356000,59452000,72756000,-0.13,14258000.0,40746000.0,7421000,34112000.0,,,412665000.0,4284000,-13693000,104100000.0,1455000,-13693000,1302000.0,-0.13,32029000.0,-11849000,11957000,66873000,104100000.0,11636000,-1967000,,132825000.0,398407000.0,-13328000,,,6251000,16210000,-13304000,15862000,0.0,,6689000,11800000,0.0,,30727000.0,13855000.0,-120526000.0,365000,,,,,,
2013-10-31,0,-13249000,250082000.0,4594000.0,,347114000,0.0,107000.0,351895000.0,351895000.0,0.0,2018000.0,-156000.0,351895000,-12993000,,,,65969000,502000.0,-16550000,107712000.0,414000,189744000.0,-283000,,-1968000,68108000,84930000,-0.16,25267000.0,53995000.0,10525000,43436000.0,5734000.0,,439826000.0,9282000,-16550000,106008000.0,1620000,-16550000,3145000.0,-0.16,36578000.0,-15202000,14332000,78633000,106008000.0,4374000,-4035000,-16209000.0,153166000.0,414559000.0,-17050000,30646000.0,-8958000.0,13317000,18961000,-16822000,4781000,0.0,,12058000,16189000,0.0,,33433000.0,14437000.0,-137076000.0,-500000,,,,,,
2014-01-31,0,-29353000,784908000.0,12294000.0,,351895000,0.0,116000.0,897453000.0,897453000.0,0.0,2079000.0,58000.0,897453000,-22823000,,,,94936000,642000.0,-32631000,149156000.0,-96000,255423000.0,-461000,,-15592000,88712000,121196000,-0.3,47511000.0,83348000.0,11198000,56619000.0,19070000.0,,1040331000.0,32386000,-32631000,108047000.0,2192000,-32631000,4404000.0,-0.3,47569000.0,-30292000,33244000,99910000,108047000.0,533971000,-2043000,-17438000.0,207854000.0,992820000.0,-32894000,32943000.0,-20780000.0,34429000,26260000,-32484000,545558000,0.0,,31436000,33432000,539339000.0,,43165000.0,15505000.0,-169707000.0,-263000,,,,,,
2014-04-30,0,31235000,783770000.0,11391000.0,,897453000,,118000.0,826992000.0,667747000.0,0.0,2234000.0,93000.0,667747000,-255121000,,,-250883000.0,92081000,1125000.0,-50755000,153538000.0,386000,247859000.0,-220000,91638000.0,479000,71720000,121823000,-0.43,141227000.0,52113000.0,14187000,47150000.0,19070000.0,,1031629000.0,14673000,-50755000,117290000.0,2651000,-50755000,4463000.0,-0.43,44937000.0,-47452000,43239000,85907000,117290000.0,6315000,-4238000,-19190000.0,202922000.0,890402000.0,-50193000,37193000.0,,18911000,29742000,-50103000,-229706000,0.0,159245000.0,24540000,42760000,5836000.0,-285000.0,40474000.0,18003000.0,-220462000.0,562000,,,,,,
2014-07-31,0,-17725000,794801000.0,12969000.0,15000000.0,667747000,-523000.0,120000.0,837615000.0,645398000.0,0.0,2636000.0,42000.0,645398000,-43478000,,,-53070000.0,112654000,2217000.0,-60782000,164278000.0,5000,286815000.0,-54000,96590000.0,389000,86476000,146833000,-0.51,164698000.0,69838000.0,15071000,58387000.0,19070000.0,,1081616000.0,6428000,-60782000,119012000.0,2887000,-60782000,18797000.0,-0.51,61514000.0,-57470000,59510000,101547000,119012000.0,11803000,-2908000,-21154000.0,225301000.0,916918000.0,-60248000,55006000.0,-2500000.0,9336000,34179000,-60357000,-22349000,0.0,192217000.0,8202000,59257000,8355000.0,-228000.0,42717000.0,33852000.0,-281244000.0,534000,,,,,,
2014-10-31,0,-12712000,797894000.0,11546000.0,48000000.0,645398000,0.0,121000.0,796388000.0,329553000.0,0.0,2830000.0,-205000.0,329553000,-343378000,,,-387324000.0,107166000,2000000.0,-48551000,180131000.0,654000,331314000.0,-52000,160923000.0,240000,98449000,146700000,-0.4,236775000.0,82550000.0,17580000,71942000.0,19070000.0,,1129208000.0,20151000,-48551000,120331000.0,3430000,-48551000,27265000.0,-0.4,76411000.0,-44821000,48236000,116029000,120331000.0,3627000,-4054000,-23143000.0,254903000.0,892433000.0,-48104000,66379000.0,0.0,24205000,39534000,-48251000,-315845000,0.0,466835000.0,21294000,48312000,0.0,-280000.0,49146000.0,43236000.0,-329795000.0,447000,,,,,,
2015-01-31,0,-45863000,813321000.0,10416000.0,129000000.0,329553000,0.0,123000.0,850164000.0,387315000.0,0.0,3726000.0,-837000.0,387315000,-3183000,,,-129433000.0,135616000,3016000.0,-57028000,249883000.0,721000,434470000.0,542000,165082000.0,-261000,125852000,182951000,-0.47,247958000.0,128413000.0,21540000,93039000.0,19070000.0,,1247791000.0,48778000,-57028000,122385000.0,3526000,-57028000,33620000.0,-0.47,87822000.0,-53573000,63194000,147392000,122385000.0,9865000,-2750000,-25181000.0,346648000.0,999833000.0,-56295000,75555000.0,0.0,51528000,47335000,-57099000,57762000,0.0,462849000.0,40786000,63778000,0.0,466000.0,54202000.0,50374000.0,-386823000.0,733000,,,,,,
2015-04-30,-1500000,47072000,814094000.0,9285000.0,160000000.0,387315000,,125000.0,865143000.0,413507000.0,0.0,3964000.0,-847000.0,413507000,-8429000,,,-160514000.0,128861000,4957000.0,-71186000,249372000.0,402000,425901000.0,89000,177923000.0,466000,102580000,173559000,-0.57,273550000.0,81341000.0,23085000,74368000.0,19070000.0,,1239995000.0,22200000,-71186000,124548000.0,3466000,-71186000,42266000.0,-0.57,98197000.0,-67513000,66109000,125665000,124548000.0,5832000,-6415000,-27529000.0,327704000.0,966445000.0,-70530000,89844000.0,,28615000,44698000,-70979000,26192000,0.0,451636000.0,30650000,66004000,,-319000.0,55931000.0,62315000.0,-458009000.0,656000,,,,,,
2015-07-31,0,-18353000,837587000.0,55842000.0,87000000.0,413507000,0.0,128000.0,855374000.0,326200000.0,0.0,4116000.0,-2164000.0,326200000,-117183000,,,-58681000.0,140546000,6899000.0,-55289000,263157000.0,-502000,475553000.0,-295000,71685000.0,186000,123286000,188854000,-0.44,335760000.0,99694000.0,25040000,90876000.0,124321000.0,,1313140000.0,10829000,-55289000,126621000.0,4310000,-55289000,59311000.0,-0.44,117404000.0,-61258000,63609000,148326000,126621000.0,16462000,-2809000,-30032000.0,358149000.0,977380000.0,-65438000,107045000.0,-142693000.0,13638000,48308000,-65568000,-87307000,0.0,529174000.0,11819000,63784000,10906000.0,-10986000.0,58093000.0,77013000.0,-513298000.0,-10149000,,,,,,
2015-10-31,0,-25963000,840946000.0,52693000.0,152145000.0,326200000,0.0,130000.0,948531000.0,501691000.0,0.0,4205000.0,-2298000.0,501691000,136873000,,,0.0,159988000,5440000.0,-72974000,282547000.0,484000,538166000.0,-271000,1500000.0,343000,143829000,216174000,-0.57,284203000.0,125657000.0,30591000,115758000.0,124306000.0,,1379112000.0,21088000,-72974000,128368000.0,5691000,-72974000,69315000.0,-0.57,135656000.0,-66654000,74164000,174420000,128368000.0,2303000,-15272000,-32571000.0,402510000.0,1094909000.0,-72239000,132835000.0,0.0,36360000,56186000,-72345000,175491000,0.0,446840000.0,29606000,74148000,0.0,-111000.0,66341000.0,100264000.0,-586272000.0,735000,,,,,,
