date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyNetPPE,quarterlyEbitda,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyDeferredIncomeTax
1984-03-31,,,,,,,,,,,,,,,,,,,,,,0.76,,13008900000,,,,,,1100577864.0,,13008900000,,,,,,,,,,,13008900000,,,,,,,,897200000,,,,,,,,,,,,,,1100577864.0,,0.81,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,0.78,,14095600000,,,,,,1100577864.0,,14095600000,,,,,,,,,,,14095600000,,,,,,,,909100000,,,,,,,,,,,,,,1100577864.0,,0.83,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,0.33,,11844300000,,,,,,1116171704.0,,11844300000,,,,,,,,,,,11844300000,,,,,,,,379700000,,,,,,,,,,,,,,1116171704.0,,0.35,,,,,,,,,,
1984-12-31,,,5943200000.0,,5943200000.0,,,,,1348000000.0,-10577600000.0,,,,,,,,21126700000.0,,,,,-35526600000,10619700000.0,,,,,,10549100000.0,-35526600000,13330700000.0,,11967700000.0,,,,,10250800000.0,5680200000.0,14154900000.0,13417600000,,,17647900000.0,,27485600000.0,3605800000.0,,720800000,2568400000.0,746200000.0,,4115200000.0,,,,,,,,9837700000.0,1000900000.0,,,,2110900000.0,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,0.68,,13246200000,,,,,,1116171704.0,,13246200000,,,,,,,,,,,13246200000,,,,,,,,783300000,,,,,,,,,,,,,,1116171704.0,,0.69,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,0.61,,13801600000,,,,,,1116171704.0,,13801600000,,,,,,,,,,,13801600000,,,,,,,,698700000,,,,,,,,,,,,,,1116171704.0,,0.62,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,,0.29,,11630000000,,,,,,1135966040.0,,11630000000,,,,,,,,,,,11630000000,,,,,,,,313100000,,,,,,,,,,,,,,1135966040.0,,0.29,,,,,,,,,,
1985-12-31,,,5903800000.0,,5903800000.0,,,,,1274600000.0,-11884500000.0,,,,,,,,24305900000.0,,,,,-35948100000,11502800000.0,,,,,,12421400000.0,-35948100000,14014200000.0,,12777400000.0,,,,,12112600000.0,6557600000.0,17589400000.0,14096600000,,,19335000000.0,,31603600000.0,5168000000.0,,720300000,3186300000.0,656600000.0,,4601900000.0,,,,,,,,12268600000.0,1214100000.0,,,,2157200000.0,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,,,,,,,,,0.68,,14785100000,,,,,,1116171704.0,,14785100000,,,,,,,,,,,14785100000,,,,,,,,728300000,,,,,,,,,,,,,,1116171704.0,,0.68,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,1.01,,17302500000,,,,,,1116731770.0,,17302500000,,,,,,,,,,,17302500000,,,,,,,,1078400000,,,,,,,,,,,,,,1116731770.0,,1.01,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,,,,,,,,,0.66,,14365800000,,,,,,986244373.0,,14365800000,,,,,,,,,,,14365800000,,,,,,,,693300000,,,,,,,,,,,,,,986244373.0,,0.66,,,,,,,,,,
1986-12-31,,,8553100000.0,,8553100000.0,,,,,1304000000.0,-13187200000.0,,,,,,,,26387900000.0,,,,,-42396900000,14321600000.0,,,,,,13200700000.0,-42396900000,18458000000.0,,15625600000.0,,,,,14167200000.0,7447900000.0,19475000000.0,16262400000,,,23073500000.0,,37933000000.0,6274300000.0,,785100000,3982700000.0,624500000.0,,5792600000.0,,,,,,,,14859500000.0,1328100000.0,,,,2137100000.0,,,,,,,,,
1987-03-31,,,,,,,,,,,,,,,,,,,,,,1.44,,18142600000,,,,,,971082584.0,,18142600000,,,,,,,,,,,18142600000,,,,,,,,1491600000,,,,,,,,,,,,,,971082584.0,,1.44,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,,,,,,,,,,1.46,,19496100000,,,,,,1073726696.0,,19496100000,,,,,,,,,,,19496100000,,,,,,,,1498200000,,,,,,,,,,,,,,1073726696.0,,1.46,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,,,,,,,,,,0.69,,15246800000,,,,,,1054924478.0,,15246800000,,,,,,,,,,,15246800000,,,,,,,,703200000,,,,,,,,,,,,,,1054924478.0,,0.69,,,,,,,,,,
1987-12-31,,,10097000000.0,,10097000000.0,,,,,1882700000.0,-14567400000.0,,,,,,,,28600900000.0,,,,,-46684300000,15910700000.0,,,,,,14033500000.0,-46684300000,21981500000.0,,17793400000.0,,,,,16717500000.0,8669600000.0,22974200000.0,18757900000,,,26463000000.0,,44955700000.0,8940700000.0,,932200000,4563000000.0,1161600000.0,,6321300000.0,,,,,,,,18492700000.0,2354700000.0,,,,1751900000.0,,,,,,,,,
1988-03-31,,,,,,,,,,,,,,,,,,,,,,1.66,,20741700000,,,,,,1054924478.0,,20741700000,,,,,,,,,,,20741700000,,,,,,,,1623200000,,,,,,,,,,,,,,1054924478.0,,1.66,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,,,,,,,,,1.72,,22388800000,,,,,,974514990.0,,22388800000,,,,,,,,,,,22388800000,,,,,,,,1662800000,,,,,,,,,,,,,,974514990.0,,1.72,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,,,,,,,,,0.88,,17728700000,,,,,,996117538.0,,17728700000,,,,,,,,,,,17728700000,,,,,,,,856300000,,,,,,,,,,,,,,996117538.0,,0.88,,,,,,,,,,
1988-12-31,,,6724900000.0,,6724900000.0,,,,,37835500000.0,-15675400000.0,,,,,,,,31667600000.0,,,,,-47411700000,10136300000.0,,8704700000.0,,,,15992200000.0,-47411700000,118888600000.0,,56676500000.0,,,,,20126500000.0,64996900000.0,24477900000.0,31586400000,,,121673400000.0,,143366500000.0,8485700000.0,,1157900000,28951000000.0,9838900000.0,,6638200000.0,,,,,,,,21529000000.0,3933100000.0,,,,32112800000.0,,,,,,,,,
1989-03-31,,,,,,,,,,,,,,,,,,,,,,1.72,,25869000000,,,,,,981715839.0,,25869000000,,,,,,,,,,,25869000000,,,,,,,,1637000000,,,,,,,,,,,,,,981715839.0,,1.72,,,,,,,,,,
1989-06-30,,,,,,,,,,,,,,,,,,,,,,1.51,,25889700000,,,,,,947911850.0,,25889700000,,,,,,,,,,,25889700000,,,,,,,,1407100000,,,,,,,,,,,,,,947911850.0,,1.51,,,,,,,,,,
1989-09-30,,,,,,,,,,,,,,,,,,,,,,0.52,,20242300000,,,,,,947911850.0,,20242300000,,,,,,,,,,,20242300000,,,,,,,,477100000,,,,,,,,,,,,,,947911850.0,,0.52,,,,,,,,,,
1989-12-31,,,5421300000.0,,5421300000.0,800000000.0,,,,46486900000.0,-16364500000.0,,,,,,,,34969700000.0,,,,,-58020900000,7597700000.0,,11381900000.0,,,,18605200000.0,-58020900000,127450800000.0,,65466500000.0,,,,,21704000000.0,71732200000.0,33442500000.0,24144900000,,,137198700000.0,,160893300000.0,14837300000.0,,313800000,29418100000.0,8429900000.0,,6816800000.0,,,,,,,,23527800000.0,3392800000.0,,,,38921300000.0,,,,,,,,,
1990-03-31,,,4533500000.0,5421300000.0,4533500000.0,800000000.0,,380400000.0,886600000.0,2724000000.0,-18486800000.0,-1616200000.0,2366400000.0,-941600000.0,-605000000.0,,,,37797300000.0,1471500000.0,5018700000.0,0.55,-887800000.0,3660800000,11686300000.0,,7542200000.0,,,920363636.0,19310500000.0,3811800000,24690900000.0,-345200000.0,21952500000.0,151000000.0,814300000.0,877300000.0,,21865000000.0,115375800000.0,136517500000.0,23600600000,-4284600000.0,-144700000.0,137328300000.0,506200000.0,161208400000.0,117207000000.0,506200000.0,506200000,29455800000.0,7841100000.0,-8500000.0,7436500000.0,-890600000.0,-370200000.0,0.0,,,18911500000.0,,23696500000.0,3594200000.0,920363636.0,,0.55,82325800000.0,,1028300000.0,4689100000.0,,,,,,
1990-06-30,,,6648400000.0,0.0,6648400000.0,800000000.0,,565500000.0,1336200000.0,2405500000.0,-18486800000.0,-1738000000.0,2351900000.0,5281500000.0,135700000.0,,,,38707500000.0,2445800000.0,6212500000.0,0.83,2114900000.0,4042400000,12388100000.0,,7624300000.0,,,928554217.0,20220700000.0,4300600000,28179100000.0,-345200000.0,22417900000.0,258200000.0,1416900000.0,995500000.0,,22290500000.0,121984200000.0,140754800000.0,26871700000,-7133800000.0,707800000.0,144402100000.0,770700000.0,168933900000.0,120534100000.0,770700000.0,770700000,30113200000.0,8693100000.0,-3188200000.0,7237200000.0,-5847500000.0,-327600000.0,0.0,,,21575600000.0,,24390300000.0,3565100000.0,928554217.0,,0.83,88305900000.0,,1253700000.0,5296100000.0,,,,,,
1990-09-30,,,5570900000.0,0.0,5570900000.0,800000000.0,,63400000.0,165100000.0,2737300000.0,-18486800000.0,-1861900000.0,2434000000.0,-184000000.0,-325800000.0,,,,39957800000.0,1496500000.0,10319300000.0,0.1,-1077500000.0,2995100000,12665000000.0,,7339900000.0,,,1017000000.0,21471000000.0,3250500000,26969900000.0,-338100000.0,22742200000.0,255400000.0,1139400000.0,920100000.0,,22044100000.0,123249100000.0,143780400000.0,22986900000,-9861200000.0,-365400000.0,145991300000.0,101700000.0,170750300000.0,122309400000.0,101700000.0,101700000,30112100000.0,8810400000.0,-1035600000.0,7750000000.0,-2439400000.0,-386500000.0,0.0,,,18816300000.0,,24611900000.0,3623400000.0,1017000000.0,,0.1,89513600000.0,,1175500000.0,4170600000.0,,,,,,
