date,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncome,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyEndCashPosition,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyResearchAndDevelopment,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyNonCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
2000-12-31,0.0,,,506610051.0,,,3063914823.17,1070589672.73,,65000000.0,,,5453431.26,84573230.2,,,-823582.13,478000000.0,,,,,1565613843.23,,790462500.78,,,,,1397431546.54,,111470384.7,,488332578.45,,,488332578.45,-43020760.59,516726227.6,732900000.0,,,,,,,,,,,,851148760.67,34000000.0,,12494835.79,,,1481040613.03,1993325150.44,,851148760.67,,,,,,,,,,,,,,,,
2001-06-30,,,,624465487.93,,,3797261296.17,1039391557.99,,40000000.0,,,5060444.0,57704054.06,,,231896.0,396620000.0,,,,,1541623515.15,,713433819.68,,,,,2155913778.31,,103145787.89,,1143007553.18,,,1143007553.18,3807749.77,520050048.71,810900000.0,,,,,,,,,,,,820434471.55,24000000.0,,58427180.83,,,1483919461.09,2757869738.18,,820434471.55,,,,,,,,,,,,,,,,
2001-12-31,67988074.44,,,547182576.57,,,3697238505.79,1121567541.44,,10000000.0,,,5000000.0,23854221.43,,,0.0,387680000.0,,,,,1413543542.74,,833327684.61,,,,,2172909782.87,,102137518.11,,867407649.48,,,935395723.92,5673006.89,558883948.02,810900000.0,,,,,,,,,,,,882194254.47,45000000.0,,531953.81,,,1389689321.31,2575670964.35,,882194254.47,,,,,,,,,,,,,,,,
2002-03-31,68151874.44,1152535042.14,,741033638.08,,,3801157115.85,1150588463.9,51962452.64,10000000.0,241000689.74,56424743.03,5000000.0,16334423.9,4858980.99,,0.0,400500000.0,0.06408,51962452.64,345404308.97,,1457221799.19,,615511716.45,,,,,2228280207.24,248334883.63,101541878.18,,931037830.06,,,999189704.5,6106653.07,517410295.65,810900000.0,,,,,1497939351.11,97069425.34,95312650.22,,,,0.06408,889759040.01,45000000.0,,52494406.45,34028926.2,,1440887375.29,2650568651.95,,889759040.01,,90453669.23,,,,,,,,,,,,,,
2002-06-30,77988074.44,1164386975.81,,806581214.37,,,3899072530.83,1227219734.01,55010939.31,42000000.0,241864819.57,59176260.52,5000000.0,51527322.35,2675818.15,,0.0,442940000.0,,55010939.31,355971350.33,,1499021737.12,,665446196.37,,,,,2285144274.49,248113891.85,102044793.8,,865150772.53,,,943138846.97,7825360.9,598111491.97,810900000.0,,,,,1520358326.14,107857458.48,109614233.6,,,,,919293192.14,30000000.0,,107505345.76,35115206.44,,1447494414.77,2671852796.82,,919293192.14,,94291466.96,,,,,,,,,,,,,,
2002-09-30,,1268136382.77,,,,,3980459000.0,1229107000.0,42541345.41,,247124079.74,45384692.28,53344000.0,53344000.0,4525024.72,,1229107000.0,,,42541345.41,326142507.58,,1534892000.0,,,,,,,2327686000.0,253262673.53,,,,,,,2751352000.0,,,,,,,1594278890.35,72879834.05,37610436.64,,,,,,1481548000.0,,,347668.13,,1481548000.0,2751352000.0,,,,45732360.41,,,,,,,,,,,,,,
2002-12-31,61194385.9,1045384591.5,,716482532.62,,,4173194491.19,1225972351.4,8963010.58,89680000.0,245276532.4,13397947.49,5000000.0,121193185.79,3269341.67,,0.0,555340000.0,,8963010.58,317661195.79,,1750341831.14,,848519074.31,,,,,2286928678.67,249525732.56,93768566.32,,1019903178.95,,0.0,1081097564.85,10064712.63,658934226.52,810900000.0,,,,,1363045787.29,68135463.23,103404860.64,,,,,1012324423.08,4625106.82,,25264608.87,43630643.39,,1629148645.35,2947222139.79,,1012324423.08,,57028590.88,,,,,,,,,,,,,,
2003-03-31,41226385.9,1444233257.26,54518747.84,936711819.56,,17986469.03,4489123528.83,1248978515.39,52356187.61,117180000.0,275422216.01,57446835.24,5000000.0,151877772.29,6852502.8,-500000.0,0.0,549990000.0,0.064566,52356187.61,386755149.6,-44173278.88,2008551329.1,,792084823.27,1110519948.96,0.0,-6852502.8,,2339284866.28,283264097.29,93159936.72,56434251.04,1110519948.96,21114730.0,,1151746334.86,9442116.65,784781571.52,810900000.0,119074.97,1019903178.95,-5350000.0,,1830988406.86,103491052.31,116823903.81,-64973803.85,119492551.69,1265157.17,0.064566,1035556057.02,20918770.03,90616770.01,77620796.48,34538096.74,,1856673556.81,3240145013.44,,1035556057.02,37908368.98,91984931.98,,,,,,,,,,,,,,
2003-06-30,50464244.58,1416560890.14,-164091294.91,1009479818.74,,23247259.84,4460610581.03,1315843579.68,41257199.58,107180000.0,266708103.54,44595009.4,5000000.0,136058201.61,2893451.77,-9175000.0,0.0,550540000.0,,41257199.58,349331092.3,-61727163.37,1907663194.43,,862206587.39,892142916.49,9171104.65,-64718454.72,,2384160418.04,271486990.66,104528712.96,-70121764.12,892142916.49,2462112.03,,942607161.07,10042998.97,810443882.11,810900000.0,-3860039.85,1110519948.96,-323700000.0,,1765891982.44,77844101.64,105744979.01,-62438775.88,-101652519.03,20642243.38,,1090936705.36,10000000.0,-218377032.47,118877996.06,26218983.9,,1771604992.82,3144767001.35,,1090936705.36,-197787563.41,70813993.3,,,,,,,,,,,,,,
2003-09-30,50464244.58,1445669753.17,-43745990.13,1065253981.01,,20616864.44,4638108951.97,1381677967.76,37394873.85,127180000.0,269121334.82,38690532.69,5000000.0,156430166.01,7111419.04,-150000.0,0.0,575800000.0,0.046115,37394873.85,343729224.59,-97650683.67,2046471032.68,,869982780.82,906600239.1,0.0,-373391.85,,2421555291.89,274943191.79,103790015.5,-7776193.43,905435325.48,3734145.71,,955899570.06,10239453.2,880441388.35,810900000.0,18651276.47,892142916.49,-135790000.0,0.0,1789398977.76,68786032.8,91634233.94,-120890525.52,77144535.39,2576059.1,0.046115,1159129501.65,10000000.0,14457322.61,156948854.95,25215417.77,,1890040866.67,3256430984.21,,1159129501.65,16118853.12,63905950.46,,,,,,,,,,,,,,
