date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyResearchAndDevelopment
2009-03-31,,276439000,,,,,137389000,-127069000,,942880000,,,3664000,0.464,-68045000,2139192000,0.0,254906000,-32787000.0,210769000,,,,,219993000,175474000,,,,83436000,,,-310464000,,,,,,89780000,,,,,-74012000,165460000,89780000,0.464,193491379.0,,,,85694000,,,,,,666441000,,,193491379.0,,2176312000,,,,-5000.0,91448000,,,0,,,89780000,117517000,,
2009-06-30,,207732000,,,,,675264000,351915000,,1099205000,,,1098000,1.144,-80510000,2428855000,2442000.0,675264000,226052000.0,339150000,,,,,-467532000,638525000,,,,95249000,,,-786203000,,,,,,439240000,,,,,-82790000,313716000,439240000,1.144,383145000.0,,,,199285000,,,,,,891473000,,,383145000.0,,2139192000,,,,-4352000.0,230926000,,,0,,,439240000,116716000,,
2009-09-30,,173423000,,,,,-39313000,398525000,,890712000,,,2874000,0.536,-355029000,2446551000,3344000.0,107739000,13168000.0,-3210000,,0.0,,,212736000,267036000,,,,94030000,,,-464136000,,,,,,204299000,,,,,-362965000,523048000,204299000,0.536,381154851.0,,,,62737000,,,35774000.0,,,717289000,,,381154851.0,,2428855000,,,,-88000.0,160083000,,,5900000,,,204299000,147052000,,
2009-12-31,,264518000,,,316129000.0,8375189000.0,-102977000,-61804000,625939000.0,1019949000,10669967000.0,,-7636000,,-92743000,2533285000,3483000.0,760000,69478000.0,-118000000,,-35347000.0,,,367495000,163508000,,4383780000.0,,91014000,6235138000.0,,-838528000,2140051000.0,4148255000.0,6162000.0,-3708631000.0,12851000.0,152827000,,55461000.0,74345000.0,,-138891000,182850000,152827000,,,,6961336000.0,605657000.0,10681000,,5262105000.0,30705000.0,12961000.0,621195000.0,755431000,,,,2533285000.0,2446551000,2054430000.0,12758969000.0,8610714000.0,-607000.0,43959000,2533285000.0,1462761000.0,-27490000,,,152827000,103737000,,
2010-03-31,,236438000,-166727000.0,,370938000.0,8303242000.0,370479000,-67576000,629428000.0,970604000,,,0,0.307696,-54232000,2398895000,-649000.0,504166000,-44441000.0,163514000,,-166727000.0,,130174000.0,-134041000,199414000,,4513954000.0,,119157000,6619888000.0,,-928501000,1683354000.0,4371644000.0,95533000.0,,61826000.0,122989000,,572879000.0,73094000.0,,-111187000,169965000,122989000,0.331048,383145000.0,,6948088000.0,650098000.0,76425000,,5442321000.0,-138582000.0,2104138000.0,1002484000.0,734166000,,501462000.0,383381250.0,294757000.0,2533285000,2054430000.0,12817196000.0,8445552000.0,0.0,58778000,2398895000.0,1044303000.0,-11013000,,,122989000,133687000,,
2010-06-30,,395757000,124167000.0,,336530000.0,8052772000.0,90421000,29665000,,1188948000,,,7594000,0.35,172428000,2544279000,3246000.0,195793000,4119000.0,213090000,,-3272000.0,,264853000.0,305336000,154149000,,4623026000.0,,107979000,6471020000.0,,-478786000,1581752000.0,4192339000.0,15973000.0,,824533000.0,134679000,,175461000.0,58911000.0,,-124857000,294600000,134679000,0.35,382162000.0,,6953782000.0,645979000.0,19470000,,5281186000.0,143288000.0,,692891000.0,793191000,,501462000.0,382162000.0,2544279000.0,2398895000,2466659000.0,12675798000.0,8483459000.0,0.0,169743000,2544279000.0,1066659000.0,-22291000,,,134679000,105372000,,
2010-09-30,,388206000,0.0,,391626000.0,10504420000.0,142687000,-41258000,1922123000.0,1158957000,,,3494000,0.71,-298655000,3625425000,942000.0,313286000,-20615000.0,110679000,,-58796000.0,,,245519000,341813000,,8295494000.0,,127373000,8677595000.0,,-486467000,1826825000.0,5366823000.0,150677000.0,,77531000.0,272847000,,98366000.0,43805000.0,,-162798000,290755000,272847000,0.71,384291549.0,,12671877000.0,676868000.0,68966000,,6199426000.0,1093433000.0,3203284000.0,906190000.0,770751000,,179033000.0,384291549.0,422141000.0,2544279000,2466659000.0,18799914000.0,13433091000.0,-143907000.0,127957000,3625425000.0,1276119000.0,-21361000,,,272847000,170599000,,
2010-12-31,,363392000,0.0,,345443000.0,10272838000.0,662125000,137394000,,1195374000,15000337000.0,,3963000,,-172036000,3735438000,1706000.0,778315000,28416000.0,-9192000,,-20227000.0,,,-298733000,222103000,,8640671000.0,,161957000,8197595000.0,,-820747000,2075243000.0,5423823000.0,0.0,-4061844000.0,1927098000.0,250633000,,40657000.0,71111000.0,,-204235000,422547000,250633000,,,,10938493000.0,658821000.0,-28530000,,5773697000.0,104014000.0,,792057000.0,831982000,,,,3735438000.0,3625425000,2685183000.0,18913509000.0,13489686000.0,6689000.0,218312000,3735438000.0,1382698000.0,-21790000,,,250633000,116190000,,
2011-03-31,,316519000,-128443000.0,,334983000.0,10117442000.0,197351000,-156391000,,1057149000,,,0,0.37149,-1763241000,1830245000,,343412000,,116080000,,,,143789000.0,119168000,195979000,,8784671000.0,1899909000.0,125026000,8101860000.0,,-753431000,2015582000.0,3870131000.0,99036000.0,,188269000.0,143789000,,551917000.0,208288000.0,,-1779434000,174557000,143789000,0.37149,397952000.0,,12245796000.0,870981000.0,52190000,,5648713000.0,-1901171000.0,,854714000.0,740630000,,,398382000.0,1830245000.0,3735438000,2685183000.0,18902113000.0,15031982000.0,-10000.0,-1604877000,1830245000.0,1341350000.0,-8151000,,,143789000,146061000,,
2011-06-30,,268144000,128443000.0,,341949000.0,10335768000.0,114815000,59451000,,1224500000,,,0,0.26836,-408896000,3002291000,,268420000,,54897000,,,,247365000.0,153329000,132544000,,10013677000.0,1921267000.0,155932000,8172111000.0,,-832626000,2163657000.0,5047623000.0,90035000.0,,172288000.0,103576000,,161351000.0,193034000.0,,-418281000,74724000,103576000,0.26836,385959159.0,,12410208000.0,891096000.0,28968000,,5705913000.0,1168024000.0,,852834000.0,956356000,,,385959159.0,3002291000.0,1830245000,2685183000.0,20349445000.0,15301822000.0,0.0,-343557000,3002291000.0,1492799000.0,1287481000,,,103576000,153605000,,
