date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredRevenue
1996-03-31,,,,0,,1277937174,,,,209004635.0,,-0.097235,,575764695.0,-52968440,,-52968440,47009490.0,,,581990731,475980284,-55984698,-47009490,114985654,,43993232.0,,,-3016258.0,,7945266,,575764695.0,,,,-0.097235,,,,,372986096,48995806,,,114985654,0.0,,0,,-10005150,,48995806,-62973590,,,121974546.0,-65989848,,,-8018833,,,0,0,1326932980,128963437,,-392996395,-121018171,,,,,,
1996-06-30,,,,0,,1494977638,,,,-385997083.0,,0.161516,,551088972.0,90989075,,90989075,18989662.0,,,195982110,-3356983290,89009458,-45959203,127040888,,51983283.0,,,-1969444.0,,-3057875613,,551088972.0,,,,0.161516,,,,,581990731,262995820,,,126988782,-73319.0,,0,,12024342,,263047926,103013417,,,216026772.0,136007038,,,5012748,,,0,0,1757973458,420050420,,2547993096,-3477926033,,,,,,
1996-09-30,,,,0,,1936981271,,,,141957560.0,,0.550116,,547142318.0,304002938,,304002938,58979067.0,,,338009548,-81905551,300991553,-52018454,164951056,,91002571.0,,,4985702.0,,121983230,,547142318.0,,,,0.550116,,,,,195982110,552993022,,,164965112,74109308.0,,0,,52001469,,552993022,356004407,,,-238992871.0,388027910,,,74030690,,,0,0,2489974293,244963374,,-25066477,-122980144,,,,,,
1996-12-31,4844728201.0,809923386.0,10947391463.0,13172272893,1167967895.0,1676768399,,,823057279.0,7015917.0,,,6132725283.0,,238980094,,238980094,43980239.0,329004013.0,464939803.0,344983583,140070177,235019534,-50999719,146980811,374972638.0,89979572.0,374972638.0,184968989.0,316964611.0,8525574608.0,-66945258,2841882525.0,,5665669463.0,,352936884.0,,,-260999635.0,,441955491.0,338009548,470933954,1397956950.0,,146980811,-81989291.0,,4646698285,,38974198,,470933954,277954292,2439839475.0,,-152054781.0,323953143,3472820139.0,,-23012930,,4107770887.0,2224881430,2392849325,2147702353,174939223,-1667931412.0,-348025810,-241884481,,,,,,
1997-03-31,,,,0,,1495919694,,,,54018921.0,,-0.174997,,537308952.0,-87022460,,-87022460,20004333.0,,,399003394,-28020510,-94027587,-55029970,155990467,,76984184.0,,,72218.0,,8955009,,537308952.0,,,,-0.174997,,,,,344984473,110059941,,,155990467,0.0,,0,,-16032354,,110059941,-103054814,,,245973858.0,-45930526,,,-10977107,,,0,0,1605979635,283960425,,-200982162,-275005416,,,,,,
1997-06-30,,,,0,,1789973194,,,,-151026818.0,,0.167574,,519235195.0,94979352,,94979352,2028545.0,,,247989567,-46963189,87010070,-49947209,159013518,,78026516.0,,,-72217.0,,278011593,,519235195.0,,,,0.167574,,,,,399003394,347967833,,,159023401,0.0,,0,,17967109,,347967833,112946461,,,130031359.0,188944432,,,11991379,,,0,0,2137941027,394008133,,-495967776,-115996540,,,,,,
1997-09-30,,,,0,,2084859894,,,,53998701.0,,0.614087,,556881249.0,348997176,,348997176,-72406.0,,,302005648,-47020501,341973789,-54026514,177936425,,67989284.0,,,72406.0,,87010662,,556881249.0,,,,0.614087,,,,,247989567,658026211,,,177974079,0.0,,0,,62993266,,658026211,411990442,,,-450945482.0,480052132,,,81963065,,,0,0,2742886105,157959326,,-53973239,-70948664,,,,,,
1997-12-31,4226302903.0,900034977.0,10653725079.0,13333892970,1355089192.0,1769749703,,,721021336.0,222022837.0,,,5515355019.0,,222051799,,222051799,-8020534.0,281007345.0,568030780.0,524029381,-280024481,215032109,-76043526,174076029,606016090.0,70028880.0,606016090.0,290031480.0,-72408.0,8387548094.0,134032529,2928156698.0,,5470444212.0,,438055264.0,,,-306051067.0,,442042672.0,302005648,510170949,1682126618.0,,174076029,-124029381.0,,4946344876,,35993705,,510170949,258045504,2255124169.0,,-51047842.0,336094920,3665267576.0,,-22956351,,4175236096.0,2680167891,2872193075,2279920652,355117936,-1920111927.0,150853222,-221085407,,,,,,
1998-03-31,,,,0,,1098977793,,,,-462953824.0,,-0.170823,,544339281.0,-86006345,,-60979908,-24955940.0,,,60979908,-402960874,-92985548,-65985196,144025379,,79027141.0,,,1.0,,-837927388,,544339281.0,,,,-0.170823,,,,,524004230,147973212,,,144025379,0.0,,0,,-14028904,,147973212,-75008812,,,-16989778.0,3947833,,,-6979203,,,0,0,1246951005,-289954177,,231018682,-547973211,,,,,,
1998-06-30,,,,0,,1168979592,,,,1271933416.0,,2.427668,,593526054.0,1447891156,,78979592,1368911565.0,,,1332925170,1704933663,1440884354,-65987593,150940607,,67006803.0,,,-1.0,,-207038599,,593526054.0,,,,2.427668,,,,,60979908,315986394,,,151020408,-693945578.0,,0,,18979592,,315986394,97959184,,,-151037433.0,164965986,,,32965598,,,0,0,1484965986,152947374,,-579998274,-359985973,,,,,,
