date,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyEbitda,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyGrossProfit,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2013-12-31,0.0,,,0.0,,,0.0,0.0,0.0,63000000,0,69000000,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,69000000,0.0,69000000,,,0.0,69000000,,,,0.0,,,,,0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,1016000000.0,71474000000.0,0.0,9695000000.0,-82000000.0,,,,381000000,106008000000,112242000000,,8000000.0,2023000000.0,,3575000000.0,3575000000.0,1000000000.0,,,,,,63887000000,,3944000000,71556000000.0,-494000000.0,,6234000000,1918000000.0,0.0,1000000.0,,946000000.0,33623000000.0,0.0,47235000000.0,48355000000,,,59943000000,0.0,490000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,933000000.0,71467000000.0,0.0,9602000000.0,-2704000000.0,,,,631000000,106113000000,112811000000,,8000000.0,2466000000.0,,4630000000.0,3236000000.0,520000000.0,,,,,,63620000000,,3858000000,74171000000.0,,,6698000000,1937000000.0,,1394000000.0,,668000000.0,33623000000.0,,47349000000.0,49191000000,,,59762000000,0.0,293000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,975000000.0,70666000000.0,0.0,9455000000.0,-275000000.0,,,,1406000000,105263000000,112614000000,,8000000.0,2028000000.0,,4681000000.0,2349000000.0,0.0,,,,,,64110000000,,3890000000,70941000000.0,,,7351000000,1967000000.0,0.0,2332000000.0,,955000000.0,33623000000.0,0.0,47373000000.0,48504000000,,,60220000000,2332000000.0,683000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,882000000.0,70993000000.0,0.0,9247000000.0,-5366000000.0,,,,2283000000,105516000000,113715000000,,8000000.0,2557000000.0,,6157000000.0,5977000000.0,900000000.0,,,,,,64703000000,,6129000000,76359000000.0,,,8199000000,2001000000.0,,180000000.0,,678000000.0,33623000000.0,,46317000000.0,49012000000,,,58574000000,0.0,215000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,858000000.0,70460000000.0,0.0,9091000000.0,-6217000000.0,,,,3262000000,105212000000,108042000000,,8000000.0,2130000000.0,,307000000.0,307000000.0,6400000000.0,,,,,,59745000000,,12528000000,76677000000.0,,,2830000000,2022000000.0,0.0,12000000.0,,914000000.0,33623000000.0,0.0,34560000000.0,48297000000,,,47217000000,0.0,585000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,985000000.0,70713000000.0,0.0,9017000000.0,-8052000000.0,,,,4088000000,105824000000,108350000000,,8000000.0,2717000000.0,,316000000.0,316000000.0,335000000.0,,,,,,58445000000,,7509000000,78765000000.0,,,2526000000,2057000000.0,,16000000.0,,647000000.0,33623000000.0,,39344000000.0,49905000000,,,50936000000,0.0,39000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,980000000.0,70249000000.0,0.0,8948000000.0,-8729000000.0,,,,3562000000,104731000000,107416000000,,8000000.0,2320000000.0,,329000000.0,329000000.0,670000000.0,,,,,,59046000000,,6907000000,78978000000.0,,,2685000000,2099000000.0,0.0,,,734000000.0,33623000000.0,0.0,39725000000.0,48370000000,,,52139000000,0.0,631000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,1011000000.0,70502000000.0,,9149000000.0,-10782000000.0,,,,2771000000,105582000000,109319000000,,8000000.0,2649000000.0,,1659000000.0,784000000.0,0.0,,,,,,59597000000,,5637000000,81284000000.0,,,3737000000,2130000000.0,,875000000.0,,555000000.0,33623000000.0,,41371000000.0,49722000000,,,53960000000,,335000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,972000000.0,70623000000.0,,9361000000.0,-12194000000.0,,,,2058000000,105946000000,109031000000,,8000000.0,2492000000.0,,704000000.0,454000000.0,439000000.0,,,,,,59803000000,,5265000000,82817000000.0,,,3085000000,2155000000.0,0.0,250000000.0,,765000000.0,33623000000.0,0.0,41086000000.0,49228000000,,,54538000000,,911000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
