date,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2008-12-31,0,6177801000,195276000,863882000,60467000,863882000,0.0,199286000,747643000.0,-583725000.0,777427000.0,3811432000,4395157000.0,1372483000,1610612000,84781000.0,2491871000,101694000.0,8775933000,10386545000,2040761000,735033000.0,2101228000,222950000,0.0,3473711000,192510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,195756000,6278049000,186352000,839457000,83855000,839457000,0.0,203495000,0.0,,893832000.0,3739750000,3739750000.0,1798028000,1444855000,0.0,2756145000,81953000.0,9303989000,10748844000,471365000,1685473000.0,2240693000,406487000,0.0,4038721000,111459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,195836000,6433588000,182210000,963861000,86560000,969543000,6082000.0,214669000,560695000.0,-595293000.0,,4293969000,4889262000.0,2153032000,1575401000,5682000.0,2752733000,330140000.0,9755016000,11330417000,2202702000,0.0,2289262000,562035000,0.0,4442294000,101856000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,196379000,6648547000,180444000,1295143000,90035000,1919982000,8232000.0,1339943000,0.0,,1271303000.0,4446936000,,3131233000,2064089000,624839000.0,2781292000,,10205563000,12269652000,1934346000,0.0,2024381000,1507309000,0.0,5155614000,129155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,244879000,8563437000,182107000,1433941000,142780000,1433941000,9016000.0,1653981000,0.0,,,5338527000,5338527000.0,4701206000,2213782000,,3753293000,622940000.0,12669017000,14882799000,903686000,0.0,1046466000,2792403000,0.0,5747672000,147885000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,246035000,9007382000,182420000,1386629000,155186000,1386629000,9526000.0,1883655000,0.0,,1773469000.0,5742909000,,4535228000,2342765000,,3559303000,763535000.0,13453908000,15796673000,1501176000,0.0,1656362000,2384030000,0.0,6191590000,183075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,246035000,9615314000,182910000,2071086000,205900000,2071086000,9786000.0,2262579000,0.0,-1044283000.0,2161243000.0,6424193000,7468476000.0,4290724000,3497982000,,3848101000,1029408000.0,14685424000,18183406000,3373911000,0.0,3593427000,1512629000,0.0,7884151000,387702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,246035000,9816143000,178411000,1855087000,218570000,2011845000,9522000.0,511420000,1346717000.0,,2514674000.0,6636862000,6636862000.0,4549987000,3621540000,156758000.0,3853931000,302250000.0,14993378000,18614918000,3300996000,0.0,3538666000,1730307000,159494000.0,8088653000,558446000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,246035000,10481716000,177089000,2479484000,236306000,2698786000,9961000.0,592348000,0.0,-1304897000.0,,7956884000,9261781000.0,5573782000,4346240000,219302000.0,4284965000,412371000.0,16909044000,21255284000,4139243000,0.0,4394541000,1946359000,91706000.0,9968323000,394596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,261286000,11964666000,176144000,2235375000,245698000,2566259000,11183000.0,639836000,0.0,,,8550184000,8550184000.0,6320147000,4495892000,330884000.0,5482918000,484220000.0,18975004000,23470896000,4091522000,0.0,4348260000,2039166000,120284000.0,10668407000,512406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
