date,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyInventory,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,543681000.0,,413983000,,37593979000,5844000.0,6261931000,6261931000,4683431000,23494165000,,12763230000,,71552710000,,17467000.0,,18997789000,39755843000,34014705000,3756835000,118925930000,,99928141000,33600722000.0,73770548000,9308385000.0,37218000.0,32990302000,1431955000,8288090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,8113257000.0,0.0,471506000,,38992797000,121441000.0,6700406000,6639656000,4702478000,18161835000,,14011505000,,74765361000,60750000.0,1079182000.0,,23452236000,34412280000,50806136000,3796731000,131863949000,0.0,108411713000,306587000.0,85218416000,,0.0,49650752000,2170260000,175645000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,10088156000.0,,493655000,-13547756000.0,42164218000,15523024000.0,6805251000,6801707000,4719501000,20667961000,96412514000.0,14682456000,,82864758000,3544000.0,20667961000.0,,24334292000,36708918000,56041520000,3796731000,143010547000,,118676255000,693987000.0,92750438000,14466466000.0,1408999000.0,54243192000,2006017000,10763185000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,10423855000.0,0.0,462622000,,44561132000,3627000.0,7628833000,7304739000,4736840000,19618190000,,17364838000,,89260197000,324094000.0,0.0,,28962652000,41819856000,59521842000,3796731000,160526620000,0.0,131563968000,820216000.0,101341698000,,0.0,57931973000,3604320000,17725872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,10703707000.0,,579455000,-19032655000.0,47472998000,3042000.0,4800582000,4496605000,4745092000,26418243000,115451206000.0,19305755000,226631000.0,96418551000,303977000.0,0.0,18019503000.0,25806144000,48976437000,57817287000,4033453000,168365889000,,142559745000,231859000.0,106793724000,,6425321000.0,56568988000,3592567000,17409953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,12825587000.0,0.0,577733000,,49064814000,252410000.0,6673891000,6670866000,4752111000,21542723000,,18589700000,301310000.0,99169899000,3025000.0,18589700000.0,,28755543000,42104644000,65189124000,4032507000,171120013000,0.0,142364470000,115534000.0,107293768000,,2633749000.0,63867596000,4422160000,13758847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,14051781000.0,,573881000,-25982583000.0,54042983000,249986000.0,4400976000,4397289000,4762863000,20390649000,146067576000.0,8953692000,487547000.0,120084993000,3687000.0,23022262000.0,23979441000.0,26793308000,47498571000,61395146000,3914280000,177789718000,,150996410000,136481000.0,108893717000,,176772000.0,59876386000,3258710000,9115267000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,21588272000.0,0.0,2549532000,,58529826000,165530000.0,5141178000,5137425000,4782494000,14074707000,140543603000.0,22162456000,507542000.0,140543603000,3753000.0,22162456000.0,,22845286000,45372101000,68575004000,3353864000,192211818000,0.0,169366532000,121719000.0,113947105000,,179945000.0,65198253000,3356180000,13356708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,21381263000.0,,2569573000,-43578844000.0,64985061000,598003000.0,6038002000,6035046000,4791457000,14313260000,199459397000.0,10439512000,607513000.0,155880553000,2956000.0,19517309000.0,30697309000.0,31034507000,51956141000,77175881000,3126941000,213864903000,,182830396000,0.0,129132022000,,0.0,73438346000,3481838000,9801058000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,19301522000.0,0.0,2580221000,,67230389000,1224812000.0,8074955000,8072027000,0,19939669000,159854917000.0,28327507000,646074000.0,159854917000,2928000.0,28327507000.0,32299322000.0,31406491000,52730072000,81123022000,3117660000,218919088000,0.0,187512597000,0.0,133853094000,,0.0,77237826000,3207078000,16487482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,18310467000.0,,2635041000,-56027433000.0,70794403000,772433000.0,8290352000,8285135000,0,20897153000,224463876000.0,10464048000,930275000.0,168436443000,5217000.0,31960657000.0,33981578000.0,32834552000,56056017000,83799696000,3123668000,225648081000,,192813529000,0.0,139855713000,,0.0,79535707000,3308874000,9957305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,18174006000.0,0.0,2585106000,,74429161000,629480000.0,11856082000,11850864000,0,23512964000,171193665000.0,31591324000,914904000.0,171193665000,5218000.0,31591324000.0,36746174000.0,33699715000,58532068000,80900456000,2698255000,229091478000,0.0,195391763000,0.0,139432524000,,0.0,76766737000,2687338000,16668716000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,15977844000.0,,2459682000,-64131325000.0,70917575000,723404000.0,7273945000,7273945000,0,27403621000,226298435000.0,10423118000,958222000.0,162167110000,0.0,28622007000.0,38256404000.0,25833239000,59665153000,64681383000,1760924000,208085879000,,182252640000,0.0,124346536000,,33347000.0,61113715000,2306640000,8462487000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,15538042000.0,0.0,2373502000,,70790335000,657912000.0,3392185000,3392185000,0,21844057000,158045118000.0,24973627000,906725000.0,158045118000,,24973627000.0,39561877000.0,20277327000,50215215000,73710374000,1743202000,200225737000,0.0,179948410000,0.0,123925589000,,0.0,70285916000,2349566000,13264802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
