date,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital
1997-03-31,,,,,,,,,,,,,,,,0.534483,,,,,,,,995645161.0,532155811.0,0.534483,5611903286.0,,,,,5611903286.0,5611903286.0,,,,,,,995645161.0,,,,,,,532155811.0,,532155811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,0.55038,,,,,,,,995645161.0,547983383.0,0.55038,5778814558.0,,,,,5778814558.0,5778814558.0,,,,,,,995645161.0,,,,,,,547983383.0,,547983383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,0.559166,,,,,,,,995645161.0,556730524.0,0.559166,5871058424.0,,,,,5871058424.0,5871058424.0,,,,,,,995645161.0,,,,,,,556730524.0,,556730524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,-36493145325.0,,,374545080.0,25799974200.0,410908680.0,410908680.0,,6916356720.0,,,680908410.0,6792720480.0,,,,42312684960.0,4308177510.0,33273603090.0,4065450480.0,,,,574351638.0,,-13781360922.0,27979972020.0,,,2870906220.0,6058619238.0,-13781360922.0,9039081870.0,15289984710.0,62293119525.0,2885451660.0,3746359890.0,8943627420.0,,,,,,,12689987310.0,574351638.0,,574351638.0,14153622210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,,,,,,,,,,,0.622103,,,,,,,,992647059.0,626744250.0,0.631387,6717305595.0,,,,,6717305595.0,6717305595.0,,,,,,,1007461183.0,,,,,,,626744250.0,,626744250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,0.610203,,,,,,,,992647059.0,614756250.0,0.61931,6588820875.0,,,,,6588820875.0,6588820875.0,,,,,,,1007462687.0,,,,,,,614756250.0,,614756250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,0.568523,,,,,,,,992647059.0,572764500.0,0.577007,6138762630.0,,,,,6138762630.0,6138762630.0,,,,,,,1007461183.0,,,,,,,572764500.0,,572764500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,-39948826320.0,,,420361380.0,26606402640.0,2080490400.0,2043826020.0,,3068723340.0,,,1519440120.0,7548598980.0,,,,46209056040.0,5135571180.0,35674441740.0,4089357360.0,2286834120.0,3909446100.0,,583888500.0,,-14284297530.0,28420010460.0,,36664380.0,4177181340.0,6257987190.0,-14284297530.0,10534614300.0,12293651880.0,66555228960.0,2338846380.0,4033081800.0,12093276780.0,,,,,,,16126358580.0,583888500.0,,583888500.0,17009714340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,,,,,,,,,,,0.529496,,,,,,,,1031896552.0,555970590.0,0.538785,6232722930.0,,,,,6232722930.0,6232722930.0,,,,,,,1050000000.0,,,,,,,555970590.0,,555970590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,,,,,,,,,,,,0.550563,,,,,,,,1031896552.0,578091150.0,0.560222,6480706050.0,,,,,6480706050.0,6480706050.0,,,,,,,1050000000.0,,,,,,,578091150.0,,578091150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
