date,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2001-03-31,,,,,,82951381.0,3873000,,3873000,,,,,,,,,,0.04669,,,,,,,,3873000,,,,,,,,,,,,,,0.04669,,,729359000,729359000,,,,,,729359000,,,,82951381.0,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,,86430254.0,14124000,,14124000,,,,,,,,,,0.16675,,,,,,,,14124000,,,,,,,,,,,,,,0.163415,,,607478000,607478000,,,,,,607478000,,,,84701649.0,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,86175780.0,15232000,,15232000,,,,,,,,,,0.18009,,,,,,,,15232000,,,,,,,,,,,,,,0.176755,,,598793000,598793000,,,,,,598793000,,,,84579932.0,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,103485000.0,,,,,,-16040000,,-21787000,,711282000.0,982000000.0,30027000.0,,,932022000.0,,,,,93704000.0,176218000.0,,,,3000.0,-21787000,1950615000.0,18117000.0,18117000.0,58463000.0,,814767000.0,,,429041000.0,,,,,,-2676000.0,1662044000.0,582009000,-1832564000,950486000.0,,,,,-1832564000,,,,,-205294000.0,968295000.0,288571000.0,,1135848000.0,,,,,693749000.0,42027000.0,,-239204000.0,36273000.0,,,,,,,,
2002-03-31,92076000.0,-36463000.0,-22433000.0,91063000.0,95430000.0,105313343.0,12871000,-26421000.0,12096000,8158000.0,720309000.0,1015848000.0,33640000.0,,-10292000.0,863457000.0,377589000.0,47170000.0,0.12006,567579000.0,114356000.0,186639000.0,32910000.0,69009000.0,18117000.0,3000.0,12096000,2049204000.0,65287000.0,65287000.0,19404000.0,27598000.0,812385000.0,,,517340000.0,5415000.0,,42841000.0,436508000.0,0.11339,-2676000.0,1657712000.0,1004087000,58919000,984612000.0,-42132000.0,,,,91829000,65287000.0,-25827000.0,,101448276.0,-193198000.0,900689000.0,391492000.0,21029000.0,1236819000.0,377589000.0,0.0,,,757023000.0,41328000.0,,-264303000.0,37232000.0,,,,,,,,
2002-06-30,72133000.0,31816000.0,-100816000.0,14297000.0,86474000.0,109626000.0,23565000,-20217000.0,15941000,14942000.0,715697000.0,1074653000.0,39676000.0,,-7252000.0,762270000.0,284135000.0,-25743000.0,0.15,443703000.0,118101000.0,209192000.0,25562000.0,66257000.0,65287000.0,4000.0,15941000,2070098000.0,39544000.0,39544000.0,11549000.0,19120000.0,787830000.0,,,585119000.0,17616000.0,,14849000.0,349014000.0,0.146667,-2100000.0,1643206000.0,792717000,64879000,1001002000.0,-59295000.0,,,,90441000,39544000.0,-11401000.0,,106158000.0,-177257000.0,797670000.0,426892000.0,38507000.0,1282268000.0,284135000.0,0.0,,,845536000.0,49970000.0,,-285305000.0,35400000.0,,,,,,,,
2002-09-30,65598000.0,-39083000.0,-4959000.0,495000.0,36976000.0,110175000.0,28658000,-21886000.0,28363000,18170000.0,718352000.0,1078388000.0,35276000.0,,-7949000.0,761226000.0,278869000.0,17299000.0,0.266667,439000000.0,131957000.0,223682000.0,25986000.0,15090000.0,39544000.0,4000.0,28363000,2083203000.0,56843000.0,56843000.0,11542000.0,16016000.0,783950000.0,,,554609000.0,18021000.0,,-34200000.0,349662000.0,0.256667,-2108000.0,1627012000.0,788662000,70793000,1010869000.0,-8603000.0,,,,96779000,56843000.0,-14718000.0,,107019000.0,-148894000.0,801903000.0,456191000.0,46828000.0,1299253000.0,278869000.0,-3411000.0,,,825109000.0,32065000.0,,-292517000.0,40677000.0,,,,,,,,
2002-12-31,51321000.0,34475000.0,-41015000.0,172000.0,24116000.0,,10298000,-29662000.0,8619000,6529000.0,728432000.0,1048803000.0,32970000.0,,-10614000.0,724832000.0,269884000.0,-42958000.0,,389607000.0,102574000.0,208176000.0,26244000.0,-5546000.0,56843000.0,4000.0,8619000,1965225000.0,13885000.0,13885000.0,10690000.0,15485000.0,779753000.0,,,470740000.0,16823000.0,,-30260000.0,312810000.0,,-1568000.0,1496869000.0,702417000,42926000,1042273000.0,40549000.0,,,,69170000,13885000.0,-26059000.0,,,-140275000.0,774293000.0,468356000.0,16827000.0,1185472000.0,269884000.0,0.0,,,722576000.0,20210000.0,,-313841000.0,49461000.0,,,,,,,,
2003-03-31,37524000.0,2486000.0,-83272000.0,10080000.0,117504000.0,109802099.0,5041000,-30312000.0,5041000,3156000.0,716804000.0,1066366000.0,35779000.0,,-50150000.0,660314000.0,389895000.0,10853000.0,0.04669,565728000.0,101483000.0,200508000.0,35004000.0,87192000.0,13885000.0,4000.0,5041000,1989851000.0,24738000.0,24738000.0,20775000.0,19567000.0,754328000.0,,,520472000.0,3137000.0,,25611000.0,467809000.0,0.04669,-658000.0,1503705000.0,1033537000,77914000,1057155000.0,-17563000.0,,,,112918000,24738000.0,-23379000.0,,107655172.0,-135234000.0,726171000.0,486146000.0,8197000.0,1235523000.0,389895000.0,0.0,,,777534000.0,42936000.0,,-340351000.0,65857000.0,,,,,,,,
2003-06-30,36894000.0,-33861000.0,-118850000.0,8744000.0,158428000.0,112245000.0,43458000,-20283000.0,43458000,27204000.0,711222000.0,1079884000.0,44068000.0,,-3023000.0,531512000.0,300420000.0,21336000.0,0.396667,457881000.0,93350000.0,207055000.0,23492000.0,138145000.0,24738000.0,4000.0,43458000,2002088000.0,46074000.0,46074000.0,18949000.0,7182000.0,748116000.0,,,591827000.0,27005000.0,,59990000.0,381287000.0,0.386667,-2337000.0,1461109000.0,839168000,80867000,1070502000.0,-13518000.0,,,,104359000,46074000.0,-18242000.0,,109638000.0,-91776000.0,599210000.0,540979000.0,70662000.0,1253972000.0,300420000.0,0.0,,,861899000.0,34664000.0,,-359280000.0,67698000.0,,,,,,,,
