date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2013-12-31,9457818000,,8625201000,5463760000,9070434000,9201139000,130007000.0,3099964000,70718000.0,3680031000,3994058000,13426386000,1806819000.0,4228367000,4228367000,508138000,-1551863000.0,162131000.0,164016000,0.0,7073338000,104483000.0,25673632000,16603198000,828682000,1710545000,1325634000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,8449481000,,7300843000,4605116000,8265373000,9638561000,7903000.0,2982897000,40596000.0,3598081000,3844365000,13939448000,,3154852000,3154852000,515188000,,1933756000.0,294357000,0.0,7300843000,2005331000.0,25182572000,16917199000,845272000,1664831000,703276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,9260284000,,8904418000,5142392000,8934073000,10558221000,94057000.0,3258443000,34890000.0,3693851000,4117892000,14670789000,1734049000.0,3816198000,3816198000,541527000,-1670588000.0,100727000.0,333866000,0.0,7233830000,126555000.0,26613060000,17678987000,845620000,1847257000,1293299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,9777511000,,7490735000,4846984000,8713669000,11120401000,39243000.0,4068375000,32993000.0,3634612000,4930527000,15071994000,,3464668000,3464668000,549541000,,2161186000.0,320135000,0.0,7490735000,1731022000.0,27545651000,18831982000,846960000,1580661000,1278692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,10431884000,,9426696000,6440707000,8981460000,12118669000,33638000.0,3050463000,115080000.0,3668291000,3991177000,15429220000,1956902000.0,3733357000,3733357000,560369000,-1860030000.0,187162000.0,317381000,0.0,7566666000,3814011000.0,28412396000,19430936000,847207000,3814011000,2415386000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,12955233000,452351000.0,7947338000,6668851000,10423729000,12653577000,31448000.0,4534423000,1028082000.0,3947237000,6286382000,15147400000,,4465238000,4012887000,589291000,,2887865000.0,291693000,205824000.0,7947338000,3854287000.0,31057352000,20633623000,847403000,3854287000,2615026000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,13875105000,112708000.0,10612752000,6015460000,9597556000,13680087000,141389000.0,5678347000,1403253000.0,4542099000,7859645000,15299903000,2740760000.0,3447437000,3334729000,635192000,-2182817000.0,483839000.0,282694000,0.0,8429935000,4366493000.0,31965282000,22367726000,847711000,4366493000,1448994000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,14658665000,456715000.0,9173435000,7813932000,10391679000,14220834000,22040000.0,4627836000,1442049000.0,4937509000,6844733000,16276576000,,3625337000,3168622000,645913000,,3686734000.0,303957000,0.0,9173435000,4513197000.0,34153990000,23762311000,847890000,4513197000,3084587000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,16383443000,109841000.0,12879348000,9853733000,11651500000,15400585000,,4365584000,1364443000.0,5906655000,6529710000,17823661000,3250784000.0,3679467000,3569626000,662629000,-2830617000.0,633698000.0,333758000,,10048731000,,37650321000,25998821000,848044000,5565831000,4006728000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,17954058000,463931000.0,10330859000,11020673000,13064632000,16107167000,,4620017000,1504031000.0,6138940000,6933385000,18316397000,,4378601000,3914670000,701767000,,,357793000,,10330859000,,39782325000,26717693000,848827000,6035592000,4656806000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
