date,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings
1984-01-31,,,,,52300000,,,,,,,,,,,,,,52300000,,52300000,,,,,,,,,,,,600000,,,,0.02,,35456000.0,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,35456000.0,,,,,,,,,,,
1984-04-30,,,,,-162200000,,,,,28900000.0,,,,7200000.0,,,16500000.0,15000000.0,52500000,36700000.0,-162200000,,700000.0,900000.0,12000000.0,,,,13900000.0,,,,700000,,17200000.0,,,,,,-8000000.0,5400000.0,28700000.0,,1000000.0,7300000.0,5400000.0,,,2300000.0,,,,900000.0,,,,,,,46100000.0,,,12700000.0,,,,29600000.0,,,,,,,,,
1984-07-31,,,,,65900000,,,,,,,,,,,,,,65900000,,65900000,,,,,,,,,,,,1400000,,,,0.04,,35456000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,35456000.0,,,,,,,,,,,
1984-10-31,,,,,63400000,,,,,,,,,,,,,,63400000,,63400000,,,,,,,,,,,,1300000,,,,0.04,,35456000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,35456000.0,,,,,,,,,,,
1985-01-31,,,,,58800000,,,,,,,,,,,,,,58800000,,58800000,,,,,,,,,,,,900000,,,,0.03,,35456000.0,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,35456000.0,,,,,,,,,,,
1985-04-30,,,,,-182100000,,,,,32200000.0,,,,11300000.0,,,13400000.0,17700000.0,60300000,49800000.0,-182100000,,1200000.0,500000.0,12500000.0,,,,14500000.0,,,,600000,,22100000.0,,,,,,-10500000.0,400000.0,39300000.0,,1500000.0,9400000.0,400000.0,,,5200000.0,,,,1600000.0,,,,,,,54300000.0,,,12500000.0,,,,40900000.0,,,,,,,,,
1985-07-31,,,,,77700000,,,,,,,,,,,,,,77700000,,77700000,,,,,,,,,,,,1300000,,,,0.04,,45740000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,45740000.0,,,,,,,,,,,
1985-10-31,,,,,74400000,,,,,,,,,,,,,,74400000,,74400000,,,,,,,,,,,,1800000,,,,0.04,,45740000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,45740000.0,,,,,,,,,,,
1986-01-31,,,,,70700000,,,,,,,,,,,,,,70700000,,70700000,,,,,,,,,,,,1600000,,,,0.04,,45740000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,45740000.0,,,,,,,,,,,
1986-04-30,,,,,-211200000,,,,,24300000.0,,,,17600000.0,,,15300000.0,13900000.0,61900000,69900000.0,-211200000,,1500000.0,500000.0,7000000.0,,,,10400000.0,,,,1500000,,47800000.0,,,,,,-14800000.0,800000.0,55100000.0,,2900000.0,11600000.0,800000.0,,,800000.0,,,,1700000.0,,,,,,,72100000.0,,,13100000.0,,,,56800000.0,,,,,,,,,
