date,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyTaxProvision,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyChangeInAccountPayable
2006-03-31,,,2901000000,2901000000,,,1285000000,,0.054545,,,53185000000.0,,,,,,2901000000,,,5551000000,,,,4186000000.0,9647000000,,0.054545,53185000000.0,,,,,,4186000000,4409000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,3589000000,3588000000,,,1826000000,,,,,,,,,,,3588000000,,,5715000000,,,,4984000000.0,10617000000,,,,,,,,,5415000000,3459000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,0.0,2976000000,2972000000,-5428000000.0,-729000000.0,1220000000,,0.063636,-20058000000.0,,53185000000.0,,108674000000.0,,-6157000000.0,,2972000000,-109457000000.0,97968000000.0,6210000000,,,,4297000000.0,11329000000,,0.063636,46702857143.0,-12749000000.0,88616000000.0,-1763000000.0,,,4196000000,5133000000,,,4362000000.0,2356000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,350890000000.0,0.0,3203000000,3208000000,109169000000.0,-1401000000.0,660000000,21529000000.0,,96394000000.0,,,45804000000.0,88616000000.0,750000000.0,107768000000.0,1716263000000.0,3208000000,-137148000000.0,124500000000.0,7252000000,340226000000.0,1627681000000.0,8726000000.0,3997000000.0,11632000000,21529000000.0,,,-12729000000.0,184973000000.0,18000000.0,12123000000.0,,3863000000,5205000000,88582000000.0,,4547000000.0,1041000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,392769000000.0,0.0,3822000000,3800000000,-45434000000.0,-636000000.0,3378000000,26059000000.0,0.072727,-70524000000.0,,52250000000.0,45804000000.0,185722000000.0,,-46070000000.0,1817944000000.0,3800000000,-174554000000.0,125437000000.0,7843000000,128273000000.0,1723311000000.0,,7200000000.0,12796000000,26059000000.0,0.072727,52250000000.0,-49676000000.0,115198000000.0,-3000000.0,16528000000.0,,7200000000,4345000000,94552000000.0,,,593000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,416666000000.0,24750000000.0,5159000000,5118000000,36509000000.0,-1102000000.0,1909000000,21405000000.0,,38866000000.0,,,48994000000.0,115198000000.0,1227000000.0,35407000000.0,2133048000000.0,5118000000,-265747000000.0,244991000000.0,8375000000,441038000000.0,2011871000000.0,10670000000.0,6931000000.0,14412000000,21405000000.0,,,-21727000000.0,154064000000.0,-503000000.0,20374000000.0,,7068000000,5803000000,121021000000.0,,,2526000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,464039000000.0,180000000.0,5886000000,5868000000,133738000000.0,-3218000000.0,2410000000,23874000000.0,0.109091,72459000000.0,180000000.0,52250000000.0,48994000000.0,154064000000.0,1282000000.0,130520000000.0,2219881000000.0,5868000000,-268350000000.0,215429000000.0,9719000000,132380000000.0,2097265000000.0,11927000000.0,7944000000.0,16360000000,23874000000.0,0.109091,53790000000.0,-56181000000.0,226523000000.0,-5353000000.0,14878000000.0,,8296000000,6538000000,122240000000.0,,5534000000.0,4471000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,492747000000.0,0.0,5774000000,5727000000,-103795000000.0,-2757000000.0,2700000000,25368000000.0,,-130611000000.0,0.0,,48994000000.0,226523000000.0,1258000000.0,-106552000000.0,2103626000000.0,5727000000,-303170000000.0,278870000000.0,10439000000,344011000000.0,1974829000000.0,12756000000.0,8775000000.0,18754000000,25368000000.0,,,-26719000000.0,95912000000.0,-30000000.0,18612000000.0,,8474000000,7328000000,128379000000.0,,6227000000.0,-3129000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,509351000000.0,0.0,7904000000,7883000000,22604000000.0,-965000000.0,2375000000,25282000000.0,0.145455,1167000000.0,,,48994000000.0,95912000000.0,1359000000.0,21639000000.0,2260999000000.0,7883000000,-363649000000.0,344365000000.0,10793000000,110235000000.0,2125276000000.0,13898000000.0,10297000000.0,18023000000,25282000000.0,0.145455,54195625000.0,-19984000000.0,97079000000.0,-1004000000.0,26495000000.0,,10279000000,5933000000,135303000000.0,,4793000000.0,2390000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,530444000000.0,0.0,7689000000,7651000000,29312000000.0,-1306000000.0,2361000000,25595000000.0,,-3078000000.0,,,48994000000.0,97079000000.0,1394000000.0,28006000000.0,2426366000000.0,7651000000,-508581000000.0,486586000000.0,12303000000,409971000000.0,2290968000000.0,16618000000.0,10052000000.0,19616000000,25595000000.0,,,-23112000000.0,94001000000.0,-9027000000.0,16348000000.0,,10050000000,7229000000,134955000000.0,,5954000000.0,3097000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
