date,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
1986-03-31,,,,,,,,,,4000000,,,,56715000.0,,,,,,,,0.07,,,,,,,,,,,,,,,56715000.0,,,,,,,,,,,,36700000,,36700000,,,,,,,,,0.07,,,,36700000,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,4000000,,,,56715000.0,,,,,,,,0.07,,,,,,,,,,,,,,,56715000.0,,,,,,,,,,,,35100000,,35100000,,,,,,,,,0.07,,,,35100000,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,4200000,,,,56715000.0,,,,,,,,0.07,,,,,,,,,,,,,,,56715000.0,,,,,,,,,,,,35900000,,35900000,,,,,,,,,0.07,,,,35900000,,,,,,,,,,,,,
1986-12-31,416500000.0,,,,,,194700000.0,461100000.0,,5000000,,,32700000.0,,283600000.0,,,,18100000.0,,,,52300000.0,332500000.0,56200000.0,,,,,6400000.0,,,,,,128600000.0,,,,,,,24000000.0,24000000.0,800000.0,,,,39900000,,-56900000,,-138800000.0,,503000000.0,,,48900000.0,44600000.0,,,,,-56900000,30800000.0,,,,,47700000.0,,364200000.0,,,,,
1987-03-31,,,,,,,,,,4500000,,,,59601000.0,,,,,,,,0.07,,,,,,,,,,,,,,,59601000.0,,,,,,,,,,,,37100000,,37100000,,,,,,,,,0.07,,,,37100000,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,4700000,,,,59601000.0,,,,,,,,0.07,,,,,,,,,,,,,,,59601000.0,,,,,,,,,,,,37900000,,37900000,,,,,,,,,0.07,,,,37900000,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,7400000,,,,59601000.0,,,,,,,,0.12,,,,,,,,,,,,,,,59601000.0,,,,,,,,,,,,39900000,,39900000,,,,,,,,,0.12,,,,39900000,,,,,,,,,,,,,
1987-12-31,428800000.0,,,,,,181600000.0,474800000.0,,6700000,,,25200000.0,,274100000.0,,,,15700000.0,,,,48500000.0,330100000.0,67300000.0,,,,,7100000.0,,,,,,144700000.0,,,,,,,23700000.0,23700000.0,600000.0,,,,42000000,,-62400000,,-148400000.0,,528700000.0,,,56000000.0,46000000.0,,,,,-62400000,40300000.0,,,,,60700000.0,,380300000.0,,,,,
1988-03-31,,,,,,,,,,5200000,,,,59759000.0,,,,,,,,0.06,,,,,,,,,,,,,,,59759000.0,,,,,,,,,,,,43600000,,43600000,,,,,,,,,0.06,,,,43600000,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,5100000,,,,59759000.0,,,,,,,,0.06,,,,,,,,,,,,,,,59759000.0,,,,,,,,,,,,44000000,,44000000,,,,,,,,,0.06,,,,44000000,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,5100000,,,,60727000.0,,,,,,,,0.05,,,,,,,,,,,,,,,60727000.0,,,,,,,,,,,,45000000,,45000000,,,,,,,,,0.05,,,,45000000,,,,,,,,,,,,,
1988-12-31,457100000.0,,,,,,180100000.0,497800000.0,,8000000,,,28500000.0,,281300000.0,,,,22100000.0,,,,56300000.0,345400000.0,72700000.0,,,,,5600000.0,,,,,,152400000.0,,,,,,,16500000.0,16500000.0,600000.0,,,,51400000,,-86200000,,-179200000.0,,580000000.0,,,64100000.0,40700000.0,,,,,-86200000,42000000.0,,,,,73300000.0,,400800000.0,,,,,
1989-03-31,,,,,,,,,,5100000,,,,90235000.0,,,,,,,,0.05,,,,,,,,,,,,,,,90235000.0,,,,,,,,,,,,47500000,,47500000,,,,,,,,,0.05,,,,47500000,,,,,,,,,,,,,
1989-06-30,472500000.0,,27800000.0,,,,176300000.0,571700000.0,,5300000,,5300000.0,99100000.0,106000000.0,275400000.0,,1600000.0,,14700000.0,,5100000.0,0.05,61400000.0,326200000.0,,,5300000.0,,,5600000.0,21400000.0,9800000.0,,,,245500000.0,106000000.0,,,,3200000.0,,74400000.0,74400000.0,900000.0,,11000000.0,,49200000,,21400000,,-179200000.0,8100000.0,590300000.0,,,50800000.0,99200000.0,0.05,,,,11600000,25100000.0,,,,,77800000.0,2800000.0,411100000.0,,,,,
1989-09-30,614300000.0,,30600000.0,,,3400000.0,258900000.0,687600000.0,11300000.0,5700000,,5700000.0,109400000.0,114000000.0,368300000.0,0.0,1200000.0,-81800000.0,22300000.0,,5900000.0,0.05,142600000.0,433800000.0,,,5700000.0,,100000.0,5800000.0,25100000.0,11300000.0,-3100000.0,-66100000.0,,253800000.0,114000000.0,,,0.0,2500000.0,,43000000.0,43000000.0,1700000.0,,12700000.0,,55700000,-15700000.0,25100000,31300000.0,-179200000.0,9000000.0,650900000.0,,,65500000.0,73300000.0,0.05,19100000.0,,-31400000.0,13800000,30500000.0,2000000.0,2000000.0,-800000.0,900000.0,80400000.0,3300000.0,471700000.0,,,,,
1989-12-31,616000000.0,,32200000.0,,,-2000000.0,257700000.0,691600000.0,14900000.0,6100000,,6100000.0,27500000.0,,365600000.0,0.0,700000.0,-16200000.0,29100000.0,,6300000.0,,141800000.0,433500000.0,80400000.0,,6100000.0,,0.0,5400000.0,28700000.0,14900000.0,-3200000.0,5300000.0,,258100000.0,,,,0.0,1600000.0,,44000000.0,44000000.0,1300000.0,,11900000.0,,60900000,-16200000.0,28700000,3000000.0,-221700000.0,8100000.0,695900000.0,,,67900000.0,75600000.0,,14200000.0,,1000000.0,13800000,26900000.0,-300000.0,900000.0,-4800000.0,-1700000.0,83300000.0,2000000.0,474200000.0,,,,,
1990-03-31,618900000.0,,33300000.0,,,16200000.0,256800000.0,702200000.0,12800000.0,6800000,,6800000.0,108400000.0,97142857.0,365200000.0,0.0,2700000.0,-14500000.0,29200000.0,,6300000.0,0.07,38700000.0,440600000.0,,,6800000.0,,0.0,5500000.0,27100000.0,12800000.0,-3200000.0,-5900000.0,,261600000.0,97142857.0,108300000.0,800000.0,44000000.0,2000000.0,,51000000.0,51000000.0,1400000.0,,12800000.0,,60400000,-9400000.0,27100000,-4100000.0,-229900000.0,10800000.0,701800000.0,,,75400000.0,83300000.0,0.07,25600000.0,,7000000.0,14300000,33400000.0,-100000.0,1200000.0,6400000.0,200000.0,86800000.0,4000000.0,471900000.0,,,,,
