date,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEbitda,quarterlyOtherCurrentAssets,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1992-03-31,-9042000000.0,0.0,,-1264000000.0,1662000000,382000000.0,105610000000,302000000,-97000000.0,,,158000000.0,-2000000.0,,3642000000,-2204000000.0,,,7131000000,776000000.0,617000000.0,2838000000,310000000,310000000,,-6000000.0,2960000000,-74000000.0,1069000000,20597000000,4861000000.0,2260000000.0,,-1854000000.0,382000000,,-858000000.0,,72000000,2160000000,112741000000,-1928000000.0,7235000000.0,1056000000.0,88000000.0,372000000,8564000000,,7255000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,-960000000.0,0.0,,-5686000000.0,1477000000,309000000.0,103339000000,244000000,-97000000.0,,,-170000000.0,-31000000.0,,3796000000,7310000000.0,,,7339000000,814000000.0,-57000000.0,3182000000,251000000,251000000,,,3564000000,-89000000.0,934000000,22655000000,-695000000.0,-2044000000.0,,7430000000.0,309000000,,-300000000.0,,58000000,2194000000,110678000000,7341000000.0,-4580000000.0,1027000000.0,82000000.0,372000000,7543000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,-3980000000.0,0.0,,-5272000000.0,1592000000,420000000.0,110292000000,343000000,-98000000.0,,,338000000.0,-17000000.0,,4048000000,-2621000000.0,,,7634000000,755000000.0,-2554000000.0,3179000000,350000000,350000000,,,6213000000,-81000000.0,867000000,25978000000,6317000000.0,6936000000.0,,-1991000000.0,420000000,,-327000000.0,,70000000,2218000000,117926000000,-2072000000.0,1343000000.0,935000000.0,0.0,366000000,7046000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,-215000000.0,0.0,,-2199000000.0,1529000000,285000000.0,110245000000,232000000,-103000000.0,,,-152000000.0,59000000.0,,4179000000,3898000000.0,,,7814000000,856000000.0,-9810000000.0,3042000000,234000000,234000000,,,5905000000,-43000000.0,812000000,26247000000,-1243000000.0,-16000000.0,,4216000000.0,285000000,,2001000000.0,,51000000,2200000000,118059000000,4173000000.0,7869000000.0,900000000.0,169000000.0,119000000,9765000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,-5124000000.0,0.0,,-5969000000.0,1592000000,426000000.0,113221000000,479000000,-103000000.0,,,205000000.0,55000000.0,,4557000000,1860000000.0,,,8220000000,783000000.0,-3020000000.0,4138000000,281000000,481000000,,-100000000.0,3857000000,-33000000.0,807000000,29453000000,4678000000.0,2235000000.0,,2365000000.0,426000000,,-1369000000.0,,145000000,2188000000,121441000000,2332000000.0,2208000000.0,981000000.0,84000000.0,118000000,8307000000,,7771000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,-1488000000.0,0.0,,-2649000000.0,1614000000,464000000.0,115325000000,304000000,-104000000.0,,,-120000000.0,60000000.0,,4759000000,-426000000.0,,,8459000000,868000000.0,-6215000000.0,4133000000,306000000,306000000,,0.0,10039000000,-7000000.0,794000000,26152000000,-2256000000.0,2575000000.0,,-9000000.0,464000000,,-83000000.0,,158000000,2136000000,123784000000,-16000000.0,5061000000.0,962000000.0,85000000.0,117000000,8638000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,-3312000000.0,0.0,,-4075000000.0,1722000000,527000000.0,130709000000,338000000,-109000000.0,,,182000000.0,62000000.0,,4991000000,474000000.0,,,8744000000,838000000.0,-4462000000.0,5799000000,341000000,341000000,,0.0,13868000000,-58000000.0,919000000,36032000000,3645000000.0,2955000000.0,,1094000000.0,527000000,,-26000000.0,,186000000,2151000000,139453000000,1036000000.0,3757000000.0,953000000.0,85000000.0,116000000,8350000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,-16784000000.0,0.0,,2093000000.0,1918000000,574000000.0,147707000000,370000000,-117000000.0,,,-215000000.0,46000000.0,,5247000000,-1615000000.0,,,9979000000,1117000000.0,-2760000000.0,8325000000,373000000,373000000,,-305000000.0,15877000000,-4573000000.0,1050000000,39664000000,-1587000000.0,576000000.0,,-1313000000.0,574000000,,1356000000.0,,201000000,2259000000,157686000000,-5886000000.0,26210000000.0,1367000000.0,98000000.0,208000000,9128000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,-20444000000.0,0.0,,-7007000000.0,1982000000,658000000.0,154899000000,414000000,-130000000.0,,,197000000.0,52000000.0,,5575000000,4030000000.0,,,10172000000,1002000000.0,-3576000000.0,8175000000,417000000,417000000,,-163000000.0,17397000000,-55000000.0,1110000000,42654000000,-10000000.0,2756000000.0,,4780000000.0,658000000,,529000000.0,,241000000,2258000000,165071000000,4725000000.0,17068000000.0,1389000000.0,98000000.0,114000000,9326000000,,7649000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,-6218000000.0,0.0,,-1767000000.0,1954000000,656000000.0,153925000000,435000000,-128000000.0,,,-246000000.0,18000000.0,,5884000000,1484000000.0,,,10473000000,1113000000.0,-3395000000.0,7660000000,437000000,437000000,,-512000000.0,18315000000,-91000000.0,1195000000,37342000000,2000000.0,-493000000.0,,1788000000.0,656000000,,-472000000.0,,219000000,2371000000,164398000000,1697000000.0,7937000000.0,1407000000.0,100000000.0,112000000,9354000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
