date,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
1994-03-31,203000000,-31600000.0,200000.0,-700000,0.03,,,,-80800000,,,,,1300000.0,,-81400000,135500000,13333333.0,,-7800000,1500000,2200000,,3800000,19300000,-3200000,283100000.0,,,400000.0,100000.0,,,500000.0,283100000.0,2600000,,,,200000000.0,-84600000,,,,,312300000,,104600000.0,0.03,,100000,400000,400000,,,1800000,200000.0,-113000000,,,,400000,-4100000.0,400000,,,110100000,13333333.0,,,,,,,,,
1994-06-30,200300000,-15300000.0,-400000.0,-4200000,0.21,,,,-3600000,,,,,,,-31600000,34600000,11428571.0,,200000,9000000,13200000,,-100000,-7400000,5000000,327700000.0,,,-2300000.0,800000.0,,,3200000.0,327700000.0,15700000,,,,0.0,-26600000,,,,,349700000,,139200000.0,0.21,,500000,2400000,2500000,,,100000,1100000.0,-46900000,,,,2400000,500000.0,2400000,,,150200000,11428571.0,,,,,,,,,
1994-09-30,198200000,19400000.0,500000.0,-5100000,0.2,,,,-2000000,,,,,,,-43000000,12900000,11500000.0,,7800000,10500000,15600000,,-3900000,-1700000,9000000,348800000.0,,,-4400000.0,900000.0,,,3200000.0,348800000.0,18400000,,,,0.0,-34000000,,,,,368400000,,157200000.0,0.2,,600000,2300000,2800000,,,0,1700000.0,-23600000,,,,2300000,3400000.0,2300000,,,171000000,11500000.0,,,,,,,,,
1994-12-31,196700000,-39000000.0,-1600000.0,-8100000,,,,,-4300000,,,,,,,33100000,-4200000,,,-4000000,11000000,19100000,,2100000,-6800000,3200000,375800000.0,,,-6400000.0,,,,,375800000.0,21800000,,,,0.0,36300000,,,,,390000000,,181700000.0,,,500000,2400000,2700000,,,-2000000,1900000.0,-5900000,,,,2400000,-400000.0,2400000,,,193300000,,-4400000.0,,,,,,,,
1995-03-31,194200000,-21900000.0,-1000000.0,-7000000,0.17,,,,-5300000,,,,,4700000.0,,-100000,15900000,11176471.0,,-4000000,11900000,18900000,,2000000,-3000000,3200000,394800000.0,,,-8800000.0,,,,,394800000.0,22200000,,,,,3100000,,,,,406800000,,202000000.0,0.17,,500000,1900000,3300000,,,20300000,2500000.0,-22000000,,,,1900000,-1000000.0,1900000,,,212600000,11176471.0,-4400000.0,,,,,,,,
1995-06-30,194100000,4200000.0,-2800000.0,-7200000,0.38,,,,-25000000,,,,,,,-13400000,-10500000,11578947.0,,-9000000,15300000,22500000,,3000000,-300000,1700000,396600000.0,,,-8900000.0,,,,,396600000.0,25800000,,,,,-11700000,,,,,409700000,,206600000.0,0.38,,600000,4400000,3300000,,,-6100000,3000000.0,8300000,,,,4400000,-1700000.0,4400000,,,215600000,11578947.0,-4400000.0,,,,,,,,
1995-09-30,191700000,-8600000.0,-1000000.0,-7800000,0.18,,,,-2100000,0.0,,,,,,-500000,2500000,11666667.0,,4000000,13600000,21400000,,-1900000,900000,7500000,402600000.0,,,-11300000.0,,,,,402600000.0,24700000,,,,,7000000,,,,,417300000,,213600000.0,0.18,,700000,2100000,3300000,,,7000000,3000000.0,-9100000,,,,2100000,3000000.0,2100000,,,225600000,11666667.0,-4500000.0,,,,,,,,
1995-12-31,237600000,,5400000.0,-8500000,,,,,-144400000,0.0,,,,,,-90700000,53700000,,,8600000,15200000,23700000,,-5300000,-600000,10200000,463700000.0,,,-13700000.0,,,,,463700000.0,27500000,,,,,-80500000,,,,,477200000,,227800000.0,,,700000,3100000,3800000,,,58200000,3100000.0,-64400000,,,,3100000,-1100000.0,3100000,,,239600000,,-4500000.0,,,,,,,,
1996-03-31,235400000,,-1800000.0,-8900000,0.19,,,,-2700000,,,,,1700000.0,,-7000000,900000,11558000.0,,-3000000,16500000,25400000,,1500000,-500000,5700000,467000000.0,,,-16100000.0,,,,,467000000.0,29400000,,,,200000.0,-1300000,,,,,481600000,,233900000.0,0.19,,900000,3200000,4000000,,,6300000,3500000.0,-7000000,,,,3200000,300000.0,3200000,,,246200000,11558000.0,-5400000.0,,,,,,,,
1996-06-30,282200000,,1700000.0,-9800000,0.2,,,,-48500000,,,,,,,-97200000,85600000,13227000.0,,5000000,18400000,28200000,,-2500000,-700000,10800000,560100000.0,,,-18900000.0,,,,,560100000.0,32400000,,,,49600000.0,-86400000,,,,,571600000,,275500000.0,0.2,,900000,4100000,4200000,,,91200000,3600000.0,-97200000,,,,3600000,800000.0,3600000,,,289400000,13227000.0,-5600000.0,,,,,,,,
