date,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,-200823000.0,4364155000,248500000,39797560000,23862725000,0.0,816902000,,114117393000,15934835000.0,,18763230000.0,,50194812000,,93258561000,449323000.0,20858832000,72307762000,0.0,0.0,1614604000,,42093072000,22112950000,109021000,50450746000,1990344000,19302296000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,5737001000,281576000,21152441000,14423238000,0.0,817209000,41110000.0,137015972000,6729203000.0,,0.0,11746426000.0,47654974000,,108326492000,,28689480000,86344985000,0.0,0.0,3716599000,,46376823000,38690011000,109021000,80995206000,6597772000,31253819000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,-232366000.0,10214113000,319388000,32023494000,32023494000,-354544000.0,817252000,39870000.0,162248401000,,,0.0,14103430000.0,61398357000,,125895296000,551754000.0,36353105000,104306260000,709088000.0,0.0,3650768000,,54734890000,42907903000,109021000,84466129000,6604793000,34323883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,10059077000,330186000,18195117000,18195117000,-902319000.0,817252000,,158950869000,,,0.0,14178602000.0,61742284000,7572803000.0,115861056000,,43089813000,97497697000,1804638000.0,0.0,1186514000,,61336498000,35755413000,109021000,88312691000,3151526000,31788802000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,-250152000.0,9820282000,337635000,19179381000,19179381000,0.0,817252000,,175975423000,,69494445000.0,25212421000.0,11759382000.0,67929182000,,127984130000,587787000.0,47991293000,105390711000,97471931000.0,0.0,1276081000,16049240000.0,70311697000,37461529000,109021000,30682000,3602864000,32803439000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,12546488000,318511000,26596761000,26596761000,-743479000.0,817252000,,196291609000,,,0.0,13878085000.0,74891440000,,151476446000,,44815163000,118042805000,4688514000.0,0.0,10430401000,,77945243000,43151365000,109021000,103435708000,2799996000,39143363000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,-255942000.0,5545557000,1137858000,40880412000,40880412000,0.0,817252000,,229824688000,,,41322804000.0,10977608000.0,83975452000,,180267505000,1393800000.0,49557183000,142267732000,111751836000.0,0.0,1993960000,,87244139000,58292280000,109021000,111776074000,3031391000,53243040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,10297430000,1178353000,51741667000,51741667000,0.0,817262000,,272889510000,,,59664235000.0,15042919000.0,112027208000,,225731731000,1178353000.0,47157779000,174501840000,1746001000.0,0.0,1698130000,,98014430000,62474632000,109021000,143782322000,4263767000,56103480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,-344053000.0,3302733000,1527569000,41411223000,41411223000,0.0,817262000,,296522470000,,,62617146000.0,12877712000.0,110927828000,,241215637000,1871622000.0,55306833000,185472074000,3409653000.0,0.0,1947642000,,109970583000,74544246000,109021000,164390644000,4565766000,69396846000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,21172535000,1485703000,49751729000,49751729000,0.0,19634031000,,329684214000,,,56318442000.0,14895769000.0,128895941000,,267874963000,1485703000.0,61809251000,207833400000,4331319000.0,0.0,3847128000,,119551158000,78937459000,109021000,177924359000,5078118000,73161389000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
