date,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyRepaymentOfDebt,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyNetOtherInvestingChanges,quarterlyGoodwill
2017-03-31,,16028000,,389980000,767507000.0,-2198000.0,-207723000,-207723000,,683000,,,0,,54433000,,-0.210683,,742696000,,,860581500.0,387782000,1319843000,-0.210683,,-181310000,,-3681000.0,,,,546000.0,-573000000.0,160000000.0,,381629000.0,,594791000.0,,-17414000,37019000,,-215909000,-415198000,2062539000,2366000.0,2366000.0,-215363000,,-207723000,-573000000.0,198495000,,,,,182467000,,,860581500.0,,,,,,,,,,,,,,,,
2017-06-30,,24885000,,1283568000,,,-109541000,-109541000,,-541000,,,0,,107605000,,-0.127287,,2613693000,,,860581500.0,1283568000,2062539000,-0.127287,,-109541000,,,,,,,,,,,,,,-2988000,104617000,,-122738000,701624000,4676232000,,,-122738000,,-109541000,,119750000,,,,,94865000,,,860581500.0,,,,,,,,,,,,,,,,
2017-09-30,,35780000,,-682119000,,,-221442000,-221442000,,-7719000,,,0,,186768000,,-0.257317,,-916611000,,,860581500.0,-682119000,4676232000,-0.257317,,-221442000,,,,,,,,,,,,,,236270000,423038000,,-234373000,-202849000,3759621000,,,-234373000,,-221442000,,470643000,,,,,434863000,,,860581500.0,,,,,,,,,,,,,,,,
2017-12-31,,52488000,5000000.0,-675950000,,,13591000,13591000,,-12597000,9279000.0,,0,195043000.0,374024000,50000000.0,,88173000.0,-701469000,104000.0,,,-684871000,3759621000,,13314470000.0,13591000,176642000.0,,3108152000.0,3058152000.0,,,,,0.0,,12109507000.0,,-23101000.0,805378000,1179402000,9279000.0,-12704000,-11926000,3058152000,,,-12704000,0.0,13591000,,818082000,-1030237000.0,1834538000.0,12109507000.0,1204963000.0,765594000,13137828000.0,12011000.0,,,,,,,,,,,,,,,,,
2018-03-31,,72818000,0.0,628924000,5824568000.0,-1556000.0,-201021000,-201021000,,1949000,9897000.0,,0,287618000.0,318700000,850000000.0,-0.24,113525000.0,5576137000,119000.0,,860581500.0,627368000,3058152000,-0.24,21346009000.0,-281517000,2963450000.0,-25352000.0,9484289000.0,8634289000.0,,41702000.0,-800000000.0,0.0,8594240000.0,-1244279000.0,11753444000.0,776469000.0,-121176000.0,1065904000,1384604000,13855000.0,-253133000,-801556000,8634289000,13610000.0,-1836000.0,-211431000,0.0,-201021000,-800000000.0,1319037000,-1311754000.0,2500305000.0,11753444000.0,9592565000.0,1246219000,18382559000.0,11468000.0,860581500.0,-3958000.0,,,,,,,,,,,,,,,
2018-06-30,,186029000,0.0,360904000,,,-6493888000,-6493888000,,5731000,14876000.0,,0,971103000.0,387830000,1300000000.0,-5.86204,94443000.0,396585000,10950567000.0,,1107786345.0,360904000,8634289000,-5.86204,23273504000.0,-6493888000,2801566000.0,,10330874000.0,9030874000.0,,,,,9318220000.0,,13883146000.0,,396540000.0,2321216000,2709046000,14876000.0,-6636220000,-291150000,9030874000,,,-6636220000,0.0,-6493888000,,8957436000,-7805642000.0,3299622000.0,13883146000.0,9390358000.0,8771407000,20471938000.0,,1107786345.0,,,,,,,,,,,,,,,,
2018-09-30,,331997000,0.0,249742000,,,-1098323000,-1098323000,,6337000,19110000.0,,0,1082774000.0,774684000,7511280000.0,-1.2,126456000.0,5929144000,142000.0,,919512738.0,249742000,9030874000,-1.2,37003857000.0,-1098323000,2760430000.0,,22471298000.0,14960018000.0,,,,,10793733000.0,,16243254000.0,,986807000.0,2597734000,3372418000,19110000.0,-1269479000,-6217168000,14960018000,,,-1269479000,0.0,-1098323000,,3867213000,-8903965000.0,3794931000.0,16243254000.0,20760603000.0,3535216000,34243427000.0,,919512738.0,,,,,,,,,,,,,,,,
2018-12-31,182667000.0,525213000,,5732397000,,,-2423893000,-2423893000,,-16341000,29075000.0,,0,2225667000.0,1424035000,7630689000.0,-2.16,247586000.0,5412859000,142000.0,,1113922172.0,5732397000,25126827000,-2.16,43182063000.0,-2423893000,2791080000.0,,21791011000.0,14160322000.0,,,,,17275934000.0,,24359469000.0,,1035783000.0,4229887000,5653922000,29075000.0,-2640909000,-238635000,30539686000,,,-2640909000,0.0,-2423893000,,6870796000,-11327858000.0,4379755000.0,24359469000.0,18822594000.0,6345583000,40390983000.0,15039000.0,1113922172.0,-8727000.0,,,,,,,,,,,,,,,
2019-03-31,340819000.0,667081000,,-1543251000,,,-1877708000,-1877708000,,-9289000,254925000.0,73037000.0,0,2779172000.0,873314000,6919548000.0,-1.64,317209000.0,6679553000,148000.0,,1139754250.0,-1543251000,30539686000,-1.64,49783765000.0,-1877708000,2976991000.0,,29421239000.0,22501691000.0,,,,,15657163000.0,,24754636000.0,,627566000.0,3671890000,4545204000,254925000.0,-2120521000,457473000,37219239000,,,-2120521000,172220000.0,-1877708000,,5792411000,-13205566000.0,5151626000.0,24582416000.0,25029129000.0,5125330000,46806774000.0,,1139754250.0,,8435000.0,,,,,,,,,,,,,,
2019-06-30,436938000.0,803664000,,4147982000,,,-1003250000,-1003250000,,84595000,341144000.0,,0,3573906000.0,1594709000,7935421000.0,-0.88,452266000.0,3444927000,148000.0,,1162357250.0,4147982000,37219239000,-0.88,54360850000.0,-1003250000,3055091000.0,,31787361000.0,23851940000.0,,,,,17830719000.0,,29253965000.0,,1116597000.0,5695299000,7290008000,341144000.0,-1490413000,-1139423000,40664166000,,,-1490413000,255597000.0,-1003250000,,7185712000,-14208816000.0,6101200000.0,28998368000.0,25106885000.0,6382048000,51305759000.0,,1162357250.0,,8171000.0,,,,,,,,,,,,,,
