date,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid
2000-03-31,-7735000,,1980000,528000,629000,0.0,,-8080000,,-1397000,,,,,-1.55,694000.0,0.0,-8048000,,-1975000.0,,,,,-94000.0,,2026000,,,-118000.0,5594000,-8080000,-8080000,,,5225000.0,,,,-175000.0,,764000.0,,,,-1.55,,,750000.0,,6651000,,-6304000,-9048000,,1057000,14000.0,,,,,,5225000.0,-9223000,,,313000.0,2249000.0,6832000,,,,,,,,
2001-03-31,-22769000,,-42063000,56605000,7689000,-62338000.0,23868000.0,-43149000,,-2366000,29492000.0,,136167000.0,22531000.0,-1.29,1305000.0,-1000.0,-29926000,55910000.0,-8337000.0,,-140560000.0,6718000.0,,7023000.0,16948000.0,10055000,147683000.0,,-590000.0,23616000,-31958000,-31958000,0.0,,33574000.0,1337000.0,5381000.0,452000.0,-2585000.0,533000.0,127542000.0,-2990000.0,,8882000.0,-1.29,2951000.0,,0.0,2614000.0,27560000,,53777000,-31702000,0.0,3944000,127654000.0,,,26502000.0,,35384000.0,33574000.0,-34287000,171551000.0,,7157000.0,15837000.0,2828000,112515000.0,5000.0,56605000.0,-77556000.0,2180000.0,,,
2001-06-30,-15696000,,3719000,39501000,13483000,-9966000.0,16807000.0,-22294000,,-347000,28775000.0,,108513000.0,15580000.0,-0.5,,,-23567000,47442000.0,-5737000.0,,-162854000.0,9875000.0,,4520000.0,12176000.0,13830000,131409000.0,1227000.0,279000.0,19004000,-22294000,-22294000,0.0,,44518000.0,1227000.0,6037000.0,465000.0,-5835000.0,,-344000.0,-2990000.0,,13918000.0,-0.5,2313000.0,-400000.0,28000.0,2335000.0,23220000,,-17104000,-20479000,0.0,3816000,-259000.0,,,25785000.0,,39703000.0,44518000.0,-26314000,148216000.0,,7871000.0,15000000.0,56605000,86943000.0,5000.0,39501000.0,-70470000.0,626000.0,,,
2001-09-30,-16047000,,39093000,65394000,12912000,216000.0,16121000.0,-22503000,,1647000,28779000.0,,93319000.0,15016000.0,-0.5,,,-23026000,11214000.0,1355000.0,,-185357000.0,9368000.0,,1525000.0,10532000.0,11265000,114616000.0,1105000.0,427000.0,21229000,-22503000,-22503000,0.0,,45035000.0,1105000.0,4231000.0,473000.0,-2060000.0,,204000.0,-2990000.0,,11629000.0,-0.5,1049000.0,523000.0,-28000.0,1908000.0,24673000,,25893000,-13404000,0.0,3444000,267000.0,,,25789000.0,,37418000.0,45035000.0,-15464000,130737000.0,,6979000.0,39412000.0,39501000,76608000.0,5000.0,65394000.0,-59955000.0,2962000.0,,,
2001-12-31,-12809000,,-2709000,50550000,12300000,-131000.0,18816000.0,-20719000,,2118000,42638000.0,,81583000.0,17836000.0,,,,-20827000,12494000.0,-124000.0,,-206076000.0,11556000.0,,2056000.0,11426000.0,10182000,99402000.0,,-196000.0,19466000,-20719000,-20719000,0.0,,,980000.0,4711000.0,483000.0,-8695000.0,,135000.0,-10617000.0,,4614000.0,,1551000.0,-2144000.0,-10853000.0,1549000.0,22945000,,-14844000,-12270000,0.0,3479000,10944000.0,,,32021000.0,,36635000.0,,-20965000,118218000.0,,8018000.0,4061000.0,65394000,63044000.0,130696000.0,50550000.0,-49582000.0,4376000.0,,,
2002-03-31,-10288000,,-157000,36169000,17141000,,17415000.0,-18502000,,4636000,,,70537000.0,16562000.0,-0.4,,-175000.0,-18799000,12830000.0,-4725000.0,,-224578000.0,14473000.0,,456000.0,12286000.0,12505000,86914000.0,,95000.0,20342000,-18502000,-18502000,0.0,,46152000.0,853000.0,4728000.0,,-2713000.0,,459000.0,,,1918000.0,-0.4,1778000.0,,0.0,1454000.0,23435000,,-14381000,-14683000,0.0,3093000,556000.0,,,31874000.0,,33792000.0,46152000.0,-17396000,104329000.0,,8511000.0,2100000.0,50550000,48999000.0,5000.0,36169000.0,-39525000.0,2498000.0,,,
2002-06-30,-12377000,,2669000,27116000,17255000,,18075000.0,-18816000,,6481000,41084000.0,,59307000.0,17302000.0,-0.4,,-100000.0,-18552000,8066000.0,-2565000.0,,-243394000.0,15938000.0,,-87000.0,11268000.0,10774000,73871000.0,,-150000.0,22027000,-18816000,-18816000,0.0,,46576000.0,773000.0,6245000.0,,-1714000.0,264000.0,-8000.0,-10617000.0,,2172000.0,-0.4,2377000.0,,0.0,1604000.0,25033000,,-9053000,-11714000,0.0,3006000,135000.0,,,30467000.0,,32639000.0,46576000.0,-13428000,91946000.0,,6175000.0,6000000.0,36169000,35182000.0,5000.0,27116000.0,-31817000.0,3657000.0,,,
2002-09-30,-8782000,,-9000,16746000,18573000,-442000.0,16298000.0,-16890000,,7693000,39351000.0,,47618000.0,15654000.0,-0.36,,0.0,-16621000,5665000.0,-2644000.0,,-260284000.0,16072000.0,,-269000.0,11697000.0,10880000,62291000.0,,143000.0,21417000,-16890000,-16890000,0.0,,46934000.0,644000.0,7301000.0,,-2367000.0,169000.0,102000.0,-10617000.0,,2237000.0,-0.36,2016000.0,0.0,225000.0,1461000.0,24314000,,-10370000,-10463000,0.0,2997000,226000.0,,-16890000.0,28734000.0,,30971000.0,46934000.0,-12830000,78589000.0,,7839000.0,3069000.0,27116000,22411000.0,5000.0,16746000.0,-24785000.0,1941000.0,,,
2002-12-31,-7609000,,-991000,35552000,22426000,0.0,22236000.0,-13913000,,10595000,44467000.0,,65832000.0,18399000.0,,,-42000.0,-14165000,2693000.0,2096000.0,,-274197000.0,16766000.0,,-2597000.0,12112000.0,11831000,70620000.0,3333000.0,14000.0,20792000,-13913000,-13913000,0.0,,,3837000.0,3675000.0,2183000.0,-1318000.0,26000.0,23336000.0,-19389000.0,,1946000.0,,2130000.0,-701000.0,-225000.0,1533000.0,24760000,,18806000,-3539000,0.0,3968000,18331000.0,,-13913000.0,25078000.0,,27024000.0,,-4857000,92856000.0,,6556000.0,2924000.0,16746000,38245000.0,6000.0,35552000.0,-19880000.0,1974000.0,,,
2003-03-31,-2646000,,1888000,33997000,24735000,,23249000.0,-8782000,,12925000,43176000.0,,63783000.0,19907000.0,-0.15,,,-8584000,,-1158000.0,,-282979000.0,17078000.0,,-151000.0,13199000.0,11810000,66414000.0,2917000.0,-229000.0,18524000,-8782000,-8782000,0.0,,57189000.0,3342000.0,7681000.0,2137000.0,-630000.0,,-196000.0,-19389000.0,,2093000.0,-0.15,2493000.0,-198000.0,0.0,1762000.0,21509000,,-1555000,-3247000,0.0,2985000,225000.0,,,23787000.0,,25880000.0,57189000.0,-3877000,89663000.0,,5938000.0,2669000.0,35552000,33997000.0,6000.0,33997000.0,-15730000.0,2078000.0,,,
