date,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyChangeInInventory
2004-11-30,764758000,4766705000,,196273000,-391967000,242593000,52935000,,518093000,-507596000.0,,591714000.0,-115780000,465158000,4071372000,,1998733000,-2036000,-448591000,6913488000,6047669000,980298997.0,0.33,624692000,1257040000,1754693000,2841456000,1280964000,2061473000,1825284000,,2273522000,1229916000,0.0,5205000,,,196273000,1508000,196273000,22416000,2865236000,2273522000,982407000,764758000,484168000,,,230109000.0,164617000,656526000,2552958000,590029649.0,21000,-54897000,38490000,105223000.0,6316000,,-2284000,-60883000,68902000,-1276356000.0,794820000,-279436000,904203000.0,169567000.0,,1932882000.0,8912221000,-39129000,264260000,733112000,0.32,,,
2005-02-28,738397000,4954569000,,209786000,192455000,448462000,68971000,,505146000,-184050000.0,,406456000.0,725574000,436175000,4216384000,,1996791000,-14646000,413980000,7346048000,6255731000,979750161.0,0.35,520146000,1241670000,1887101000,3041812000,1301162000,1429326000,1816354000,,3060203000,1174572000,0.0,33024000,,,209786000,36736000,209786000,22756000,3466659000,3060203000,1321505000,738397000,490962000,,,242926000.0,150350000,657444000,2273522000,591694862.0,21000,-61316000,45605000,30309000.0,6300000,,-3974000,786890000,-193501000,-1361767000.0,738642000,786681000,1375533000.0,436455000.0,,2019211000.0,9342839000,-221278000,297343000,734995000,0.35,,,
2005-05-31,803668000,5018589000,,305280000,-71094000,743997000,85083000,,690932000,-161158000.0,,422397000.0,523616000,605849000,4497610000,,2013334000,114304000,-47124000,7066794000,6225069000,951945669.0,0.52,481509000,1140192000,1771136000,3088093000,1206480000,1950176000,1884160000,,2773031000,1409517000,-6865000.0,59852000,,,305280000,45638000,305280000,20650000,3195428000,2773031000,1367340000,803668000,688403000,,,235308000.0,202392000,669086000,3060203000,587277097.0,21000,-70300000,25876000,116117000.0,6373000,,-4601000,593916000,-720369000,-1346629000.0,849048000,-287172000,827669000.0,166284000.0,,2015715000.0,9080128000,-810391000,253740000,802878000,0.51,,,
2005-08-31,778395000,4862389000,,229135000,-304150000,962339000,75084000,,589883000,-166513000.0,,463460000.0,435899000,514799000,4309054000,,2272085000,-34483000,131918000,6685267000,6279479000,,,509818000,1367353000,1696914000,3015860000,1417090000,1865689000,1752937000,,2483990000,1293194000,0.0,1677000,,,229135000,44116000,229135000,5621000,2947450000,2483990000,1284303000,778395000,542469000,,,378488000.0,179738000,693710000,2773031000,,20000,-131259000,31072000,47058000.0,4984000,,-27594000,567158000,-532490000,-1268658000.0,908854000,-289041000,831399000.0,172178000.0,,1962368000.0,8957352000,-554299000,133224000,807317000,,,,
2005-11-30,802368000,4921561000,-267973000.0,214940000,156940000,882027000,79271000,,597211000,-14242000.0,,280647000.0,290425000,517940000,4543016000,,2275321000,-39310000,-61583000,5847859000,6344756000,913640289.0,0.37,477037000,1385450000,1165465000,3222708000,1423195000,1315420000,1878071000,,1685997000,1320308000,0.0,-19893000,,,214940000,31202000,214940000,6543000,1966644000,1685997000,1295793000,802368000,523715000,,,375894000.0,195869000,694452000,2483990000,586267569.0,19000,-77956000,22514000,149067000.0,4685000,,13731000,368381000,-1278140000,-1304205000.0,865098000,-797993000,1463363000.0,252865000.0,,1998657000.0,8123180000,-1153262000,131540000,774376000,0.36,,,
2006-02-28,738759000,5239376000,0.0,69680000,-110186000,932498000,74647000,,204544000,-156950000.0,,312760000.0,611797000,129897000,4491112000,,1976656000,24317000,412826000,6147996000,6376175000,892439424.0,0.12,501630000,1102183000,1161105000,3622456000,1136799000,2921699000,1957297000,,2034034000,868656000,0.0,12012000,,,69680000,28038000,69680000,6578000,2346794000,2034034000,1535290000,738759000,161932000,,,404273000.0,57820000,723409000,1685997000,585674656.0,19000,-71877000,24450000,115988000.0,4558000,,6148000,683674000,-239314000,-1366227000.0,490092000,348037000,0.0,141605000.0,,2089636000.0,8124652000,-383611000,187280000,757937000,0.11,,,
2006-05-31,815760000,5720975000,0.0,342264000,23075000,1274660000,75115000,,713240000,-18857000.0,,192399000.0,746237000,638125000,4805327000,,2088009000,-83648000,299696000,6923162000,6808906000,886889939.0,0.58,502194000,1055140000,1482645000,3351442000,1087931000,2290247000,3330865000,,2793716000,1453885000,0.0,47043000,469480000.0,,342264000,25589000,342264000,7202000,2986115000,2793716000,1609103000,815760000,711887000,,,,213088000,739489000,2034034000,589933994.0,19000,-59333000,24804000,120089000.0,4852000,,-2140000,805570000,-191836000,-1454698000.0,433366000,759682000,913726000.0,186276000.0,,2194187000.0,9011171000,-290068000,278594000,803711000,0.56,,,
2006-08-31,844059000,5816482000,0.0,346445000,-322329000,1607391000,91577000,,598708000,-211132000.0,101691000.0,352951000.0,713356000,507131000,4388911000,,2064259000,-124996000,233853000,7353821000,6655947000,,,479501000,795520000,1894255000,3037721000,839465000,2652378000,3266661000,,3066988000,1351190000,4260000.0,-16989000,527648000.0,,346445000,27065000,346445000,16880000,3419939000,3066988000,1511259000,844059000,526133000,,,,23758000,727692000,2793716000,,20000,-97008000,24792000,51774000.0,7051000,,-15422000,810364000,-225177000,-1359978000.0,416708000,273272000,722096000.0,76883000.0,,2087670000.0,9418080000,-260086000,455795000,856087000,,,,
2006-11-30,816573000,5921966000,-293059000.0,284232000,-21723000,1576657000,144981000,,760652000,-272107000.0,68313000.0,298851000.0,98684000,615671000,5166359000,,2011652000,-12142000,-442585000,7202921000,6760065000,875332780.0,0.47,464492000,813270000,1724025000,3734115000,838099000,2659429000,3807606000,,2437530000,1432244000,0.0,-5691000,527350000.0,,284232000,5109000,284232000,19720000,2736381000,2437530000,1478007000,816573000,641165000,,,,235308000,715881000,3066988000,598612668.0,19000,-67144000,26468000,196970000.0,5122000,,9793000,165828000,-814490000,-1402242000.0,377172000,-629458000,890847000.0,333833000.0,,2118123000.0,9214573000,-723727000,506356000,829302000,0.46,,,
2007-02-28,839358000,6075542000,0.0,296722000,87285000,1868566000,104465000,,670173000,-69103000.0,80267000.0,182007000.0,634278000,565708000,5169353000,,1997022000,-60798000,162717000,7557337000,6859135000,867330893.0,0.49,446830000,758563000,1924119000,3764287000,783593000,2618801000,3736406000,,2959939000,1405066000,0.0,-9716000,504543000.0,,296722000,4249000,296722000,20781000,3141946000,2959939000,1726099000,839358000,584078000,,,,171542000,714469000,2437530000,604326019.0,20000,-75900000,25009000,85868000.0,6862000,,926000,710178000,-278763000,-1402242000.0,348906000,522409000,843678000.0,211389000.0,,2116711000.0,9554359000,-348020000,551362000,832583000,0.47,,,
