date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1987-03-31,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,12330000.0,,,,,,,-0.02,,,3900000,3900000,3900000,,,,,,,,,,,,,,,,,12330000.0,,,,,,,,,,,,,,-300000.0,,,,,
1987-06-30,,,,,,,,,,,,,,,-0.025,,,,,,,,,,,,,,12330000.0,,,,,,,-0.025,,,4000000,4000000,4000000,,,,,,,,,,,,,,,,,12330000.0,,,,,,,,,,,,,,-300000.0,,,,,
1987-09-30,,,,,,,,,,,,,,,-0.015,,,,,,,,,,,,,,12330000.0,,,,,,,-0.015,,,3800000,3800000,3800000,,,,,,,,,,,,,,,,,12330000.0,,,,,,,,,,,,,,-200000.0,,,,,
1987-12-31,,,,,,800000.0,-64800000.0,,300000.0,8200000.0,,,,,,,50900000.0,,,,,,,51700000.0,60700000.0,,3200000.0,3200000.0,,,,,,,,,,,-13400000,-13400000,3500000,,,,,,31800000.0,,115700000.0,4900000.0,,9000000.0,,,8600000.0,,,,28900000.0,,,,,,13500000.0,,,,5200000.0,,,-300000.0,0.0,26900000.0,,,
1988-03-31,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17168000.0,,,,,,,0.0,,,3900000,3900000,3900000,,,,,,,,,,,,,,,,,17168000.0,,,,,,,,,,,,,,-100000.0,,,,,
1988-06-30,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17168000.0,,,,,,,0.0,,,3900000,3900000,3900000,,,,,,,,,,,,,,,,,17168000.0,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,,-0.045,,,,,,,,,,,,,,17168000.0,,,,,,,-0.045,,,4600000,4600000,4600000,,,,,,,,,,,,,,,,,17168000.0,,,,,,,,,,,,,,-500000.0,,,,,
1988-12-31,,,,,,600000.0,-77800000.0,,1000000.0,5500000.0,,,,,,,81900000.0,,,,,,,82500000.0,89100000.0,,1800000.0,1800000.0,,,,,,,,,,,-13800000,-13800000,5900000,,,,,,47500000.0,,159700000.0,5700000.0,,6600000.0,,,11900000.0,,,,41600000.0,,,,,,30000000.0,,,,6300000.0,,,0.0,0.0,41800000.0,,,
1989-03-31,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,17168000.0,,,,,,,-0.01,,,7200000,7200000,7200000,,,,,,,,,,,,,,,,,17168000.0,,,,,,,,,,,,,,-200000.0,,,,,
1989-06-30,,800000.0,,,,800000.0,-82000000.0,,1000000.0,5300000.0,0.0,,,,-0.005,-100000.0,75000000.0,,-200000.0,400000.0,,,,75800000.0,83700000.0,,3100000.0,3100000.0,20000000.0,,,4500000.0,,,,-0.005,,,2900000,600000,7500000,-100000.0,,4600000.0,,,42300000.0,,157000000.0,4900000.0,,7900000.0,,,11600000.0,,,20000000.0,41400000.0,,,2900000.0,,,26000000.0,4000000.0,,,6100000.0,-100000.0,1700000.0,-100000.0,200000.0,37400000.0,,,
1989-09-30,28600000.0,400000.0,,7900000.0,-2100000.0,600000.0,-84000000.0,-200000.0,1000000.0,5400000.0,,,1500000.0,7700000.0,-0.01,,74600000.0,,,200000.0,,,,75200000.0,90800000.0,-600000.0,11000000.0,11000000.0,20000000.0,,2100000.0,4100000.0,,1200000.0,0.0,-0.01,,,2600000,500000,7000000,100000.0,-1600000.0,3900000.0,0.0,,21100000.0,-300000.0,158600000.0,4300000.0,,15600000.0,,,11500000.0,-600000.0,100000.0,20000000.0,69700000.0,,,3100000.0,,0.0,5500000.0,3400000.0,,,5900000.0,100000.0,1300000.0,100000.0,100000.0,16800000.0,,,
