date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
2005-02-28,43066000,18261000,132715000,161900000.0,132715000,195634339.0,435439000,553000,124452000,5135000,,,,502000,-930000,30000.0,-17000,-56337000.0,0,325250000,,104959000.0,-4872000,,,11121000,8263000,0.064669,18045000,6765000.0,-30000,37416000,-4668000,21012000,48622000,,,273680000,310443000,315020000,2967000,1000.0,41994000,58542000,458415000,,117037000,10191000,13133000,199706646.0,768858000,13133000,13133000,332222000,45458000,84543000,40652000,125507000,55926000,67569000,,-949000,1895000,0.06748,12719000,365000.0,,61111000,-2754000,,132715000,,,,,,
2005-05-31,45503000,12791000,141673000,158805000.0,141673000,195787273.0,431735000,551000,132715000,4156000,,,,81000,-1871000,12000.0,-253000,-56337000.0,0,321096000,,103071000.0,-14782000,,,13208000,8958000,0.044987,11938000,9181000.0,12000,26364000,-257000,14856000,46734000,,,253827000,296173000,323666000,2918000,,44252000,63828000,454326000,,115288000,11337000,8646000,198504515.0,750499000,8646000,8646000,317655000,49418000,86496000,44634000,98085000,57847000,59465000,,353000,1667000,0.044987,14050000,360000.0,,57441000,-2281000,,141673000,,,,,,
2005-08-31,41378000,8551000,137767000,143583000.0,155583000,195847735.0,439994000,551000,141673000,3207000,,,,110000,-1164000,,-120000,-56337000.0,0,323207000,,102553000.0,-10183000,,,12490000,-3906000,0.01687,20157000,12245000.0,77000,17159000,8083000,22988000,46216000,17816000.0,,237062000,285072000,327326000,2831000,,39833000,64768000,457895000,,117760000,11326000,3660000,247496680.0,742967000,3660000,5312000,301830000,52444000,88472000,37005000,80151000,56225000,64075000,,-17175000,-11288000,0.01687,12064000,260000.0,,61535000,-16810000,,137767000,,,,,,
2005-11-30,42443000,24966000,132365000,149552000.0,159588000,,477180000,579000,137767000,7878000,,,,75000,-5868000,,0,-53404000.0,0,323850000,,99984000.0,-35279000,,1000.0,11471000,-5402000,,25415000,10431000.0,4472000,41625000,-12828000,28354000,46580000,27223000.0,,282857000,346445000,343684000,2939000,,36781000,46810000,460711000,-9513000.0,126032000,5603000,16358000,,807156000,16358000,16956000,329667000,31504000,90281000,38556000,136950000,58174000,81249000,,0,-4088000,,15044000,262000.0,,67858000,-17458000,,132365000,,,,,,
2006-02-28,47588000,22242000,125729000,183443000.0,151582000,198725025.0,499900000,586000,132365000,7473000,,,,85000,-2368000,500000.0,1953000,-53404000.0,1969000,362634000,,101866000.0,-29502000,,6458000.0,22508000,-6636000,0.06748,21415000,7144000.0,702000,42487000,741000,24785000,48462000,25853000.0,,300025000,347568000,357148000,3370000,,42804000,50071000,502765000,-5113000.0,129866000,20140000,13464000,248293359.0,850333000,13464000,14744000,350096000,35756000,91669000,40171000,146268000,60863000,66451000,,1991000,-1416000,0.06748,14066000,249000.0,,69003000,-32008000,,125729000,,,,,,
2006-05-31,51113000,19951000,169997000,189596000.0,189176000,199244288.0,524100000,588000,125729000,6619000,,,,67000,-6695000,602000.0,150000,-53404000.0,225000,42399000,,105199000.0,-194000,,7844000.0,42654000,44268000,0.064669,18560000,8022000.0,-489000,22203000,24071000,21902000,51795000,19179000.0,,292455000,352765000,370082000,3342000,,47868000,50343000,514405000,-252000.0,132855000,35959000,12934000,248535208.0,867170000,12934000,13276000,342798000,34978000,93896000,42655000,109515000,63182000,72032000,326315000.0,-719000,97000,0.064669,15291000,74000.0,,69673000,178000,,169997000,,,,,,
2006-08-31,53838000,23448000,161631000,,168147000,202900473.0,550353000,593000,169997000,6987000,,,,120000,-2284000,,5070000,-53404000.0,5189000,60751000,,105102000.0,461000,,12369000.0,28990000,-8366000,0.078727,21779000,184850000.0,356000,20610000,4747000,25997000,51698000,6516000.0,,278609000,311687000,386156000,4218000,1483000.0,50681000,47396000,565056000,12000.0,139923000,26706000,16074000,251949544.0,876743000,16074000,16372000,326005000,33523000,97487000,37098000,97486000,64306000,73149000,355120000.0,-983000,1061000,0.078727,13300000,573000.0,,75617000,-41964000,,161631000,,,,,,
2006-11-30,62520000,19671000,180034000,191229000.0,182110000,,565191000,591000,161631000,5800000,,,,575000,-2529000,500000.0,-4372000,-60629000.0,3159000,65962000,,113725000.0,-2905000,,4341000.0,21581000,18403000,,21534000,11484000.0,-8135000,45622000,3303000,26318000,53096000,2076000.0,,338471000,380922000,400029000,4784000,7773000.0,58471000,40262000,563379000,2000.0,148126000,19052000,13873000,,944301000,13873000,13873000,378733000,37400000,93425000,39754000,151300000,64072000,89636000,350896000.0,-175000,-2366000,,2788000,74000.0,,84054000,1504000,,180034000,,,,,,
2007-02-28,61008000,27405000,186214000,221961000.0,186235000,204838820.0,580861000,591000,180034000,9043000,,,,133000,-3305000,,-8196000,-60629000.0,104000,66527000,-7763000.0,112910000.0,-5474000,,2008000.0,23097000,6180000,0.089974,25875000,13183000.0,-447000,36611000,-4768000,30455000,52281000,21000.0,,346341000,401635000,418406000,4580000,6356000.0,57891000,41081000,566815000,,152621000,19792000,18377000,254111956.0,968450000,18377000,18377000,387422000,36457000,94137000,44517000,160882000,65738000,74586000,353870000.0,-1137000,1472000,0.089974,4587000,37000.0,,86883000,-8242000,,186214000,,,,,,
2007-05-31,61253000,27503000,212286000,219815000.0,212309000,204063481.0,603916000,590000,186214000,8909000,,,,76000,-340000,,-7846000,-60629000.0,17000,67858000,-7900000.0,112732000.0,874000,,0.0,42665000,26072000,0.089974,25894000,16590000.0,-568000,20458000,14551000,30815000,52103000,23000.0,,331042000,397672000,436988000,4921000,5028000.0,56253000,42558000,579982000,,154900000,42325000,18582000,256185454.0,977654000,18582000,18582000,373600000,35394000,94807000,47173000,126549000,67753000,74179000,365214000.0,-2359000,-88000,0.089974,5654000,1510000.0,,87147000,-9037000,,212286000,,,,,,
