date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1984-03-31,,,761232000.0,,,,,,,,,,,,,,,,,,-109000000,,-0.145,,,,,,,,,,,,,,,,,,,,761232000.0,,,,,,,,,,,,,,,,,1385000000,,,1385000000,,,,,,,-0.145,1385000000,,,,,,
1984-06-30,,,763968000.0,,,,,,,,,,,,,,,,,,24000000,,0.035,,,,,,,,,,,,,,,,,,,,763968000.0,,,,,,,,,,,,,,,,,1827000000,,,1827000000,,,,,,,0.035,1827000000,,,,,,
1984-09-30,,,767576000.0,,,,,,,,,,,,,,,,,,-92000000,,-0.12,,,,,,,,,,,,,,,,,,,,767576000.0,,,,,,,,,,,,,,,,,1709000000,,,1709000000,,,,,,,-0.12,1709000000,,,,,,
1984-12-31,1432000000.0,2200000000.0,,,,2915000000.0,,1939000000.0,,6223000000.0,0.0,3308000000.0,,,3371000000.0,,,267000000.0,,,-251000000,,,,,1246000000.0,48000000.0,1384000000.0,,,,,,,,,,,,,2852000000.0,,,,-3288000000.0,439000000.0,62000000.0,62000000.0,,477000000.0,,96000000.0,,,,,,,,1655000000,,,-5034000000,6233000000.0,,,1462000000.0,2945000000.0,,,-5034000000,,,,,,
1985-03-31,,,774368000.0,,,,,,,,,,,,,,,,,,-70000000,,-0.09,,,,,,,,,,,,,,,,,,,,774368000.0,,,,,,,,,,,,,,,,,1475000000,,,1475000000,,,,,,,-0.09,1475000000,,,,,,
1985-06-30,,,779728000.0,,,,,,,,,,,,,,,,,,50000000,,0.065,,,,,,,,,,,,,,,,,,,,779728000.0,,,,,,,,,,,,,,,,,1639000000,,,1639000000,,,,,,,0.065,1639000000,,,,,,
1985-09-30,,,782272000.0,,,,,,,,,,,,,,,,,,131000000,,0.17,,,,,,,,,,,,,,,,,,,,782272000.0,,,,,,,,,,,,,,,,,1806000000,,,1806000000,,,,,,,0.17,1806000000,,,,,,
1985-12-31,1206000000.0,2349000000.0,,,,2982000000.0,,1742000000.0,,6016000000.0,0.0,3034000000.0,,,2948000000.0,,,305000000.0,,,87000000,,,,,1139000000.0,29000000.0,1177000000.0,,,,,,,,,,,,,3068000000.0,,,,-3581000000.0,317000000.0,282000000.0,282000000.0,,227000000.0,,77000000.0,,,,,,,,1805000000,,,-4618000000,6233000000.0,,,1515000000.0,2652000000.0,,,-4618000000,,,,,,
1986-03-31,,,787720000.0,,,,,,,,,,,,,,,,,,111000000,,0.145,,,,,,,,,,,,,,,,,,,,787720000.0,,,,,,,,,,,,,,,,,1735000000,,,1735000000,,,,,,,0.145,1735000000,,,,,,
1986-06-30,,,787720000.0,,,,,,,,,,,,,,,,,,139000000,,0.18,,,,,,,,,,,,,,,,,,,,787720000.0,,,,,,,,,,,,,,,,,1989000000,,,1989000000,,,,,,,0.18,1989000000,,,,,,
1986-09-30,,,788368000.0,,,,,,,,,,,,,,,,,,-26000000,,-0.035,,,,,,,,,,,,,,,,,,,,788368000.0,,,,,,,,,,,,,,,,,1822000000,,,1822000000,,,,,,,-0.035,1822000000,,,,,,
