date,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyAccumulatedDepreciation
2006-03-31,,,,,,,1858569600.0,,1858569600.0,,0.0,0.021484,,5024507345.0,,,,,134231000.0,,,,,,,1858569600.0,1858569600.0,,-16994700.0,,,107948400.0,134231000.0,,0.0,,0.013672,,,,,,,,,,,,7895654400.0,-16994700.0,,,,,107948400.0,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,,,,,-1034870952.24,,55435497.31,,1210937191.85,,,,,,,,596351766.47,,,,,,,-1071510174.42,6805301387.71,,963187707.23,,,329803760.33,456714951.86,,-190879155.77,,,,,,,,,,,,,,,361462405.03,,,,,329803760.33,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,-5667964.8,2150159094.43,0.0,2426019970.62,52699558.95,,390781076.73,2682400521.16,994885350.19,,550971325.86,0.026042,-313987382.96,7914911025.0,529776336.14,,50648039.37,1033108459.11,334991338.17,3299094311.63,2150159094.43,3715720748.21,233483400.0,,746600290.74,443914024.33,4228855780.99,-111547745.56,,70519200.0,150000000.0,206117474.61,284343298.8,65218293.24,-380551565.71,,0.026042,,0.0,3233970430.8,1272577529.65,,734456386.75,510237282.84,29731499.52,510237282.84,330000000.0,,7914911025.0,-67338158.21,0.0,55789738.56,31740081.74,79087600.0,206117474.61,3949204148.21,196588468.07,-1286449.26,6696822962.61,3397728650.98,,,,,,,,,,,,,,,,,
2006-12-31,0.0,,,,1079012517.14,,6099382248.45,2929717556.43,5279870607.1,,-849357128.21,,915494709.51,,,,,,304989557.43,,,,,,0.0,6101868979.71,1816883871.59,-163415508.22,,,,241279292.04,412423853.08,,1623804935.63,,,,,,,,,,-67477515.96,,330000000.0,,,492091876.97,,,0.0,,241279292.04,4080478762.35,,0.0,7010196318.78,7010196318.78,,,,,,,,,,,,,,,,,
2007-03-31,,,5442947900.0,,,,2803552900.0,3221044500.0,2803552900.0,,0.0,0.048828,,5051863040.0,,,,,285231800.0,5442947900.0,,5283986700.0,-5283986700.0,,,2803552900.0,2803552900.0,,-361843400.0,5283986700.0,,246673000.0,285231800.0,,0.0,,0.030599,,,,,,,,,,,,8061483574.0,-361843400.0,,,,,246673000.0,5824541900.0,,,9108111000.0,3665163100.0,,,,,,,,,,,,,,,,,
2007-06-30,,5301496373.84,42612.56,7751614919.3,,,-1038793625.64,4507618463.54,742075890.36,,1932828659.0,,,,,,,2375214119.63,1343361306.06,14690626801.18,5301496373.84,13316850900.32,476354235.45,,,-839618292.13,12536806601.19,,884813934.48,1369493003.46,316719571.29,728540303.34,1057596159.6,82270247.71,-325315407.79,,,,,,3051093361.23,7051457.39,3421197739.51,1776079662.1,,1776079662.1,520653552.0,,,184440954.24,0.0,,,1136528598.67,728540303.34,13793205135.77,378396589.77,,21027712884.92,6337086083.74,,,,,,,,,,,,,,,,,
2007-09-30,0.0,5531469117.1,391336.37,7731805957.01,-25336065.38,,801594401.61,4980454326.69,1579219856.69,1962260905.6,751752711.94,0.058594,-360101756.63,8034229516.0,729305670.39,,102948931.78,2845969755.31,745164446.49,15140822577.52,5531469117.1,13334359242.11,494340879.03,0.0,-320913960.65,827467144.75,6378058191.26,-335565842.25,,1364505361.04,316835446.85,470755635.68,642215514.71,93036195.38,186181243.5,,0.058594,0.0,,4798838334.57,3421121153.13,7051457.39,3779393106.15,1962260905.6,-55376467.83,1962260905.6,520653552.0,1776079662.1,8034229516.0,428455537.04,0.0,56429955.12,0.0,1085352369.96,470755635.68,13828700121.14,360695820.14,0.0,21709168925.47,6568346347.95,,,,,,,,,,,,,,,,,
2007-12-31,0.0,6060905385.85,124297.29,7390594599.38,-3650453.91,,973458784.5,6381332780.0,1783756101.8,2715812762.38,875327210.44,,-316517171.51,,847907069.98,66033666.01,90851062.09,3087710707.39,903888809.37,14477414548.32,6060905385.85,12644342222.16,370729665.54,,-404952753.35,908428891.36,7542550591.36,-379453591.23,,1435536227.26,241230457.12,573439920.89,813037747.28,34457842.41,720904708.2,,,8000000.0,,5758794489.56,1884247357.22,538016278.33,4323010500.34,2715812762.38,-137077150.75,2715812762.38,520653552.0,1962260905.6,,636557826.34,532498.04,69569975.13,-9784296.66,1157524538.38,573439920.89,13015071887.7,613558522.54,25345504.17,22422663295.68,7945248747.36,,,,,,,,,,,,,,,,,
2008-03-31,,6177682659.95,1774445.18,9032392410.17,0.0,,1243490859.68,7093314417.47,2230488696.05,2754650908.97,865898071.27,0.089193,-452800581.72,7968988154.0,812398544.8,65391516.03,246316074.12,3798486343.54,1165970904.13,18833659122.89,6177682659.95,16258561675.68,428068179.86,,-1780933711.1,1364590624.78,9136283711.58,-409785182.32,,1061973428.61,287177693.34,710775636.15,919654830.01,46437060.49,38838146.59,,0.089193,,,6905795015.53,3971606356.33,538016278.33,4848861312.28,2754650908.97,-42931131.71,2754650908.97,520653552.0,2715812762.38,7968988154.0,-694243080.22,8715.98,77519955.55,-43461419.4,2285428741.92,710775636.15,16686629855.54,604216711.85,5034242.4,26932822344.33,8099163221.44,,,,,,,,,,,,,,,,,
2008-06-30,,6522415899.76,1808032.77,10335559158.98,0.0,,1387354256.6,7742544278.73,2322687431.16,4034937874.75,974397085.04,,-656198054.94,,930756879.94,71505577.42,132540392.13,4397760765.93,1302420257.38,20262228907.93,6522415899.76,16492253512.69,1295808926.92,,-994617719.09,1348290346.12,11842462526.64,-462519023.51,,999096759.07,909362327.0,950068981.1,1169879865.25,285824902.5,1280286965.78,,,,,9519775095.48,3244636746.47,538016278.33,4800445843.15,4044737874.75,-44866757.46,4044737874.75,520653552.0,2754650908.97,,1666361763.94,771568.0,84933999.22,-203988883.6,1573169974.96,950068981.1,17788062439.61,599550663.35,4557573.17,28904052608.8,8641823700.87,,,,,,,,,,,,,,,,,
