date,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2000-03-31,4174993.0,47401,,77351,,382984,-246446,,0.6897,,-90744,47401,,428692,-75273,45708,-75273,-75273,-0.0162,,6764,,,1.0,,,381291,,,,,376220,-43355,,0.6897,77351,,,376220,376220,,,627737,205511,45708,,,,,,4174993.0,-29617,275191,,0,,0.0,,-61127,,45708.0,,170709,13050,47401,-77350.3103,0.0,,,275191.0,,-77350.3103,,-0.0162,,,
2000-06-30,4174993.0,57257,,86374,,316728,-329557,,0.67568,,-116229,57257,,408887,-88123,92159,-88123,-88123,-0.021107,,1704,,,0.0,,7895.0,351630,,,,,307129,-48727,,0.67568,89001,,,307129,307129,,,238619,376220,92159,,,,,,4174993.0,-39426,60620,,0,,0.0,,-76803,,92159.0,,-64911,8258,57257,-89000.32432,0.0,442568.0,,60620.0,,-86374.32432,,-0.021107,,,
2000-09-30,4174993.0,29462,,27961,,265581,-350763,,0.66538,11.0,-155418,29462,1167.0,461524,-26227,195943,-26227,-26227,-0.07816,,2012,,,-2.0,,9428.0,432061,,,,,254141,-104992,,0.66538,29168,,,254141,254141,,,782824,307129,195943,,,,,,4174993.0,-103589,106900,,0,,0.0,,-51829,,195943.0,,-49920,-29234,29462,-29167.33462,0.0,,,106900.0,,-27961.33462,,-0.07816,,,
2000-12-31,,41881,,72135,,84566,-457532,22918.0,0.66813,-2.0,-180334,64799,5379.0,403710,-106428,319145,-106428,-106428,,12380.0,149,,,2.0,,8680.0,338912,,,10538.0,,75737,-103617,,0.66813,109323,,,75737,75737,-9172.0,,247470,254141,318478,,,,,222.0,,-98949,6189,,667,,-6727.0,,-81385,,327650.0,,-178814,19664,34855,-109322.33187,7026.0,548973.0,,12916.0,,-103943.33187,,,,,
2001-03-31,4174993.0,174362,,214195,,273745,-650118,10025.0,0.63432,,-324020,184387,3625.0,827819,-214846,554074,-214846,-214846,-0.07469,,0,,,0.0,,13866.0,643432,,,10025.0,,259879,-218428,,0.63432,217820,,,259879,259879,-8726.0,,821840,72053,534341,,,,,,4174993.0,-212646,517628,,19733,,0.0,,-111374,,543067.0,,187826,99847,167940,-217819.36568,1410.0,471709.0,,519299.0,,-214194.36568,,-0.07469,,,
2001-06-30,4174993.0,8162740,,305654,,1112802,-987609,10447.0,0.66098,,-397164,8173187,6677.0,8724738,-310161,7611936,-310161,-310161,-0.07749,,0,,,0.0,,,551551,,,10447.0,,-12018,-7064417,,0.66098,312335,,,1112802,1112802,-9092.0,,944167,259879,7611275,,,,,,4174993.0,-6978711,207945,,661,,1.0,,6581547,,7620367.0,,-274926,6896518,8119631,-312334.33902,27609.0,594992.0,,209756.0,,-305657.33902,,-0.07749,,,
2001-09-30,4174993.0,6893586,,120048,,48470,-1071013,10015.0,,,-288865,6903601,842.0,7666698,-124208,7618228,-124208,-124208,-0.02978,,0,,,0.0,,5550.0,763097,,,,,42920,-43217,,,124085,,,42920,42920,-8717.0,,1834110,-12018,7617594,,,,,,4174993.0,-43519,346602,,634,,521734.0,,-245346,,7626311.0,,58040,-146499,6814438,-124085.0,77479.0,,,-173607.0,,-120388.0,,-0.02978,,,
2001-12-31,,166420,,190448,,73162,-1383725,7063281.0,,,6698746,7229702,10925.0,7733828,-316454,7660665,-316454,-316454,,163023.0,0,,,0.0,,20444.0,504126,,,6896949.0,,47372,-99257,,,238869,,,47372,47372,-31077.0,,1840766,42920,7660037,,,,,,,6859368,264952,6620.0,628,,-521734.0,,-160622,,7691114.0,,5072,144907,133154,-238869.0,26646.0,47085.0,,788298.0,,-227944.0,,,,,
2002-03-31,4174993.0,202212,,198298,,273865,-1561821,7484737.0,,,-255743,7686948,3818.0,8023754,-179399,7749889,-179399,-179399,-0.02211,590975.0,0,,,0.0,,32118.0,336805,,,6890456.0,,230596,-100254,,,202116,,,230596,230596,-31048.0,,1851585,47328,7749261,,,,,1103.0,4174993.0,-100254,439011,4966.0,628,,0.0,,-155489,,7780309.0,,183268,20092,120778,-202116.0,76468.0,47041.0,,440658.0,,-198298.0,,-0.02211,,,
2002-06-30,4174993.0,1978683,,219351,,1142316,-1892310,5027432.0,,,-479932,7006116,4211.0,8880436,-250094,7738119,-250094,-250094,-0.02165,74440.0,0,,,0.0,,53310.0,1874320,,,4949515.0,,997278,-79284,,,223696,,,997278,997278,-32646.0,,0,230596,7737459,,,,,860.0,4174993.0,-79284,1244178,1818307.0,660,,-146275.0,,-400648,,7770105.0,,764246,-145531,160376,-223696.0,1818307.0,,,1392275.0,,-219485.0,,-0.02165,,,
