date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1994-12-31,208300000,4000000,-10800000,-160000000,900000,83500000.0,,1093100000,-0.0925,,100000.0,,,462700000,,-11700000,514500000,-1300000.0,29300000,29300000,2500000,,25300000,,,17300000.0,116756757.0,100000.0,18600000,1228400000,-10800000,,-163400000,915700000,59800000,-6200000,,68800000.0,,-163000000,,9300000.0,473800000,,-0.0925,,-312700000,100000,24400000,,-1700000,0,42100000,-162800000,64000000,557400000,300000.0,855900000,116756757.0,39600000,671000000,,41200000,,4600000,-315800000,3700000,1157100000,21900000,-3400000,165700000,-27600000.0,,,,,
1995-03-31,218500000,-4300000,6600000,33500000,6700000,70600000.0,,1140600000,0.0575,,0.0,,,433100000,,-200000,424100000,,25000000,25000000,2200000,,0,,,14700000.0,116756757.0,100000.0,21600000,1146500000,6600000,,30900000,840300000,63700000,-1400000,,71100000.0,,18100000,,41000000.0,424200000,,0.0575,,-306200000,-100000,27700000,,-2600000,0,40200000,90400000,65700000,494900000,-12300000.0,776600000,116756757.0,38500000,651600000,,42100000,,10700000,-309300000,4000000,1206300000,25500000,-2600000,-35200000,-29000000.0,,,,,
1995-06-30,6400000,-1000000,3700000,93600000,9900000,62200000.0,,1120000000,0.02,,148600000.0,,,415700000,,-6200000,438700000,,24000000,24000000,2500000,,0,,,10600000.0,185000000.0,100000.0,23000000,991900000,3700000,,90500000,844200000,65800000,-2400000,,73100000.0,-4000000.0,79100000,0.0,39600000.0,507500000,,0.02,,-147700000,-500000,26700000,,-3500000,0,43000000,-14500000,66700000,569800000,10100000.0,778400000,185000000.0,40000000,422100000,,42800000,,13100000,-305600000,3200000,1186700000,23700000,-3100000,-91200000,-30300000.0,,,,,
1995-09-30,8600000,8200000,10800000,-2700000,10800000,67200000.0,,1046400000,,,0.0,,,435800000,,100000,404500000,,32200000,32200000,2900000,,0,,,9700000.0,,,20300000,974400000,10800000,,-7300000,838700000,65500000,0,,76800000.0,-400000.0,-23700000,-400000.0,17800000.0,462800000,,,,-135700000,-4300000,29600000,,-8500000,0,45700000,37600000,72400000,530000000,1700000.0,773200000,,42800000,444400000,,45200000,,17100000,-294800000,6300000,1118800000,26700000,-4600000,19500000,-31600000.0,,,,,
1995-12-31,8200000,17700000,8900000,-52400000,8900000,73200000.0,,1212100000,0.05,,,,,509100000,,0,547800000,,49800000,49800000,2700000,,32200000,,,9100000.0,178000000.0,,19600000,1138500000,8900000,,-55700000,1014600000,66100000,-100000,,80000000.0,,-73400000,2700000.0,10900000.0,548000000,,0.05,,-123900000,0,27100000,,-3300000,0,46000000,-143300000,70400000,621200000,6800000.0,948500000,178000000.0,43300000,517300000,,46500000,,15300000,-286000000,6400000,1282500000,24400000,-3300000,73300000,-33500000.0,,,,,
1996-03-31,7500000,14000000,10100000,56600000,10100000,75500000.0,,1283300000,0.0575,,,,,500900000,,0,590700000,,63800000,63800000,2600000,,0,,,9900000.0,175652174.0,,27900000,1193500000,10100000,,50200000,1083100000,78500000,100000,,86000000.0,,46800000,3000000.0,9800000.0,609600000,,0.0575,,-110400000,-28400000,29900000,,-34300000,0,51500000,-10500000,78800000,685100000,-6200000.0,1004600000,175652174.0,48900000,508400000,,50600000,,17400000,-275900000,7300000,1362100000,27300000,-6400000,-8200000,-35400000.0,,,,,
1996-06-30,7100000,-4300000,3200000,-12500000,10400000,74300000.0,,1338800000,0.0175,,,,,471600000,,-7200000,616100000,,59600000,59600000,3100000,,0,,,9100000.0,182857143.0,,23400000,1146400000,3200000,,-14800000,1092000000,73900000,49400000,,88000000.0,,-35400000,3100000.0,10400000.0,593400000,,0.0175,,-54400000,-300000,29800000,,-2600000,0,54500000,-25400000,81200000,667700000,1500000.0,1018100000,182857143.0,51400000,478700000,,50500000,,17600000,-272700000,7200000,1420000000,26700000,-2300000,10800000,-37500000.0,,,,,
1996-09-30,5300000,6000000,13300000,48300000,13300000,70800000.0,,1412600000,,,0.0,,,433700000,,0,650300000,,65600000,65600000,3200000,,0,,,7900000.0,,,21200000,1224800000,13300000,,44600000,1188000000,72900000,0,,91500000.0,,25000000,-3000000.0,8900000.0,715000000,,,,-36800000,-700000,22700000,,-4400000,0,55000000,-33900000,74500000,785800000,1600000.0,1115100000,,51800000,439000000,,51700000,,11600000,-259400000,-1700000,1487100000,19500000,-3700000,-37800000,-39800000.0,,,,,
1996-12-31,6300000,-26800000,11800000,-203700000,11800000,73500000.0,,1660100000,0.0625,,,,,611900000,,100000,763100000,,38700000,38700000,3100000,,65600000,,,9300000.0,188800000.0,,20300000,1380400000,11800000,,-206600000,1355400000,71600000,-100000,,92000000.0,,-223000000,2300000.0,3600000.0,688700000,,0.0625,,-25000000,100000,32000000,,-1300000,0,57900000,-112800000,86800000,762200000,100000.0,1283800000,188800000.0,54800000,618200000,,51300000,,19700000,-247600000,7900000,1746900000,28900000,-2900000,178200000,-40700000.0,,,,,
1997-03-31,10700000,22400000,11100000,124100000,13100000,79300000.0,,1691900000,0.06,,,,,656200000,,-1900000,825400000,,61200000,61200000,3500000,,0,,,11100000.0,193043478.0,,52200000,1532600000,11100000,,118900000,1519500000,121700000,-3100000,,112600000.0,,103100000,2500000.0,11300000.0,786400000,,0.0575,,-13100000,-138700000,36000000,,-143500000,0,61100000,33000000,93600000,865700000,-1700000.0,1397800000,185000000.0,57600000,666900000,,69500000,,21500000,-236400000,8400000,1785500000,32500000,-5200000,41900000,-43100000.0,,,,,
