date,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyGoodwill
2018-04-30,237282092.0,,11820000,,,-2264000,,,,849000,,-517000,-7530000,32185000,48410000,50094000,3928000,,,,43830000,-0.005647,-53000,,-1243000,,,,97000,268804679.0,60070000,-1684000,135000,-3850000,,2759000,,-4636000,-1340000,-1340000,,6264000,,11660000,,0.0,,5000,,,,,36821000,-1091000,-13359000,-15500000,-1340000,,1167000,,,-0.005647,,,,,,,,,,,,,,,
2018-07-31,237282092.0,,11935000,,,2555000,,,,1126000,,4873000,-9018000,37867000,61553000,58131000,4757000,,,,51082000,0.001845,-39000,,3966000,,,,141000,268804679.0,74526000,3422000,349000,-6177000,,14351000,,5682000,3825000,3825000,,7049000,,12973000,,0.0,,81000,,,,,32185000,8174000,-9241000,-14776000,496000,,1451000,,,0.00209,,,,,,,,,,,,,,,
2018-10-31,237282092.0,,19792000,,,8205000,,,,2652000,,778000,-7185000,66051000,73278000,74341000,5694000,,,,65448000,-0.00252,0,,-458000,,,,140000,268804679.0,90121000,-1063000,17138000,-8094000,,18231000,,28184000,-598000,-598000,,8893000,,16843000,,0.0,,128000,,,,,37867000,10137000,-5175000,-18883000,-598000,,1841000,,,-0.00252,,,,,,,,,,,,,,,
2019-01-31,,48743000.0,25200000,,,-3526000,10651000.0,4963000.0,-135000.0,4314000,167332000.0,8041000,-15986000,65968000,86275000,80783000,6497000,152341000.0,115122000.0,276719000.0,69975000,,0,,6084000,-25153000.0,34892000.0,37275000.0,387000,,105800000,5492000,-88000,-12329000,-11468000.0,15991000,24241000.0,-83000,5697000,5697000,5473000.0,10808000,112777000.0,19525000,13596000.0,,63613000.0,131000,,176401000.0,63624000.0,242000.0,66051000,3662000,-13265000,-28857000,7584000,187233000.0,2549000,354565000.0,11508000.0,,77846000.0,,,,,,,,,,,,,,
2019-04-30,109708898.0,90681000.0,28890000,,,-1000,11993000.0,9678000.0,8000.0,6662000,719728000.0,6414000,-1319000,632137000,97884000,96327000,7676000,194425000.0,137337000.0,866340000.0,82544000,0.016228,0,,2530000,-22939000.0,84899000.0,90681000.0,316000,136428379.0,121988000,1557000,545252000,-6897000,-14784000.0,22236000,26850000.0,566169000,2214000,2214000,5768000.0,13783000,107389000.0,24104000,47410000.0,543471000.0,78888000.0,315000,,737182000.0,629793000.0,271000.0,65968000,15339000,-16103000,-23312000,2214000,279324000.0,4857000,999052000.0,9839000.0,0.020181,132712000.0,,,,,,,,,,,,,,
2019-07-31,271813141.0,103113000.0,22050000,-524000.0,,-7578000,17816000.0,819000.0,-68000.0,18075000,743796000.0,7698000,-447165000,216030000,117926000,115661000,7836000,228996000.0,163591000.0,916059000.0,100607000,0.02,0,,6757000,-17398000.0,97131000.0,103113000.0,1216000,292185665.0,145826000,2265000,-114000,-14040000,-18579000.0,31172000,31211000.0,-416107000,5541000,5541000,6438000.0,15054000,541380000.0,27900000,64586000.0,-524000.0,95682000.0,1628000,,755266000.0,213886000.0,272000.0,632137000,17132000,-19258000,-455175000,5521000,326127000.0,5433000,1069923000.0,13063000.0,0.02,153864000.0,,,,,,,,,,,,,,
2019-10-31,273316850.0,107156000.0,113200000,-455000.0,2764000.0,21652000,15062000.0,3202000.0,651000.0,21795000,772517000.0,4460000,-47615000,281830000,135748000,137427000,8850000,317803000.0,186537000.0,1019399000.0,119854000,0.01,0,-3000000.0,2530000,-15187000.0,97737000.0,107156000.0,319000,292771122.0,166593000,-1679000,51485000,-7195000,-22824000.0,61930000,32543000.0,65800000,2211000,2211000,61935000.0,17573000,580526000.0,30845000,128064000.0,-455000.0,95770000.0,978000,3000000.0,811400000.0,230874000.0,275000.0,216030000,54735000,-1525000,-150620000,2207000,415540000.0,6139000,1188057000.0,20710000.0,0.01,168658000.0,,,,,,,,,,,,,,
