date,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyBasicEPS,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2011-09-30,,,,,,,87091000.0,0.0,1897000,-16115000,,-2742000.0,,-7659000.0,160837000.0,,,,,0.0,-18546000,,-18546000,,,,,48354000,-1780000.0,,3919000.0,,,,-182933000.0,,92990000.0,6121000,39607000,63209000,,,34518000.0,3486000.0,32315000,,,87961000,-23602000,,-344709000.0,-61429000,,22181000.0,,,,171209000.0,,,7744000.0,29840000.0,,30894000,17876000.0,,-1907000.0,,,34518000.0,160837000.0,,-20116000,,,,
2011-12-31,,42810000.0,128891000.0,128891000.0,,61000.0,92990000.0,,-3919000,184000,53582000.0,-1346000.0,,-20895000.0,0.0,,1954000.0,-18761000.0,10814000.0,0.0,4025000,0.0,4025000,472655000.0,12051000.0,706000.0,47022000.0,55996000,-472771000.0,619241000.0,5030000.0,5244000.0,,,-21443000.0,,128891000.0,4008000,56938000,64920000,125737000.0,672797000.0,30413000.0,4927000.0,32225000,448000.0,-2433604000.0,112934000,-7982000,,727644000.0,-18896000,126185000.0,36585000.0,745426000.0,72629000.0,16872000.0,,,72343000.0,36037000.0,57480000.0,448000.0,32695000,29318000.0,2942000.0,-7314000.0,16114000.0,-12219000.0,28515000.0,0.0,,-3055000,,,,
2012-03-31,-1.310722,,,,,,,,3429000,7215000,,,,,,,,,,,3521000,,3521000,,,,,68954000,,,,,,,,,,472000,67709000,63453000,,,,,27376000,,,136663000,4256000,48635139.0,,-59110000,,,,,,,45097271.0,,,,,36719000,,,,,,,,,4256000,-1.310722,,,
2012-06-30,-1.035429,89035000.0,694994000.0,694994000.0,,37000.0,,,7723000,25127000,75126000.0,,,,,,2279000.0,-30013000.0,21001000.0,,17295000,0.0,17295000,0.0,19719000.0,1607000.0,64431000.0,95184000,,-1911347000.0,,4417000.0,,,,,,-2258000,92603000,68717000,205689000.0,798118000.0,,,27656000,2608810000.0,-2412788000.0,187787000,23886000,48635139.0,,-46695000,2814499000.0,,903152000.0,105034000.0,31805000.0,,45097271.0,105139000.0,,,1255000.0,41090000,,8331000.0,,23250000.0,-10328000.0,,,,23886000,-1.035429,,,
2012-09-30,0.532395,120411000.0,777108000.0,777108000.0,,61000.0,187934000.0,0.0,8782000,43520000,91350000.0,-17356000.0,,-20444000.0,0.0,,2811000.0,-38155000.0,20076000.0,,35134000,0.0,35134000,0.0,28142000.0,1612000.0,80424000.0,113056000,118000.0,753110000.0,5423000.0,3464000.0,,,26634000.0,,317997000.0,-552000,115699000,76168000,273341000.0,908906000.0,20489000.0,9119000.0,32007000,2261000.0,-2377654000.0,228755000,39531000,53191661.0,-221526000.0,28319000,275602000.0,82971000.0,1028712000.0,119806000.0,40639000.0,268475000.0,53191661.0,129505000.0,130049000.0,103415000.0,2261000.0,44794000,43379000.0,4189000.0,-6225000.0,32601000.0,-9049000.0,20489000.0,0.0,,48650000,0.532395,,,
2012-12-31,0.63,167374000.0,504702000.0,1402400000.0,,71000.0,317997000.0,-1000000.0,9107000,42200000,90299000.0,-40744000.0,,-15765000.0,522740000.0,,3485000.0,-47619000.0,19481000.0,,33227000,0.0,33227000,0.0,120289000.0,1604000.0,117616000.0,138939000,-1013000.0,1323285000.0,1566000.0,2950000.0,,,-452361000.0,,504702000.0,1187000,127887000,92663000,366417000.0,1577787000.0,26152000.0,10740000.0,39702000,6487000.0,-1311767000.0,266826000,35224000,52473054.0,-453371000.0,1147131000,372904000.0,105949000.0,1696189000.0,118402000.0,48001000.0,15784000.0,39500941.0,137918000.0,192093000.0,121714000.0,6487000.0,54122000,52122000.0,0.0,-2764000.0,28149000.0,-13423000.0,25602000.0,550555000.0,897698000.0,35224000,29.04,,,
2013-03-31,1.11,210890000.0,294287000.0,1505203000.0,,71000.0,,,13986000,77434000,86983000.0,,,,,,3384000.0,,18365000.0,,63927000,0.0,63927000,0.0,101866000.0,1601000.0,119647000.0,145693000,,1402773000.0,,3530000.0,,,,,,2416000,169268000,104780000,399665000.0,1694106000.0,,,51167000,6271000.0,-1247840000.0,314961000,64488000,57793341.0,,63927000,405936000.0,,1808709000.0,114603000.0,51181000.0,,55843861.0,,,,6271000.0,54119000,,0.0,,33976000.0,-15994000.0,,,1210916000.0,64488000,1.14,,,
2013-06-30,1.58,227299000.0,506838000.0,1678219000.0,,71000.0,,,17416000,110011000,88258000.0,,,,,,3322000.0,,17874000.0,,92820000,0.0,92820000,0.0,154641000.0,1589000.0,110548000.0,190942000,,1513255000.0,,20755000.0,,,,,,13833000,218102000,135533000,496885000.0,1883406000.0,,,66769000,5779000.0,-1155020000.0,409044000,82569000,58578043.0,,92820000,502664000.0,,2015919000.0,132513000.0,53821000.0,,55859862.0,88258000.0,,,5779000.0,70599000,,0.0,,54655000.0,-30562000.0,,,1171381000.0,82569000,1.66,,,
2013-09-30,,254025000.0,882697000.0,1865478000.0,,72000.0,,,27719000,156097000,94094000.0,,0.0,,,,4409000.0,-80119000.0,24097000.0,,128964000,0.0,128964000,0.0,161719000.0,1584000.0,104839000.0,248553000,,1678489000.0,,24341000.0,,,,,,5500000,238602000,104547000,549475000.0,2084178000.0,,,54165000,5434000.0,-1026056000.0,487155000,134055000,,,128964000,554909000.0,,2233398000.0,149220000.0,61042000.0,,,174213000.0,,,5434000.0,67148000,,6887000.0,,53457000.0,-36240000.0,,,982781000.0,134055000,,,,
2013-12-31,3.21,313415000.0,729598000.0,2162461000.0,,72000.0,882697000.0,8000000.0,30830000,222267000,102636000.0,-10146000.0,0.0,-25464000.0,6000.0,,4864000.0,-92535000.0,29127000.0,0.0,192016000,0.0,192016000,0.0,250760000.0,1577000.0,100101000.0,296811000,-675000.0,1887209000.0,812000.0,62029000.0,,0.0,-511253000.0,,729598000.0,7806000,315497000,120576000,701313000.0,2397089000.0,24895000.0,13902000.0,53408000,9425000.0,-874697000.0,612308000,194921000,59802052.0,-805790000.0,192016000,710738000.0,332962000.0,2597947000.0,200858000.0,78107000.0,312669000.0,56449190.0,195171000.0,-152821000.0,358426000.0,9425000.0,75139000,138531000.0,24498000.0,-17416000.0,56391000.0,-3780000.0,24895000.0,,1432863000.0,194921000,3.4,,,
