date,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyAccountsPayable,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyIncomeTaxPayable,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2018-03-31,,,,2084000,-14504000,,,12123000,-23000,7609000,31545000,,-1424000,,,17041000,14844000,11535000,,,,,,5801000,0.074433,,31267000,134000,74228000.0,5525000,10261000,-79000,20645000,-15277000,,,,,,8381000,20521000,2087000,550558000,2397000,,-773000,,,,-6908000,0.074472,,74189000.0,381989000,5525000,148048000,5525000,168569000,,,,136870000,-1322000,,,,,,,,,,,,,,
2018-06-30,,,,2748000,-9785000,,,13176000,-24000,10034000,23672000,,-1332000,,,13887000,12116000,11664000,,,,,,20645000,0.098157,,34874000,129000,74228000.0,7286000,-8366000,-14000,32761000,-10224000,,,,,,3739000,24008000,2690000,575058000,-2670000,,-439000,,,,5735000,0.098209,,74189000.0,399943000,7286000,151107000,7286000,175115000,,,,139872000,-1323000,,,,,,,,,,,,,,
2018-09-30,,,,2892000,-19604000,,0.0,12746000,-23000,10561000,30225000,,-1369000,,,10621000,8125000,11381000,,,,,,32761000,0.103317,,34785000,121000,74228000.0,7669000,-1000000,-24000,40886000,-20731000,,,,,,3655000,24087000,2719000,576844000,4735000,,-1127000,,,,-1446000,0.103371,,74189000.0,401295000,7669000,151462000,7669000,175549000,,,,139984000,-1322000,,,,,,,,,,,,,,
2018-12-31,304032000.0,,198304000.0,-1740000,-24042000,7349000.0,29000.0,14641000,-9921000,-6352000,20369000,2045000.0,-12874000,-118756000.0,1136490000.0,-3673000,-19823000,12477000,1376862000.0,68824000.0,21063000.0,68000.0,21063000.0,40886000,,98123000.0,20766000,10025000,,-3532000,3041000,-153470000,21063000,-27318000,-34000.0,150924000.0,422788000.0,12426000.0,1076911000.0,4566000,13851000,-1665000,585200000,-5465000,240372000.0,-3276000,5056000.0,747943000.0,850019000.0,-12673000,,31194000.0,,409036000,-4612000,162313000,-4612000,176164000,15135000.0,925987000.0,299951000.0,150783000,-721137000,,,,,,,,,,,,,,
2019-03-31,968017000.0,,212520000.0,1444000,-19120000,5705000.0,,16169000,-1643000,5218000,22240000,6463000.0,-3710000,,1803298000.0,3120000,-1467000,12849000,2059912000.0,66991000.0,19596000.0,68000.0,19596000.0,21063000,0.07,112492000.0,34236000,211000,74228000.0,5219000,16962000,-254000,19596000,-19997000,,193614000.0,968017000.0,16115000.0,1756061000.0,11509000,21656000,1436000,606271000,-9204000,256614000.0,-877000,6043000.0,747943000.0,848951000.0,-14216000,0.07,27786000.0,74189000.0,419254000,3774000,165361000,3774000,187017000,16571000.0,1562447000.0,303851000.0,153065000,-1813000,,,,,,,,,,,,,,
2019-06-30,998663000.0,-5162000.0,202715000.0,-4247000,-22367000,267000.0,,15211000,-3768000,-14879000,17478000,6302000.0,6129000,,1833979000.0,-4889000,-919000,13156000,2081598000.0,65400000.0,18677000.0,88000.0,18677000.0,19596000,-0.15,102482000.0,18329000,22750000,70475000.0,-10632000,-13342000,-83000,18677000,-24526000,,176270000.0,998663000.0,5400000.0,1364910000.0,7335000,5735000,-4223000,645289000,-16884000,247619000.0,-2159000,6796000.0,747943000.0,462119000.0,9806000,-0.15,25973000.0,70475000.0,446569000,-10632000,192985000,-10632000,198720000,12348000.0,1188640000.0,716688000.0,180391000,-398000000,,,,,,,,,,,,,,
2019-09-30,1020441000.0,-472000.0,206418000.0,3689000,-32871000,267000.0,0.0,7288000,-2956000,16134000,64772000,6112000.0,-4019000,,1856855000.0,31901000,25343000,13783000,2134846000.0,64091000.0,44020000.0,88000.0,44020000.0,18677000,0.13,116486000.0,37205000,2892000,93183000.0,12445000,16613000,-42000,44020000,-35410000,,206231000.0,1020441000.0,17803000.0,1403968000.0,9296000,23948000,3576000,652540000,21914000,277991000.0,-2539000,4892000.0,747943000.0,462251000.0,-3704000,0.14,33364000.0,88345000.0,451453000,12445000,177139000,12445000,201087000,15924000.0,1197737000.0,730878000.0,163939000,0,,,,,,,,,,,,,,
