date,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGrossProfit,quarterlyInventory,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyGoodwill
1997-05-31,,388200000,18200000,900000,117800000,2900000,100000.0,-1200000.0,,-0.005,123100000,177600000,-1500000,120700000,-1200000,511300000,-33600000,-1200000,-1200000,4500000,,,43720000.0,160000000,390600000,0,-41700000,-11000000.0,,4300000.0,0,,17600000,77500000,,19100000,-2000000,,,211400000,122000000,-0.005,-800000,211400000,170400000,-43400000,72900000,500000.0,,1100000,0,72900000,-3700000.0,,,9800000,,125700000.0,,9900000,38700000,100000.0,41000000,,,6200000.0,-600000,,43720000.0,,,,,,,,
1997-08-31,,410300000,21400000,1000000,184200000,3100000,0.0,-3000000.0,,-0.01,165800000,206400000,-2600000,187300000,-1700000,576100000,-121900000,-1700000,-1700000,7600000,,,43952000.0,186600000,388800000,0,-80700000,-38900000.0,,-54200000.0,100000,,19800000,128800000,,22400000,-2800000,,,130000000,162800000,-0.01,-1100000,130000000,0,-70200000,123900000,300000.0,,3000000,0,51000000,-4700000.0,,,-51700000,,167500000.0,,-50600000,53500000,-300000.0,-81400000,,,6800000.0,-1600000,,43952000.0,,,,,,,,
1997-11-30,,335900000,30000000,1500000,167900000,3300000,,,,-0.045,215100000,227100000,-14600000,171200000,-9100000,551000000,-79600000,-9100000,-9100000,8300000,,,44320000.0,210200000,379800000,0,-91100000,-39000000.0,,,0,,16900000,127200000,,31500000,-14900000,,,11300000,213400000,-0.045,-5800000,11300000,0,-52100000,123700000,300000.0,,1700000,100000,-100000,-6200000.0,,,-27500000,,219600000.0,,-21600000,36100000,1800000.0,-118800000,,,8100000.0,-13100000,,44320000.0,,,,,,,,
1998-02-28,,232600000,58200000,1200000,55600000,32800000,,,,,215700000,263100000,-35600000,88400000,-22100000,448300000,-85300000,-22100000,-22100000,1300000,5300000.0,,,239300000,359900000,0,125500000,137100000.0,,,0,100000.0,23800000,144000000,27400000.0,59400000,-36300000,,,26400000,214100000,,-14200000,26400000,0,-68600000,400000,700000.0,,1600000,-100000,-93700000,-7400000.0,,,-16700000,,221500000.0,,-3700000,51200000,-3500000.0,15200000,2300000.0,,4000000.0,-34400000,,,,,,,,,,
1998-05-31,,286600000,44900000,2100000,74500000,59100000,,,,-0.015,204900000,346400000,-5000000,133600000,-3200000,491500000,-100400000,-3200000,-3200000,4600000,5500000.0,,45216000.0,304400000,357900000,0,9000000,0.0,,-54100000.0,-100000,1500000.0,42000000,195900000,52100000.0,47000000,-5300000,,,15500000,203100000,-0.015,-2100000,15500000,26400000,-54300000,800000,200000.0,,1800000,0,26200000,-7400000.0,,,-46100000,,210500000.0,,-45300000,65800000,-100000.0,-10900000,1100000.0,,7900000.0,-2900000,,45216000.0,,,,,,,,
1998-08-31,,293400000,49700000,2200000,66200000,115200000,,,,-0.015,243400000,400000000,-3500000,181400000,-3000000,536800000,-57700000,-3000000,-3000000,4400000,6100000.0,,45574000.0,351600000,355400000,0,-39500000,100000.0,,15400000.0,-100000,1700000.0,48400000,180800000,107400000.0,51900000,-4900000,,,18800000,240400000,-0.015,-1900000,18800000,0,-39600000,5800000,1300000.0,,3000000,-1100000,60900000,-11400000.0,,,-18100000,,251800000.0,,-17100000,53400000,,3300000,,,7000000.0,-1300000,,45574000.0,,,,,,,,
1998-11-30,,282300000,50000000,2400000,132300000,69400000,,,,-0.035,268200000,345900000,-10300000,201700000,-7300000,550500000,-38700000,-7300000,-7300000,3400000,6500000.0,,45760000.0,303800000,348800000,0,-23000000,-100000.0,,,100000,1800000.0,42100000,174300000,61100000.0,52400000,-12000000,,,5600000,253500000,-0.035,-4700000,5600000,0,-38100000,66900000,1800000.0,,14700000,2300000,10400000,-13700000.0,,,-600000,,267200000.0,,-600000,52200000,,-13200000,,,13200000.0,-7900000,,45760000.0,,,,,,,,
1999-02-28,,341100000,59700000,3300000,81900000,148900000,,,,,230100000,374000000,-13200000,230800000,-10000000,571200000,-65100000,-10000000,-10000000,500000,5100000.0,,,324200000,340400000,0,13000000,100000.0,,,-200000,4100000.0,49800000,225500000,139700000.0,63000000,-16400000,,,17700000,203900000,,-6400000,17700000,0,-47900000,5900000,3000000.0,,26200000,0,16300000,-15800000.0,,,-17200000,,219700000.0,,-16800000,59800000,6300000.0,12100000,1700000.0,,16200000.0,-9900000,,,,,,,,,,
1999-05-31,,404600000,55900000,2600000,193100000,121600000,100000.0,,,0.015,254300000,486100000,6200000,314700000,2700000,658900000,-62200000,2700000,2700000,900000,5500000.0,,46796000.0,421400000,344200000,0,-43700000,0.0,,-19900000.0,-100000,4700000.0,64700000,261800000,111400000.0,58500000,4400000,,,14200000,214600000,0.015,1700000,14200000,17700000,-45300000,90300000,1700000.0,,39700000,-100000,57100000,-17800000.0,,,-16900000,,232400000.0,,-23500000,76400000,1200000.0,-3500000,1100000.0,,26400000.0,8800000,,46796000.0,,,,,,,,
1999-08-31,,466300000,55900000,4200000,232400000,151000000,,,,0.015,266100000,535700000,7900000,383400000,3200000,732400000,-27300000,3200000,3200000,1000000,6100000.0,,47920000.0,467700000,349000000,35700000,-17800000,0.0,,-22400000.0,-100000,5200000.0,68000000,286000000,139700000.0,60100000,5200000,,,35700000,225500000,0.015,2000000,35700000,0,-17800000,109200000,2600000.0,,40600000,100000,48800000,-21000000.0,,,-9500000,,246500000.0,,-17400000,100400000,500000.0,21500000,1500000.0,349000000.0,22800000.0,12100000,,47920000.0,,,,,,,,
