date,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyTaxProvision,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInInventory,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyResearchAndDevelopment
1993-12-31,1400000,4200000,4200000,1200000.0,15800000,,108700000.0,13400000,,81608000.0,,,200000,,9400000.0,,19100000,60800000,1600000,,22200000,22200000,6400000,,71700000,5700000.0,200000.0,,126900000,2000000,163200000,4200000,54000000.0,0.00625,900000,,81608000.0,-34900000.0,20100000.0,,1900000.0,13400000.0,,,,9200000,,36300000,0,-4700000,-4200000.0,,26700000,0.00625,,7600000,,91500000,17500000,116300000,,10600000,8900000,-7900000,,3400000,40100000,-500000.0,7600000,-11200000.0,19100000,,,,,,
1994-03-31,13800000,3800000,3800000,2000000.0,12800000,,119300000.0,12800000,,80444000.0,,,200000,,8600000.0,,18600000,59600000,1900000,,35000000,35000000,0,,70400000,6600000.0,200000.0,,138100000,1800000,178200000,3800000,-54300000.0,0.00625,12800000,,80444000.0,0.0,21200000.0,,1600000.0,11600000.0,,,,9000000,,40100000,0,-1000000,0.0,,25700000,0.00625,,6900000,,107800000,16800000,127500000,,10600000,9000000,-4000000,,3100000,38500000,-1000000.0,7100000,-12200000.0,-100000,,,,,,
1994-06-30,7800000,3600000,3600000,1300000.0,3400000,-52500000.0,116800000.0,14700000,,81448000.0,,,200000,,10000000.0,,23200000,59300000,1800000,,38400000,38400000,0,,69900000,5800000.0,300000.0,,136400000,1500000,181900000,3600000,-800000.0,0.005,6700000,,81448000.0,100000.0,20300000.0,,2500000.0,16900000.0,,,,8500000,,45500000,0,-5100000,100000.0,,29800000,0.005,,6600000,,112000000,21300000,125100000,,11300000,9100000,-400000,,3000000,44500000,-1100000.0,6600000,-11200000.0,800000,,,,,,
1994-09-30,11500000,3400000,3400000,5900000.0,8200000,54300000.0,135700000.0,14700000,,,,,-400000,,6400000.0,,25300000,55000000,2000000,,46600000,46600000,0,0.0,68100000,5900000.0,-500000.0,,183600000,3500000,232600000,3400000,1300000.0,,10000000,,,0.0,23700000.0,,29700000.0,24900000.0,,,,8000000,,49000000,0,-2300000,-800000.0,,31300000,,,6200000,,164500000,23300000,171300000,,12300000,9600000,3100000,,2800000,46000000,-1500000.0,6000000,-14100000.0,-1000000,,,,,,
1994-12-31,2200000,7100000,7100000,1700000.0,-2800000,,115000000.0,19200000,,83580000.0,,,300000,,2000000.0,,23900000,54300000,1900000,,47900000,47900000,50700000,,66200000,5500000.0,,,165700000,3300000,221000000,7100000,200000.0,0.02,1800000,,83580000.0,,11500000.0,,41500000.0,20700000.0,,,,14500000,,55300000,0,-400000,0.0,,36500000,0.02,-6800000.0,12900000,,154800000,22000000,162000000,,3700000,8600000,10200000,,5800000,55700000,-400000.0,12600000,-2900000.0,-4600000,,,,,,
1995-03-31,24400000,6100000,6100000,4300000.0,17000000,,118500000.0,17300000,,84468000.0,,,400000,,2300000.0,,22800000,53500000,1900000,,60800000,60800000,0,,66600000,40000000.0,,,170400000,3400000,232100000,6100000,-200000.0,0.0175,22700000,,84468000.0,,12600000.0,,5300000.0,28300000.0,,,,12600000,,61700000,0,-7200000,-5500000.0,,33400000,0.0175,,11100000,,165500000,20800000,163800000,,6600000,9700000,16200000,,5000000,50700000,-1700000.0,10600000,-2900000.0,-200000,,,,,,
1995-06-30,7400000,6200000,6200000,1700000.0,4100000,,120400000.0,20100000,,92372000.0,,,700000,,2300000.0,,28400000,53100000,2000000,,64900000,64900000,0,-9000000.0,70100000,5500000.0,,,160700000,3500000,236600000,6200000,7400000.0,0.035,2800000,,92372000.0,,16400000.0,,30800000.0,36400000.0,,,,12300000,,75900000,0,-13500000,100000.0,,38700000,0.035,,10900000,,166500000,26500000,156700000,,4000000,13500000,22400000,,4700000,58800000,-4600000.0,10300000,-2900000.0,10300000,,,,,,
1995-09-30,21200000,6200000,6200000,,-2600000,10700000.0,164400000.0,22500000,,,,,900000,,,,31700000,58300000,2300000,,62300000,62300000,0,-10400000.0,82800000,6700000.0,,,215100000,4700000,300600000,6200000,-7500000.0,,13400000,,,,41200000.0,,40700000.0,56300000.0,,,,12100000,,85500000,0,-26400000,-8200000.0,,41500000,,,10800000,,217800000,29400000,211800000,,3300000,19800000,28600000,,4600000,64000000,-7800000.0,9800000,-21400000.0,2200000,,,,,,
1995-12-31,3800000,11500000,11500000,,-17600000,1100000.0,187900000.0,37100000,,89088000.0,,,800000,,,,40100000,66500000,3000000,,49000000,49000000,66600000,,96600000,2300000.0,,,251400000,5700000,321500000,11500000,1800000.0,0.06,1200000,1200000.0,89088000.0,,45800000.0,,56900000.0,55400000.0,,,,22300000,,70100000,0,-19700000,-18300000.0,,59400000,0.06,,20200000,,224900000,37100000,247100000,,4300000,24400000,40100000,,8700000,96500000,-2600000.0,19300000,-21400000.0,-1600000,,,,,,
1996-03-31,25700000,11700000,11700000,,16300000,8900000.0,175400000.0,34100000,,92169000.0,,,800000,,,,37000000,66800000,2900000,,65200000,65200000,0,,102800000,2300000.0,,,241000000,8300000,339800000,11700000,4100000.0,0.06,23000000,,92169000.0,,59000000.0,,56100000.0,74700000.0,,,,22600000,,98800000,0,-22400000,0.0,,56700000,0.06,,20500000,,237000000,34100000,233800000,,7200000,27700000,32800000,,8800000,90800000,-2700000.0,19700000,-31300000.0,13000000,,,,,,
