date,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyStockBasedCompensation,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsPayable
1993-03-31,,,,,5326000.0,3600000,,,,3600000,,,,,,,,,,,,,,0.01,,,,,,,,3600000,,,,100000,100000,,,,,,,,,,,,,,5326000.0,,,,,,,,,0.01,,,,,,,100000,,,,,,,,,,
1993-06-30,,,,,5326000.0,3600000,,,,3600000,,,,,,,,,,,,,,0.01,,,,,,,,3600000,,,,100000,100000,,,,,,,,,,,,,,5326000.0,,,,,,,,,0.01,,,,,,,100000,,,,,,,,,,
1993-09-30,,,,,5326000.0,3600000,,,,3600000,,,,,,,,,,,,,,0.01,,,,,,,,3600000,,,,100000,100000,,,,,,,,,,,,,,5326000.0,,,,,,,,,0.01,,,,,,,100000,,,,,,,,,,
1993-12-31,,,,,,11800000,,,,11800000,,93000000.0,,,,,,,,,,,,,,-100000.0,148500000.0,,,,,3600000,,,,0,0,,,,,,900000.0,,,,,,46400000.0,,,,,,,,,,,,,,,50800000.0,,157500000.0,0,,,,,,,,,,
1994-03-31,,,,,5925926.0,10800000,,-1800000.0,,12300000,,103700000.0,,,,-18200000.0,,-700000.0,-3800000.0,,,600000.0,400000.0,0.27,,-1200000.0,192700000.0,,,-3400000.0,,7000000,-18200000.0,12500000.0,,1600000,1600000,,-3900000.0,1900000.0,,,1800000.0,,,,11700000.0,,66300000.0,,5925926.0,-500000.0,,1500000.0,,,6200000.0,-200000.0,,0.27,1100000.0,,-12500000.0,72700000.0,-16300000.0,199600000.0,1600000,,,,,,,,,,
1994-06-30,,,,,6000000.0,11200000,,2800000.0,,12900000,,102500000.0,,,,-14400000.0,,1400000.0,-3900000.0,,,-1600000.0,500000.0,0.25,,-2300000.0,207000000.0,,,-100000.0,,7300000,-14400000.0,9100000.0,,1500000,1500000,,-800000.0,4400000.0,,,3100000.0,,,,0.0,,81400000.0,,6000000.0,-3100000.0,,1700000.0,,,,0.0,,0.25,1200000.0,,10300000.0,89200000.0,-10000000.0,214700000.0,1500000,,,,,,,,,,
1994-09-30,,,,,8800000.0,13000000,,1400000.0,,14700000,,174600000.0,,,,-14700000.0,,800000.0,-4400000.0,,,-200000.0,600000.0,0.25,,-4300000.0,220800000.0,,,-4800000.0,,8600000,-14700000.0,49200000.0,,2200000,2200000,,39600000.0,5100000.0,,,5700000.0,,,,74100000.0,,63000000.0,,8800000.0,-3200000.0,,1700000.0,,,,-100000.0,,0.25,1100000.0,,2300000.0,73400000.0,-9600000.0,270700000.0,2200000,,,,,,,,,,
1994-12-31,,,,,,14400000,,-3400000.0,,16800000,,172900000.0,,,,-38500000.0,,-1800000.0,-5000000.0,,,1300000.0,600000.0,,,-6100000.0,249900000.0,,,4700000.0,,9400000,40200000.0,0.0,,2500000,2500000,,-35700000.0,2800000.0,,,8000000.0,,,,0.0,,62900000.0,,,-4700000.0,,2400000.0,,,,100000.0,,,1200000.0,,0.0,71700000.0,43000000.0,267400000.0,2500000,,,,,,,,,,
1995-03-31,,,,,9666667.0,14700000,,1000000.0,,16900000,,171500000.0,,,,-7100000.0,,200000.0,-4900000.0,,,-200000.0,600000.0,0.3,,-7400000.0,274500000.0,,,-4400000.0,,9800000,-2600000.0,-2700000.0,,2900000,2900000,,-3900000.0,5900000.0,,,10700000.0,,,,,,73800000.0,,9666667.0,-4700000.0,,2200000.0,,,5400000.0,300000.0,-4500000.0,0.3,1000000.0,,2000000.0,83000000.0,3300000.0,290500000.0,2900000,,,,,,,,,,
1995-06-30,,,,,9677419.0,17000000,,200000.0,,19500000,,171100000.0,,,,-19600000.0,,700000.0,-5700000.0,,,400000.0,600000.0,0.31,,-8800000.0,292300000.0,,,-1300000.0,,11300000,-600000.0,13400000.0,,3000000,3000000,,-100000.0,6100000.0,,,15400000.0,,,,,,95400000.0,,9677419.0,-5200000.0,,2500000.0,,,,-600000.0,-19100000.0,0.31,1300000.0,,18600000.0,105400000.0,5500000.0,313400000.0,3000000,,,,,,,,,,
1995-09-30,,,,,10000000.0,18100000,,-400000.0,,20700000,-4300000.0,169900000.0,,,,-13100000.0,,-500000.0,-6200000.0,,,-900000.0,600000.0,0.3,,-10200000.0,305900000.0,,,900000.0,,11900000,3000000.0,9000000.0,,3000000,3000000,,100000.0,4300000.0,,,12400000.0,,,,0.0,,109300000.0,,10000000.0,-4900000.0,,2600000.0,,,,,-11800000.0,0.3,1600000.0,,13900000.0,118800000.0,7300000.0,325100000.0,3000000,,,,,,,,,,
1995-12-31,,,,,,18000000,,400000.0,,20400000,6000000.0,177600000.0,,,,-700000.0,,200000.0,-5800000.0,,,-1800000.0,600000.0,,,-7400000.0,310000000.0,,,-2300000.0,,12200000,-38000000.0,-4500000.0,,2800000,2800000,,-1400000.0,3800000.0,,,4100000.0,,,,-100000.0,,111000000.0,,,-5000000.0,,2400000.0,,,,,31300000.0,,2400000.0,,900000.0,115600000.0,-34200000.0,325100000.0,2800000,,,,,,,,,,
1996-03-31,,,,100000.0,10000000.0,18600000,,-800000.0,,21400000,,172300000.0,,,,-1500000.0,,-400000.0,-6200000.0,,,1000000.0,700000.0,0.29,,-13500000.0,309000000.0,,,-400000.0,,12400000,,-300000.0,,2900000,2900000,,4100000.0,5900000.0,,,7300000.0,,,,800000.0,,115100000.0,,10000000.0,-5200000.0,,2800000.0,,,100000.0,,-1600000.0,0.29,2000000.0,,4900000.0,124800000.0,5900000.0,327900000.0,2900000,,,,,,,,,,
1996-06-30,,,,0.0,10000000.0,34000000,,14600000.0,,37700000,,283600000.0,,,,-188000000.0,,7300000.0,-15900000.0,,,-4900000.0,800000.0,0.32,200000.0,-22200000.0,533300000.0,-1300000.0,,-106700000.0,,18100000,,183000000.0,,-1500000,-1500000,,7000000.0,12000000.0,,,,,,,120100000.0,,180000000.0,,10000000.0,-5900000.0,,3700000.0,,,,,-188000000.0,0.32,2700000.0,,188900000.0,203100000.0,12000000.0,556400000.0,-1500000,,,,,,,,,,
1996-09-30,,,,,15151515.0,31400000,,2000000.0,,35400000,,287700000.0,,,,-9600000.0,,1000000.0,-10500000.0,,,-1200000.0,900000.0,0.33,,-24100000.0,538600000.0,,,0.0,,20900000,,-1700000.0,,5000000,5000000,,-1500000.0,9800000.0,,,,,,,-3000000.0,,180000000.0,,15151515.0,-7100000.0,,4000000.0,,,,,189200000.0,0.33,3200000.0,,5400000.0,204200000.0,-188900000.0,561400000.0,5000000,,,,,,,,,,
1996-12-31,,,,,,-62147000,,-4827000.0,,-57747000,,300932000.0,,,,122182000.0,,300000.0,67876000.0,,,-3959000.0,1058000.0,,,-18370000.0,558278000.0,,,-134014000.0,,21699000,119978000.0,-130381000.0,,15453000,5204000,,-485000.0,7714000.0,,,,,,,-130000.0,,185000000.0,,,-7765000.0,9236000.0,4400000.0,9236000.0,154000.0,,,400000.0,,3400000.0,,14828000.0,201841000.0,127692000.0,585056000.0,5204000,,,,,,,,,,
1997-03-31,,,,,15555556.0,35200000,,8400000.0,,40000000,,300300000.0,,,,-13800000.0,,4200000.0,-11800000.0,,,-4000000.0,1100000.0,0.36,,-27200000.0,563000000.0,,,,,23400000,-9300000.0,300000.0,,5600000,5600000,,1300000.0,14800000.0,,,,,,,8200000.0,,185000000.0,,15555556.0,-7900000.0,,4800000.0,,,9200000.0,,-4500000.0,0.36,3400000.0,,8200000.0,214600000.0,5500000.0,596000000.0,5600000,,,,,,,,,,
1997-06-30,,,,,15882353.0,35100000,,-9800000.0,,40100000,,304000000.0,,,,-16000000.0,,-2500000.0,-11900000.0,,,6400000.0,1100000.0,0.34,,-29200000.0,568300000.0,,,,,23200000,-10000000.0,-200000.0,,5400000,5400000,,-9200000.0,7000000.0,,,,,,,8300000.0,,185000000.0,,15882353.0,-8500000.0,,5000000.0,,,,,-3400000.0,0.34,3400000.0,,8300000.0,212200000.0,-3000000.0,597000000.0,5400000,,,,,,,,,,
1997-09-30,,,,,16470588.0,36500000,,2200000.0,,41600000,-13800000.0,312200000.0,,,,-41700000.0,,3300000.0,-12400000.0,,,-200000.0,1100000.0,0.34,,-31300000.0,586300000.0,,,-2300000.0,,24100000,-22900000.0,29400000.0,,5600000,5600000,,400000.0,12700000.0,,,,,,,10300000.0,,215000000.0,,16470588.0,-8600000.0,,5100000.0,,,,-2200000.0,-5000000.0,0.34,3600000.0,,0.0,245600000.0,-10200000.0,638300000.0,5600000,,,,,,,,,,
