date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2000-09-30,478200000,193800000.0,2624100000,1645000000,409600000,,,0.01,288300000,,,910400000,500000,500000,,59300000,143900000.0,500000,4900000,61700000.0,,363500000,,,,267300000,,92000000,92000000,9100000.0,,407900000,1701000000,,493800000.0,,73700000,,,,,0.01,1200000.0,78200000,,879200000.0,329500000,73100000,,880400000,-444000000.0,,900000,743300000,,18900000,,,61200000.0,5100000,,,1400000,,,790600000,979100000,487800000,1187300000,,,,,,,,
2000-12-31,442400000,0.0,2460700000,1664200000,595400000,330400000.0,175700000.0,,309000000,-22000000.0,,884200000,-13200000,-13200000,,64200000,132800000.0,-13200000,-16700000,,37900000.0,337100000,-32600000.0,-200000.0,,239800000,24700000.0,37900000,37900000,13400000.0,0.0,420100000,1619100000,57200000.0,540300000.0,200000.0,20100000,,,,92000000.0,,1200000.0,97900000,,-78600000.0,319400000,54700000,1900000.0,827600000,-462600000.0,,-7700000,703800000,,67900000,0.0,,,43200000,169300000.0,,-20900000,0.0,52200000.0,734900000,796500000,693300000,1166400000,-38800000.0,96000000.0,-86400000.0,,,,,
2001-03-31,439700000,0.0,2351900000,1629700000,598400000,291600000.0,149400000.0,-0.24,309200000,-5800000.0,,871900000,-21400000,-21400000,,81900000,123000000.0,-21400000,-28600000,90100000.0,32100000.0,319100000,-20200000.0,-5600000.0,,180300000,26400000.0,32100000,32100000,12900000.0,0.0,405300000,1547300000,59000000.0,527900000.0,14200000.0,16500000,,,,37900000.0,-0.24,1200000.0,111300000,,-100300000.0,345700000,129300000,-900000.0,791300000,-462600000.0,,-16900000,696500000,,8400000,,,89700000.0,-18000000,142300000.0,,-38300000,-9100000.0,60400000.0,675400000,722200000,709700000,1159100000,-19300000.0,78300000.0,-63100000.0,,,,,
2001-06-30,439100000,0.0,2221500000,1633300000,578800000,198900000.0,162200000.0,0.03,310900000,4100000.0,,872300000,2500000,2500000,,77600000,122300000.0,2500000,5100000,90500000.0,36200000.0,271500000,-9000000.0,-5700000.0,,17000000,25900000.0,36200000,36200000,10900000.0,0.0,413200000,1412300000,163600000.0,546000000.0,47100000.0,14900000,,,,32100000.0,0.03,1200000.0,116600000,,-101300000.0,360800000,99300000,7700000.0,791500000,-462600000.0,,6000000,674100000,,43200000,,,89800000.0,17300000,139100000.0,,8500000,5100000.0,151000000.0,540000000,588200000,695400000,1136700000,-16700000.0,180300000.0,-167300000.0,,,,,
2001-09-30,443600000,0.0,2230500000,1630200000,548500000,194300000.0,185000000.0,0.03,306700000,-3000000.0,,867200000,2900000,2900000,,73800000,116900000.0,2900000,-3800000,90900000.0,33200000.0,279100000,-13500000.0,-5700000.0,,39100000,20600000.0,33200000,33200000,8900000.0,4300000.0,408100000,1431700000,-17500000.0,554600000.0,-6200000.0,17700000,,,,36200000.0,0.03,1200000.0,111100000,,-96300000.0,340400000,95500000,-4700000.0,783800000,-462600000.0,,1700000,667500000,,36200000,,,89900000.0,15600000,136300000.0,,4600000,1200000.0,-32700000.0,564500000,600300000,659600000,1130100000,-11600000.0,-5900000.0,16200000.0,,,,,
2001-12-31,426800000,0.0,2061200000,1575600000,497300000,135600000.0,169400000.0,,340700000,-15000000.0,,832000000,-30100000,-30100000,537300000.0,70900000,64500000.0,-30100000,-40900000,,18200000.0,255300000,-32200000.0,-5900000.0,,19300000,18400000.0,18200000,18200000,9200000.0,0.0,354700000,1332100000,23400000.0,,24600000.0,16500000,,,,33200000.0,,1200000.0,92600000,,-110700000.0,311400000,118700000,-1200000.0,713400000,-529900000.0,,-16400000,683600000,,-7700000,,,,-26100000,100300000.0,,-46500000,-26200000.0,76500000.0,500100000,485600000,589900000,1213500000,-32600000.0,56000000.0,-38400000.0,,,,,
2002-03-31,424400000,0.0,2058500000,1484800000,503900000,205200000.0,164300000.0,-0.64,340500000,4300000.0,,823400000,-3600000,-57300000,481500000.0,81100000,58500000.0,-57300000,-7100000,90000000.0,22500000.0,271700000,-8600000.0,-5800000.0,,68300000,18300000.0,22500000,22500000,8800000.0,0.0,329900000,1389200000,-42700000.0,,-16500000.0,17800000,,,,18200000.0,-0.64,1200000.0,109300000,,-111400000.0,333200000,102800000,2100000.0,653400000,-529900000.0,,-2200000,673400000,,24800000,2700000.0,,90000000.0,6500000,37200000.0,,-5800000,,-47600000.0,565800000,573700000,613200000,1203300000,-10700000.0,-32000000.0,45500000.0,,,,,
2002-06-30,585400000,0.0,2154700000,1500300000,577700000,239900000.0,159100000.0,0.07,341300000,23700000.0,,988500000,6100000,6100000,446800000.0,76300000,61800000.0,6100000,2200000,92500000.0,46200000.0,291900000,-27300000.0,-5400000.0,,20100000,19100000.0,46200000,46200000,11400000.0,0.0,335800000,1471600000,-73400000.0,33900000.0,-14700000.0,15600000,,,,22500000.0,0.07,1200000.0,114300000,,664100000.0,303900000,91600000,-4200000.0,665300000,-529900000.0,,3900000,683800000,,41800000,2300000.0,,90300000.0,22700000,,,100000000,,-70700000.0,483100000,654400000,692000000,1213700000,-23100000.0,-50300000.0,102100000.0,,,,,
2002-09-30,589400000,0.0,2131000000,1489900000,564700000,217300000.0,159400000.0,0.11,323500000,7200000.0,,978300000,9800000,9800000,,69600000,65400000.0,9800000,12300000,91700000.0,53400000.0,292600000,1600000.0,-5700000.0,,19400000,18900000.0,53400000,53400000,11900000.0,8300000.0,327200000,1453100000,-14800000.0,479500000.0,-2200000.0,16100000,,,,46200000.0,0.11,1200000.0,103800000,,-111000000.0,296000000,77200000,18300000.0,661600000,-529900000.0,,6100000,683200000,,45500000,2000000.0,,90700000.0,26600000,41900000.0,,15900000,,1700000.0,474800000,641100000,668500000,1213100000,-18600000.0,3800000.0,3000000.0,,,,,
2002-12-31,492200000,0.0,1997500000,1483300000,451900000,164300000.0,160200000.0,,383700000,-12000000.0,,914900000,-18900000,-17500000,,75600000,39000000.0,-17500000,-2600000,,41400000.0,253700000,-44300000.0,-5800000.0,,91700000,16200000.0,41400000,41400000,10300000.0,0.0,324400000,1408800000,24500000.0,476800000.0,34200000.0,12700000,,,,53400000.0,,1200000.0,72600000,,-168600000.0,242000000,88000000,-23000000.0,579700000,-610900000.0,,-13000000,682100000,,800000,0.0,,,-15400000,18700000.0,,-31900000,,37300000.0,493900000,514200000,524500000,1293000000,-22700000.0,47200000.0,-14200000.0,,,,,
