date,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInInventory
1998-03-31,5600000,10900000,,-5200000,-30100000,-36700000,-5200000,800000,-65700000.0,-100000.0,,,-6000000,-6600000,4000000,,,9700000,-700000,-0.07,54200000,12800000.0,10800000,37900000,,-100000.0,51200000,,-100000,,2000000,0,2000000,-0.07,,0,400000,-5200000,-5200000,,12200000,,,,8000000,74285714.0,,,8800000,,,12200000,,,-1000000,44000000.0,1600000,,0.0,-5600000,44000000,900000,-4000000.0,8300000,9700000.0,,63900000,,,36600000,74285714.0,3900000,1200000.0,,,,
1998-06-30,6300000,13300000,,-4900000,12700000,-41500000,-4900000,900000,29100000.0,,,,-5800000,-3500000,5300000,,,10100000,1900000,-0.06,51300000,14100000.0,13400000,24100000,,100000.0,46500000,,100000,,2000000,0,3300000,-0.06,,100000,600000,-4900000,-4900000,,22900000,,,,9100000,81666667.0,,,9200000,,,22900000,,,-1400000,0.0,1900000,,0.0,-2100000,100000,900000,-4900000.0,10600000,11400000.0,,61400000,,,-15100000,81666667.0,0,1900000.0,,,,
1998-09-30,7800000,20000000,,-7700000,-2600000,-48300000,-3900000,1200000,-11900000.0,,,,-5100000,-4000000,10500000,,,10300000,1200000,-0.09,53300000,15400000.0,19900000,26700000,,-100000.0,42400000,,-100000,,4000000,0,6500000,-0.09,,-200000,-3000000,-7700000,-7700000,,18100000,,,,11600000,85555556.0,,,9400000,,,18100000,,,-1100000,-100000.0,2600000,,-200000.0,-2900000,-300000,900000,-6000000.0,-5700000,14500000.0,,63600000,,,10600000,85555556.0,0,5500000.0,,,,
1998-12-31,8300000,22600000,,-2500000,4000000,-51400000,-2200000,1000000,-14900000.0,,,,-3200000,-2100000,13200000,,,10600000,1500000,,53700000,16300000.0,22600000,21100000,,0.0,40700000,,0,,4900000,0,8300000,,,-500000,300000,-2500000,-2500000,,22800000,,,,11500000,,,,9200000,,,22800000,,,-900000,2300000.0,2200000,,-400000.0,-1200000,1900000,1400000,-7100000.0,4600000,17100000.0,,64300000,,,20300000,,0,5500000.0,,,,
1999-03-31,9400000,26000000,,-2000000,-34000000,-53400000,-2300000,1100000,-40100000.0,,,,-3400000,-5600000,15600000,,,14100000,-2200000,-0.02,174900000,18600000.0,26100000,52800000,,100000.0,162200000,,100000,,5500000,0,10100000,-0.02,,-2300000,1200000,-2000000,-2000000,,108900000,,,,13500000,100000000.0,,,10500000,,,108900000,,,-2300000,123200000.0,3000000,,0.0,-3300000,123500000,3600000,-8100000.0,86200000,19900000.0,,189000000,,,10700000,100000000.0,22800000,6100000.0,,,,
1999-06-30,10200000,32100000,,-200000,-22400000,-53600000,-700000,1300000,-47000000.0,,,62500000.0,-2000000,2900000,18700000,,,20900000,2300000,-0.001983,175900000,18000000.0,32100000,4700000,,0.0,164200000,,0,,6100000,92200000,12600000,-0.001983,,-100000,1600000,-200000,-200000,,154700000,,,,14600000,100000000.0,,,9900000,,100000.0,92200000,,,-700000,1900000.0,3100000,,0.0,3600000,2000000,11000000,-8100000.0,-16800000,24700000.0,,196800000,-200000.0,,25400000,100000000.0,0,7400000.0,,,,
1999-09-30,8800000,36000000,,1600000,-32000000,-52000000,1500000,1500000,-25500000.0,0.0,,90600000.0,0,1900000,22800000,,,58100000,400000,0.02,184900000,16900000.0,36000000,4800000,,0.0,206800000,,0,,9100000,69500000,13700000,0.02,,-10100000,1300000,1600000,1600000,,160100000,,,,13700000,80000000.0,,,9800000,,100000.0,69500000,,,-1300000,6000000.0,3400000,,0.0,3200000,6000000,48300000,-7100000.0,-22700000,29600000.0,,243000000,34800000.0,,4900000,80000000.0,92200000,6400000.0,,,,
1999-12-31,18385000,42679000,,4555000,-14822000,-47452000,3594000,1504000,-46534000.0,,,86098000.0,2090000,9446000,27676000,,,158324000,5157000,,182842000,21665000.0,42679000,3635000,,0.0,298359000,,0,,1894000,70382000,25782000,,,9332000,-5036000,4555000,4555000,,156480000,,,,23692000,,,,10194000,,103000.0,70382000,,,-1719000,4644000.0,3803000,,9000.0,11165000,4653000,148130000,-11471000.0,896000,38014000.0,,341166000,87469000.0,,24099000,,69500000,4665000.0,,,,
2000-03-31,17315000,64109000,,-26155000,27020000,-73607000,2038000,63187000,-2000000.0,,,15257000.0,-61149000,-715000,34071000,,,1720938000,-1749000,-0.24,167606000,26878000.0,64109000,10094000,,0.0,1824454000,,0,,10289000,108383000,23782000,-0.24,,-40563000,32234000,-26155000,-26155000,,123640000,,,,84931000,108847000.0,1471823000.0,,14697000,,115000.0,108383000,,,-3330000,8230000.0,4429000,,45000.0,2615000,8275000,234418000,-12181000.0,38001000,57320000.0,,1888544000,78702000.0,,72913000,108847000.0,70382000,6789000.0,,,,
2000-06-30,37039000,625138000,,-452938000,833169000,-526545000,9263000,414948000,-96642000.0,,,31288000.0,-405685000,50526000,70254000,,,20322826000,48349000,-3.37,1212151000,102003000.0,894584000,111651000,,95296000.0,20640393000,,269446000,,16838000,1013527000,53416000,-3.37,,882010000,-54124000,-452938000,-452938000,,1044815000,174150000.0,,,459101000,134437000.0,19993020000.0,,88223000,,194000.0,1013527000,,,-13916000,6981000.0,7114000,,466000.0,64442000,7447000,241583000,-13780000.0,905144000,475535000.0,,21534977000,41151000.0,,61717000,134437000.0,108383000,149603000.0,,,,
2000-09-30,81843000,663714000,,-1324185000,-645552000,-1850731000,24654000,1370306000,-644439000.0,,,593751000.0,-1345787000,69102000,173086000,,,19262487000,39541000,-6.78,1262992000,133741000.0,865577000,88185000,,68694000.0,19659902000,,201863000,,52104000,497549000,120982000,-6.78,,-1254000,-1268000,-1324185000,-1324185000,,1091300000,133169000.0,,,1466769000,195346000.0,18930810000.0,,86479000,,197000.0,497549000,,,-14900000,45348000.0,14485000,,13000.0,84002000,45361000,245198000,-47262000.0,-515978000,502317000.0,,20525479000,18262000.0,,15041000,195346000.0,1013527000,161397000.0,,,,
2000-12-31,91623000,665479000,,-1312195000,-90633000,-3162926000,36398000,1370086000,-462089000.0,,,565913000.0,-1333688000,14306000,197355000,,,18008790000,-23852000,,1186432000,140387000.0,724614000,32146000,,,18470608000,,59135000,,54106000,460362000,143249000,,,-93044000,35153000,-1312195000,-1312195000,,1026275000,,,,1476937000,,17656641000.0,,105602000,,199000.0,460362000,,,-26632000,11128000.0,15228000,,1243000.0,40938000,12371000,246547000,-34785000.0,-37187000,471527000.0,,19195222000,-37312000.0,,491132000,,497549000,193952000.0,,,,
2001-03-31,95617000,651722000,,-1377377000,-187173000,-4540303000,39155000,1390355000,-589476000.0,,,546281000.0,-1351200000,45735000,213413000,,-27196000.0,16785059000,5361000,-6.9,1100262000,149521000.0,761377000,0,161150000.0,,17123944000,,109655000,,74340000,363649000,139073000,-6.9,,-1136000,37000,-1377377000,-1377377000,,909930000,,435340000.0,,1490273000,199520000.0,16286314000.0,-1404363000.0,114736000,-27196000.0,200000.0,363649000,,53200000.0,-20308000,26030000.0,19887000,,-3000.0,66043000,26027000,362437000,-34785000.0,-96713000,12004000.0,,17885321000,-35740000.0,,423747000,199520000.0,460362000,204378000.0,,,,
2001-06-30,100179000,657907000,,-11190730000,1594000,-15731033000,46473000,11285458000,-381368000.0,,,348160000.0,-11238985000,24134000,231197000,,-29413000.0,5751887000,-14007000,-55.49,1016861000,167858000.0,796294000,0,189622000.0,,5972454000,,138387000,,80308000,450014000,150889000,-55.49,,-21178000,-14000,-11190730000,-11190730000,,798174000,,435252000.0,,11389874000,201675000.0,5067158000.0,-11219834000.0,133073000,-29413000.0,203000.0,450014000,,19165000.0,-25369000,35033000.0,20659000,,-4000.0,49503000,35029000,488227000,-34785000.0,86365000,0.0,,6768748000,-31393000.0,,429509000,201675000.0,363649000,222655000.0,,,,
2001-09-30,103053000,689817000,,-386735000,102411000,-16117768000,55165000,467954000,-147938000.0,,,149066000.0,-412789000,31763000,255155000,,-9903000.0,5410499000,-29831000,-1.91,984167000,168422000.0,836020000,0,228376000.0,,5558646000,,146203000,,83518000,565717000,171637000,-1.91,,4824000,-1753000,-386735000,-386735000,,714783000,,442625000.0,,584426000,202894000.0,4700764000.0,-396233000.0,133637000,-9903000.0,203000.0,565717000,,,-20222000,11389000.0,21649000,,0.0,51985000,-38715000,509456000,-34785000.0,115703000,0.0,,6394666000,-28175000.0,,332849000,202894000.0,450014000,247192000.0,,,,
2001-12-31,104033000,833845000,,-401110000,-305918000,-16518878000,84699000,492551000,-165265000.0,,,420643000.0,-407852000,-254363000,283799000,,-11410000.0,6446949000,-51620000,,1090559000,625781000.0,1031434000,0,314923000.0,171036000.0,6506074000,,197589000,49069000.0,105555000,306054000,178244000,,5691169000.0,-90309000,-58000,-401110000,-401110000,,726697000,26553000.0,471329000.0,,586096000,,,-413444000.0,532546000,-11410000.0,234000.0,306054000,,4955000.0,-314370000,7757000.0,15939000,,149000.0,60007000,-11504000,223234000,-93235000.0,-259663000,0.0,,7537508000,-26828000.0,-19410000.0,196924000,,565717000,313447000.0,,,,
2002-03-31,105786000,795389000,,-39710000,-158116000,-16558588000,87320000,114695000,-41935000.0,,,119638000.0,-27375000,-49434000,327816000,,,6854285000,-63408000,-0.17,674550000,705980000.0,1047542000,0,282702000.0,167160000.0,6481293000,,252153000,46341000.0,149702000,186117000,178114000,-0.17,,-24606000,-838000,-39710000,-39710000,,305755000,84993000.0,446896000.0,,205489000,235438000.0,6029803000.0,,612745000,,236000.0,186117000,,11332000.0,-73604000,13321000.0,14780000,,0.0,24170000,13321000,211737000,-93235000.0,-119937000,0.0,,7528835000,-24952000.0,,323852000,235438000.0,306054000,302152000.0,,,,
2002-06-30,115903000,779198000,,-4802535000,-57924000,-21361123000,69702000,4713623000,-10253000.0,,,104359000.0,-4643921000,4968000,317409000,,,2081741000,3380000,-20.31,610712000,702031000.0,1005185000,0,247098000.0,143264000.0,1687268000,,225987000,,146296000,177293000,171113000,-20.31,,-23107000,-158442000,-4802535000,-4802535000,,281652000,82723000.0,438326000.0,,4815034000,236435000.0,1350764000.0,-4802535000.0,608796000,,237000.0,177293000,,,-41667000,2946000.0,13012000,,0.0,46635000,2946000,122181000,-93235000.0,-8824000,50125000.0,,2692453000,-19388000.0,,21622000,236435000.0,186117000,290747000.0,,,,
2002-09-30,113981000,737250000,,-79672000,-52907000,-21440795000,57871000,76311000,-36976000.0,,,114386000.0,-18440000,49461000,301441000,,,1991166000,15521000,-0.34,607757000,713660000.0,981597000,0,206000000.0,152469000.0,1617326000,,244347000,14791000.0,140086000,212650000,161355000,-0.34,,55000,-56753000,-79672000,-79672000,,327036000,91878000.0,400191000.0,,179795000,236958000.0,1305262000.0,-75430000.0,620425000,4242000.0,237000.0,212650000,,,-36640000,2985000.0,9613000,,0.0,86101000,2985000,65479000,-93235000.0,35357000,24961000.0,,2598923000,-12643000.0,,22955000,236958000.0,177293000,297307000.0,,,,
2002-12-31,84623000,665345000,,-39380000,-13544000,-21480175000,91200000,114523000,-42955000.0,,,121616000.0,-23323000,58863000,275002000,,6133000.0,1787014000,-26942000,,604304000,802309000.0,811893000,0,134124000.0,20655000.0,1579425000,,146548000,28850000.0,135283000,282288000,139719000,,1129602000.0,-350091000,138863000,-39380000,-39380000,,403904000,125893000.0,357950000.0,,163042000,,,-32831000.0,609354000,6133000.0,238000.0,282288000,,,-24322000,1418000.0,10948000,,-347000.0,83185000,1071000,48058000,-192955000.0,69638000,0.0,,2391318000,-12850000.0,,55181000,,212650000,278545000.0,,,,
2003-03-31,99427000,653148000,,-53436000,-64858000,-21533611000,74640000,88817000,-86754000.0,,,157161000.0,-14177000,78102000,269758000,,3633000.0,1702210000,35667000,-0.22,665982000,785607000.0,833019000,0,119423000.0,19080000.0,1535173000,,179871000,,115829000,317977000,153929000,-0.22,,-4947000,-34407000,-53436000,-53436000,,475138000,160791000.0,334633000.0,,168106000,238208000.0,1075413000.0,-48584000.0,592652000,4852000.0,239000.0,317977000,,,-22215000,6126000.0,13777000,,0.0,100317000,1844000,34145000,-192955000.0,35689000,31067000.0,,2368192000,-9792000.0,,49058000,238208000.0,282288000,287448000.0,,,,
2003-06-30,92770000,636843000,,-142850000,-4076000,-21676461000,74786000,208238000,-76453000.0,,,114577000.0,-133452000,52923000,265299000,,-299000.0,1543091000,15552000,-0.6,683320000,784403000.0,827900000,0,101122000.0,16002000.0,1398511000,,191057000,28908000.0,115589000,397626000,149710000,-0.6,,-1478000,-8587000,-142850000,-142850000,,512203000,175055000.0,326741000.0,,283162000,238898000.0,897920000.0,-142039000.0,591448000,811000.0,239000.0,397626000,,,-27883000,4727000.0,13253000,,0.0,80806000,4094000,53723000,-192955000.0,79649000,0.0,,2226411000,-8331000.0,,101738000,238898000.0,317977000,281194000.0,,,,
2003-09-30,91084000,635342000,,-31303000,-122123000,-21707178000,78760000,107675000,-135464000.0,,,218014000.0,-28915000,76159000,268123000,,-13000.0,1453772000,17199000,-0.13,761156000,771647000.0,834606000,0,99660000.0,,1380322000,,199264000,27272000.0,114413000,380824000,153710000,-0.13,,-411000,1068000,-31303000,-31303000,,598838000,,321042000.0,,182625000,240370000.0,820225000.0,-27847000.0,578692000,3456000.0,241000.0,380824000,,,-17399000,11415000.0,13820000,,0.0,93558000,10825000,54855000,-192955000.0,-16802000,0.0,,2214928000,-9150000.0,,31151000,240370000.0,397626000,287028000.0,,,,
2003-12-31,80429000,555206000,,-32290000,-113094000,-21740054000,75567000,52640000,-147768000.0,,,329899000.0,22927000,43222000,251600000,,0.0,1219810000,35976000,,880407000,805204000.0,687735000,0,100120000.0,132529000.0,1383653000,,132529000,264160000.0,100376000,393787000,151224000,,,-18507000,-39322000,-32290000,-32290000,,723686000,,245483000.0,,128297000,,618036000.0,-18056000.0,520219000,14234000.0,242000.0,393787000,,,-40537000,9412000.0,14956000,,37403000.0,83759000,39121000,81555000,-284985000.0,12963000,0.0,,2100217000,-4630000.0,,36097000,,380824000,45563000.0,,,,
