date,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyChangeInWorkingCapital,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyNetPPE,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2012-03-31,0.0,9218000000,313000000,-1890000000,20000000,16000000,0,0.0,,656000000,94000000,,,,-1000000,,382000000,39000000,-26000000,52000000,,,,,,,27000000,60000000,243337608.0,67000000,,,,454000000.0,,,-243000000,,9000000,1563000000,0,-263000000,,,315000000,343000000,255000000,-21000000,21000000,,-11000000,,-1606000000,,8562000000,,48066688.0,0.0,,,234000000,-80000000.0,,,,,,,,,,,,,,,
2012-06-30,0.0,9786000000,462000000,-148000000,-600000000,13000000,1000000,0.00411,,870000000,89000000,,,,0,,558000000,21000000,121000000,-252000000,,,,,,,16000000,87000000,243337608.0,77000000,,,,87000000.0,,,-250000000,,9000000,119000000,1000000,-281000000,,,29000000,408000000,394000000,-1513000000,10000000,,-3000000,,1646000000,,8916000000,,48066688.0,0.020804,,,384000000,75000000.0,,,,,,,,,,,,,,,
2012-09-30,-24000000.0,9354000000,246000000,-338000000,127000000,34000000,1000000,0.00411,,619000000,81000000,,,,-1000000,4000000.0,469000000,22000000,7000000,222000000,,,,,,,13000000,210000000,243337608.0,76000000,,,,276000000.0,,,-256000000,,13000000,-174000000,1000000,-308000000,,,530000000,373000000,183000000,-27000000,13000000,,21000000,,-58000000,,8735000000,,48066688.0,0.020804,,,170000000,-473000000.0,,,,,,,,,,,,,,,
2012-12-31,-52000000.0,9439000000,402000000,-1016000000,-13000000,25000000,38000000,,12291000000.0,800000000,78000000,11183000000.0,5185000000.0,5149000000.0,-1000000,,541000000,19000000,-87000000,6000000,14110000000.0,19259000000.0,4000000.0,473000000.0,,,34000000,126000000,,76000000,25000000.0,1086000000.0,25000000.0,169000000.0,1209000000.0,9664000000.0,-275000000,343000000.0,13000000,651000000,38000000,-352000000,-1519000000.0,1085000000.0,358000000,398000000,339000000,-671000000,11000000,275000000.0,-9000000,2535000000.0,3000000,3564000000.0,8639000000,7106000000.0,,,6520000000.0,0.0,328000000,-29000000.0,351000000.0,586000000.0,,,,,,,,,,,,,
2013-03-31,-48000000.0,10620000000,655000000,-444000000,311000000,26000000,1000000,0.00411,12155000000.0,1101000000,106000000,11472000000.0,5026000000.0,5144000000.0,-1000000,,748000000,51000000,-1000000,615000000,14322000000.0,19466000000.0,,,,,25000000,82000000,243337608.0,78000000,26000000.0,691000000.0,26000000.0,130000000.0,1031000000.0,9904000000.0,-284000000,392000000.0,11000000,-533000000,1000000,-363000000,-1568000000.0,1506000000.0,978000000,446000000,588000000,-79000000,53000000,261000000.0,1000000,2520000000.0,-2000000,3703000000.0,9519000000,7129000000.0,48066688.0,0.020804,6531000000.0,0.0,535000000,-407000000.0,384000000.0,598000000.0,,,,,,,,,,,,,
2013-06-30,-64000000.0,10295000000,383000000,-488000000,-71000000,18000000,1000000,0.00411,11814000000.0,817000000,91000000,11803000000.0,4743000000.0,4661000000.0,-1000000,,485000000,27000000,0,-66000000,14604000000.0,19265000000.0,,,,,26000000,92000000,243337608.0,76000000,18000000.0,905000000.0,18000000.0,229000000.0,892000000.0,10201000000.0,-296000000,442000000.0,10000000,127000000,1000000,-422000000,-1602000000.0,1458000000.0,356000000,434000000,317000000,-64000000,18000000,288000000.0,-8000000,2503000000.0,-2000000,3321000000.0,9478000000,7071000000.0,48066688.0,0.020804,6513000000.0,0.0,299000000,221000000.0,430000000.0,558000000.0,,,,,,,,,,,,,
2013-09-30,-12000000.0,10703000000,296000000,-408000000,-90000000,34000000,1000000,0.020804,13086000000.0,701000000,79000000,12286000000.0,5014000000.0,5148000000.0,-4000000,-7000000.0,410000000,18000000,9000000,-177000000,15144000000.0,20292000000.0,,,,,18000000,92000000,48066688.0,73000000,34000000.0,620000000.0,34000000.0,82000000.0,1198000000.0,10627000000.0,-628000000,474000000.0,22000000,169000000,1000000,-432000000,-1659000000.0,1524000000.0,255000000,405000000,245000000,-9000000,9000000,343000000.0,16000000,2519000000.0,33000000,3562000000.0,10002000000,8072000000.0,48066688.0,0.020804,7518000000.0,-3000000.0,236000000,-597000000.0,354000000.0,554000000.0,,,,,,,,,,,,,
2013-12-31,-9000000.0,10632000000,392000000,-313000000,-77000000,43000000,12000000,,13174000000.0,788000000,84000000,12514000000.0,5413000000.0,4965000000.0,-2825000000,,525000000,20000000,6000000,-37000000,16488000000.0,21453000000.0,0.0,420000000.0,,0.0,34000000,112000000,,82000000,43000000.0,1113000000.0,43000000.0,2889000000.0,1065000000.0,10841000000.0,-305000000,485000000.0,21000000,-37000000,12000000,-396000000,-1673000000.0,1141000000.0,359000000,396000000,331000000,-9000000,27000000,315000000.0,9000000,2503000000.0,92000000,3637000000.0,9844000000,7761000000.0,,,7230000000.0,0.0,304000000,-601000000.0,220000000.0,531000000.0,,,,,,,,,,,,,
2014-03-31,-26000000.0,11684000000,492000000,-524000000,253000000,32000000,14000000,0.292926,13441000000.0,918000000,90000000,12905000000.0,5556000000.0,4934000000.0,-17000000,21000000.0,606000000,34000000,41000000,349000000,16874000000.0,21808000000.0,,,,1051000000.0,43000000,96000000,50695335.0,81000000,32000000.0,879000000.0,32000000.0,148000000.0,914000000.0,11173000000.0,-310000000,506000000.0,18000000,-302000000,14000000,-468000000,-1732000000.0,2710000000.0,817000000,426000000,429000000,-26000000,57000000,343000000.0,-11000000,2485000000.0,-30000000,3703000000.0,10766000000,7885000000.0,50695335.0,0.292926,7338000000.0,0.0,372000000,-128000000.0,285000000.0,547000000.0,,,,,,,,,,,,,
2014-06-30,-41000000.0,11195000000,364000000,-577000000,-275000000,28000000,15000000,0.292926,13910000000.0,815000000,91000000,13451000000.0,5424000000.0,5170000000.0,-23000000,14000000.0,492000000,34000000,1000000,-313000000,17424000000.0,22594000000.0,,,,,32000000,101000000,51070856.0,85000000,28000000.0,763000000.0,28000000.0,296000000.0,1096000000.0,11634000000.0,-327000000,545000000.0,27000000,434000000,15000000,-450000000,-1817000000.0,2743000000.0,137000000,451000000,306000000,-43000000,31000000,359000000.0,-4000000,2502000000.0,-84000000,3730000000.0,10380000000,8486000000.0,51070856.0,0.292926,7940000000.0,0.0,275000000,-216000000.0,316000000.0,546000000.0,,,,,,,,,,,,,
