date,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCurrentDebt,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2010-06-30,7345000000.0,,6748000000,6748000000,822000000,129000000,0.0,16072000000,,3976000000,8903000000.0,,0.0,-4927000000.0,12246000000,5584000000,,3043000000.0,12312000000,,2080000000.0,24558000000,0.0,2902000000,2455000000,520000000.0,,8486000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,7523000000.0,,7302000000,7302000000,842000000,129000000,0.0,18574000000,,4472000000,,,520000000.0,,14136000000,5727000000,,,13087000000,,2080000000.0,27223000000,0.0,2922000000,3163000000,,,8649000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,7672000000.0,,4794000000,4794000000,850000000,129000000,2036000000.0,16233000000,,4415000000,11142000000.0,,0.0,-6727000000.0,13616000000,8391000000,,1550000000.0,13418000000,,1560000000.0,27034000000,0.0,2410000000,4218000000,520000000.0,,10801000000,-1018000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,7708000000.0,,3408000000,3408000000,800000000,129000000,2226000000.0,16239000000,,4157000000,,,0.0,,12893000000,7372000000,,1984000000.0,13078000000,,1560000000.0,25971000000,0.0,2360000000,4162000000,793000000.0,,9732000000,-1113000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,7613000000.0,1208000000.0,3245000000,3245000000,775000000,129000000,0.0,15606000000,4263000000.0,4489000000,9530000000.0,11105000000.0,0.0,-5041000000.0,10607000000,6259000000,,2481000000.0,13073000000,,1040000000.0,23680000000,0.0,1815000000,3593000000,642000000.0,7000000.0,8074000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,7712000000.0,,6783000000,6783000000,803000000,194000000,0.0,20298000000,4271000000.0,4643000000,,10886000000.0,0.0,,14947000000,6111000000,,3978000000.0,13305000000,,1040000000.0,28252000000,0.0,1843000000,3965000000,769000000.0,,7954000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2423000000.0,,5171000000,2182000000,791000000,194000000,0.0,16596000000,1122000000.0,4363000000,10237000000.0,6963000000.0,0.0,-5874000000.0,12019000000,5861000000,3340000000.0,2315000000.0,11229000000,2989000000.0,0.0,23248000000,0.0,791000000,3209000000,520000000.0,,6652000000,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,5802000000.0,,5701000000,3180000000,849000000,194000000,0.0,16947000000,3816000000.0,4285000000,,7058000000.0,0.0,,12268000000,5410000000,,3071000000.0,11198000000,2521000000.0,260000000.0,23466000000,0.0,1109000000,3127000000,260000000.0,,6519000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2366000000.0,,6031000000,3661000000,660000000,194000000,52000000.0,16911000000,1480000000.0,3972000000,10000000000.0,7115000000.0,4120000000.0,-6028000000.0,12567000000,5588000000,3304000000.0,2054000000.0,10592000000,2370000000.0,,23159000000,0.0,660000000,3254000000,260000000.0,,6248000000,144000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,5622000000.0,,5490000000,2748000000,672000000,194000000,0.0,16179000000,3254000000.0,3393000000,,7084000000.0,3254000000.0,,11503000000,4548000000,,2460000000.0,9896000000,2742000000.0,,21399000000,0.0,672000000,2971000000,260000000.0,,5220000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
