date,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2009-12-31,0.0,5728000000,,7715000000,20497000000,,12804000000,106387000000,103359000000,22250000000,137773000000,25287000000,,354000000.0,167000000.0,-34414000000.0,,1650000000,151207000000,176494000000,10625000000,,23958000000,,47791000000,1040000000,7715000000,46000000.0,31000000,70041000000,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,628000000.0,5767000000,0.0,10287000000,16260000000,1227000000.0,13175000000,112006000000,86203000000,19725000000,86203000000,18169000000,67167000000.0,386000000.0,141000000.0,,,3650000000,156839000000,175008000000,10738000000,4802000000.0,18876000000,0.0,43145000000,1088000000,10287000000,721000000.0,19820000000,62870000000,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,785000000.0,5773000000,,13334000000,15491000000,1635000000.0,13854000000,117150000000,107871000000,18121000000,144103000000,19757000000,71781000000.0,404000000.0,605000000.0,-36232000000.0,,2103000000,161908000000,181665000000,10749000000,5289000000.0,20895000000,,46251000000,1061000000,13334000000,316000000.0,31000000,64372000000,1936000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,603000000.0,5784000000,0.0,16453000000,16864000000,2176000000.0,14764000000,123455000000,112565000000,20250000000,112565000000,21993000000,77233000000.0,451000000.0,119000000.0,,,2664000000,170334000000,192327000000,10733000000,5432000000.0,22684000000,0.0,48441000000,1090000000,16453000000,107000000.0,31000000,68691000000,1323000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,677000000.0,5785000000,,16100000000,16402000000,2339000000.0,15105000000,128859000000,116145000000,19123000000,154899000000,21601000000,82458000000.0,643000000.0,403000000.0,-38754000000.0,,3089000000,176272000000,197873000000,10724000000,4501000000.0,23322000000,,49705000000,1135000000,16100000000,0.0,31000000,68828000000,3757000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,678000000.0,5787000000,0.0,21794000000,15984000000,2426000000.0,9568000000,137499000000,117796000000,19234000000,117796000000,28181000000,90974000000.0,787000000.0,757000000.0,,,3772000000,176392000000,204573000000,10701000000,3735000000.0,26456000000,0.0,47643000000,1202000000,21794000000,,31000000,66877000000,1240000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,708000000.0,0,,18664000000,10405000000,,9857000000,144273000000,93976000000,14965000000,135081000000,28159000000,97201000000.0,948000000.0,488000000.0,-41105000000.0,,3537000000,178756000000,206915000000,10690000000,,23379000000,,47470000000,1220000000,18664000000,355000000.0,24523000000,62435000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,0,0.0,17060000000,8183000000,,9734000000,146383000000,96115000000,14355000000,96115000000,24457000000,98861000000.0,1005000000.0,881000000.0,,,2617000000,183339000000,207796000000,10671000000,,23370000000,0.0,46858000000,1263000000,17060000000,1000000.0,24963000000,61213000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,0,,17297000000,9736000000,,10289000000,152557000000,99058000000,14177000000,142214000000,23958000000,104965000000.0,986000000.0,623000000.0,-43156000000.0,,3046000000,191865000000,215823000000,10658000000,,24599000000,,48944000000,1281000000,17297000000,47000000.0,25625000000,63121000000,31000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,0,0.0,18328000000,9772000000,,10397000000,156609000000,99633000000,19077000000,99633000000,24666000000,108992000000.0,1039000000.0,991000000.0,,,2089000000,196920000000,221586000000,10631000000,,20831000000,0.0,45680000000,1346000000,18328000000,391000000.0,25873000000,64757000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
