date,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyBasicEPS,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
2003-05-31,,37654000,28211000,,,,,,257640000.0,,,,,,0.05,,11020000,,,,,,,,,,295216000,39139000,,10725000,39139000,,,,,,,,,,37654000,,,,,,12882000,,,257640000.0,,,76793000,17486000,,,,17486000,,,0.0,,,,0.05,218423000,,,,,,,,,,,
2003-09-30,,49097000,-28862000,,,,,,28114595.0,,,,,,-1.85,,30967000,,,,,,,,,,292848000,22403000,,-10824000,22403000,,,,,,,,,,49097000,,,,,,-52012000,,,28114595.0,,,71500000,-18038000,,,,-18038000,,,-20422000.0,,,,-1.85,221348000,,,,,,,,,,,
2003-12-31,27197000.0,57510000,34101000,25135000.0,363000.0,-717963000.0,-22066000.0,843000.0,,30544000.0,-120634000.0,42852000.0,42852000.0,18572000.0,,-722000.0,20358000,,-532000.0,3898000.0,9000.0,53388000.0,-11594000.0,-23235000.0,50429000.0,7804000.0,433006000,54975000,247701000.0,12773000,64804000,127067000.0,,39976000.0,85000.0,,26244000.0,17717000.0,-900232000.0,9829000.0,57510000,982275000.0,23432000.0,184263000.0,183002000.0,448575000.0,21328000,265573000.0,38835000.0,,15941000.0,,112485000,21328000,4155000.0,29867000.0,1166538000.0,21328000,-9650000.0,42852000.0,-583000.0,19480000.0,,941165000.0,,320521000,72327000.0,64571000.0,0.0,,,,,,,,
2004-03-31,,37640000,29572000,46391000.0,,,-18371000.0,553000.0,70800000.0,,,,,,0.29,-230000.0,13985000,,,2630000.0,,,-6795000.0,-18601000.0,17050000.0,-11745000.0,318754000,43471000,,11164000,50416000,,,,,,812000.0,-7799000.0,,6945000.0,37640000,,,,,,18408000,,10255000.0,63475862.0,,,81111000,18408000,,,,18408000,-6242000.0,38592000.0,0.0,,,,0.26,237643000,,,,,,,,,,,
2004-06-30,23776000.0,38280000,25513000,38592000.0,363000.0,-676688000.0,,-164000.0,40519361.0,22929000.0,-127540000.0,51303000.0,51303000.0,306000.0,0.2,-627000.0,13904000,,,,6914000.0,49485000.0,-10844000.0,-8683000.0,35486000.0,29990000.0,324236000,39321000,259176000.0,9631000,39321000,131636000.0,,33572000.0,,,,16250000.0,-865941000.0,,38280000,976019000.0,,150126000.0,182625000.0,449457000.0,15882000,266832000.0,24642000.0,36315154.0,47114000.0,,77601000,15882000,,66969000.0,1126145000.0,15882000,-11008000.0,51303000.0,0.0,20541000.0,,928905000.0,0.18,246635000,66763000.0,67136000.0,,,,,,,,,
2004-09-30,23780000.0,50904000,1573000,51303000.0,687000.0,-574935000.0,,1556000.0,40519352.0,28043000.0,-131326000.0,20223000.0,20223000.0,317000.0,-0.02,-393000.0,17280000,,,,4216000.0,50001000.0,-11001000.0,-26889000.0,5212000.0,-33797000.0,324978000,28378000,267110000.0,594000,28378000,135784000.0,,38780000.0,,,,-31080000.0,-881842000.0,,50904000,849857000.0,,146121000.0,162599000.0,421043000.0,979000,258444000.0,-5789000.0,36315319.0,45853000.0,,79282000,979000,,58713000.0,995978000.0,979000,-9445000.0,20223000.0,-9751000.0,23357000.0,,804004000.0,-0.02,245696000,57023000.0,64091000.0,,,,,,,,,
2004-12-31,22955000.0,55478000,43401000,20223000.0,687000.0,-549880000.0,,1229000.0,,32817000.0,-126856000.0,40396000.0,40396000.0,25295000.0,,-472000.0,15898000,,,-166000.0,6309000.0,55350000.0,-11123000.0,-29730000.0,55714000.0,15768000.0,478528000,60208000,263739000.0,16384000,71758000,136883000.0,,32817000.0,229000.0,,,16634000.0,-859289000.0,11550000.0,55478000,807560000.0,,189667000.0,189491000.0,447347000.0,27017000,257856000.0,44591000.0,,52155000.0,,115686000,27017000,,58322000.0,997227000.0,27017000,-9575000.0,40396000.0,-1081000.0,21505000.0,,755405000.0,,362842000,76205000.0,73138000.0,12416000.0,,,,,,,,
2005-03-31,22610000.0,42518000,40093000,40396000.0,691000.0,-525562000.0,,2143000.0,71555554.0,29462000.0,-132079000.0,53233000.0,53233000.0,291000.0,0.36,1899000.0,10616000,,,600000.0,8529000.0,58361000.0,-6693000.0,-23181000.0,40671000.0,6548000.0,369668000,50495000,267443000.0,15135000,58660000,135364000.0,,39604000.0,,,,12837000.0,-841234000.0,8165000.0,42518000,803999000.0,,171588000.0,197645000.0,450025000.0,24958000,252380000.0,33978000.0,68922555.0,52417000.0,,93013000,24958000,,57074000.0,975587000.0,24958000,-4550000.0,53233000.0,0.0,21231000.0,,751582000.0,0.35,276655000,73332000.0,73055000.0,,,,,,,,,
2005-06-30,22685000.0,41819000,36094000,53233000.0,661000.0,-574125000.0,,343000.0,66860000.0,37636000.0,-135185000.0,10504000.0,10504000.0,16490000.0,0.36,1525000.0,10562000,,,299000.0,5478000.0,51926000.0,-8517000.0,-65434000.0,30927000.0,-1429000.0,346954000,46580000,272375000.0,12693000,54551000,137190000.0,,47621000.0,,,,-42729000.0,-824443000.0,7971000.0,41819000,807129000.0,,186651000.0,165472000.0,419655000.0,23401000,254183000.0,22410000.0,65002778.0,52947000.0,,88399000,23401000,,55770000.0,993780000.0,23401000,-8174000.0,10504000.0,0.0,20191000.0,,754182000.0,0.35,258555000,70614000.0,67770000.0,,,,,,,,,
2005-09-30,23428000.0,41128000,33793000,10504000.0,667000.0,-552567000.0,,-492000.0,69386667.0,30685000.0,-138926000.0,21902000.0,21902000.0,2693000.0,0.31,-2357000.0,11674000,,0.0,1034000.0,6223000.0,53560000.0,-5482000.0,-20289000.0,37291000.0,6754000.0,337576000,45384000,274151000.0,12977000,53545000,135225000.0,,40415000.0,,,,11398000.0,-810253000.0,8161000.0,41128000,800915000.0,,165781000.0,168499000.0,414129000.0,20816000,245630000.0,31809000.0,67148387.0,48407000.0,,86512000,20816000,,49406000.0,966696000.0,20816000,-5974000.0,21902000.0,0.0,23194000.0,,752508000.0,0.3,251064000,69113000.0,68096000.0,-6609000.0,,,,,,,,
