date,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-12-31,170000,26308000,1437000,-23939000,-10026000.0,22517000,83293000,42816000,62624000,50535000,52842000,26785000.0,0.0,67883000,151176000,11781000,62244000,48320000,48320000,3432000,4016000.0,124868000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1531000,-42394000,542000,-24562000,-12272000.0,28830000,130106000,47549000,59612000,-17412000,59821000,54191000.0,4353000.0,73484000,203590000,17048000,186372000,79900000,79900000,6342000,4016000.0,245984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,250000,157722000,1272000,35000,-14780000.0,29137000,139231000,51990000,35303000,-178888000,66770000,0.0,4152000.0,82931000,222162000,18176000,29137000,90689000,90689000,6364000,4362000.0,64440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1587000,174571000,1537000,35000,,17003000,172323000,58222000,71312000,-161146000,58222000,0.0,5122000.0,90563000,262886000,24018000,17003000,103205000,103205000,12145000,4381000.0,88315000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,215000,189153000,4943000,35000,-19118000.0,21067000,158339000,69751000,54750000,-142800000,88869000,0.0,10820000.0,106631000,264970000,18803000,21067000,105903000,105903000,5731000,386000.0,75817000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,1743000,209772000,1515000,35000,-23354000.0,9452000,179641000,79857000,80475000,-126311000,103211000,0.0,8509000.0,120058000,299699000,15715000,9452000,112937000,112937000,10013000,4911000.0,89927000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,844000,244737000,2732000,36000,-28767000.0,23876000,189666000,88620000,56686000,-99087000,117387000,0.0,333000.0,135633000,325299000,31117000,23876000,116678000,116678000,5612000,4403000.0,80562000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,2563000,252026000,1220000,36000,-33434000.0,21763000,186391000,90757000,53566000,-76524000,124191000,,329000.0,140964000,327355000,23270000,21763000,116602000,116602000,6474000,8777000.0,75329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,1195000,253677000,2094000,36000,-36630000.0,23646000,179185000,98471000,52020000,-54224000,135101000,,,150158000,329343000,21499000,23646000,120224000,120224000,3434000,6759000.0,75666000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,1225000,250236000,1508000,35000,-41997000.0,23988000,176115000,104833000,66091000,-30259000,146830000,,,165721000,341836000,18260000,25509000,96980000,96980000,5983000,,91600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
