date,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangesInAccountReceivables,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
2008-03-31,10415000,41026000,25898000,93176000,28674000,,,,21194000,15948000,-29000.0,,,,-984000,,-20351000,,0.228111,,41026000,93310000,,,179850850.0,122308000,80098000,,,172796400.0,-1250000.0,,,-9766000,,44622000,-458000,,13684000,,6326000,,41026000,,,,24049000,,1849000,89864000,567000,35778000,-98434000,0,77686000,-191023000,,,,215618000,,2052000,1331000,,,70902000,,0.237424,,,29876000,,,,,,
2008-06-30,-108817000,39923000,50835000,95125000,30354000,,,,263000,15413000,-49000.0,,,,-100946000,,15414000,,,,39923000,97368000,,,,124704000,44021000,,,,-16337000.0,,,-8044000,,45767000,775000,,3348000,,7847000,,39923000,,,,25898000,,24937000,52065000,-567000,-9618000,81675000,-41000,78937000,-46122000,,,,222072000,,2569000,2089000,,,71865000,,,,,31942000,,,,,,
2008-09-30,-2268000,40840000,51024000,93821000,32265000,,,,152000,16095000,-78000.0,,,,2171000,,9082000,,0.22,,40840000,98307000,,,189667514.0,126084000,47604000,,,182267667.0,-17632000.0,,,-4513000,,48360000,2000,,29551000,,8393000,,40840000,,,,50835000,,189000,52117000,0,-13403000,-49730000,0,77724000,-31600000,,,,224391000,,2901000,1129000,,,69333000,,0.22,,,28493000,,,,,,
2008-12-31,-29796000,36439000,33185000,92965000,39946000,,83381000.0,1433801000.0,115000,17416000,-205000.0,-82434000.0,16187000.0,928877000.0,-2467000,447372000.0,-536000,83941000.0,,,36439000,97912000,759950000.0,450356000.0,,133557000,45531000,1938700000.0,8910000.0,,-68000.0,-179958000.0,,-8329000,,57362000,-646000,100000.0,8998000,112713000.0,8750000,-1009823000.0,36439000,33185000.0,219398000.0,38299000.0,51024000,76194000.0,-17839000,53860000,19895000,-20792000,-40887000,-18910000,76195000,-123817000,168927000.0,504899000.0,262545000.0,231469000,,2359000,-3104000,,202120000.0,66799000,5114000.0,,82587000.0,-243495000.0,30360000,,,,,,
2009-03-31,-66921000,44915000,45006000,104553000,33320000,,66388000.0,1452947000.0,421000,17705000,-365000.0,-81340000.0,15109000.0,1020386000.0,-7000000,487003000.0,-28219000,115288000.0,0.249735,,44915000,107523000,816156000.0,449121000.0,179850850.0,138228000,127034000,2011495000.0,15895000.0,172796400.0,-30682000.0,,,-8359000,,51025000,-355000,100000.0,171000,128011000.0,8154000,-991109000.0,44915000,45006000.0,189966000.0,49785000.0,33185000,87058000.0,11821000,135393000,766000,63446000,-56213000,-51618000,87203000,-25881000,204230000.0,558548000.0,,245751000,15004000.0,2005000,959000,,287190000.0,78694000,4779000.0,0.25993,87071000.0,-225875000.0,33779000,,,,,,
2009-06-30,-85762000,45939000,45962000,106115000,38905000,,,1611934000.0,207000,18182000,-33000.0,-79130000.0,24024000.0,1009335000.0,-78100000,487219000.0,7963000,107151000.0,0.26,,45939000,112978000,796840000.0,528694000.0,179824479.0,144938000,41300000,2037824000.0,7872000.0,172887331.0,-71977000.0,,,-7836000,,57087000,82000,100000.0,487000,119547000.0,8523000,-1028489000.0,45939000,45962000.0,160372000.0,50985000.0,45006000,81965000.0,956000,49136000,-965000,-23847000,37056000,0,87851000,-12401000,212495000.0,425890000.0,,257916000,,3510000,1131000,,180850000.0,79410000,5023000.0,0.27,84278000.0,-265465000.0,33471000,,,,,,
2009-09-30,-15621000,42205000,60560000,102481000,38500000,,,1826574000.0,144000,17633000,-52000.0,-75561000.0,22630000.0,1019376000.0,-376000,489245000.0,3310000,104083000.0,0.23,,42205000,117383000,798613000.0,527894000.0,179850850.0,140928000,62923000,2217893000.0,12379000.0,172796400.0,2659000.0,,,-8124000,,56133000,53000,100000.0,-3445000,118338000.0,9449000,-1198517000.0,42205000,60560000.0,131528000.0,65912000.0,45962000,77258000.0,14598000,71047000,5189000,-4442000,-40950000,-7213000,84795000,-8458000,220763000.0,391319000.0,,258311000,,3011000,1788000,,158812000.0,75399000,5352000.0,0.24,87229000.0,-439062000.0,33194000,,,,,,
2009-12-31,-17036000,-6445000,71527000,57920000,51879000,,101401000.0,731623000.0,114000,17679000,-125000.0,-53628000.0,21656000.0,996953000.0,-131000,490829000.0,14956000,89436000.0,,5284000.0,-6445000,153410000,771608000.0,527509000.0,,111716000,56450000,1031902000.0,16831000.0,,-63754000.0,-189875000.0,,-14375000,,69558000,-2044000,130000.0,22763000,108526000.0,9139000,-34949000.0,-6445000,71527000.0,66660000.0,76972000.0,60560000,76960000.0,10967000,70825000,7200000,3108000,-42702000,-2519000,42158000,0,225345000.0,300279000.0,279040000.0,265126000,,4218000,1273000,,125520000.0,31102000,5445000.0,,89165000.0,51275000.0,37547000,,,,,,
2010-03-31,-14929000,55375000,130992000,123711000,37514000,,78001000.0,732295000.0,335000,17233000,-252000.0,-52685000.0,20880000.0,1085679000.0,-1287000,494283000.0,-42699000,132896000.0,0.29,5284000.0,55375000,114993000,769830000.0,527076000.0,189454756.0,161161000,129691000,1057427000.0,16079000.0,180053550.0,-62945000.0,,214295000.0,-7498000,,54747000,64000,130000.0,147000,107248000.0,8466000,28252000.0,55375000,130992000.0,4723000.0,136538000.0,71527000,81219000.0,59465000,137189000,973000,55959000,-62798000,-6227000,106414000,0,315849000.0,325132000.0,,276154000,22285000.0,3886000,671000,,544000.0,98012000,5546000.0,0.31,88272000.0,106650000.0,42637000,,,,,,
2010-06-30,-7995000,58404000,106827000,124160000,42638000,,81571000.0,676084000.0,176000,16964000,-10000.0,-52184000.0,7962000.0,1053268000.0,70000,501996000.0,14005000,118470000.0,0.31,5284000.0,58404000,115000000,767778000.0,476767000.0,189541893.0,166677000,27773000,999693000.0,15381000.0,180492106.0,-1124000.0,,182275000.0,-8072000,,59602000,121000,132000.0,-5162000,100228000.0,8445000,53575000.0,58404000,106827000.0,53935000.0,111894000.0,130992000,80831000.0,-24165000,35845000,-466000,-39299000,-51819000,-159000,107075000,-62266000,285490000.0,323609000.0,,281677000,0.0,6398000,447000,,544000.0,98751000,5067000.0,0.32,86253000.0,165054000.0,40347000,,,,,,
