date,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,1023000.0,245725000,734143000.0,1069311000,219480000,,1342719000,26245000,12168000.0,257606000,17226000.0,7996000,,4492000.0,1755000.0,18284000,126351000,-237564000.0,295070000.0,496579000,0.0,97520000,542738000,8796000,1612049000,682606000,387536000,198415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,777000.0,255430000,,1106741000,219726000,293147000.0,1345423000,35704000,12168000.0,195800000,26273000.0,8654000,0.0,17447000.0,4149000.0,25613000,121194000,,0.0,475754000,0.0,97520000,519177000,7325000,1625918000,688950000,688950000,187150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,3368000.0,372425000,800228000.0,1284024000,334015000,,1416174000,38410000,12168000.0,375586000,27011000.0,8031000,0.0,19185000.0,3210000.0,28888000,148431000,-314015000.0,0.0,486213000,0.0,97520000,537804000,14946000,1821828000,740320000,740320000,300792000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,466696000,,1359158000,430732000,,1402156000,35964000,4071000.0,423310000,25321000.0,7100000,3543000.0,97301000.0,0.0,104787000,171515000,,,479338000,463000.0,97520000,537766000,16326000,1896924000,666530000,666530000,315909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1469000.0,529702000,861762000.0,1527186000,495913000,,1495935000,33789000,4071000.0,926000,25412000.0,6908000,0.0,76570000.0,7040000.0,87548000,220598000,-396503000.0,,465259000,0.0,97520000,530463000,19313000,2057649000,188278000,188278000,6650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1066000.0,518865000,,1509781000,494039000,,1539828000,24826000,0.0,838752000,17044000.0,6716000,0.0,48000000.0,32229000.0,69390000,273284000,,51000000.0,494866000,0.0,97520000,577219000,14347000,2087000000,349243000,298243000,3055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1035000.0,694373000,955668000.0,1822425000,670525000,,1661372000,23848000,0.0,627593000,17218000.0,5595000,0.0,173649000.0,30485000.0,62416000,472339000,-466378000.0,,489290000,0.0,97520000,553052000,35000,2375477000,251677000,251677000,603335000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,8035000.0,854118000,,1944834000,838754000,,1747915000,15364000,,810284000,0.0,7329000,0.0,131200000.0,117948000.0,150810000,477535000,,80000000.0,522282000,0.0,97520000,672694000,41000,2617528000,406087000,326087000,654184000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,12469000.0,1070401000,1232423000.0,2266982000,1052337000,,1921656000,18064000,,680366000,0.0,5595000,0.0,280773000.0,50056000.0,102642000,747673000,-562913000.0,280773000.0,669510000,0.0,97520000,735266000,39000,3002248000,524215000,243442000,774342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,17139000.0,1629184000,670476000.0,2846930000,1606450000,,2009901000,22734000,,1472215000,,5595000,0.0,202510000.0,114267000.0,332561000,840247000,,202510000.0,670476000,0.0,97520000,800417000,31000,3647347000,532901000,330391000,1251096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,17822000.0,1805363000,1458994000.0,3766416000,1781946000,1190918000.0,2849805000,23417000,,786711000,,5595000,0.0,113750000.0,74204000.0,488929000,767915000,-651530000.0,983000000.0,807464000,0.0,105177000,898832000,27000,4665248000,1692037000,709037000,954392000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,16552000.0,2799306000,859430000.0,4764651000,2767622000,1281527000.0,2981681000,31684000,,1842407000,,5595000,0.0,92450000.0,23209000.0,851250000,1183549000,,487360000.0,859430000,0.0,105177000,1023214000,23000,5787865000,1176975000,689615000,1637717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,23228000.0,2343249000,1994127000.0,4204393000,2296792000,2002069000.0,3247697000,46457000,,1503303000,,10787000,-374946000.0,20000000.0,87613000.0,521571000,895693000,-842745000.0,394946000.0,1151382000,0.0,105177000,1389446000,15000,5593839000,899546000,504600000,1378250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,27434000.0,3470070000,1165381000.0,5435248000,3415110000,,3400663000,54960000,,2158199000,,16188000,0.0,73934000.0,108820000.0,677319000,1131323000,,899921000.0,1165381000,0.0,105177000,1439040000,9000,6874288000,1519870000,619949000,2416436000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,24502000.0,3791403000,2323723000.0,6017097000,3739421000,2716908000.0,3830983000,51982000,,2442757000,,19201000,0.0,71916000.0,0.0,683239000,896962000,-1069911000.0,1780186000.0,1253812000,0.0,105177000,1619197000,6000,7636294000,1966966000,186780000,2535440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,25638000.0,4538624000,1417166000.0,6819639000,4485412000,3150694000.0,4080649000,53212000,,2963005000,,24757000,0.0,145341000.0,180405000.0,747991000,1398070000,,1475995000.0,1417166000,0.0,105177000,1816675000,3000,8636314000,1785917000,309922000,3243260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,28188000.0,6723197000,3309728000.0,9317867000,6658328000,3948771000.0,4895255000,64869000,,2876155000,,33864000,0.0,159245000.0,156207000.0,904348000,2828362000,-1352193000.0,2186742000.0,1957535000,0.0,105177000,2318672000,1000,11636539000,2653670000,466928000,5027807000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,26789000.0,6559712000,2112967000.0,8960403000,5994606000,5053218000.0,5713894000,565106000,,3097324000,,79595000,0.0,74352000.0,573996000.0,1456595000,2277236000,,1714353000.0,2112967000,0.0,105177000,3333386000,414225000,12293789000,2379679000,665326000,3719938000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,44825000.0,8207101000,4537868000.0,11635455000,7705490000,6797159000.0,7488519000,501611000,,4449343000,,106895000,,1952340000.0,,1347881000,2621844000,-1789018000.0,1972340000.0,2748850000,,105177000,4090855000,392424000,15726310000,3199217000,1226877000,5188326000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,46918000.0,12290569000,3442448000.0,15100152000,7672760000,,7975775000,4617809000,,6327108000,3931200000.0,273094000,,4003339000.0,105044000.0,1486624000,2804215000,,4023339000.0,3442448000,99174000.0,105177000,5207755000,370623000,20307907000,5520517000,1497178000,6046971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,70113000.0,13563999000,7233964000.0,16768374000,8677441000,,9234097000,4886558000,,5085128000,4079983000.0,403328000,,,,1482405000,3073922000,-2497400000.0,4834497000.0,4736564000,,105163000,6083769000,348821000,22852143000,7088796000,2254299000,5616194000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,54397000.0,15332351000,5581862000.0,18319994000,10180979000,9424716000.0,9991908000,5151372000,862000.0,6911759000,4091169000.0,535317000,,,,1112482000,4389732000,,4542015000.0,5581862000,,105163000,7168136000,477128000,25488130000,6154942000,1612927000,7739821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
