date,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,853186000.0,216000,1064256000,,39816000.0,21788000,953159000,6432000,21788000,,2017415000,0.0,411394000,230664000,0.0,248155000.0,540000.0,1665398000,1042468000,352017000,-13593000.0,177173000,170150000,177173000,26223000,,488590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1095246000.0,238000,1240862000,,41548000.0,30217000,1264707000,6677000,30217000,,2505569000,0.0,467326000,230664000,67723000.0,144333000.0,556000.0,2148725000,1210645000,356844000,-17413000.0,225107000,190000000,292830000,24135000,245971000.0,499107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,960377000.0,276000,1622489000,,42975000.0,36281000,2111407000,4467000,36281000,,3733896000,0.0,834436000,230664000,112441000.0,559531000.0,566000.0,3309455000,1586208000,424441000,-15901000.0,836883000,289998000,949324000,27074000,,597838000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,880508000.0,276000,1153342000,1257000.0,,55513000,2179707000,6538000,55513000,,3336526000,0.0,695588000,235445000,111670000.0,251313000.0,-1439000.0,2646178000,1097829000,690348000,,202243000,180000000,313913000,31816000,551009000.0,580809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,865013000.0,283000,1669039000,34467000.0,93060000.0,35889000,2265812000,31262000,35889000,,3941739000,0.0,769186000,347321000,69396000.0,462909000.0,557000.0,3121935000,1633150000,819804000,-36817000.0,435881000,300390000,505277000,56243000,,672652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1198829000.0,283000,1662350000,89287000.0,,59839000,2346103000,38669000,59839000,,4041170000,0.0,740350000,426600000,69781000.0,394558000.0,607000.0,3174188000,1602511000,866982000,,142413000,391291000,212194000,59943000,,540532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1258838000.0,289000,2672492000,78717000.0,109955000.0,253050000,2462689000,37853000,43319000,201194000.0,5169898000,0.0,868243000,406135000,69405000.0,679378000.0,19944000.0,4164426000,2419442000,1005472000,-54040000.0,665419000,431577000,734824000,55915000,677927000.0,1251224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1347908000.0,289000,2510633000,68541000.0,,324650000,2514563000,42932000,55066000,266589000.0,5060011000,0.0,848701000,406135000,71634000.0,485728000.0,20038000.0,4106726000,2185983000,953285000,,351583000,399246000,423217000,54785000,721283000.0,933254000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1294760000.0,289000,3126823000,59750000.0,134060000.0,468881000,2630357000,20922000,47863000,417951000.0,5796466000,0.0,1092826000,406135000,84114000.0,728324000.0,24500000.0,4823402000,2657942000,973064000,-69216000.0,776359000,520561000,860473000,64844000,15532000.0,1329674000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,1203134000.0,289000,2837914000,50967000.0,,234799000,2564034000,23706000,45010000,189789000.0,5436925000,0.0,1126951000,406135000,84764000.0,770524000.0,84500000.0,4481324000,2603115000,955601000,,506971000,694890000,591735000,74784000,745813000.0,1099642000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,1252874000.0,290000,3312167000,42184000.0,149481000.0,94235000,2428214000,20721000,31235000,63000000.0,5755675000,0.0,1342475000,353782000,67530000.0,855940000.0,82390000.0,4850480000,3217932000,905195000,-81582000.0,600299000,841606000,667829000,67899000,591581000.0,1448123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1316483000.0,290000,3714043000,35688000.0,,178708000,2397632000,22109000,27208000,150000000.0,6113620000,1500000.0,1576365000,333782000,17504000.0,963838000.0,117449000.0,5243715000,3535335000,869905000,,414301000,792719000,431805000,69342000,558120000.0,1680462000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1494229000.0,290000,4258853000,32441000.0,369254000.0,301580000,2137144000,31867000,20380000,281200000.0,6384993000,0.0,1587104000,230664000,,1248356000.0,49859000.0,5498170000,3957273000,886823000,-76181000.0,736107000,904701000,736107000,293073000,302381000.0,1687200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1218465000.0,290000,3925220000,4596000.0,,149822000,2176469000,24170000,14122000,135700000.0,6070214000,0.0,1778684000,230664000,,1098620000.0,82300000.0,5159695000,3775398000,910519000,,452818000,943113000,452818000,313446000,342573000.0,1592565000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,586356000.0,290000,3182253000,9128000.0,329439000.0,90308000,2164787000,86077000,9108000,81200000.0,5347011000,0.0,1145574000,230664000,,889468000.0,0.0,4590632000,3091945000,756379000,-29051000.0,604843000,938863000,604843000,300388000,367204000.0,937728000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,652175000.0,290000,2280866000,15163000.0,,182025000,2188860000,89372000,9215000,172810000.0,4469695000,0.0,1043536000,274027000,,731407000.0,0.0,3712953000,2098841000,756742000,,383425000,693262000,383425000,301044000,,603059000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,831190000.0,290000,2130704000,15621000.0,291212000.0,171307000,2202490000,80257000,19307000,152000000.0,4333194000,,1094119000,274027000,39903000.0,621901000.0,,3512368000,1959397000,820826000,-29799000.0,179654000,623563000,219557000,261413000,412424000.0,391036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,290000,2222494000,13966000.0,,319604000,2086477000,76501000,14028000,305576000.0,4308971000,,1081760000,274027000,20000000.0,,,3306647000,1902890000,1002324000,,82399000,499650000,102399000,264642000,304064000.0,416924000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,88270000.0,290000,2074945000,1983000.0,301144000.0,445380000,2030689000,59798000,24537000,420843000.0,4105634000,,844872000,274027000,20000000.0,,,3135130000,1629565000,970504000,-38785000.0,146436000,363509000,166436000,262359000,257316000.0,651863000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,290000,1856828000,2478000.0,,299706000,2034932000,177465000,23086000,276620000.0,3900220000,,712929000,350839000,,,,2880890000,1557122000,1019330000,,143833000,467031000,143833000,258274000,271267000.0,360687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
