date,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,12490460000,35763180000,54199000,1829514000.0,0.0,8797979000.0,3278338000,3174909000.0,4014981000,6532453000,14827038000,6029059000,2530357000,125199000,23960715000,0.0,0.0,382408000,15815261000,11802465000,103429000,3391950000,4593394000.0,20682377000,23272720000,,-1201444000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,12439943000,33613802000,78736000,1185250000.0,0.0,7415005000.0,3417498000,3314069000.0,4014981000,5793860000,13404680000,5989675000,217940000,120678000,21500234000,321798000.0,0.0,382408000,16213668000,12113568000,103429000,3383205000,,18082736000,21173859000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,12720919000,36209913000,206102000,0.0,0.0,0.0,1925217000,1814069000.0,4014981000,8084971000,6232450000,6232450000,222627000,116157000,21474726000,3648000000.0,6268130000.0,417666000,16899683000,14735187000,111148000,3556163000,5039645000.0,19549509000,23488994000,582275000.0,-1483482000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,12907130000,38939953000,148353000,1975338000.0,0.0,207116000.0,1983510000,1890769000.0,4030771000,8521108000,8605309000,8398193000,233663000,113271000,23212947000,3600000000.0,6235256000.0,421035000,18473934000,15726149000,92741000,3735320000,,21229437000,26032823000,5278130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,13144661000,37227468000,199598000,1523315000.0,0.0,0.0,92961000,0.0,4030771000,9625044000,5971498000,5971498000,2111610000,108660000,21309174000,3600000000.0,4388998000.0,421521000,17140383000,15948763000,92961000,3874370000,5474352000.0,21216213000,24082807000,0.0,-1599982000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,13346684000,35483582000,413279000,1674473000.0,12949000.0,,104267000,,4030771000,6852792000,8232021000,8232021000,3136344000,104049000,20118042000,0.0,3892645000.0,421551000,14923221000,15365540000,91318000,4121161000,,20013775000,22136898000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,13404255000,36378629000,194746000,287329000.0,0.0,,100216000,,4030771000,7385352000,6730960000,6730960000,2434374000,99438000,21624316000,3600000000.0,6019027000.0,0,16971671000,15149079000,95263000,4201676000,6182357000.0,21524100000,22974374000,4650674000.0,-1980681000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,13132607000,37166280000,211631000,0.0,0.0,5358000.0,167006000,,7160907000,6441121000,8413048000,8413048000,2269437000,300958000,22233350000,0.0,6205632000.0,0,17432367000,15430109000,167006000,4547833000,4547833000.0,22066344000,24033673000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,12978496000,39323985000,245492000,415398000.0,0.0,,172296000,,7145117000,8220734000,9015813000,9015813000,2683171000,289239000,24006527000,0.0,6406795000.0,0,18077489000,15927254000,172296000,4131700000,6781480000.0,23834231000,26345489000,5300789000.0,-2649780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,13003023000,42372245000,293747000,2082694000.0,0.0,,168699000,,7145117000,9235047000,13073513000,13073513000,1721613000,277520000,26551734000,0.0,4408970000.0,0,21474959000,16524404000,168699000,4688834000,4688834000.0,26383035000,29369222000,5555740000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
