date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments
2004-06-30,,,,,,,-0.04,,,,,,,,0,,,,-1549181,,,,,,,,,,-1549181,,24397524.0,,,,,,,,,,,-0.04,,,,,-1069892,-1069892,1212457,,,,0.0,,,0,,,,,-1069892,24399813.0,,1549181,,,,,,,,,,,,,
2004-09-30,0.0,,,,,,0.1,,,210502151.0,,,,0.0,5039072,,-121359776.0,,3397681,-225738.0,,,,,,,3818655.0,0.0,2464917,,26082862.0,-160083938.0,-35493.0,1374637.0,,,,,,,,0.1,-117541121.0,,,932764.0,2628938,2628938,1631600,,,50418213.0,0.0,-163676855.0,-42317079.0,24547,,,,,2628938,26085312.0,-190245.0,2574155,,0.0,,,,,,,,,,,
2004-12-31,-23151797.0,,231728444.0,,,,,97543677.0,97543677.0,50418213.0,26083.0,,,0.0,5854387,-1311757.0,14792981.0,,3831606,49712192.0,,,,,151523580.0,,7772272.0,-1181880.0,3248624,,,47125464.0,0.0,4860143.0,-1924329.0,,3578229.0,150211823.0,,,,,22565253.0,56000000.0,306506063.0,582982.0,3511027,3511027,1727725,,,97543677.0,,-10359000.0,,0,,73777619.0,,,3511027,,-3679522.0,2605763,,-2608286.0,,,,,,,,,,,
2005-03-31,7725958.0,-1165958.0,232494263.0,,,,0.14,,,97543677.0,26083.0,,,-858333.0,6864300,,-40455029.0,,8777170,15594813.0,,,,,,,1643836.0,323190.0,7759268,,26099195.0,-15490422.0,,-3257190.0,-1233510.0,,,189808747.0,,,,0.14,-38811193.0,74141667.0,326304079.0,1017902.0,3559934,3559934,1698249,,,82053255.0,,-32729071.0,,711149,,92047316.0,-462637.0,,3559934,26103259.0,322261.0,-894968,,-2869115.0,,,,,,,,,,,
2005-06-30,0.0,-698314.0,232660462.0,,,,0.17,34357866.0,34357866.0,82053255.0,26083.0,,,-937500.0,7241777,-3294873.0,-42601912.0,,5826710,-1983440.0,,,,,238151964.0,,1824735.0,-3107931.0,4852714,,26096021.0,-47695389.0,,-765459.0,-1043786.0,,6418038.0,234857091.0,,,,0.17,-40777177.0,73204167.0,333744392.0,868552.0,4379811,4379811,1415067,,,34357866.0,0.0,-47536684.0,,831117,,98946430.0,-1695740.0,,4379811,26110119.0,-1045939.0,2389063,,-1.0,,,,,,,,,,,
2005-09-30,0.0,-119593.0,357321842.0,,,,0.14,100826702.0,100826702.0,34357866.0,39293.0,,,-32837500.0,8204941,-3969062.0,-27426626.0,,5705851,81270028.0,,,,,265610101.0,,12625434.0,-454990.0,4488174,,37606480.0,66468836.0,126299359.0,6368688.0,-2584400.0,,8465676.0,261641039.0,,,,0.14,-14801192.0,40366667.0,431592587.0,1217677.0,5256091,5256091,1990971,,,100826702.0,0.0,-27426626.0,0.0,0,,72133245.0,6488281.0,,5256091,37654576.0,1739075.0,3716767,,-13855906.0,,,,,,,,,,,
2005-12-31,-78613843.0,-815337.0,356277142.0,,,,,59115832.0,59115832.0,100826702.0,39345.0,,,-26012500.0,9621953,-5260219.0,12669966.0,,7363191,57090154.0,,,0.0,,376479780.0,,8207259.0,-1095189.0,5899647,,,-41710870.0,-952057.0,1149874.0,-3350565.0,,10922317.0,371219561.0,,,,,20877225.0,100484520.0,501173546.0,1463544.0,6444511,6444511,2907138,,,59115832.0,,-107008283.0,-41064406.0,0,,142722538.0,1965211.0,,6444511,,-1414239.0,3722306,,-5392.0,,,,,,,,,,,
2006-03-31,0.0,-249791.0,356669059.0,,,,0.2,5424613.0,5424613.0,59115832.0,39419.0,,,-29000000.0,12692267,-7626698.0,-33705058.0,,10195991,-32168039.0,,,,,410805206.0,,12491878.0,-1101068.0,8403529,,39428071.0,-53691219.0,,3575457.0,-3786234.0,,12326691.0,403178508.0,,,,0.2,-21213180.0,75511051.0,482907315.0,1792462.0,7977610,7977610,2544871,,,5424613.0,0.0,-34015058.0,-310000.0,537040,,123999450.0,3825248.0,,7977610,39501723.0,-24973607.0,4288738,,-7194432.0,,,,,,,,,,,
2006-06-30,0.0,-808117.0,355513434.0,,,,0.2,1833614.0,1833614.0,5424613.0,39472.0,,,0.0,13164371,-9389097.0,-28023120.0,,10384348,17529491.0,,,,,437596841.0,,8002630.0,-584934.0,8546829,,39519695.0,-3590999.0,,-1411840.0,-5934235.0,,13947179.0,428207744.0,,,,0.2,-20020490.0,101453178.0,510259617.0,1837519.0,7915071,7915071,2855142,,,1833614.0,0.0,-29123120.0,-1100000.0,637473,,152450606.0,-603723.0,,7915071,39757723.0,25941054.0,4617542,,-8411563.0,,,,,,,,,,,
2006-09-30,-1135799.0,-2131083.0,354517974.0,,,,0.22,1187026.0,1187026.0,1833614.0,39533.0,,,-24462811.0,15121198,-11059086.0,-69185495.0,,12625827,118154060.0,,,,,565575276.0,,8643796.0,-1043320.0,10598310,,39529687.0,-646588.0,,-1273451.0,-7723836.0,,16979122.0,554516190.0,,,,0.22,-60541699.0,232630841.0,639920269.0,2027517.0,8673547,8673547,2548517,,,1187026.0,0.0,-127444444.0,-64765482.0,2071900,,284313242.0,857632.0,,8673547,39857355.0,914524.0,4522888,,-10048891.0,,,,,,,,,,,
