date,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInventory,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,622000.0,56418000,21520791000,-7749633000.0,1991612000,,84474000,5652209000,5652209000,3458564000,25597106000.0,4473837000,17847473000,13329000.0,,,18623169000,9102920000,8147500000,,2288149000,24751367000,43374536000,0.0,17250420000,7960765000,505887000.0,4400602000,3454705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,310000.0,51215000,23022188000,,3732281000,,84474000,5175161000,5175161000,3511969000,,5596844000,17587515000,0.0,,,22183644000,10715418000,8206931000,,2288149000,24529917000,46713561000,0.0,18922349000,8052670000,380708000.0,9173973000,4073962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,73378000,25770174000,-9648704000.0,4708785000,,84950000,5143658000,5143658000,5241974000,27223066000.0,4368885000,17574362000,0.0,,,23748830000,12474608000,7210267000,,2288149000,27518380000,51267210000,0.0,19684875000,7086134000,1673646000.0,9807849000,4023228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,80534000,27857573000,,6793129000,0.0,85467000,4853753000,4853753000,4979630000,,4916952000,17553721000,0.0,,0.0,28259036000,12677566000,11115353000,18712370000.0,2288149000,29217373000,57476409000,0.0,23792919000,11007888000,-31196000.0,11639885000,4915318000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,167194000,28045380000,-12112574000.0,9312523000,,85467000,4437442000,4437442000,6723757000,30470558000.0,5023154000,18357984000,0.0,,,27194335000,14846834000,11618007000,,2288149000,33264892000,60459227000,0.0,26464841000,11450813000,670127000.0,10449628000,2926128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,229830000,28701601000,,9969658000,,85467000,3769252000,3769252000,6419896000,,5678448000,18950762000,0.0,,,27683885000,14385552000,13123691000,,2288149000,34511765000,62195650000,0.0,27509243000,12893861000,632251000.0,10355901000,3480369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,258118000,30645635000,-13896216000.0,712531000,,85467000,3914991000,3914991000,6609235000,33646841000.0,2738658000,19750625000,0.0,,,28926786000,12502469000,12282917000,21528957000.0,2288149000,32007746000,60934532000,0.0,24785386000,12024799000,5398000.0,5214158000,13512224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,259086000,31527525000,,712531000,0.0,102560000,4426364000,4426364000,7840667000,19400796000.0,3021547000,19400796000,0.0,,0.0,33396471000,14055002000,16017664000,22089993000.0,2288149000,33729170000,67125641000,0.0,30072666000,15758578000,442258000.0,5482015000,16876122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,521196000,34158243000,-16404240000.0,17387531000,,102560000,6363240000,6363240000,7887802000,35624907000.0,2726572000,19220667000,0.0,,,38072659000,16971876000,17028406000,,2288149000,36787582000,74860241000,0.0,34000282000,16507210000,734889000.0,5763394000,20532724000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,671233000,34951553000,,16332457000,,102560000,4616800000,4616800000,8913626000,18732904000.0,2724226000,18732904000,0.0,,,35978128000,18419178000,14638751000,24949602000.0,2288149000,38275152000,74253280000,0.0,33057929000,13967518000,727927000.0,5814197000,19298620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
