date,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock
1990-12-31,,-5300000.0,30900000,5700000,-1000000.0,25700000.0,3900000.0,0.0,,21100000.0,0.0,,0.025,42600000.0,14900000.0,18500000.0,,-3700000.0,156000000.0,,6800000,-600000.0,,,32100000.0,5200000.0,,0.0,,,20000000.0,-400000.0,,2600000.0,156000000.0,19100000.0,0.0,3900000,,6400000.0,2600000.0,900000.0,-1000000.0,3200000.0,1400000.0,100000.0,400000.0,3500000.0,3900000.0,,-1700000.0,1200000.0,-6900000.0,0.025,,-1000000.0,-600000.0,,2100000.0,8000000.0,6000000.0,,9200000.0,-2000000.0,,,1400000.0,53200000.0,10600000.0,18700000.0,18700000.0,,1100000.0,,8400000.0,0.0,
1991-03-31,,-4100000.0,35000000,6500000,-7400000.0,28400000.0,4700000.0,0.0,,24400000.0,-100000.0,,,52500000.0,16500000.0,22800000.0,,1000000.0,,,7800000,1000000.0,,,41000000.0,6600000.0,,-6000000.0,,,21900000.0,-400000.0,,1600000.0,,20600000.0,0.0,4700000,,10600000.0,1600000.0,1000000.0,-1400000.0,5500000.0,5300000.0,100000.0,300000.0,3900000.0,4700000.0,,100000.0,800000.0,-7900000.0,,,2800000.0,800000.0,,2300000.0,8600000.0,7000000.0,,11300000.0,1400000.0,,,3500000.0,65400000.0,12900000.0,19400000.0,19400000.0,,1300000.0,,10500000.0,0.0,
1991-06-30,,-3100000.0,38300000,5000000,-2200000.0,30900000.0,3400000.0,0.0,,30800000.0,100000.0,,0.02,60300000.0,19500000.0,29200000.0,,4400000.0,170000000.0,,6700000,-800000.0,,,47000000.0,7400000.0,,-100000.0,,,25900000.0,-1400000.0,,1500000.0,170000000.0,24200000.0,100000.0,3400000,,12500000.0,1600000.0,900000.0,-3000000.0,1100000.0,900000.0,100000.0,300000.0,5300000.0,3400000.0,,0.0,1200000.0,-8900000.0,0.02,,1300000.0,100000.0,,1800000.0,10600000.0,5200000.0,,14600000.0,-1700000.0,,,5700000.0,77800000.0,17500000.0,19500000.0,19500000.0,900000.0,1700000.0,,13700000.0,19400000.0,
1991-09-30,,-14700000.0,52600000,3500000,-8100000.0,39100000.0,2400000.0,0.0,,33200000.0,-300000.0,,0.0125,62700000.0,23000000.0,31000000.0,,5000000.0,192000000.0,,5900000,-700000.0,,,49100000.0,13500000.0,,100000.0,,,35600000.0,-4100000.0,,2100000.0,192000000.0,33600000.0,100000.0,2400000,,20700000.0,2200000.0,800000.0,-2100000.0,2800000.0,300000.0,100000.0,300000.0,9500000.0,2400000.0,,-1800000.0,1800000.0,-10500000.0,0.0125,,-10500000.0,-18100000.0,,1300000.0,12500000.0,3700000.0,,19200000.0,-12600000.0,,,5300000.0,82300000.0,19600000.0,2500000.0,2500000.0,,2400000.0,,11000000.0,0.0,
1991-12-31,4400000.0,3100000.0,54500000,8900000,-4700000.0,42000000.0,6100000.0,0.0,,32800000.0,,,0.0325,70100000.0,26200000.0,31000000.0,,11100000.0,187692308.0,,10700000,0.0,,,60600000.0,12500000.0,,-5900000.0,,,33100000.0,2800000.0,,1700000.0,187692308.0,31300000.0,100000.0,6100000,,17600000.0,1800000.0,1000000.0,-3200000.0,5300000.0,5100000.0,100000.0,300000.0,6700000.0,6100000.0,,700000.0,1700000.0,-11800000.0,0.0325,,10800000.0,11300000.0,,3000000.0,14400000.0,9100000.0,,19100000.0,7600000.0,,,7200000.0,93400000.0,23300000.0,13900000.0,13900000.0,,1400000.0,,10900000.0,0.0,
1992-03-31,0.0,14600000.0,67400000,10100000,-2500000.0,52400000.0,6400000.0,0.0,,47200000.0,,,,95700000.0,30800000.0,45500000.0,,17100000.0,,,9800000,-6500000.0,,,75600000.0,15000000.0,,1900000.0,,,42300000.0,1300000.0,,1600000.0,,42600000.0,100000.0,6400000,,24500000.0,1700000.0,1200000.0,-4400000.0,-2100000.0,-2100000.0,200000.0,300000.0,5600000.0,6400000.0,,-600000.0,1400000.0,-13200000.0,,,16900000.0,11700000.0,,3900000.0,17600000.0,10300000.0,,30000000.0,12500000.0,,,8100000.0,122800000.0,27100000.0,25700000.0,25700000.0,,-300000.0,,14300000.0,0.0,
1992-06-30,-5500000.0,-5400000.0,60200000,9000000,-11900000.0,49200000.0,6400000.0,0.0,,34700000.0,700000.0,,0.0325,91400000.0,33800000.0,33400000.0,,23400000.0,196923077.0,,11800000,2000000.0,,,87200000.0,11000000.0,,-900000.0,,,40200000.0,1300000.0,,1300000.0,196923077.0,37400000.0,0.0,6400000,,30700000.0,1300000.0,700000.0,-5500000.0,2400000.0,1500000.0,100000.0,300000.0,4500000.0,6400000.0,,-100000.0,1600000.0,-13200000.0,0.0325,,6500000.0,-3700000.0,,2900000.0,20600000.0,9300000.0,,20700000.0,1000000.0,,,8300000.0,121900000.0,30500000.0,21900000.0,21900000.0,,2800000.0,,12000000.0,25700000.0,
1992-09-30,-1600000.0,8500000.0,43700000,-16900000,-5200000.0,33000000.0,-11200000.0,0.0,,41600000.0,-5800000.0,,-0.06,86200000.0,39900000.0,40400000.0,,5000000.0,186666667.0,,-14000000,-1000000.0,,,75300000.0,10700000.0,,200000.0,,,49900000.0,900000.0,,1100000.0,186666667.0,47000000.0,100000.0,-11200000,,35000000.0,1200000.0,1200000.0,-3800000.0,5700000.0,6000000.0,400000.0,300000.0,3700000.0,-11200000.0,,100000.0,1500000.0,-18300000.0,-0.06,,-6900000.0,-6500000.0,,-5800000.0,21600000.0,-17000000.0,,27200000.0,-10700000.0,,,7600000.0,116900000.0,30700000.0,15400000.0,15400000.0,,2900000.0,,12000000.0,0.0,
1992-12-31,2900000.0,7300000.0,48700000,-6200000,-1500000.0,38200000.0,-4100000.0,0.0,,39600000.0,100000.0,,-0.02125,77400000.0,42400000.0,38500000.0,,-4600000.0,192941176.0,,-4200000,-2100000.0,,,68900000.0,10500000.0,,-1100000.0,,,44400000.0,-100000.0,,1000000.0,192941176.0,42400000.0,100000.0,-4100000,,32500000.0,1100000.0,900000.0,-3300000.0,900000.0,100000.0,200000.0,300000.0,3500000.0,-4100000.0,,-100000.0,1700000.0,-20000000.0,-0.02125,,2300000.0,900000.0,,-2100000.0,22400000.0,-6200000.0,,25800000.0,-1000000.0,,,7000000.0,108500000.0,31100000.0,17400000.0,17400000.0,,2000000.0,,11800000.0,0.0,
1993-03-31,,1800000.0,51300000,9600000,5200000.0,45800000.0,-1400000.0,0.0,,72100000.0,1900000.0,,,110500000.0,44500000.0,45900000.0,,-6000000.0,,,16800000,-3300000.0,,,69600000.0,5500000.0,,-200000.0,,,36200000.0,200000.0,,26200000.0,,29000000.0,0.0,-1400000,,26800000.0,26200000.0,900000.0,-2800000.0,-3000000.0,22100000.0,,-12300000.0,3200000.0,-1400000.0,,-300000.0,2700000.0,-22100000.0,,,6200000.0,33700000.0,,-700000.0,22400000.0,-2100000.0,,28100000.0,3400000.0,,,6100000.0,141700000.0,31200000.0,51100000.0,51100000.0,,7200000.0,,16900000.0,0.0,
