date,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfInvestment,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness
2008-12-31,,26616000.0,,33751000.0,,,0.0,,118824000.0,58975000.0,,,1712000.0,4749000.0,,,,3574000.0,,,16000.0,,,,34500000.0,,,,,,772000.0,,84324000.0,,4159000.0,,,,45961000.0,,27316000.0,201000.0,27316000.0,110855000.0,,,2343000.0,13425000.0,,,,,,,,,,,,15724000.0,,,,,,,,-72492000.0,20293000.0,,,,29751000.0,59849000.0,,,
2009-06-30,,18485000.0,1946000.0,33751000.0,,,,,106216000.0,61593000.0,,,847000.0,4188000.0,,,,4143000.0,,,,,789000.0,,26975000.0,,,,,0.0,52000.0,,79241000.0,,4209000.0,,,,-1947000.0,8668000.0,18745000.0,162000.0,18745000.0,0.0,,,1329000.0,11850000.0,,,,,,,,0.0,56000.0,,,12000.0,,,,,,,,-78117000.0,20542000.0,,,,22787000.0,44623000.0,,,
2009-12-31,,24305000.0,,33751000.0,,,0.0,,143709000.0,59023000.0,,,961000.0,3488000.0,,,,1816000.0,,,,,,,34832000.0,,,,,,807000.0,,108877000.0,,3480000.0,,,,52875000.0,,47391000.0,564000.0,47391000.0,122870000.0,,,3495000.0,15130000.0,,,,,,,,,,57040000.0,,15650000.0,,,-37755000.0,,,,,-66868000.0,19285000.0,,,,31344000.0,84686000.0,,,
2010-06-30,,21592000.0,,42710000.0,,,0.0,,139736000.0,81485000.0,,,1069000.0,8502000.0,,,,1774000.0,,,,,,,36555000.0,,,,,0.0,1064000.0,,103181000.0,,15538000.0,,,,55073000.0,,27165000.0,4947000.0,27165000.0,124381000.0,,,3139000.0,12556000.0,,,,,,,,0.0,,,,15078000.0,,,,,,,,-76273000.0,20473000.0,,,,28053000.0,58251000.0,,,
2010-12-31,,54901000.0,,42380000.0,,,0.0,,193961000.0,84738000.0,,,1700000.0,7231000.0,,,,1437000.0,,,,,,,45454000.0,,,,,,1280000.0,,148507000.0,,13534000.0,,,,71463000.0,,40397000.0,2693000.0,40397000.0,137122000.0,,,3905000.0,22012000.0,,,,,,,,,,73214000.0,,15789000.0,,,-49328000.0,,,,,-60079000.0,23886000.0,,,,38223000.0,109223000.0,,,
2011-06-30,,14304000.0,,38880000.0,,,0.0,,152989000.0,85586000.0,,,1819000.0,6879000.0,,,,1061000.0,,,,,,,34697000.0,,,,,0.0,14041000.0,,118292000.0,,11188000.0,,,,70950000.0,,49845000.0,2300000.0,49845000.0,137451000.0,,,2193000.0,16107000.0,,,,,,,,0.0,,,,11271000.0,,,,,,,,-90109000.0,20310000.0,,,,27818000.0,67403000.0,,,
2011-12-31,,30010000.0,,38880000.0,,,0.0,,161055000.0,95493000.0,,,2253000.0,7319000.0,,,,502000.0,,,,,,,42679000.0,,,,,,24310000.0,,118376000.0,,10614000.0,,,,72056000.0,,32555000.0,2403000.0,32555000.0,137460000.0,,,2495000.0,18068000.0,,,,,,,,,,74734000.0,,15858000.0,,,-55211000.0,,,,,-91140000.0,19523000.0,,,,35360000.0,65562000.0,,,
2012-06-30,,16083000.0,,38314000.0,,,,,243337000.0,99601000.0,,,2292000.0,6631000.0,,,,517000.0,,,,,1265000.0,,130998000.0,,,,,0.0,1000.0,,112339000.0,,9821000.0,,,,3199000.0,,122613000.0,1976000.0,122613000.0,138301000.0,,,4522000.0,15739000.0,,,,,,,,0.0,,,,107455000.0,,,,,,,,-101599000.0,19253000.0,,,,124367000.0,143735000.0,,,
2012-12-31,,27876000.0,2893000.0,37667000.0,,,0.0,,235329000.0,102602000.0,,,1000.0,7868000.0,,,,204000.0,,,,,,,116882000.0,,,,,,417000.0,,118447000.0,,9426000.0,,,,994000.0,83608000.0,94647000.0,2624000.0,94647000.0,139347000.0,,,5194000.0,22093000.0,,,,,,,,,,67963000.0,,1000.0,,,-49864000.0,,,,,-94770000.0,18099000.0,,,,109014000.0,132727000.0,,,
2013-06-30,,26278000.0,2883000.0,39240000.0,,,0.0,,276228000.0,108189000.0,,,2945000.0,8922000.0,,,,270000.0,,,,,229000.0,,108216000.0,,,,,0.0,-1000.0,,168012000.0,,8528000.0,,,,844000.0,75517000.0,136709000.0,2566000.0,136709000.0,154372000.0,,,4520000.0,20449000.0,,,,,,,,0.0,,,,-1000.0,,,,,,,,-99635000.0,17273000.0,,,,99294000.0,168039000.0,,,
