date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyFreeCashFlow,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt
2007-12-31,47362000000,,7666000000.0,28304000000,34817000000,,,,,,91576000000,126393000000,178000000.0,7833000000.0,10054000000.0,75666000000,,,,,40323000000.0,882000000.0,,,,,,0,,116000000,,,,6254000000.0,,6771000000,50549000000,-45066000000,,910000000.0,,21649000000,21649000000.0,4788000000.0,,,49761000000.0,14787000000.0,,107454000000,,,0.0,62388000000,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,48008000000,47199000000.0,,34622000000,37045000000,,,,0.0,,93741000000,130786000000,41310000000.0,7853000000.0,,82630000000,,,,,,,,,,,,787000000,,7779000000,,,,,,6426000000,47986000000,-46312000000,0.0,319000000.0,,20029000000,0.0,4704000000.0,,,,19937000000.0,,110372000000,,,0.0,64060000000,,20029000000.0,,,,,,,,,,,,,,,,,,,,,
2008-12-31,41283000000,,7666000000.0,35011000000,28058000000,,,,,,86681000000,114739000000,120000000.0,0.0,9773000000.0,76294000000,,,,,36025000000.0,960000000.0,,,,,,0,,116000000,,,,5878000000.0,,4977000000,38325000000,-47241000000,,0.0,,15088000000,15088000000.0,4255000000.0,,,37538000000.0,22749000000.0,,113280000000,,,0.0,66039000000,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,41465000000,36968000000.0,,29746000000,20783000000,,,,0.0,,88368000000,109151000000,36309000000.0,0.0,,71211000000,,,,,,1014000000.0,,,,,,787000000,,7817000000,,,,,,5156000000,37755000000,-47009000000,0.0,0.0,,11341000000,0.0,7610000000.0,,,,12720000000.0,,113855000000,,,0.0,66846000000,,11341000000.0,,,,,,,,,,,,,,,,,,,,,
2009-12-31,41128000000,24704000000.0,7666000000.0,29811000000,25630000000,,,,,,87694000000,113324000000,0.0,0.0,,70939000000,,,,,15159000000.0,947000000.0,,,,4771000000.0,,787000000,,184000000,,,,,,5255000000,42238000000,-49221000000,,0.0,,16522000000,16522000000.0,4140000000.0,,,,12965000000.0,,114716000000,,,0.0,65495000000,,746000000.0,,,,,,,,,,,,,,,,,,,,,
2010-06-30,41255000000,47933000000.0,,30703000000,31558000000,,,,0.0,,89275000000,120833000000,940000000.0,0.0,,71958000000,,,,,34678000000.0,910000000.0,,,,9386000000.0,,787000000,,7934000000,,,,,,5637000000,48720000000,-52139000000,0.0,0.0,,21262000000,21262000000.0,6274000000.0,,,,14068000000.0,,118382000000,,,0.0,66243000000,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,38440000000,,,35184000000,36652000000,,,,,,91401000000,128053000000,30925000000.0,7666000000.0,,73624000000,,,,,,,,,,,,787000000,,338000000,,,,,,5815000000,54274000000,-54736000000,,1021000000.0,,24198000000,24198000000.0,,,,,15773000000.0,,120848000000,,,8704000000.0,66112000000,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,36785000000,36800000000.0,7666000000.0,39173000000,33761000000,,,,0.0,,97263000000,131024000000,28710000000.0,0.0,,75958000000,,,,,,,,,,,,787000000,,536000000,,,,,,6096000000,54899000000,-56544000000,0.0,1054000000.0,,18641000000,18641000000.0,,,,,17017000000.0,,124576000000,,,10528000000.0,68032000000,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,44182000000,,7666000000.0,37007000000,31357000000,,,,,,105776000000,137133000000,34773000000.0,0.0,,81189000000,,,,,,1155000000.0,,,,,,787000000,,935000000,,,,,,6797000000,55809000000,-57170000000,,0.0,,19597000000,19597000000.0,,,,,,,130668000000,,,8562000000.0,73498000000,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,52979000000,,7666000000.0,35390000000,32129000000,-783000000.0,3934000000.0,49000000.0,0.0,-119000000.0,109754000000,141883000000,43519000000.0,0.0,,88369000000,2799000000.0,1622000000.0,-105000000.0,-119000000.0,,,-1009000000.0,1311000000.0,3465000000.0,,-172000000.0,787000000,1232000000.0,1294000000,0.0,2594000000.0,-98000000.0,,30000000.0,6768000000,53385000000,-58773000000,0.0,1179000000.0,87000000.0,20022000000,20022000000.0,,205000000.0,3934000000.0,,17899000000.0,6264000000.0,136481000000,-1257000000.0,474000000.0,6053000000.0,77708000000,7000000.0,,641000000.0,85000000.0,,,,,,,,,,,,,,,,,,,
2012-12-31,61809000000,38363000000.0,7666000000.0,35895000000,36209000000,,,,,,118801000000,155010000000,1079000000.0,,,97704000000,,,,,20209000000.0,1194000000.0,,,,5600000000.0,,787000000,,1759000000,,,,,,8198000000,57186000000,-58093000000,,,,24182000000,13300000000.0,4428000000.0,,,,7357000000.0,,142371000000,,,,84278000000,,24182000000.0,,,,,,,,,,,,,,,,,,,,,
2013-06-30,60538000000,36987000000.0,7666000000.0,38574000000,35103000000,-62000000.0,3934000000.0,49000000.0,0.0,3000000.0,122059000000,157162000000,49442000000.0,0.0,,99112000000,3085000000.0,507000000.0,21000000.0,3000000.0,18605000000.0,1246000000.0,-1176000000.0,1102000000.0,3144000000.0,5884000000.0,-40000000.0,787000000,1641000000.0,1944000000,-70000000.0,2684000000.0,43000000.0,,-350000000.0,8521000000,57924000000,-57435000000,0.0,1246000000.0,85000000.0,23384000000,12436000000.0,4922000000.0,401000000.0,3934000000.0,,7700000000.0,6229000000.0,143954000000,-872000000.0,810000000.0,8726000000.0,86519000000,22000000.0,23384000000.0,827000000.0,-535000000.0,,,,,,,,,,,,,,,,,,,
2013-12-31,67785000000,40342000000.0,7666000000.0,40777000000,39185000000,,,,,,132390000000,171575000000,980000000.0,,,108562000000,,,,,24954000000.0,1511000000.0,,,,5421000000.0,,787000000,,2136000000,,,,,,9633000000,62888000000,-59304000000,,,,27736000000,19015000000.0,5834000000.0,,,,7601000000.0,,154239000000,,,,94935000000,,27736000000.0,,,,,,,,,,,,,,,,,,,,,
2014-06-30,63548000000,40060000000.0,7666000000.0,41717000000,32512000000,,,,0.0,,133731000000,166243000000,17109000000.0,0.0,,105265000000,,,,,22469000000.0,1512000000.0,,,,5902000000.0,,0,,2250000000,,,,,,9589000000,60830000000,-61554000000,0.0,0.0,,20241000000,11817000000.0,5360000000.0,,,,7458000000.0,,157272000000,,,0.0,95718000000,,20241000000.0,,,,,,,,,,,,,,,,,,,,,
