date,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyRepaymentOfDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2012-09-30,,49867000,,,,-13850000,,,48275000,-25233000,,0,,-25233000,,15823000,,,39764000,-51433000,4387000,,,,0.0,20975000,-25233000,30982000,2735000,,,,2754000,-1691000,,,0.0,,,,,42668000,,,,3853000,-12424000,,,187000,,,,254000,55169000,-62125000,-28247000,52602000,,,-25046000,,0.0,,,,,10007000,-2904000,,390000,0.0,,,,,
2012-12-31,7208000.0,28873000,165195000.0,20230000.0,196367000.0,-23609000,0.0,212032000.0,-7644000,8120000,49545000.0,0,575000.0,8120000,19386000.0,19727000,,,21030000,-11169000,-2802000,282494000.0,549000.0,1632000.0,0.0,17094000,8120000,27097000,39407000,20032000.0,,,-112000,474000,1803000.0,-86127000.0,0.0,6664000.0,21030000.0,50000.0,4187000.0,39764000,12000.0,21030000.0,,4856000,32037000,,,199000,,107354000.0,-100086000.0,79000,-44829000,-15965000,12310000,68280000,70462000.0,,8319000,207440000.0,0.0,31172000.0,,6627000.0,-149265000.0,10003000,-18734000,,391000,0.0,,,,,
2013-03-31,,49454000,,,,-5453000,,,29579000,-17825000,,0,,-17825000,,19391000,,-0.267185,30294000,-20726000,1982000,,,,,20457000,-17825000,30010000,11561000,,66714000.0,,-2999000,-788000,,,-19182000.0,,,,,21030000,,,0.0,4150000,942000,0.0,66714000.0,185000,,,,411000,23226000,-35032000,-18449000,61015000,,-0.267185,-17640000,,0.0,,,,,9553000,9264000,,391000,,,,,,
2013-06-30,9398000.0,29607000,153308000.0,18126000.0,188076000.0,-17476000,0.0,212683000.0,-7094000,-3353000,49545000.0,0,449000.0,-3353000,19751000.0,17054000,,-0.050259,21639000,-3627000,-2221000,285024000.0,616000.0,4013000.0,,16248000,-3353000,26047000,26250000,23680000.0,66714000.0,,0,-1445000,1812000.0,-96948000.0,-1983000.0,3938000.0,21639000.0,3000.0,3131000.0,30294000,13000.0,21639000.0,,3881000,17257000,,66714000.0,152000,,95812000.0,-106345000.0,2066000,-27597000,-10382000,203000,55857000,72341000.0,-0.050259,-3201000,202157000.0,0.0,34768000.0,,7653000.0,-170443000.0,9799000,-8655000,,390000,,,,,,
2013-09-30,8271000.0,58425000,201428000.0,22229000.0,229285000.0,-18626000,21000000.0,233879000.0,49656000,-29255000,49545000.0,3000,290000.0,-29255000,0.0,16922000,,-0.357954,15927000,-56788000,-437000,351327000.0,891000.0,5248000.0,-20000000.0,20470000,-29255000,30469000,3162000,72147000.0,81728265.0,,5604000,-149000,1388000.0,-122042000.0,-54772000.0,2946000.0,15927000.0,15000.0,12539000.0,21639000,13000.0,15927000.0,,3857000,-10385000,,81728265.0,205000,,143689000.0,-98817000.0,1420000,55797000,-68282000,-27307000,61587000,117448000.0,-0.357954,-29050000,242506000.0,0.0,27857000.0,,10533000.0,-199698000.0,9999000,-5712000,,735000,0.0,,,,,
2013-12-31,7091000.0,37574000,203062000.0,21270000.0,327371000.0,-24355000,,4979000.0,-8435000,-5417000,49545000.0,-1034000,4979000.0,-107974000,0.0,21470000,,-2.36,76864000,-71949000,1503000,53131000.0,0.0,1814000.0,-31000000.0,33613000,-5417000,46206000,39542000,22804000.0,45825000.0,24320000.0,-2635000,908000,1112000.0,274240000.0,-8364000.0,3311000.0,76864000.0,-6000.0,4078000.0,15927000,82000.0,113935000.0,,25070000,14806000,-61420000.0,45825000.0,100000,162883000.0,124072000.0,-103691000.0,141321000,-50726000,-15920000,-6664000,77116000,48152000.0,-2.36,-5317000,124072000.0,0.0,124309000.0,,0.0,-205115000.0,12593000,60937000,37071000.0,29000,0.0,,,,,
2014-03-31,9345000.0,65485000,224359000.0,19826000.0,332765000.0,-15106000,,5153000.0,29142000,-25759000,49605000.0,-3454000,5153000.0,-25759000,,22130000,,-0.31,39440000,-63201000,1798000,80837000.0,,2024000.0,,24867000,-25759000,36187000,8908000,52116000.0,82181000.0,36671000.0,-786000,-2227000,2181000.0,251928000.0,-31687000.0,3150000.0,39440000.0,1000.0,3742000.0,76864000,83000.0,93816000.0,13100000.0,6930000,-5149000,-42829000.0,82181000.0,217000,,132909000.0,,-3365000,23129000,-44248000,-27279000,74393000,75684000.0,-0.31,-25542000,132909000.0,-500000.0,108406000.0,,0.0,-230874000.0,11320000,-37424000,54376000.0,29000,,,,,,
2014-06-30,9913000.0,38596000,239970000.0,19991000.0,314522000.0,-17573000,,5187000.0,-6544000,-8246000,86685000.0,-134000,5187000.0,-8246000,,20544000,,-0.1,30783000,-3633000,2278000,59166000.0,,2160000.0,,25471000,-8246000,37660000,25896000,24175000.0,83209000.0,19295000.0,3774000,16000,1774000.0,255356000.0,-2357000.0,12664000.0,30783000.0,28000.0,9813000.0,39440000,84000.0,59213000.0,55360000.0,8481000,8780000,-12053000.0,83209000.0,-1367000,,119166000.0,,1520000,-26286000,-11029000,-11764000,64492000,53979000.0,-0.1,-9613000,119166000.0,-43372000.0,74552000.0,,0.0,-239120000.0,12189000,-8657000,28430000.0,88000,,,,,,
2014-09-30,15758000.0,68281000,237084000.0,29563000.0,348133000.0,-2595000,,5315000.0,45404000,-32441000,86685000.0,-186000,5315000.0,-32441000,,19369000,,-0.39,53186000,-23073000,2585000,113403000.0,,1800000.0,,34439000,-32441000,47929000,13251000,72462000.0,83688000.0,14124000.0,-3307000,-1422000,8679000.0,234730000.0,-25250000.0,10972000.0,53186000.0,-1000.0,6063000.0,30783000,84000.0,83221000.0,12478000.0,11794000,-15309000,-8990000.0,83688000.0,281000,258000.0,123503000.0,,72000,45044000,-47999000,-34678000,81532000,108088000.0,-0.39,-32160000,123503000.0,0.0,111049000.0,0.0,0.0,-271561000.0,13490000,22403000,30035000.0,35000,,,,,,
2014-12-31,14396000.0,38623000,207313000.0,31183000.0,318127000.0,-14148000,,4365000.0,473000,1688000,91301000.0,-206000,4365000.0,1688000,,19263000,,0.02,56117000,2557000,-1227000,71084000.0,,1804000.0,0.0,29375000,1688000,41762000,45794000,24591000.0,86543000.0,1451000.0,5356000,1924000,3864000.0,247043000.0,4547000.0,13626000.0,56117000.0,-13000.0,10945000.0,53186000,84000.0,89463000.0,16120000.0,9683000,23295000,-6834000.0,83925000.0,1055000,711000.0,99131000.0,-103931000.0,-99000,-33488000,-14621000,4032000,84417000,66719000.0,0.02,2743000,99131000.0,-10000000.0,110814000.0,335000.0,0.0,-269873000.0,12387000,2931000,33346000.0,35000,,,,,,
2015-03-31,10674000.0,65493000,207562000.0,20187000.0,309728000.0,-23937000,,4285000.0,6691000,-28542000,91301000.0,-4391000,4285000.0,-28542000,,17846000,,-0.34,50028000,-12752000,1747000,74287000.0,,1732000.0,,33169000,-28542000,49313000,19379000,44969000.0,84794000.0,0.0,-4938000,2434000,3986000.0,235441000.0,-17163000.0,12066000.0,50028000.0,31000.0,4846000.0,56117000,86000.0,78895000.0,12140000.0,15020000,-12088000,-6243000.0,84794000.0,294000,6626000.0,102463000.0,,-28000,3995000,-30628000,-29934000,84872000,70002000.0,-0.34,-28248000,102463000.0,0.0,102166000.0,,0.0,-298415000.0,16144000,-6089000,28867000.0,35000,-2263000.0,,,,,
2015-06-30,12131000.0,36256000,188408000.0,23903000.0,287564000.0,-24543000,,4732000.0,-19750000,-10131000,91301000.0,-3081000,4732000.0,-10131000,,16043000,60000.0,-0.12,35087000,2587000,-2853000,52219000.0,,1922000.0,,24325000,-10131000,37593000,30805000,19752000.0,86741000.0,4727000.0,-1212000,-2318000,16872000.0,235345000.0,8581000.0,10629000.0,35087000.0,14000.0,3832000.0,50028000,88000.0,62496000.0,7550000.0,7831000,-6788000,-10884000.0,86741000.0,430000,5303000.0,79829000.0,,2222000,-37711000,-4793000,-6788000,67061000,47487000.0,-0.12,-9701000,79829000.0,0.0,99156000.0,,0.0,-308546000.0,13268000,-14941000,27409000.0,35000,0.0,,,,,
2015-09-30,9323000.0,61720000,170808000.0,39674000.0,322057000.0,28484000,,4261000.0,31173000,-24167000,91301000.0,-608000,4261000.0,-24167000,,12129000,61000.0,-0.28,80941000,14630000,652000,101998000.0,,3882000.0,,28271000,-24167000,43935000,19566000,46081000.0,87706000.0,2935000.0,8127000,-515000,33834000.0,220059000.0,10586000.0,9511000.0,80941000.0,-89000.0,11982000.0,35087000,88000.0,102306000.0,10649000.0,8933000,-12240000,-4867000.0,87706000.0,389000,659000.0,63179000.0,,51000,34193000,-2689000,-24369000,81286000,97737000.0,-0.28,-23778000,63179000.0,0.0,151249000.0,0.0,0.0,-332713000.0,15664000,45854000,21365000.0,720000,0.0,,,,,
2015-12-31,13157000.0,26380000,158521000.0,35280000.0,291356000.0,-20636000,,4170000.0,-18196000,3630000,91301000.0,-630000,4170000.0,3630000,,9046000,65000.0,0.04,67029000,3806000,128000,60281000.0,,4427000.0,,23526000,3630000,37841000,41774000,14971000.0,93225000.0,4229000.0,-6213000,1111000,31732000.0,231075000.0,3959000.0,8865000.0,67029000.0,-172000.0,5860000.0,80941000,88000.0,84829000.0,17851000.0,6991000,12979000,-15635000.0,87993000.0,366000,1108000.0,49699000.0,-88982000.0,478000,-37200000,-2440000,3933000,68154000,56111000.0,0.04,3996000,49699000.0,,132835000.0,,0.0,-329083000.0,14315000,-13912000,17800000.0,-639000,0.0,,,,,
2016-03-31,10955000.0,38923000,150586000.0,19274000.0,274716000.0,-24475000,,3969000.0,-19233000,-15685000,91301000.0,-6331000,3969000.0,-15685000,,7073000,60000.0,-0.18,41504000,39000,1114000,54319000.0,,4169000.0,,27112000,-15685000,44070000,27731000,26769000.0,89118000.0,2878000.0,-1609000,2161000,43192000.0,220397000.0,5678000.0,8237000.0,41504000.0,-104000.0,4307000.0,67029000,90000.0,61506000.0,6794000.0,11270000,-9266000,-7633000.0,89118000.0,400000,0.0,44001000.0,,-6331000,-21133000,-5242000,-16339000,66654000,50350000.0,-0.18,-15285000,44001000.0,,124130000.0,,0.0,-344768000.0,16958000,-25525000,20002000.0,23000,0.0,,,,,
2016-06-30,12919000.0,21407000,184458000.0,46427000.0,292888000.0,2584000,,4010000.0,12110000,-9008000,114980000.0,-1909000,4010000.0,-9008000,,6215000,61000.0,-0.1,49679000,-3136000,2282000,71155000.0,,5227000.0,,26316000,-9008000,42349000,31629000,14458000.0,90416000.0,0.0,2625000,446000,40224000.0,221733000.0,8565000.0,23061000.0,49679000.0,-183000.0,6260000.0,41504000,91000.0,49679000.0,22880000.0,11221000,-10720000,0.0,90416000.0,509000,1110000.0,41190000.0,,-799000,5665000,-9526000,-10720000,53036000,67145000.0,-0.1,-8499000,41190000.0,,108430000.0,,0.0,-353776000.0,16033000,8175000,0.0,-41000,0.0,,,,,
2016-09-30,9481000.0,38699000,176926000.0,59034000.0,316208000.0,33988000,,4075000.0,37849000,-16063000,114980000.0,-817000,4075000.0,-16063000,,5616000,30000.0,-0.17,90213000,3498000,-2721000,101105000.0,,5565000.0,,29161000,-16063000,45402000,32644000,30004000.0,91059000.0,0.0,1697000,-2295000,35570000.0,215103000.0,8835000.0,21659000.0,90213000.0,-148000.0,7992000.0,49679000,91000.0,90213000.0,0.0,10210000,-7142000,-1020000.0,91059000.0,554000,4000.0,34722000.0,,-813000,34866000,-3861000,-12758000,71343000,97030000.0,-0.17,-15509000,34722000.0,-700000.0,139282000.0,,0.0,-369839000.0,16241000,40534000,0.0,124000,,,,,,
2016-12-31,9206000.0,20572000,179279000.0,44319000.0,290652000.0,-12734000,,4383000.0,-5788000,-1489000,116239000.0,-1722000,4383000.0,-1489000,,4883000,20000.0,-0.02,77329000,-6364000,121000,68713000.0,,4412000.0,,26732000,-1489000,43831000,42485000,14836000.0,91526000.0,0.0,-3441000,-439000,22259000.0,221939000.0,1682000.0,20748000.0,77329000.0,-176000.0,5175000.0,90213000,92000.0,77329000.0,0.0,9084000,-1346000,0.0,91526000.0,244000,990000.0,37880000.0,-59236000.0,-732000,-18359000,-6946000,-1346000,63057000,64330000.0,-0.02,-1245000,37880000.0,-1191000.0,111373000.0,,0.0,-371328000.0,17099000,-12884000,0.0,-1000,,,,,,
