date,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
1996-12-31,,,-3000000.0,49800000,33700000,,,129900000,99000000,0.003053,320400000.0,11100000,,69357360.0,-4200000.0,-100000.0,,-100000.0,17100000,0,-7500000,-2700000,209700000.0,55800000,8800000,211100000,196900000,16600000,-100000,,,74100000,20000000,,-207100000.0,33100000,69357360.0,0.0,18600000,-4000000,,,8100000,-4900000,5100000,5100000,3700000,,96500000,113300000,0.003053,-1700000,,22700000,10200000.0,22600000,-4000000,65300000,,,13100000,,3200000,5100000,341000000,9100000,,9100000,14100000,-2500000.0,600000,144100000,12200000,6000000.0,,,
1997-03-31,,,-4000000.0,51400000,32700000,,,139400000,106500000,0.008325,319500000.0,8200000,,68750748.0,100000.0,1900000.0,,-3700000.0,14100000,0,-4300000,-2700000,210800000.0,55800000,6100000,204800000,204900000,18600000,-200000,,,83600000,19900000,,-209600000.0,33200000,68750748.0,200000.0,18600000,1800000,,,7200000,-3100000,3400000,3400000,2700000,,95100000,109900000,0.008325,-1500000,,22600000,5700000.0,24500000,4900000,73800000,,,0,,4100000,3400000,344200000,14000000,,14000000,26500000,-1000000.0,600000,139300000,10800000,5900000.0,,,
1997-06-30,,,6600000.0,55100000,34500000,,,133000000,115800000,0.011655,322100000.0,10600000,,68750748.0,6900000.0,1500000.0,,0.0,16500000,0,-6500000,-2600000,213100000.0,55800000,8400000,206500000,201500000,18000000,700000,,,77200000,20000000,,-213400000.0,33100000,68750748.0,100000.0,18500000,-11700000,0.0,,18800000,-5400000,4800000,4800000,3600000,,87900000,108700000,0.011655,-1400000,,22700000,5200000.0,23900000,300000,81300000,,,0,,13400000,4800000,339500000,14300000,,14300000,16900000,-1800000.0,700000,138000000,10800000,5900000.0,,,
1997-09-30,,,4800000.0,64800000,38300000,,,137500000,120900000,,316800000.0,14200000,,,4500000.0,-3400000.0,,0.0,19200000,0,-10300000,-2700000,215200000.0,52600000,10000000,210600000,209700000,19100000,-7800000,,,84900000,19700000,,-205900000.0,34900000,,100000.0,18600000,-11300000,0.0,,22000000,-7800000,4700000,-1500000,5300000,,83200000,110900000,,-3600000,,17700000,7200000.0,24100000,700000,82600000,,,0,,14200000,-1500000,348100000,15000000,,15000000,12900000,,500000,138400000,8900000,5000000.0,,,
1997-12-31,,,-2100000.0,45500000,31400000,,,116700000,98100000,0.005828,317500000.0,6300000,,67855854.0,-2500000.0,-1400000.0,,,12700000,0,-5900000,-2600000,215100000.0,52600000,4600000,209700000,189000000,18700000,100000,,,64100000,19600000,,-208500000.0,34900000,67855854.0,100000.0,18600000,-2000000,,,6800000,-4700000,2500000,2500000,2100000,,86300000,109000000,0.005828,-1400000,,17700000,5200000.0,25100000,-2800000,66700000,,,15000000,,2100000,2500000,326400000,12200000,,12200000,13400000,-1300000.0,300000,137400000,9800000,6400000.0,,,
1998-03-31,,,-7800000.0,52500000,37800000,,,128100000,113200000,0.01332,318200000.0,12200000,,67861860.0,-4000000.0,900000.0,,,18400000,0,-5900000,-2700000,215400000.0,52600000,9700000,204100000,198000000,19400000,-2800000,,,75500000,19600000,,-211200000.0,34900000,67861860.0,200000.0,18500000,-5300000,,,6400000,-4400000,5400000,5400000,4300000,,89200000,107000000,0.01332,-2000000,,17700000,7700000.0,25600000,-4500000,75400000,,,0,,2000000,5400000,332200000,7700000,,7700000,15300000,,400000,134200000,8700000,6200000.0,,,
1998-06-30,,,-1000000.0,88800000,39400000,,,338800000,119400000,0.011933,342500000.0,12500000,,67897896.0,-3400000.0,-2400000.0,,0.0,19700000,0,-176000000,-2600000,220300000.0,155500000,8600000,208700000,232100000,19700000,-1000000,,,183300000,20000000,,-215300000.0,37800000,67897896.0,100000.0,19600000,165300000,,,9700000,-175000000,4900000,4900000,3700000,,108800000,127200000,0.011933,-2900000,,117700000,6200000.0,26900000,-300000,80000000,,,0,,-165300000,4900000,547500000,7400000,,7400000,88300000,,1000000,315400000,168600000,7200000.0,,,
1998-09-30,,,-6800000.0,82900000,48700000,,,343300000,159800000,,351400000.0,20400000,,,1600000.0,9300000.0,,-300000.0,27200000,0,-20100000,-2600000,226700000.0,215800000,15300000,220100000,247000000,21500000,-1500000,,,127500000,20000000,,-221300000.0,40100000,,0.0,24100000,4600000,,,20200000,-18600000,8800000,8800000,6500000,,106400000,130100000,,-1500000,,175700000,6700000.0,28300000,5000000,111100000,,,0,,1600000,8800000,563400000,12400000,,12400000,37900000,,3400000,316400000,162200000,6800000.0,,,
1998-12-31,,-100000.0,-15400000.0,60100000,41700000,,,335100000,144900000,0.012765,355000000.0,13300000,,67681680.0,1000000.0,100000.0,,,21800000,0,-5100000,-2600000,229400000.0,225900000,8900000,223700000,245800000,19900000,200000,,,109200000,20000000,,-226600000.0,40200000,67681680.0,0.0,24200000,11700000,,,-1200000,-5300000,5200000,5200000,3700000,,105600000,128400000,0.012765,-1200000,,185700000,6900000.0,28400000,5600000,103200000,,,12400000,,-6500000,5200000,558800000,18000000,,18000000,42200000,,3200000,313000000,160400000,8500000.0,,,
1999-03-31,,0.0,12900000.0,72900000,43600000,,,332200000,144400000,0.004995,357900000.0,15300000,,67627626.0,-1200000.0,,,,23800000,0,-4300000,-2700000,228900000.0,217700000,3700000,220900000,244400000,19800000,-900000,,,114500000,20000000,,-231400000.0,40000000,67627626.0,-800000.0,23600000,-18000000,,,23000000,-7500000,2100000,2100000,1600000,,106600000,126500000,0.004995,-8400000,,177700000,6000000.0,28300000,1200000,100800000,,,0,,15500000,2100000,553100000,19200000,,19200000,35600000,,3300000,308700000,158600000,8500000.0,,,
1999-06-30,,0.0,3000000.0,74300000,45200000,,,322500000,139200000,0.01998,358900000.0,17400000,,67849848.0,-3700000.0,,,0.0,25300000,0,-5200000,-2600000,234400000.0,209700000,13700000,224100000,240000000,19900000,700000,,,112800000,20000000,,-235100000.0,42000000,67849848.0,100000.0,23500000,-14800000,,,19600000,-5900000,8100000,8100000,5600000,,109300000,123800000,0.01998,-600000,,167700000,5600000.0,27800000,-2900000,94000000,,,0,,13700000,8100000,546600000,16300000,,16300000,32900000,,2900000,306600000,159300000,7900000.0,,,
1999-09-30,,4400000.0,-13600000.0,76800000,54400000,,1900000.0,308700000,168300000,,365900000.0,27900000,,,6000000.0,4200000.0,,0.0,35000000,10400000,-3400000,-2600000,247400000.0,185600000,25800000,242000000,247400000,19400000,-1400000,,,123100000,17200000,,-241800000.0,46600000,,0.0,22400000,-21900000,,,18500000,-4200000,15500000,15500000,10300000,,104300000,124100000,,-500000,,139000000,4300000.0,26500000,-5900000,113900000,,,0,100000.0,14300000,15500000,550700000,10400000,,10400000,42000000,,3300000,303300000,156800000,7100000.0,,,
