date,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1996-09-30,53333333.0,10200000,,67800000,25700000,,,20600000.0,,173500000,226600000,,,,,11200000,,8800000,,0.09,38900000,131800000,,15500000,94800000,228200000,,,,14500000,6300000.0,,11600000,,,116600000,4800000,4800000,500000,,,,13200000,-2900000.0,,120200000,24200000,2600000,53333333.0,,7400000,17700000,147800000,,,,,,,6400000.0,37300000,4800000,265500000,,,,5500000,0.09,3400000,5500000,2800000.0,,,,,,
1996-12-31,,11000000,-4100000.0,77900000,27200000,,-1200000.0,22300000.0,,180500000,157600000,1100000.0,-1400000.0,0.0,,11700000,,200000,,,109100000,54300000,,16200000,103300000,233400000,,106200000.0,,15500000,10700000.0,,17900000,-103500000.0,,115500000,-8600000,-8600000,-22700000,9400000.0,-107900000.0,-9100000.0,8300000,-3600000.0,,36400000,25400000,-5200000,,,-13800000,18700000,153300000,,77500000.0,-1200000.0,,-98500000.0,0.0,6300000.0,33300000,-8600000,266700000,,,700000.0,4300000,,2000000,4300000,,,,,,,
1997-03-31,70588235.0,11300000,1000000.0,70100000,27200000,,-12300000.0,23100000.0,,176200000,152900000,-5700000.0,-400000.0,0.0,,12200000,,6300000,-100000.0,0.085,114700000,59400000,,15900000,93500000,235500000,,0.0,,15000000,10900000.0,,17400000,0.0,,121000000,6000000,6000000,-100000,-4300000.0,-500000.0,5700000.0,7600000,-4900000.0,,42000000,23400000,3900000,70588235.0,,9900000,18200000,149000000,,,1000000.0,,-4800000.0,4300000.0,6300000.0,32100000,6000000,267600000,,,900000.0,5300000,0.085,1300000,5300000,,,,,,,
1997-06-30,72173913.0,14300000,-2000000.0,70900000,33600000,,-500000.0,35300000.0,,197900000,184500000,-5800000.0,-20100000.0,0.0,,15500000,,17800000,0.0,0.115,126200000,72100000,,19300000,112400000,260400000,,0.0,,18100000,7100000.0,,16500000,0.0,,135400000,8300000,8300000,300000,7200000.0,-20200000.0,13400000.0,9400000,-7300000.0,,55600000,41500000,4900000,72173913.0,,13200000,28000000,164300000,,,400000.0,,-13000000.0,0.0,12900000.0,50300000,8300000,310700000,,,1200000.0,5700000,0.115,1400000,5700000,,,,,,,
1997-09-30,103529412.0,28700000,100000.0,96500000,63800000,,-44300000.0,75800000.0,,265000000,249300000,-26200000.0,-14300000.0,0.0,,37100000,,55200000,-400000.0,0.085,248800000,84600000,,35100000,164700000,393100000,,-19400000.0,,26700000,8300000.0,,17000000,37700000.0,,177100000,8800000,9400000,-10200000,-12100000.0,1200000.0,42300000.0,11500000,-7300000.0,,67600000,66800000,7300000,103529412.0,,16700000,68500000,201200000,,,14500000.0,,-10900000.0,0.0,25000000.0,105000000,8800000,498100000,,,8400000.0,27700000,0.085,1800000,27700000,1400000.0,,,,,,
1997-12-31,,34600000,-2200000.0,135000000,73400000,,-16100000.0,112900000.0,,299900000,289800000,-27300000.0,-12400000.0,0.0,,38800000,,76300000,600000.0,,277700000,78300000,,38800000,211500000,463600000,,19700000.0,,34600000,16300000.0,,14000000,100000.0,,203500000,21100000,21100000,300000,8400000.0,-32400000.0,-1300000.0,5400000,-38600000.0,2700000.0,61600000,75200000,12500000,,,33600000,74300000,226500000,,6000000.0,-7900000.0,,-24000000.0,0.0,24200000.0,103900000,21100000,567500000,,,4200000.0,19800000,,1400000,19800000,1300000.0,,,,,,
1998-03-31,102926829.0,35300000,-400000.0,127300000,69100000,,-29800000.0,115100000.0,,301900000,285100000,-22300000.0,-3800000.0,0.0,,39600000,,97400000,10900000.0,0.2,302400000,72300000,,33800000,212800000,481200000,,0.0,,29500000,12100000.0,,12400000,0.0,,224800000,21100000,21100000,-500000,6300000.0,-4900000.0,-4000000.0,8200000,-41200000.0,2700000.0,57200000,84200000,12400000,105500000.0,,33500000,73900000,232800000,,400000.0,1400000.0,,1400000.0,19800000.0,24200000.0,106300000,21100000,587500000,,,4300000.0,21300000,0.205,1200000,21300000,1300000.0,,,,,,
1998-06-30,103478261.0,39900000,-700000.0,156100000,77300000,,-700000.0,137700000.0,,294800000,487100000,-20100000.0,-159000000.0,0.0,,44400000,,121200000,,0.23,320100000,229200000,,37400000,257900000,573300000,,100000.0,,32900000,20700000.0,,12200000,0.0,,275400000,23800000,23800000,500000,13400000.0,-162200000.0,157600000.0,6400000,-49500000.0,3000000.0,214000000,100500000,14300000,103478261.0,,38100000,88200000,217500000,,600000.0,5700000.0,,-148800000.0,0.0,139300000.0,233900000,23800000,807200000,,,4500000.0,27000000,0.23,2200000,27000000,1300000.0,,,,,,
1998-09-30,108000000.0,38400000,400000.0,119800000,80900000,,-32800000.0,155700000.0,,306500000,450300000,10500000.0,-6900000.0,0.0,,43500000,,149500000,,0.2,353500000,239200000,,42500000,211100000,556700000,,0.0,,37400000,19800000.0,,12400000,100000.0,,264200000,21600000,21600000,400000,-6200000.0,-8000000.0,9300000.0,9600000,-55600000.0,3400000.0,223400000,90000000,12400000,108000000.0,,34000000,100100000,225600000,,0.0,-5500000.0,,-14200000.0,0.0,137400000.0,247100000,21600000,803800000,,,5100000.0,21500000,0.2,4700000,21500000,1300000.0,,,,,,
1998-12-31,,23900000,-3400000.0,118600000,64900000,,2200000.0,145700000.0,,268800000,431200000,47600000.0,20900000.0,0.0,,29200000,,151900000,,,386800000,219800000,,41000000,211400000,557800000,,-100000.0,,35700000,23100000.0,,10100000,100000.0,,242000000,2400000,2400000,-16000000,24000000.0,16400000.0,-59700000.0,22700000,-53900000.0,4100000.0,205600000,85400000,1300000,,,3700000,91800000,203900000,,0.0,-10000000.0,,40400000.0,0.0,145700000.0,260200000,2400000,818000000,,,5300000.0,11400000,,4300000,11400000,7400000.0,,,,,,
