date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlySellingGeneralAndAdministration,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyAccountsReceivable,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyGoodwill
2013-09-30,29000,-714000.0,,,,11377000,,-7016000,,,-155953000.0,,141096000,13626000,0,,6118000,,12464000,13626000,41000.0,,,,,,8154000,20375000,9726000,,,,7741000,3306000,23998000,-3362000.0,,-11484000,32839000,-142258000,,,,,780000,17715000,29101000,,,,-1570000,,-8218000,,,,9000,,29092000,,7816000,6089000,,,-105840000,,,,,,,,,,,,
2013-12-31,75000,-419000.0,61814000.0,-41976000.0,7218000.0,13160000,9023000.0,-6907000,29917000.0,,-269346000.0,9023000.0,279206000,17394000,160000000,0.0,7187000,1562353000.0,28975000,17394000,116000.0,1786100000.0,1623790000.0,13263000.0,,630000.0,9534000,32839000,11345000,,61814000.0,-128000.0,7421000,3672000,28066000,-1939000.0,,-13386000,61814000,-267625000,,-24816000.0,1012186000.0,,737000,20104000,33363000,1604329000.0,162310000.0,13263000.0,-467000,0.0,-1165000,,991577000.0,7218000.0,99000,13263000.0,33264000,,7505000,7112000,773914000.0,998923000.0,-133934000,,,,,,,,,,,,
2014-03-31,52000,-398000.0,,,,15744000,,-487000,,110917633.0,-248536000.0,,248338000,20976000,75001000,,8745000,,-6600000,20976000,4884000.0,,,,0.084955,,11561000,61814000,13071000,,,,9423000,4183000,33377000,-36046000.0,110917633.0,-15140000,55214000,-275914000,-4375000.0,,,,838000,23548000,39329000,,,,-592000,,-34065000,0.084955,,,37000,,39292000,,9539000,8693000,,,-4291000,,,,,,,,,,,,
2014-06-30,50000,-1160000.0,94693000.0,-63413000.0,6317000.0,18032000,854000.0,-8457000,50408000.0,110917633.0,-274108000.0,854000.0,278698000,24937000,215411000,0.0,9085000,2061403000.0,39479000,24937000,1091000.0,2371518000.0,2150143000.0,19290000.0,0.092808,500000.0,13149000,55214000,15159000,,94693000.0,-309000.0,10294000,4883000,37393000,-4667000.0,110917633.0,-16808000,94693000,-264156000,,-36801000.0,1318195000.0,,970000,26882000,45022000,2124816000.0,221375000.0,19290000.0,992000,0.0,11000,0.092808,1292279000.0,6317000.0,108000,,44914000,,10422000,9035000,1053323000.0,1298905000.0,-256362000,,,,,,,,,,,,
2014-09-30,69000,-460000.0,44398000.0,-82237000.0,4673000.0,20440000,854000.0,-3555000,56479000.0,110917633.0,-250820000.0,854000.0,165855000,27494000,0,0.0,10691000,2293509000.0,-50295000,27494000,72000.0,2557935000.0,2388296000.0,22554000.0,0.095711,834000.0,15480000,94693000,16206000,,44398000.0,-162000.0,10616000,4960000,42377000,-116000.0,110917633.0,-23941000,44398000,-243644000,,-49987000.0,1517093000.0,,2564000,30232000,50928000,2375746000.0,169639000.0,22554000.0,-1748000,0.0,3430000,0.095711,1489704000.0,4673000.0,256000,,50672000,,10755000,10622000,1040842000.0,1494539000.0,-119649000,,,,,,,,,,,,
2014-12-31,9000,-786000.0,136313000.0,-98671000.0,,22303000,0.0,-37551000,60184000.0,97025384.0,-270875000.0,111354000.0,333316000,34699000,585064000,0.0,14165000,2535702000.0,91915000,34699000,159000.0,2913612000.0,2633022000.0,30486000.0,0.18,1152000.0,16835000,44398000,17836000,,136313000.0,-266000.0,17423000,5468000,48836000,-11807000.0,97025384.0,-8673000,136313000,-276100000,79000.0,-54405000.0,1330928000.0,,1661000,32787000,55162000,2634373000.0,280590000.0,43609000.0,1441000,0.0,-24203000,0.18,1284151000.0,3168000.0,72000,30486000.0,55090000,,17423000,14156000,1582684000.0,1287319000.0,-230399000,,,,,,,,,,,,
2015-03-31,83000,-1259000.0,30324000.0,-117106000.0,,25527000,6809000.0,-449000,69589000.0,114633300.0,-264245000.0,20684000.0,143647000,36073000,1000,0.0,17149000,2756212000.0,-105989000,36073000,175000.0,3065853000.0,2882870000.0,21067000.0,0.15,1153000.0,18892000,136313000,17229000,,30324000.0,-417000.0,17066000,6635000,53270000,-34683000.0,114633300.0,-13123000,30324000,-285709000,-3233000.0,-66160000.0,1494153000.0,,1730000,35637000,61459000,2873318000.0,182983000.0,49889000.0,-3512000,0.0,-21512000,0.15,1441220000.0,3044000.0,295000,21067000.0,61164000,,17066000,17066000,1571700000.0,1444264000.0,-14782000,,,,,,,,,,,,
2015-06-30,83000,-607000.0,66244000.0,-137784000.0,,28778000,10633000.0,-16905000,73642000.0,117507861.0,-365254000.0,43039000.0,386152000,46196000,234140000,0.0,18522000,3083751000.0,35920000,46196000,4404000.0,3487859000.0,3242709000.0,25650000.0,0.17,1269000.0,21568000,30324000,20637000,,66244000.0,-328000.0,19634000,7210000,60727000,-26836000.0,117507861.0,-28822000,66244000,-396428000,4872000.0,-78239000.0,1702206000.0,,1200000,39766000,68900000,3221535000.0,245150000.0,57365000.0,3727000,0.0,-43074000,0.17,1638811000.0,6030000.0,356000,25650000.0,68544000,,19634000,18439000,1785653000.0,1644841000.0,-351101000,,,,,,,,,,,,
2015-09-30,72000,-137000.0,28969000.0,-160341000.0,,30409000,,-2462000,74910000.0,126281114.0,-234224000.0,38082000.0,154997000,48316000,1000,0.0,22383000,3289378000.0,-37275000,48316000,126000.0,3671458000.0,3445240000.0,28234000.0,0.18,1269000.0,23271000,66244000,21391000,,28969000.0,-486000.0,22998000,7138000,67045000,-29114000.0,126281114.0,-31715000,28969000,-240588000,1505000.0,-89493000.0,1895937000.0,,1848000,43911000,74791000,3449719000.0,226218000.0,62486000.0,-405000,0.0,-21414000,0.18,1827886000.0,5565000.0,471000,28234000.0,74320000,,22998000,22311000,1775521000.0,1833451000.0,-28951000,,,,,,,,,,,,
2015-12-31,36000,-153000.0,67115000.0,-184182000.0,,31873000,,-13513000,88724000.0,130275296.0,-250918000.0,48513000.0,237923000,55312000,308000000,0.0,24668000,3493694000.0,38146000,55312000,651000.0,3911388000.0,3630931000.0,36196000.0,0.18,1409000.0,24884000,28969000,22525000,,67115000.0,-293000.0,24072000,6989000,72077000,-16762000.0,130085462.0,-34252000,67115000,-255089000,4221000.0,-103453000.0,1851595000.0,,1864000,47346000,79612000,3677876000.0,280457000.0,74228000.0,2647000,0.0,-15844000,0.18,1769947000.0,7420000.0,393000,36196000.0,79219000,,24072000,24632000,2059793000.0,1777367000.0,-295313000,,,,,,,,,,,,
2016-03-31,69000,-234000.0,30956000.0,-210626000.0,,35870000,2274000.0,-446000,92063000.0,140564379.0,-273393000.0,52090000.0,196495000,52306000,1000,0.0,25209000,3732270000.0,-36159000,52306000,164000.0,4135363000.0,3876423000.0,34482000.0,0.18,1409000.0,26479000,67115000,23435000,,30956000.0,-482000.0,24793000,9391000,75123000,-12550000.0,140354143.0,-38032000,30956000,-284960000,-587000.0,-117366000.0,2089014000.0,-1719000.0,1862000,48878000,85234000,3942896000.0,258940000.0,72519000.0,-2836000,0.0,-12232000,0.18,2008139000.0,8356000.0,486000,34482000.0,84748000,,24793000,25140000,2046349000.0,2016495000.0,-5309000,,,,,,,,,,,,
2016-06-30,90000,-101000.0,118521000.0,-238846000.0,,37580000,,-16268000,90530000.0,146116422.0,-347994000.0,62187000.0,376637000,60561000,316480000,0.0,27192000,4037916000.0,87565000,60561000,,4545090000.0,4190633000.0,32703000.0,0.21,1533000.0,29035000,30956000,25871000,,118521000.0,-2348000.0,30249000,8545000,82098000,-10574000.0,145903881.0,-38037000,118521000,-349633000,1445000.0,-128496000.0,2205363000.0,0.0,1338000,53164000,91970000,4276762000.0,354457000.0,74082000.0,1324000,0.0,-19780000,0.21,2120385000.0,10896000.0,1226000,32703000.0,90744000,,30249000,27102000,2339727000.0,2131281000.0,-389538000,,,,,,,,,,,,
2016-09-30,89000,-155000.0,30044000.0,-267167000.0,,39216000,,-1213000,90530000.0,153462048.0,-227899000.0,80039000.0,66507000,69901000,73083000,0.0,29699000,4202819000.0,-88477000,69901000,,4663121000.0,4373388000.0,54947000.0,0.24,1558000.0,31112000,118521000,27121000,45000000.0,30044000.0,-1826000.0,36343000,8104000,87932000,-7536000.0,153143726.0,-41379000,30044000,-224885000,6736000.0,-137323000.0,2258297000.0,0.0,1499000,56975000,96998000,4469986000.0,289733000.0,100117000.0,5884000,0.0,-22411000,0.24,2158180000.0,54947000.0,807000,,96191000,,36343000,29610000,2404824000.0,2158180000.0,-27984000,,,,,,,,,,,,
2016-12-31,110000,-1753000.0,54200000.0,-298984000.0,,41724000,,-6422000,92337000.0,156199297.0,-303855000.0,61936000.0,234158000,63536000,89140000,0.0,28363000,4463985000.0,26799000,63536000,,4941668000.0,4618258000.0,60533000.0,0.2,1593000.0,32992000,30044000,28753000,48000000.0,54200000.0,1409000.0,31940000,8732000,90108000,-13637000.0,155987275.0,-45170000,73166000,-270895000,-1736000.0,-151592000.0,2458413000.0,0.0,2622000,58869000,102141000,4762969000.0,323410000.0,106742000.0,-3854000,0.0,15806000,0.2,2351671000.0,60533000.0,1548000,,100593000,,31940000,28253000,2483255000.0,2351671000.0,-157284000,,,,,,,,,,,,
2017-03-31,106000,-4270000.0,103301000.0,-333043000.0,,45458000,,-12149000,92397000.0,160810455.0,-417165000.0,91455000.0,398963000,69117000,281021000,0.0,27797000,4822492000.0,75837000,69117000,,5372229000.0,5006344000.0,57186000.0,0.19,1714000.0,35215000,73166000,27631000,,103301000.0,1805000.0,31286000,10243000,90643000,-8098000.0,160810455.0,-46209000,149003000,-392243000,628000.0,-170314000.0,2635250000.0,-1346000.0,1298000,61707000,107971000,5155535000.0,365885000.0,106886000.0,-1231000,0.0,6666000,0.19,2528364000.0,57186000.0,806000,,107165000,,31390000,27691000,2736979000.0,2528364000.0,-352315000,,,,,,,,,,,,
2017-06-30,147000,-5447000.0,468510000.0,-357426000.0,,46685000,4255000.0,-633000,89190000.0,172661739.0,-177279000.0,77984000.0,309776000,72887000,377089000,0.0,35473000,4828493000.0,350331000,72887000,,5736390000.0,4995667000.0,46615000.0,0.35,1900000.0,37396000,149003000,30919000,0.0,468510000.0,1474000.0,61060000,9289000,103788000,-15064000.0,172661739.0,-49700000,499334000,-32332000,-1853000.0,-164353000.0,2614935000.0,0.0,2078000,66392000,114208000,5185919000.0,740723000.0,101720000.0,-3907000,0.0,-7089000,0.35,2513215000.0,46615000.0,1131000,,113077000,,61060000,35326000,3121455000.0,2513215000.0,-40980000,,,,,,,,,,,,
2017-09-30,81000,-7670000.0,34986000.0,-369817000.0,,47844000,,-291000,65451000.0,190043107.0,-384500000.0,58910000.0,-178679000,87401000,0,0.0,22316000,5182105000.0,-448980000,87401000,,5614717000.0,5306466000.0,68888000.0,0.15,1900000.0,37589000,499334000,31379000,82000000.0,34986000.0,1624000.0,28580000,10255000,91284000,-5682000.0,189656095.0,-55105000,50354000,-357702000,,-194671000.0,2521511000.0,0.0,8069000,61365000,110544000,5551922000.0,308251000.0,127792000.0,9826000,0.0,-5322000,0.15,2393719000.0,0.0,1335000,68888000.0,109209000,,28580000,22235000,3093206000.0,2393719000.0,-205283000,,,,,,,,,,,,
2017-12-31,119000,-1500000.0,42937000.0,-426931000.0,,51282000,16741000.0,-1525000,87402000.0,,-356361000.0,51830000.0,237398000,80020000,96247000,0.0,37301000,5516816000.0,-1176000,80020000,,5899777000.0,5568646000.0,71866000.0,,1938000.0,40079000,50354000,26689000,,42937000.0,2759000.0,40883000,11203000,104069000,-6385000.0,,-58904000,49178000,-318594000,,-214845000.0,2728835000.0,0.0,2266000,67341000,120124000,5943747000.0,331131000.0,131934000.0,-3058000,0.0,286000,,2596901000.0,0.0,1501000,71866000.0,118623000,5805010000.0,41008000,37182000,3170942000.0,2596901000.0,-39420000,,,,,,,,,,,,
2018-03-31,49000,-756000.0,35116000.0,-463071000.0,,53161000,6867000.0,-6914000,,194876748.0,-281297000.0,65410000.0,172648000,87238000,100848000,,40431000,5722357000.0,-1217000,87238000,,6128848000.0,5787767000.0,80159000.0,0.26,1980000.0,42310000,49178000,28050000,,35116000.0,8304000.0,49884000,10851000,110791000,-29983000.0,194686790.0,-60653000,47961000,-261103000,,-227074000.0,2866178000.0,-2835000.0,5536000,71340000,125842000,6185428000.0,341081000.0,141553000.0,-3212000,,-29621000,0.26,2724625000.0,,1341000,80159000.0,124501000,,49960000,40382000,3262670000.0,2724625000.0,-424101000,,,,,,,,,,,,
2018-06-30,158000,-1038000.0,43622000.0,,,55068000,0.0,-3788000,,200142303.0,,67092000.0,136689000,92227000,190324000,,42433000,,8565000,92227000,,6321740000.0,5956424000.0,89926000.0,0.31,2052000.0,44216000,47961000,29902000,,43622000.0,8519000.0,62097000,10852000,116551000,,199514368.0,-61393000,56526000,-220351000,,-228487000.0,2870692000.0,0.0,2213000,75396000,131205000,,365316000.0,153540000.0,285000,,-23651000,0.31,2717152000.0,,741000,89926000.0,130464000,,62201000,42275000,3451048000.0,2717152000.0,-134454000,,,,,,,,,,,,
2018-09-30,130000,,25598000.0,,,57290000,0.0,-3001000,,207932531.0,,62569000.0,361218000,103608000,190252000,,47127000,,-23569000,103608000,,6751746000.0,6374158000.0,,0.23,2119000.0,45781000,56526000,31833000,,25598000.0,8341000.0,48225000,11509000,124741000,,207165838.0,-63614000,32957000,-488395000,,-250174000.0,3133044000.0,,3459000,78960000,137005000,,377588000.0,176612000.0,5088000,,-30380000,0.23,2956432000.0,,755000,106700000.0,136250000,,48225000,46997000,3618702000.0,2956432000.0,-107419000,,,,,,,,,,,,
2018-12-31,185000,9474000.0,27511000.0,,,62032000,0.0,-13985000,,216477667.0,,67303000.0,298644000,108605000,272494000,,56769000,,10060000,108605000,,7113971000.0,6735258000.0,,0.26,2211000.0,49519000,32957000,35964000,,27511000.0,-141000.0,56584000,12513000,142252000,,215660467.0,-69912000,43017000,-397189000,,-267651000.0,3250470000.0,,4920000,83259000,146704000,,378713000.0,190158000.0,4517000,,769000,0.26,3060312000.0,,1413000,117204000.0,145291000,,56584000,56584000,3863501000.0,3060312000.0,-760796000,,,,,,,,,,,,
2019-03-31,193000,-4538000.0,37352000.0,,,65699000,15291000.0,-7253000,,222637301.0,,74223000.0,315145000,94847000,160858000,,45749000,22111000.0,8952000,94847000,,7479342000.0,7069700000.0,,0.2,2263000.0,53716000,43017000,38068000,,37352000.0,-1027000.0,45556000,11983000,137533000,,222184754.0,-74160000,51969000,-401040000,,-298331000.0,3490187000.0,,-4704000,88355000,156638000,22111000.0,409642000.0,164440000.0,-6680000,,-16448000,0.2,3298188000.0,27559000.0,2584000,89764000.0,154054000,,45556000,45556000,3989155000.0,3325747000.0,-440192000,,,,,,,,,,,,
2019-06-30,147000,15033000.0,25368000.0,,,69266000,18361000.0,-2207000,,228242754.0,,75275000.0,126409000,123434000,137866000,,68111000,21857000.0,-11714000,123434000,,7699974000.0,7201781000.0,,0.3,2303000.0,55000000,51969000,39429000,,25368000.0,-2126000.0,67964000,14266000,162540000,,227702281.0,-74676000,40255000,-261557000,,-306573000.0,3581485000.0,,1553000,92507000,163787000,21857000.0,498193000.0,188447000.0,10879000,,-101889000,0.3,3365682000.0,,2014000,112438000.0,161773000,,67964000,67964000,4118489000.0,3393038000.0,-74393000,,,,,,,,,,,,
