date,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
2006-12-31,43598236.36,,,,,,2460299026.15,,443463570.75,1986313627.73,,488953670.09,4968390597.89,473985398.42,619691837.01,,,,8520059.57,,,,471418180.0,927218.42,99633568.42,,,,359676.01,,,0.0,,135727273.0,,,,12257928.47,,,,,,,443463570.75,,,1585487656.33,,2558060000.0,6286965417.49,6908631355.45,,,7528323192.46,,,,417218174.83,417218174.83,,,,,,,,,,,,,,,,,
2007-06-30,44636710.12,,,,,,2297037670.45,,5948972070.17,1791929461.35,,689978252.98,5099055080.15,505108209.1,784486482.68,,,,8226807.57,,,,503468209.1,,97010667.14,,,,349149.08,,,0.0,,,,,,41319450.31,,,,,,,5948972070.17,,,1478961681.6,,2558060000.0,641354999.25,6708616935.06,,,7493103417.74,,,,539419432.54,539419432.54,,,,,,,,,,,,,,,,,
2007-12-31,14433317.86,,,,,,2279897909.62,,416914623.49,1881567002.62,,631332483.02,5259165179.72,398330907.0,828722857.37,,,,9997958.48,,,,396690907.0,,101611139.21,,,,2132654.54,,,0.0,,1544047000.0,,,,12518662.03,,,,,,,416914623.49,,,61727273.0,,2558060000.0,6177770958.15,6811951371.18,,,7640674228.55,,,,640865544.05,640865544.05,,,,,,,,,,,,,,,,,
2008-09-30,,,259524307.25,432843218.67,1418196351.97,292853849.96,,-42716989.95,,,259753003.67,,,,,,33329542.71,-27050884.83,,2558210405.0,139989368.71,0.0705,,,,19360158.86,-80453395.0,4512598.87,,1535173.65,2558210405.0,,-47217729.54,,45924482.0,180353833.54,182096689.45,,,,146845191.57,,213828521.67,31731832.22,,,,,1271351160.4,,,,248313558.16,180353833.54,,21840.72,,0.0705,,,,,,,,,,,,,,,,,,,
2008-12-31,22786805.53,,12374435.66,311567431.67,1148820695.83,34053658.4,2134097460.34,-127467448.29,376327241.68,1861493826.34,40089807.57,1011932197.89,5803657094.37,272603634.0,1312456052.0,,21679222.74,49911398.13,9837403.87,,277513773.27,,270963634.0,,99410673.1,13551487.31,-10410636.0,2946210.72,2354225.89,-1245090.0,,0.0,-130424593.29,45000000.0,-21044006.7,56073593.87,53742760.66,21617224.97,,,-27297131.71,,61133814.27,7391053.61,376327241.68,,,1532727273.0,1418196351.97,2558060000.0,6134458180.55,6724709175.81,-68509948.84,56073593.87,8037165227.81,-21840.72,,,1148820695.83,1148820695.83,,,,,,,,,,,,,,,,,
2009-03-31,,,256970602.14,448621176.07,1652399105.29,294505362.03,,-4428171.65,,,256170763.86,,,,,,37534759.89,-126167785.82,,2557851439.0,154115814.04,0.0687,,,,23287459.41,-1517000000.0,4072311.71,,4349.42,2557851439.0,,-8502697.97,,47902730.11,175724393.86,176780132.24,,,,144784282.81,,208268033.75,31487901.51,,,,,1507614822.48,,,,266873192.89,175724393.86,,2214.61,,0.0687,,,,,,,,,,,,,,,,,,,
2009-06-30,26390734.77,,303260488.47,539790440.47,1419670558.92,343749212.18,3874823984.87,-1019996928.31,527455806.23,2339038533.87,327894473.48,1330696687.78,5584890784.26,1535785451.0,1521129889.42,,40488723.71,-35023915.9,2537700.35,,196041228.29,,1534145451.0,,0.0,23225761.86,-108912727.0,12803975.57,2302904.65,-332888.88,,0.0,-40270429.64,2045000000.0,41776663.78,238416719.2,245366937.49,34608831.14,,,-232728546.37,,286117809.7,40750872.21,527455806.23,,,69727274.0,1652399105.29,2558060000.0,7308449431.83,8046001509.48,291267484.08,238416719.2,9567131398.9,5689925.76,,,1419670558.92,1419670558.92,,,,,,,,,,,,,,,,,
2009-09-30,31393074.29,,305712798.2,523322310.15,1086423247.27,345099984.57,2140796670.02,9495485.56,530044002.02,1633611218.02,311260586.0,1171023115.17,7120821024.38,507185452.0,1385606886.34,,39387186.37,-433470355.47,2448164.29,2933097749.0,178222325.58,0.0811,505545452.0,,0.0,22611610.85,-3019281819.0,203851298.8,2302904.65,1754600042.39,2933097749.0,0.0,-196844210.23,1045000000.0,26696985.7,237874227.41,240822657.37,64626279.13,,,-333247311.65,,284563600.3,43740942.93,530044002.02,,,80181818.0,1419670558.92,3058060000.0,7244026129.61,7986375867.81,158565124.64,237874227.41,9371982754.15,2488396.99,0.0,0.0811,1086423247.27,1086423247.27,,,,,,,,,,,,,,,,,
2009-12-31,59766003.63,,217909466.74,624371327.53,1805761869.62,272433507.76,3160087669.68,-572675984.24,472627519.82,2657911308.68,248621894.72,1134078074.49,7342116671.73,502176361.0,2270975824.9,,54524041.02,-20077419.37,4445786.32,,351937819.77,,499036361.0,,1500000.0,30665822.12,-1075132727.0,73538191.03,2302904.65,-14108527.8,,0.0,-647109240.81,45000000.0,41522855.77,175464317.99,174603299.15,20609043.08,97102000.0,-1144183000.0,719338622.35,,207099038.95,32495739.8,472627519.82,,0.0,2053327273.0,1086423247.27,3058060000.0,7646160117.13,8334801680.54,-285274361.53,175464317.99,10605777505.44,873221.54,,,1805761869.62,1805761869.62,,,,,,,,,,,,,,,,,
2010-03-31,26544391.18,,365922735.14,547772820.77,1934340646.57,407556997.23,3107329434.51,-196064306.98,464549493.25,2605153073.51,372525948.02,1428311363.94,7636349961.18,502176361.0,2507922953.93,,41634262.09,-7071445.5,3757607.67,3058558102.0,140215823.54,0.0962,499036361.0,,1500000.0,24443966.46,-4545455.0,-38011983.76,2302904.65,0.0,3058558102.0,0.0,-161435323.22,45000000.0,20920394.26,294233289.46,298489164.62,44232217.14,,,128578776.95,,351605553.76,53116389.14,464549493.25,,,2048781818.0,1805761869.62,3058060000.0,7659131302.62,8343585480.95,174824661.21,294233289.46,10851508434.88,0.0,,0.0962,1934340646.57,1934340646.57,,,,,,,,,,,,,,,,,
