date,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyInventory,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyAccumulatedDepreciation
2006-06-30,,,,4959689000,17590307000,35023049000,,937348000,,,,,,,73210525000,68250836000,,52613356000,2560063000.0,,,,0,18037106000,,2169896000,,,,,,34812107000,892014000,,,1259637000,0.0,1259637000,66182298000,,,5162849000,,,,,,8003766000,0,429831000,,2159715000,,,,66182298000,,,,,6145082000,0.0,,,,,,,,,,,,,,,
2006-12-31,,,,9318008000,21400561000,41707686000,,1895314000,,,,,,,89074543000,79756535000,,63108247000,3282691000.0,,,,0,22683605000,,3337529000,,,,,,41477133000,806965000,,,4451284000,,4451284000,77493503000,,,5662849000,,,,,,9300496000,87850000,391922000,,3942804000,,,,77493503000,,,,,6985488000,0.0,,,,,,,,,,,,,,,
2007-03-31,505953000.0,-767038000.0,259942000.0,15035755000,21842039000,42388489000,11579613333.0,2982811000,1926327000.0,-550334000.0,0.075,-141002000.0,7569159000.0,1201141000.0,93255341000,78219586000,868471000.0,64230528000,275707000.0,1080859000.0,868471000.0,13284000.0,0,25640275000,5297591000.0,3641910000,33127000.0,4065063000.0,-3774563000.0,-325794000.0,345241000.0,41445328000,1130180000,2271568000.0,0.075,4065063000,667454000.0,4065063000,73683305000,1437487000.0,,5753556000,-4689775000.0,4447295000.0,356628000.0,-3645685000.0,488576000.0,10637521000,87850000,607508000,61693000.0,2785683000,-382232000.0,11579613333.0,-1160000.0,73683305000,3095351000.0,57130000.0,,,7111345000,,61670000.0,3127204000.0,,,,,,,,,,,,,
2007-06-30,,-852324000.0,179259000.0,11240165000,25620786000,44986633000,,2063444000,1987123000.0,-1894162000.0,,-196082000.0,7895863000.0,,101135442000,89895277000,985332000.0,70607419000,299573000.0,1222945000.0,985332000.0,84417000.0,0,25974664000,5647090000.0,3622233000,44346000.0,5613437000.0,-5605692000.0,,261650000.0,43950584000,1011125000,2248773000.0,,5658437000,736476000.0,5663095000,85050397000,1597187000.0,,5833079000,-11217906000.0,4065063000.0,374242000.0,-5616562000.0,564158000.0,10516067000,87850000,678453000,919973000.0,4253076000,1544385000.0,,51188000.0,85050397000,,,,,8329991000,4658000.0,944340000.0,2161345000.0,,,,,,,,,,,,,
2007-09-30,,-2097641000.0,250960000.0,10521139000,31672038000,45455341000,12114585714.0,2911340000,1925525000.0,-2904218000.0,0.07,131025000.0,8423744000.0,,109635410000,99114271000,848021000.0,77127379000,329975000.0,1122957000.0,848021000.0,-293312000.0,0,28232104000,6157271000.0,3558457000,44346000.0,4404088000.0,-6582633000.0,,340948000.0,43821727000,1051511000,2266473000.0,0.07,4404088000,1303639000.0,4408746000,90746622000,1487557000.0,,11695190000,-6105235000.0,5613437000.0,364600000.0,-6229519000.0,477115000.0,14880973000,90000000,702323000,98177000.0,4541913000,-1209349000.0,12114585714.0,6198000.0,90746622000,,,,,9341396000,4658000.0,31600000.0,1964672000.0,,,,,,,,,,,,,
2007-12-31,,-1152336000.0,390716000.0,11506449000,41641559000,45866741000,,3447024000,1925501000.0,-10039627000.0,,19236000.0,8940539000.0,,121515641000,110009192000,709317000.0,87508300000,387056000.0,981840000.0,709317000.0,498381000.0,0,29391577000,6529013000.0,4945475000,174408000.0,3648823000.0,-9834100000.0,,486025000.0,44272875000,1051181000,2411526000.0,,3698323000,1103035000.0,3698323000,102589206000,1316761000.0,,11734083000,-10046733000.0,4404088000.0,334921000.0,-10476633000.0,644324000.0,22608530000,170000000,867418000,-3878000.0,7305665000,-755265000.0,,-2000000.0,102589206000,,,,,9362313000,,93900000.0,1961085000.0,,,,,,,,,,,,,
2008-03-31,,-1249174000.0,356991000.0,14322349000,43454176000,54582098000,10945625000.0,3884802000,1372280000.0,-4392222000.0,0.04,-919546000.0,8353391000.0,,131478164000,117155815000,437825000.0,98036274000,387002000.0,567478000.0,437825000.0,99398000.0,0,28621504000,6536340000.0,4542130000,414095000.0,6569308000.0,-7380309000.0,,444771000.0,50829587000,1624665000,1817051000.0,0.04,6643918000,754023000.0,6643918000,110543832000,700037000.0,,11734083000,-7971062000.0,3648823000.0,132559000.0,-6628871000.0,673212000.0,25066427000,170000000,875086000,2407055000.0,6714480000,2920485000.0,10945625000.0,-2181000.0,110543832000,,,,,9300534000,,24000000.0,1373249000.0,,,,,,,,,,,,,
2008-06-30,,-3225008000.0,244437000.0,18710978000,51319042000,61141544000,,2413637000,629691000.0,-7159865000.0,,-432485000.0,9298560000.0,,143957480000,125246502000,-18900000.0,112460586000,384940000.0,12661000.0,-18900000.0,186212000.0,0,26712040000,8328776000.0,4767653000,672671000.0,9152828000.0,-8682627000.0,,340093000.0,55846384000,1430257000,969784000.0,,9257438000,928678000.0,9257438000,117867101000,-150385000.0,,11743355000,-15743533000.0,6569308000.0,-163046000.0,-8443360000.0,888925000.0,34946449000,0,2396043000,43834563000.0,3659170000,2583520000.0,,4506000.0,117867101000,,,,,10541680000,,72520000.0,738540000.0,,,,,,,,,,,,,
2008-09-30,,-2200442000.0,372242000.0,18846798000,53945471000,66955510000,11730650407.0,2072229000,-228133000.0,-8840319000.0,-0.0369,-396023000.0,10053646000.0,,151932595000,133085797000,-432861000.0,120900981000,413124000.0,-627225000.0,-432861000.0,347764000.0,0,26312905000,9844291000.0,5012719000,637087000.0,7411204000.0,-9551644000.0,,437488000.0,61368373000,2249286000,209355000.0,-0.0369,7579043000,887612000.0,7579043000,124097518000,-962590000.0,,11780038000,-12929685000.0,9152828000.0,-335365000.0,-9624354000.0,984966000.0,37188037000,0,2357247000,-41366673000.0,3638764000,-1539163000.0,11730650407.0,84998000.0,124097518000,,,,,11639966000,0.0,76531000.0,22376000.0,,,,,,,,,,,,,
2008-12-31,,-1931269000.0,380282000.0,15239147000,53575879000,73154098000,,2701364000,1058337000.0,-5689766000.0,,-868700000.0,9386550000.0,,157280757000,142041610000,836705000.0,126729977000,475212000.0,662188000.0,836705000.0,-471242000.0,746713000,25909961000,7854792000.0,3906684000,532796000.0,5154898000.0,-8181219000.0,,473421000.0,68130422000,2142761000,1531758000.0,,5645375000,378367000.0,5645375000,133933948000,1089426000.0,,11780038000,-17978896000.0,7411204000.0,427238000.0,-8549913000.0,906335000.0,29584108000,0,2729684000,-779277000.0,10459116000,-2256306000.0,,297394000.0,133933948000,,,,,12159099000,,25000000.0,1995761000.0,,,,,,,,,,,,,
