date,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyInventory,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetOtherFinancingCharges,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyAccumulatedDepreciation
2008-03-31,7442180228.0,1262566166.0,7941712483.0,24705962305.0,,272979470.0,-3526495695.0,489725014.0,6725251170.0,34362870.0,870782370.0,-220357892.0,3265255309.0,-40859592.0,151235106.0,0.05,20221697262.0,20250223908.0,-124540987.0,549890632.0,772841152.0,-10298310.0,367549772.0,729521899.0,4714677328.0,4484265043.0,23899383.0,-2992087088.0,11776900.0,425000000.0,2206940000.0,367549772.0,190669527.0,,0.05,1973049941.0,-501826093.0,0.0,-2919372298.0,407276317.0,5858612626.0,5462685004.0,142614315.0,43153424.0,7442180228.0,5875200101.0,7350995440.0,-3634204282.0,183884997.0,3085931580.0,3897216199.0,11279307986.0,-526500000.0,31529531894.0,-3421198391.0,6899459591.0,30156726.0,7000000000.0,4081101196.0,367549772.0,186069184.0,5394025743.0,134822554.0,807925219.0,,,,,,,,,,,,,
2008-06-30,,1619050989.0,,,,,307183250.0,686603840.0,8260956505.0,41507537.0,946647023.0,-852042876.0,3240901640.0,-1122780000.0,115540737.0,,,,-129635884.0,668515756.0,932447149.0,,,894825299.0,,,,-3557901928.0,,,,441416955.0,,,,,-715340508.0,,1100451697.0,525931470.0,,6641905516.0,142584286.0,8997225.0,,,,-24353669.0,,,,,-103244364.0,,385111189.0,3265255309.0,8997225.0,,,441416955.0,184426656.0,,93704611.0,-61017845.0,,,,,,,,,,,,,
2008-09-30,8576677423.86,1257995859.77,10633787586.71,26600257881.05,6741389392.0,,,293813488.02,9492584189.28,45415598.02,340168669.33,-1241396549.32,11026480667.45,,,0.03,22087257189.61,32129205474.89,-313114574.38,331110933.76,964182371.75,,1060719177.15,943737571.31,15751335636.99,4513000691.44,7394679.69,-2841535264.97,8717793.54,0.0,2783967550.41,251752450.15,117417722.03,,0.03,1715880802.63,-1399115983.67,0.0,,332552675.46,6731051055.35,8234588329.51,-1441741.7,10435261111.5,8576677423.86,8153292713.46,8391748338.0,7785579027.45,115301480.44,3130446724.2,11226480667.45,12522962532.97,-1011584170.41,44652168007.86,-184477284.13,3240901640.0,10572577623.94,11840000000.0,11341782147.89,251752450.15,,3949863888.86,9057735.57,1145736821.89,,,,,,,,,,,,,
2008-12-31,10242709384.0,1951615825.23,11542173698.0,26811155608.0,,,,327350500.98,11289355205.72,-25898095.02,574059951.67,-735630838.68,11032907022.0,,,,23589639035.0,31025176329.0,115142449.38,381015086.24,1624265324.25,,1325193592.0,1560906724.69,16056069518.0,3221516573.0,10065633.0,-5035267045.03,56742277.0,300000000.0,2541636415.0,323521124.85,197511231.0,,,664996132.0,-1255015184.33,0.0,,419842558.54,5995582717.0,9337739380.49,-38827472.3,324597647.5,10242709384.0,8389453135.0,,6426354.55,100000000.0,3475320179.0,11722771634.0,14463497845.0,1235019200.41,45488674174.0,687968330.13,11026480667.45,-199283397.94,11840000000.0,11822771634.0,323521124.85,,3713581259.0,193044865.43,-898495779.89,,,,,,,,,,,,,
2009-03-31,10437098983.08,1239434456.58,13320941058.74,28110136251.55,,,,355341004.9,7374971187.77,149006.68,379044816.92,-280030507.89,8773427941.24,,,0.02,25037248459.7,32354360554.52,-37862187.44,357496157.37,884093451.68,,1518034521.35,850062706.42,16256661509.91,3072887791.85,10380703.44,-1093656364.25,56742277.0,0.0,2699577829.68,192840929.35,162293441.14,,0.02,358110865.73,-615346505.04,0.0,,283451676.71,6957638966.37,6135536731.19,74044480.66,138585269.39,10437098983.08,9796033772.44,9642046468.0,-2259479080.76,,3491631828.42,9129794634.81,14742929508.89,-87980380.65,47097290063.41,-1887466698.34,11032907022.0,121171971.97,11840000000.0,9129794634.81,192840929.35,,3310058005.17,21548659.55,408119542.3,,,,,,,,,,,,,
2009-06-30,11359260288.0,1831082905.42,16031907502.0,30629955897.0,,,,594196977.1,11205345235.23,74824579.02,762373448.08,-1148878763.11,7315774562.0,,,,27809158496.0,34030730654.0,-93875128.56,650143242.63,1236885928.32,,1572651125.0,1185943752.58,16315709789.0,2820797401.0,11271335.0,-3847813785.75,62931755.0,0.0,2612037107.0,433496603.65,240240138.0,,,192702094.0,-930452363.96,0.0,,537807743.29,7935146969.0,9374262329.81,112335499.34,-130585269.39,11359260288.0,10673601319.0,,-1457653379.24,,3478613602.0,9998218525.0,15651282291.0,-294092989.35,49682012945.0,-1375096681.66,8773427941.24,-119215791.97,11840000000.0,9998218525.0,433496603.65,,3764209026.0,112230205.45,75386144.7,,,,,,,,,,,,,
2009-09-30,12202109000.0,1837930000.0,19348193000.0,35064605000.0,13783633333.0,,,587337000.0,10782823000.0,542872.0,680243000.0,-1159431729.0,7640401000.0,,,0.03,31952760000.0,38236049000.0,-420045684.0,615408000.0,1250593000.0,,1986160000.0,1222027000.0,16733478000.0,3111845000.0,11336000.0,-3682273850.0,61404000.0,0.0,2913886000.0,413509000.0,175616000.0,,0.03,183410000.0,-1168352131.0,0.0,,546929000.0,9100989000.0,8944893000.0,68479000.0,0.0,12202109000.0,12442675000.0,13783633333.0,324626460.0,27809000.0,3477541000.0,9822675000.0,16468038000.0,-65073630.0,54704087000.0,-938165620.0,7315774562.0,-1225180.0,11840000000.0,9850484000.0,413509000.0,,5477185000.0,64835000.0,61451313.0,,,,,,,,,,,,,
2009-12-31,13511905689.0,2715611808.0,18651576641.0,34633264154.0,,,,575337970.0,17029529374.0,-22224445.0,912804261.0,-1952976189.0,10998084116.0,,,,29782703463.0,36402916057.0,-93629564.0,778290299.0,2140273838.0,,2533759043.0,2069619035.0,17365109308.0,4850560691.0,11902667.0,-8018857072.0,61171249.0,93390730.0,2637467011.0,638306805.0,290256413.0,,,2171866459.0,-1982749569.0,0.0,,747993851.0,6638161350.0,14313917566.0,30296448.0,35695319.0,13511905689.0,11415070253.0,,3357683094.0,24248419.0,3909591610.0,12891514160.0,18586440863.0,50510508.0,54989356920.0,3909119472.0,7640401000.0,-39879092.0,11840000000.0,12915762579.0,638306805.0,,3190403179.0,134513962.0,-53345179.0,,,,,,,,,,,,,
2010-03-31,14109734000.0,2124009000.0,21510435000.0,38835120000.0,11862633333.0,,,647623000.0,12446949000.0,447000.0,684443000.0,-1916583000.0,5843043000.0,,,0.03,31945146000.0,40683471000.0,-371753000.0,606483000.0,1476386000.0,,2889638000.0,1415486000.0,17717557000.0,6889974000.0,10242000.0,-2262269000.0,57875000.0,211394000.0,2687462000.0,355879000.0,375226000.0,,0.03,4162946000.0,-972833000.0,0.0,,501393000.0,13276817000.0,10322940000.0,105090000.0,57383000.0,14109734000.0,12526418000.0,11862633333.0,-5155041000.0,22420000.0,3698308000.0,7240382000.0,19005703000.0,-1000000000.0,59689174000.0,-5101035000.0,10998084000.0,57383000.0,11840000000.0,7262802000.0,355879000.0,,2392000000.0,77960000.0,54039000.0,,,,,,,,,,,,,
2010-06-30,15126771826.0,2598103041.0,22648819368.0,43600274802.0,,,,1115592600.0,15646793448.0,218268481.0,1252472662.0,82864248.0,10253110479.0,,,,36338780301.0,45405861369.0,268285415.0,1165870230.0,1482510441.0,,3164223811.0,1438120834.0,17855968439.0,7261494501.0,14673298.0,-1925860182.0,57483416.0,408604559.0,3006340799.0,748185768.0,313784199.0,,,4211155850.0,-1213271200.0,0.0,,989285097.0,14410043782.0,13048690407.0,176585133.0,753907315.0,15126771826.0,13564650566.0,,4410067363.0,17639883.0,3852819042.0,11168952314.0,20207080638.0,920443985.0,65612942007.0,2402669264.0,5843043000.0,709199873.0,11840000000.0,11186592197.0,748185768.0,,2285678639.0,86602432.0,316253675.0,,,,,,,,,,,,,
