date,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOperatingIncome,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
1984-03-31,38600000,,,38600000,38600000,,,,,,,,,,,,,,,,,,,,,,0.31,,,4764000.0,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4764000.0,,0.31,,,
1984-06-30,48100000,,,48100000,48100000,,,,,,,,,,,,,,,,,,,,,,0.6,,,4797000.0,,,,,,,,2900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797000.0,,0.6,,,
1984-09-30,55100000,,,55100000,55100000,,,,,,,,,,,,,,,,,,,,,,0.64,,,4797000.0,,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797000.0,,0.64,,,
1984-12-31,55300000,,,-127300000,-127300000,,49000000.0,,,,,,,,28600000.0,,16200000.0,113500000.0,,,,16700000.0,,,,58000000.0,,,,,23500000.0,,,,,5000000.0,,1900000,400000.0,32800000.0,,,,1000000.0,,,-58900000.0,5900000.0,6900000.0,4300000.0,,,,,,,15200000.0,54600000.0,,,107000000.0,17900000.0,78400000.0,,7000000.0,7000000.0,,,,,,,,,,,
1985-03-31,59400000,,,59400000,59400000,,,,,,,,,,,,,,,,,,,,,,0.33,,,6292000.0,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292000.0,,0.33,,,
1985-06-30,110200000,,,110200000,110200000,,,,,,,,,,,,,,,,,,,,,,0.59,,,6292000.0,,,,,,,,2600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292000.0,,0.59,,,
1985-09-30,93000000,,,93000000,93000000,,,,,,,,,,,,,,,,,,,,,,0.52,,,6292000.0,,,,,,,,3200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292000.0,,0.52,,,
1985-12-31,77300000,,,-220900000,-220900000,,315200000.0,,,,,,,,73900000.0,,67000000.0,194200000.0,,,,71800000.0,,,,125100000.0,,,,,233200000.0,,,,,7400000.0,,1200000,4100000.0,248200000.0,,,,5900000.0,,,-51200000.0,21600000.0,22600000.0,7600000.0,,,,,,,61100000.0,143000000.0,,,440300000.0,201800000.0,366400000.0,,2900000.0,2900000.0,,,,,,,,,,,
1986-03-31,78900000,,,78900000,78900000,,,,,,,,,,,,,,,,,,,,,,0.36,,,6292000.0,,,,,,,,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292000.0,,0.36,,,
1986-06-30,126500000,,,126500000,126500000,,,,,,,,,,,,,,,,,,,,,,0.66,,,6377000.0,,,,,,,,4300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6377000.0,,0.66,,,
1986-09-30,98000000,,,98000000,98000000,,,,,,,,,,,,,,,,,,,,,,0.45,,,6497000.0,,,,,,,,2900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6497000.0,,0.45,,,
1986-12-31,86900000,,,-296200000,-296200000,,388200000.0,,,,,,,,88500000.0,,64600000.0,223300000.0,,,,54400000.0,,,,111100000.0,,,,,303400000.0,,,,,6400000.0,,-22500000,900000.0,323600000.0,,,,11500000.0,,,-66500000.0,16800000.0,37500000.0,13800000.0,,,,,,,53100000.0,156800000.0,,,499300000.0,237200000.0,410800000.0,,3600000.0,3600000.0,,,,,,,,,,,
1987-03-31,76900000,,,76900000,76900000,,,,,,,,,,,,,,,,,,,,,,-1.96,,,6497000.0,,,,,,,,-12700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6497000.0,,-1.96,,,
1987-06-30,105100000,,,105100000,105100000,,,,,,,,,,,,,,,,,,,,,,-0.65,,,8121000.0,,,,,,,,-4300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8121000.0,,-0.65,,,
